index,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,ticker
2018-12-18,3.32,3.44,3.31,3.44,3.44,636894.0,0.0,1.0,ABP
2018-12-16,3.28,3.35,3.28,3.33,3.33,1159480.0,0.0,1.0,ABP
2018-12-18,1.33,1.33,1.26,1.28,1.28,1272611.0,0.0,1.0,AX1
2018-12-16,1.4,1.4,1.33,1.33,1.33,853682.0,0.0,1.0,AX1
2018-12-18,4.34,4.42,4.34,4.35,4.35,818182.0,0.0,1.0,ABC
2018-12-16,4.34,4.5,4.34,4.47,4.47,1907653.0,0.0,1.0,ABC
2018-12-18,12.24,12.48,12.1,12.235,12.235,1438112.0,0.0,1.0,APT
2018-12-16,12.01,12.87,11.86,12.84,12.84,1429343.0,0.0,1.0,APT
2018-12-18,19.76,19.87,19.62,19.83,19.83,834890.0,0.0,1.0,AGL
2018-12-16,19.57,19.92,19.57,19.8,19.8,1712926.0,0.0,1.0,AGL
2018-12-18,7.18,7.19,7.01,7.04,7.04,667911.0,0.0,1.0,ALQ
2018-12-16,6.99,7.21,6.98,7.18,7.18,958146.0,0.0,1.0,ALQ
2018-12-18,21.3,21.73,21.27,21.53,21.53,131097.0,0.0,1.0,ALU
2018-12-16,21.54,22.03,21.08,21.93,21.93,377462.0,0.0,1.0,ALU
2018-12-18,0.17,0.175,0.165,0.17,0.17,1981586.0,0.0,1.0,AJM
2018-12-16,0.175,0.18,0.17,0.175,0.175,1289543.0,0.0,1.0,AJM
2018-12-18,2.18,2.22,2.15,2.205,2.205,14158911.0,0.0,1.0,AWC
2018-12-16,2.18,2.26,2.17,2.25,2.25,9000561.0,0.0,1.0,AWC
2018-12-18,0.91,0.915,0.89,0.895,0.895,483656.0,0.0,1.0,AMA
2018-12-16,0.92,0.92,0.905,0.92,0.92,177538.0,0.0,1.0,AMA
2018-12-18,1.03,1.03,0.975,0.98,0.98,267790.0,0.0,1.0,AYS
2018-12-16,1.005,1.06,1.005,1.05,1.05,121914.0,0.0,1.0,AYS
2018-12-18,13.16,13.3,13.145,13.265,13.265,2226326.0,0.0,1.0,AMC
2018-12-16,13.12,13.42,13.12,13.36,13.36,3480813.0,0.0,1.0,AMC
2018-12-18,2.34,2.39,2.32,2.37,2.37,5007568.0,0.0,1.0,AMP
2018-12-16,2.29,2.38,2.29,2.36,2.36,8323527.0,0.0,1.0,AMP
2018-12-18,23.76,23.81,23.0,23.18,23.18,436010.0,0.0,1.0,ANN
2018-12-16,23.24,23.96,22.84,23.77,23.77,993839.0,0.0,1.0,ANN
2018-12-18,24.1,24.17,23.73,23.8,23.8,5510808.0,0.0,1.0,ANZ
2018-12-16,24.57,24.6,24.13,24.41,24.41,8361507.0,0.0,1.0,ANZ
2018-12-18,8.68,8.8,8.63,8.67,8.67,1150170.0,0.0,1.0,APA
2018-12-16,8.59,8.86,8.59,8.81,8.81,2040762.0,0.0,1.0,APA
2018-12-18,12.98,13.15,12.8,13.03,13.03,194905.0,0.0,1.0,APX
2018-12-16,12.8,13.49,12.64,13.27,13.27,441281.0,0.0,1.0,APX
2018-12-18,16.04,16.07,15.66,16.02,16.02,124278.0,0.0,1.0,ARB
2018-12-16,15.98,16.08,15.61,15.98,15.98,200010.0,0.0,1.0,ARB
2018-12-18,2.46,2.47,2.44,2.47,2.47,99675.0,0.0,1.0,ARF
2018-12-16,2.45,2.47,2.44,2.44,2.44,145198.0,0.0,1.0,ARF
2018-12-18,21.67,22.22,21.67,21.875,21.875,1805055.0,0.0,1.0,ALL
2018-12-16,22.5,22.69,22.17,22.59,22.59,2606875.0,0.0,1.0,ALL
2018-12-18,2.01,2.01,1.94,1.985,1.985,8088.0,0.0,1.0,ARQ
2018-12-16,2.02,2.02,1.97,2.0,2.0,47555.0,0.0,1.0,ARQ
2018-12-18,0.92,0.935,0.89,0.902,0.902,2076997.0,0.0,1.0,AHY
2018-12-16,0.89,0.95,0.882,0.94,0.94,524960.0,0.0,1.0,AHY
2018-12-18,58.95,59.45,58.43,59.4,59.4,177277.0,0.0,1.0,ASX
2018-12-16,58.66,60.3,58.5,60.11,60.11,319415.0,0.0,1.0,ASX
2018-12-18,6.68,6.79,6.615,6.64,6.64,1005182.0,0.0,1.0,ALX
2018-12-16,6.66,6.83,6.66,6.81,6.81,2207055.0,0.0,1.0,ALX
2018-12-18,6.59,6.75,6.58,6.69,6.69,109871.0,0.0,1.0,AIA
2018-12-16,6.6,6.66,6.57,6.57,6.57,23552.0,0.0,1.0,AIA
2018-12-18,0.745,0.745,0.717,0.72,0.72,968104.0,0.0,1.0,AMI
2018-12-16,0.71,0.75,0.705,0.735,0.735,2036799.0,0.0,1.0,AMI
2018-12-18,4.45,4.46,4.4,4.415,4.415,2847216.0,0.0,1.0,AZJ
2018-12-16,4.47,4.47,4.43,4.46,4.46,6704720.0,0.0,1.0,AZJ
2018-12-18,1.195,1.227,1.155,1.205,1.205,2265077.0,0.0,1.0,ASL
2018-12-16,1.2,1.215,1.175,1.205,1.205,2360876.0,0.0,1.0,ASL
2018-12-18,1.62,1.625,1.61,1.615,1.615,3872344.0,0.0,1.0,AST
2018-12-16,1.575,1.625,1.575,1.62,1.62,7604192.0,0.0,1.0,AST
2018-12-18,1.935,1.94,1.89,1.932,1.932,371206.0,0.0,1.0,ASB
2018-12-16,1.895,1.94,1.89,1.925,1.925,223602.0,0.0,1.0,ASB
2018-12-18,1.11,1.13,1.1,1.13,1.13,453519.0,0.0,1.0,AAC
2018-12-16,1.14,1.145,1.105,1.105,1.105,913517.0,0.0,1.0,AAC
2018-12-18,1.475,1.48,1.37,1.395,1.395,2138023.0,0.0,1.0,API
2018-12-16,1.57,1.57,1.465,1.475,1.475,4870312.0,0.0,1.0,API
2018-12-18,1.49,1.515,1.47,1.485,1.485,727776.0,0.0,1.0,AHG
2018-12-16,1.49,1.525,1.465,1.505,1.505,819497.0,0.0,1.0,AHG
2018-12-18,2.1,2.1,2.07,2.08,2.08,353578.0,0.0,1.0,AVN
2018-12-16,2.1,2.1,2.08,2.1,2.1,592387.0,0.0,1.0,AVN
2018-12-18,1.57,1.58,1.545,1.575,1.575,969647.0,0.0,1.0,AOG
2018-12-16,1.56,1.585,1.55,1.575,1.575,2674311.0,0.0,1.0,AOG
2018-12-18,9.58,9.61,9.47,9.49,9.49,847336.0,0.0,1.0,BOQ
2018-12-16,9.5,9.66,9.49,9.63,9.63,851666.0,0.0,1.0,BOQ
2018-12-18,6.1,6.12,5.98,6.005,6.005,462013.0,0.0,1.0,BAP
2018-12-16,6.16,6.21,6.03,6.19,6.19,970283.0,0.0,1.0,BAP
2018-12-18,1.45,1.46,1.4,1.405,1.405,14140030.0,0.0,1.0,BPT
2018-12-16,1.465,1.49,1.445,1.475,1.475,10866317.0,0.0,1.0,BPT
2018-12-18,5.73,5.79,5.65,5.7,5.7,252658.0,0.0,1.0,BGA
2018-12-16,5.76,5.81,5.73,5.79,5.79,345062.0,0.0,1.0,BGA
2018-12-18,7.62,7.84,7.53,7.68,7.68,1139667.0,0.0,1.0,BAL
2018-12-16,7.52,7.88,7.41,7.86,7.86,1835686.0,0.0,1.0,BAL
2018-12-18,10.26,10.35,10.115,10.33,10.33,824182.0,0.0,1.0,BEN
