ticker,desc
A2M,"Producing, marketing and selling branded dairy and infant formula products in targeted global markets"
NCM,"Exploration, development, mining and the sale of gold."
DMP,Food retailer operating pizza chain comprising both franchisee owned and company owned corporate stores.
SBM,Gold producer and explorer
WHC,Coal mining and exploration
MQG,"Non-operating holding company for consolidated entity - financial services provider of banking, financial, advisory, investment and funds management services."
ING,Poultry producer
ELD,.
SKI,Investing in a diversified portfolio of quality utility style assets
CWY,"waste management, operating a national network of unique collection, processing, treatment and landfill assets"
MIN,Mining services
IPH,Provision of intellectual property services.
LNK,Technology enabled administrator of financial ownership data
BWP,"Warehouse retailing properties, in particular, Bunnings Warehouses."
GMG,"International industrial and business space property, development and funds management business."
PLS,Lithium and tantalum exploration and mine development
AMI,"Gold and Base Metal Mining and Exploration in NSW, Australia."
EPW,The Company sells electricity to large and small business customers in Australia and the United States. The Company also has ownership interests in and operates two low emission gas-fired power stations in Australia.
IAG,"Provider of general insurance, including full range of personal and commercial insurance products."
MYR,The operation of a portfolio of 66 department stores across Australia.
MVF,Provider of assisted reproductive services and ultrasound services.
DOW,"Downer EDI Limited designs, builds and sustains assets, infrastructure and facilities and it is the leading provider of integrated services in Australia and New Zealand."
PTM,Fund manager which specialises in investing in global equities.
MYS,Diversified financial services.
OML,Out of home advertising
TCL,"Owner, operator and developer of electronic toll roads and intelligent transport systems."
CUV,"Clinuvel Pharmaceuticals Ltd. is a leading and innovative Australian company focused on the development of SCENESSE¿  (afamelanotide), its proprietary first-in-class drug, as a photoprotective in a range of UV and light related skin disorders and as a repigmentation therapy in the common skin disorder vitiligo."
AMP,"Provider of life insurance, superannuation, pensions and other financial services in Australia and New Zealand."
JMS,Mining Investment
JHC,Residential aged care operator
GPT,Property investment.
FNP,"The sourcing, manufacturing, selling, marketing and distribution of specialty cereal and snacks and plant and dairy beverages.  The selling, marketing and distribution of canned specialty seafood.  Investment in large scale dairy farming operations."
VCX,AREIT - Shopping centre owner and manager
ARQ,Offers cloud-based technology services that helps organisations of all sizes to successfully do business online.
IFL,Financial services
SAR,Gold Production and  Exploration
NUF,Australasian marketer and manufacturer of chemicals.
LLC,"The Lendlease Group operates in the Asia Pacific, Europe and the Americas regions in the areas of:
- retail property management, asset management and development;
- large scale urban regeneration and greenfield development projects;
- real estate inve"
ALQ,"The provision of professional technical testing services to the global Minerals, Life Sciences, Energy and Industrial sectors."
BKL,Natural health solutions
PGH,"Manufacturer of rigid plastics packaging, metals packaging and related products."
BKW,Building products; land & development; and investments.
PLG,Funds and asset management
ABC,"Manufacture of cement, lime, concrete and aggregates and concrete masonry products"
HPI,Ownership of real property.
DCN,Gold exploration.
ECX,"Vehicle and equipment financing, management and administrative business."
AMC,"With over A$9.5 billion dollars in sales, 27,000 employees and more than 180 sites across 43 countries, Amcor holds global market leading positions in the flexible and rigid plastic packaging segments.  Headquartered in Melbourne, Australia, Amcor's global operations supply a broad range of responsible packaging solutions for customers servicing the food, beverage and healthcare sectors."
EHE,Residential aged care operator.
BSL,steel manufacture
HUB,Investment and superannuation platform services.
ALU,Development and sales of computer Software for the design of electronic products.
CDD,"Cardno is an infrastructure, environmental and social development company; improving the lives of people and communities around the world."
IDR,Ownership of Australian real estate assets with a workspace sector focus.
KAR,Oil and gas exploration
ILU,Production of mineral sands.
COH,Manufacture and sale of Cochlear implant systems.
CCP,The Company operates within the Australian debt collection and consumer lending industry.
ASL,"Ausdrill is an international mining services group, providing leading edge drill and blast, exploration, supply and logistics services to the world's major mining companies."
VRL,"Cinema Exhibition, Film Production, Film Distribution, Theme Parks,
Marketing Solutions."
BIN,Waste management
URW,"Owner and operator of commercial property portfolio in Europe, United Kingdom and United States, predominately shopping centres and also offices and convention & exhibition centres."
RHC,"Ramsay Health Care Limited is a global hospital group owning and operating a comprehensive range of healthcare facilities across Australia, France, Indonesia, Malaysia and the United Kingdom."
CTD,Provider of travel management services to the corporate market.
RMD,Medical device manufacturing
ARF,"Arena REIT owns, manages and develops specialised real estate assets across Australia. Arena REIT's portfolio of social infrastructure assets is leased to a diversified tenant base in the  early learning and healthcare sectors."
BHP,"Minerals exploration, production and processing (particularly coal, iron ore, copper and manganese ore) and hydrocarbon exploration, production and refining."
CL1,Provision of cloud-based self-managed superannuation fund administration software solutions and services.
SHV,"The growing, processing, packaging and marketing of almonds from company owned orchards and investor owned orchards, and the processing, packaging and marketing of nuts, fruit based, and associated products to the Australian retail and industrial markets."
WBC,"Banking, financial and related services."
AMA,"Focused on the wholesale vehicle aftercare and accessories market, including smash repair shops, automotive and electrical components, vehicle protection bull bars and other servicing workshops for brakes and  transmissions."
AOG,"Aveo is a leading and trusted owner, operator and manager of retirement communities across Australia. Aveo¿¿¿s philosophy is underpinned by a commitment to grow with older Australians by inspiring greater living choices. We currently do so for 13,000 resi"
SPK,Telecommunications services
SFR,Gold and base metal exploration.
BAP,Distributor of automotive aftermarket parts.
QAN,"The operation of international and domestic air transportation services, the sale of worldwide and domestic holiday tours and associated support activities including catering, information technology, ground handling and engineering and maintenance."
AGL,The Company operates Australia's largest retail energy and dual fuel customer base and consist of a substantial portfolio of wholesale energy contracts and assets to support its retail customer base.
AAD,Operation of premium leisure assets.
PNV,"PolyNovo develops and commercialises innovative medical devices using its NovoSorb technology in the treatment of burns, surgical wounds and Negative Pressure Wound Therapy."
HVN,"Principal activities of the consolidated entity continue to be that of an integrated retail, franchise and property entity including, franchisor, Sale of furniture, bedding, computer, communications and consumer electrical products in New Zealand, Slovenia and Ireland, Property investment, Lessor of premises to franchisees and other third parties, Media placement, Provision of consumer finance"
ORI,"Orica is the largest provider of commercial explosives and blasting systems to the mining and infrastructure markets, the global leader in the provision of ground support in mining and tunnelling, and the leading supplier of sodium cyanide for gold extraction."
SDF,Insurance broking and underwriting services.
SCP,Real estate investment trust.
NSR,Manages and operates self-storage centres.
NVT,The provision of pre-university and university programmes for domestic and overseas students.
TPM,Telecommunications
RWC,"Design, manufacture and supply of water flow and control products and solutions for the plumbing industry"
MND,Provision of engineering services within Australia.
CSL,"Development, manufacturing and marketing of pharmaceutical and diagnostic products, cell culture media and human plasma fractions."
CWN,"An international casino and gaming entity, with businesses and investments in key international markets."
WTC,Provider of software solutions to the logistics industry globally
IVC,"Provider of funerals, burials and cremations."
MTS,"Wholesaler to independent retailers in food, grocery, liquor, hardware and automotive industries."
WBA,"Production, processing and marketing of Horticulture and Agriculture activities"
BWX,Vertically integrated beauty and personal care production and distribution company.
CPU,"The operation of a computer bureau, operation of share registries and the provision of software specialising in share registry, financial and stock markets."
STO,"Gas and petroleum exploration and the production, treatment and marketing of natural gas, crude oil, condensate, naphtha and liquid petroleum gas; transportation by pipeline of crude oil."
DHG,Real estate media and technology services business focussed on the Australian property market
VOC,"A vertically integrated telecommunications provider, operating in the Australian and New Zealand markets. The Company owns an extensive national infrastructure network of metro and back haul fibre connecting all capital cities and most regional centres ac"
NWH,"Provisions of services, including civil contracting, mining services, and equipment to the resources sector."
OFX,Provider of online international payment services for consumer and business clients.
BGA,"Processing, manufacturing, cutting and packaging traditional cheese products, as well as the manufacture of other high value dairy products."
RFF,Rural property investment
FPH,"Fisher & Paykel Healthcare is a world leader in medical devices and systems for use in respiratory care, acute care, surgery and in the treatment of obstructive sleep apnea. Our products are sold in more than 120 countries around the world and we estimate"
VVR,Owing and leasing freehold property (petrol stations).
ALX,Operator and manager of a portfolio of toll road assets.
OZL,"OZ Minerals is an Australian based modern mining company with a focus on copper. OZ Minerals owns the Prominent Hill copper-gold mine and Carrapateena copper-gold project, both situated in South Australia."
ARB,"The manufacture, distribution and sale of four-wheel drive motor vehicle accessories and light metal engineering works."
DLX,"Provider of premium branded paint, coatings, adhesives, garden care and other building products to the residential home improvement, commercial and infrastructure markets across Australia, New Zealand and Papua New Guinea, with niche positions in China and South East Asia"
DXS,Australian Real Estate Investment Trust
NST,Gold production and exploration for gold and other minerals.
TNE,"Software Sales, Services, R&D"
HSO,"Healthscope Limited is Australia's second largest private hospital operator, a leading provider of pathology services in Australia, New Zealand, Malaysia and Singapore and has a long history of operations in healthcare."
PPT,"Trustees, executors, investment managers, funds management, investment administration, custody and registry services."
BEN,"Provision of a range of banking and other financial services, including retail banking, mortgage distribution through third-parties, business lending, margin lending, business banking and commercial finance, invoice discounting, funds management, treasury and foreign exchange services. (Including trade finance), superannuation, financial advisory and trustee services."
CIM,"Formerly Leighton Holdings Limited, CIMIC Group Limited is the parent company of Australia's largest project development and contracting group. The Groups companies provide construction, mining and operation and maintenance services to the infrastructure."
BLD,Manufacture and supply of building and construction materials
EHL,"Selling, renting and maintaining heavy earthmoving equipment to customers in the mining industry in Australia and overseas."
CMW,Internally managed Australian Real Estate Investment Trust (A-REIT) and a property fund manager
LOV,International specialist fast fashion jewellery retailer.
VLW,"Villa World's core business is the development of affordable residential communities within Queensland, New South Wales and Victoria, specialising in land only, land and volume speculative housing, and townhouse developments."
IOF,"Investa Office Fund, previously known as ING Office Fund, is a leading owner and manager of investment grade office buildings in core CBD markets throughout Australia."
NXT,"Establishment, development and operation of data centre facilities."
