date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,7.04,7.12,6.955,7.08,7.08,936484.0,0.0,1.0,ALQ
2018-12-12,7.15,7.3,7.09,7.23,7.23,754597.0,0.0,1.0,ALQ
2018-12-11,7.12,7.28,7.0,7.12,7.12,1551119.0,0.0,1.0,ALQ
2018-12-10,7.0,7.06,6.94,6.96,6.96,959563.0,0.0,1.0,ALQ
2018-12-09,7.09,7.28,6.94,6.99,6.99,1080350.0,0.0,1.0,ALQ
2018-12-06,7.5,7.5,7.17,7.21,7.21,1017987.0,0.0,1.0,ALQ
2018-12-05,7.67,7.67,7.4,7.47,7.47,1275256.0,0.0,1.0,ALQ
2018-12-04,7.36,7.67,7.33,7.62,7.62,1972643.0,0.0,1.0,ALQ
2018-12-03,7.48,7.63,7.48,7.58,7.58,2055147.0,0.0,1.0,ALQ
2018-12-02,7.5,7.57,7.29,7.52,7.52,2018069.0,0.0,1.0,ALQ
2018-11-29,7.33,7.37,7.2,7.24,7.24,2191057.0,0.0,1.0,ALQ
2018-11-28,7.32,7.37,7.22,7.35,7.35,1842174.0,0.0,1.0,ALQ
2018-11-27,7.28,7.51,7.22,7.29,7.18,1783338.0,0.0,1.0,ALQ
2018-11-26,6.99,7.36,6.915,7.08,6.9732,2118864.0,0.0,1.0,ALQ
2018-11-25,7.21,7.27,6.88,6.89,6.786,1508556.0,0.0,1.0,ALQ
2018-11-22,7.3,7.34,7.18,7.26,7.1505,764245.0,0.0,1.0,ALQ
2018-11-21,7.45,7.67,7.24,7.27,7.1603,2016550.0,0.0,1.0,ALQ
2018-11-20,7.63,7.63,7.16,7.25,7.1406,2922911.0,0.0,1.0,ALQ
2018-11-19,7.78,8.315,7.77,7.95,7.83,2791141.0,0.0,1.0,ALQ
2018-11-18,7.91,8.02,7.78,7.95,7.83,1279008.0,0.0,1.0,ALQ
2018-11-15,7.84,8.03,7.84,7.93,7.8103,982934.0,0.0,1.0,ALQ
2018-11-14,7.71,7.88,7.69,7.81,7.6922,1273534.0,0.0,1.0,ALQ
2018-11-13,7.76,7.91,7.75,7.75,7.6331,982609.0,0.0,1.0,ALQ
2018-11-12,7.97,8.0,7.805,7.84,7.7217,868339.0,0.0,1.0,ALQ
2018-11-11,8.03,8.17,8.02,8.07,7.9482,704747.0,0.0,1.0,ALQ
2018-11-08,8.17,8.24,8.06,8.12,7.9975,744799.0,0.0,1.0,ALQ
2018-11-07,8.06,8.22,8.0,8.17,8.0467,1516060.0,0.0,1.0,ALQ
2018-11-06,7.9,7.99,7.8,7.97,7.8497,3825349.0,0.0,1.0,ALQ
2018-11-05,7.97,8.04,7.92,7.95,7.83,446401.0,0.0,1.0,ALQ
2018-11-04,8.0,8.16,7.99,8.01,7.8891,648358.0,0.0,1.0,ALQ
2018-11-01,8.07,8.19,8.01,8.06,7.9384,941809.0,0.0,1.0,ALQ
2018-10-31,8.22,8.28,8.095,8.17,8.0467,1856447.0,0.0,1.0,ALQ
2018-10-30,8.03,8.215,8.03,8.16,8.0369,1465778.0,0.0,1.0,ALQ
2018-10-29,7.81,8.14,7.81,8.13,8.0073,829920.0,0.0,1.0,ALQ
2018-10-28,7.95,8.03,7.88,7.91,7.7906,764281.0,0.0,1.0,ALQ
2018-10-25,8.05,8.07,7.85,7.95,7.83,1117757.0,0.0,1.0,ALQ
2018-10-24,8.0,8.14,7.935,8.02,7.899,1428779.0,0.0,1.0,ALQ
2018-10-23,8.25,8.315,8.14,8.25,8.1255,1431332.0,0.0,1.0,ALQ
2018-10-22,8.21,8.24,8.08,8.19,8.0664,1176946.0,0.0,1.0,ALQ
2018-10-21,8.15,8.23,8.1,8.21,8.0861,828596.0,0.0,1.0,ALQ
2018-10-18,8.3,8.34,8.2,8.28,8.1551,1103471.0,0.0,1.0,ALQ
2018-10-17,8.42,8.49,8.25,8.29,8.1649,1655208.0,0.0,1.0,ALQ
2018-10-16,8.21,8.34,8.21,8.33,8.2043,734427.0,0.0,1.0,ALQ
2018-10-15,8.19,8.29,8.18,8.29,8.1649,550099.0,0.0,1.0,ALQ
2018-10-14,8.11,8.24,8.0,8.19,8.0664,773764.0,0.0,1.0,ALQ
2018-10-11,8.07,8.35,8.05,8.32,8.1945,1318337.0,0.0,1.0,ALQ
2018-10-10,8.3,8.44,8.24,8.28,8.1551,1850344.0,0.0,1.0,ALQ
2018-10-09,8.6,8.6,8.48,8.56,8.4308,1087990.0,0.0,1.0,ALQ
2018-10-08,8.63,8.68,8.51,8.57,8.4407,1377088.0,0.0,1.0,ALQ
2018-10-07,8.79,8.87,8.69,8.71,8.5786,909418.0,0.0,1.0,ALQ
2018-10-05,8.87,8.955,8.79,8.88,8.746,958944.0,0.0,1.0,ALQ
2018-10-04,9.02,9.15,8.93,8.95,8.815,1510977.0,0.0,1.0,ALQ
2018-10-03,8.95,9.1,8.95,9.03,8.8937,1728467.0,0.0,1.0,ALQ
2018-10-02,8.95,9.03,8.88,8.95,8.815,1723018.0,0.0,1.0,ALQ
2018-10-01,8.83,8.93,8.82,8.91,8.7756,503831.0,0.0,1.0,ALQ
2018-09-28,8.76,9.0,8.75,8.94,8.8051,2471403.0,0.0,1.0,ALQ
2018-09-27,8.75,8.79,8.7,8.75,8.618,1485895.0,0.0,1.0,ALQ
