date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,13.26,13.34,13.2,13.26,13.26,3576896.0,0.0,1.0,AMC
2018-12-12,13.25,13.28,13.03,13.24,13.24,3333015.0,0.0,1.0,AMC
2018-12-11,13.23,13.35,13.215,13.33,13.33,2897369.0,0.0,1.0,AMC
2018-12-10,13.24,13.32,13.16,13.31,13.31,2180330.0,0.0,1.0,AMC
2018-12-09,13.37,13.55,13.225,13.25,13.25,3601337.0,0.0,1.0,AMC
2018-12-06,13.45,13.61,13.4,13.49,13.49,3482393.0,0.0,1.0,AMC
2018-12-05,13.47,13.505,13.3,13.39,13.39,5562015.0,0.0,1.0,AMC
2018-12-04,13.37,13.5,13.3,13.5,13.5,3395546.0,0.0,1.0,AMC
2018-12-03,13.4,13.45,13.23,13.42,13.42,3856610.0,0.0,1.0,AMC
2018-12-02,13.48,13.54,13.22,13.3,13.3,6065765.0,0.0,1.0,AMC
2018-11-29,13.5,13.555,13.31,13.43,13.43,6915089.0,0.0,1.0,AMC
2018-11-28,13.39,13.48,13.36,13.43,13.43,3323079.0,0.0,1.0,AMC
2018-11-27,13.32,13.42,13.28,13.32,13.32,2001541.0,0.0,1.0,AMC
2018-11-26,13.49,13.56,13.31,13.34,13.34,3174671.0,0.0,1.0,AMC
2018-11-25,13.37,13.565,13.35,13.49,13.49,2921546.0,0.0,1.0,AMC
2018-11-22,13.26,13.425,13.235,13.36,13.36,1747749.0,0.0,1.0,AMC
2018-11-21,13.44,13.44,13.02,13.27,13.27,4046069.0,0.0,1.0,AMC
2018-11-20,13.35,13.61,13.33,13.36,13.36,3612316.0,0.0,1.0,AMC
2018-11-19,13.45,13.45,13.32,13.45,13.45,2038851.0,0.0,1.0,AMC
2018-11-18,13.5,13.54,13.44,13.49,13.49,2058978.0,0.0,1.0,AMC
2018-11-15,13.65,13.7,13.43,13.5,13.5,2896756.0,0.0,1.0,AMC
2018-11-14,13.59,13.675,13.55,13.65,13.65,3819277.0,0.0,1.0,AMC
2018-11-13,13.5,13.595,13.48,13.56,13.56,6997805.0,0.0,1.0,AMC
2018-11-12,13.64,13.66,13.51,13.56,13.56,3079618.0,0.0,1.0,AMC
2018-11-11,13.7,13.81,13.54,13.76,13.76,2951870.0,0.0,1.0,AMC
2018-11-08,13.45,13.72,13.43,13.65,13.65,3276946.0,0.0,1.0,AMC
2018-11-07,13.4,13.53,13.38,13.45,13.45,3300168.0,0.0,1.0,AMC
2018-11-06,13.28,13.48,13.27,13.44,13.44,3524430.0,0.0,1.0,AMC
2018-11-05,13.15,13.4,13.15,13.37,13.37,2224077.0,0.0,1.0,AMC
2018-11-04,13.11,13.245,13.11,13.16,13.16,1525531.0,0.0,1.0,AMC
2018-11-01,13.15,13.22,13.09,13.21,13.21,2515293.0,0.0,1.0,AMC
2018-10-31,13.28,13.29,13.11,13.19,13.19,4003014.0,0.0,1.0,AMC
2018-10-30,13.17,13.36,13.16,13.3,13.3,5537414.0,0.0,1.0,AMC
2018-10-29,13.05,13.14,12.985,13.1,13.1,2999149.0,0.0,1.0,AMC
2018-10-28,12.94,13.14,12.89,13.11,13.11,3293292.0,0.0,1.0,AMC
2018-10-25,12.8,13.03,12.8,12.92,12.92,5299038.0,0.0,1.0,AMC
2018-10-24,12.75,12.84,12.665,12.71,12.71,5415925.0,0.0,1.0,AMC
2018-10-23,12.9,12.95,12.81,12.85,12.85,4838774.0,0.0,1.0,AMC
2018-10-22,13.05,13.05,12.87,12.93,12.93,3251922.0,0.0,1.0,AMC
2018-10-21,13.15,13.18,13.06,13.06,13.06,3925475.0,0.0,1.0,AMC
2018-10-18,13.19,13.205,13.12,13.19,13.19,4034567.0,0.0,1.0,AMC
2018-10-17,13.28,13.34,13.1,13.22,13.22,3407909.0,0.0,1.0,AMC
