date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,23.12,23.68,22.7,23.57,23.57,1136038.0,0.0,1.0,ANN
2018-12-12,22.55,23.07,22.36,22.92,22.92,1180290.0,0.0,1.0,ANN
2018-12-11,22.4,22.7,22.305,22.62,22.62,685837.0,0.0,1.0,ANN
2018-12-10,22.12,22.37,21.79,22.3,22.3,509953.0,0.0,1.0,ANN
2018-12-09,22.26,22.45,21.66,21.85,21.85,718774.0,0.0,1.0,ANN
2018-12-06,22.33,22.565,21.96,22.49,22.49,513747.0,0.0,1.0,ANN
2018-12-05,22.86,22.86,22.265,22.48,22.48,451297.0,0.0,1.0,ANN
2018-12-04,22.63,22.76,22.445,22.76,22.76,680283.0,0.0,1.0,ANN
2018-12-03,23.15,23.22,22.51,22.94,22.94,949948.0,0.0,1.0,ANN
2018-12-02,23.0,23.69,22.94,23.51,23.51,706241.0,0.0,1.0,ANN
2018-11-29,23.07,23.18,22.7,22.81,22.81,812334.0,0.0,1.0,ANN
2018-11-28,23.17,23.24,22.86,23.14,23.14,572109.0,0.0,1.0,ANN
2018-11-27,23.04,23.28,22.81,23.06,23.06,534517.0,0.0,1.0,ANN
2018-11-26,22.96,23.13,22.82,23.01,23.01,488845.0,0.0,1.0,ANN
2018-11-25,22.72,22.93,22.53,22.64,22.64,371138.0,0.0,1.0,ANN
2018-11-22,22.86,22.94,22.59,22.81,22.81,291887.0,0.0,1.0,ANN
2018-11-21,22.75,23.01,22.705,22.92,22.92,307958.0,0.0,1.0,ANN
2018-11-20,22.51,22.72,22.49,22.71,22.71,462295.0,0.0,1.0,ANN
2018-11-19,23.16,23.17,22.63,22.8,22.8,665835.0,0.0,1.0,ANN
2018-11-18,23.01,23.3,22.99,23.08,23.08,446927.0,0.0,1.0,ANN
2018-11-15,23.19,23.49,22.97,23.25,23.25,594371.0,0.0,1.0,ANN
2018-11-14,22.96,23.07,22.89,23.06,23.06,439185.0,0.0,1.0,ANN
2018-11-13,23.4,23.43,22.79,22.92,22.92,558993.0,0.0,1.0,ANN
2018-11-12,23.39,23.44,22.99,23.12,23.12,675271.0,0.0,1.0,ANN
2018-11-11,23.7,23.85,23.57,23.7,23.7,518679.0,0.0,1.0,ANN
2018-11-08,23.0,23.72,23.0,23.5,23.5,698277.0,0.0,1.0,ANN
2018-11-07,23.0,23.28,22.91,23.04,23.04,580035.0,0.0,1.0,ANN
2018-11-06,22.8,22.96,22.5,22.92,22.92,419781.0,0.0,1.0,ANN
2018-11-05,23.13,23.13,22.76,22.88,22.88,377404.0,0.0,1.0,ANN
2018-11-04,23.05,23.49,22.76,23.02,23.02,1703422.0,0.0,1.0,ANN
2018-11-01,23.24,23.6,23.08,23.31,23.31,493168.0,0.0,1.0,ANN
2018-10-31,23.2,23.53,23.01,23.43,23.43,436884.0,0.0,1.0,ANN
2018-10-30,23.27,23.42,22.88,23.18,23.18,489693.0,0.0,1.0,ANN
2018-10-29,22.51,23.2,22.38,23.1,23.1,503703.0,0.0,1.0,ANN
2018-10-28,22.44,22.57,22.23,22.52,22.52,466431.0,0.0,1.0,ANN
2018-10-25,22.3,22.55,22.07,22.43,22.43,895739.0,0.0,1.0,ANN
2018-10-24,22.75,22.88,22.58,22.61,22.61,845900.0,0.0,1.0,ANN
2018-10-23,23.03,23.3,22.84,23.05,23.05,1275300.0,0.0,1.0,ANN
2018-10-22,22.43,23.02,22.25,22.95,22.95,1609403.0,0.0,1.0,ANN
2018-10-21,23.0,23.0,22.36,22.41,22.41,666490.0,0.0,1.0,ANN
2018-10-18,23.6,23.65,22.91,23.07,23.07,1018055.0,0.0,1.0,ANN
2018-10-17,23.24,24.0,23.24,23.75,23.75,829701.0,0.0,1.0,ANN
