date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.43,1.65,1.425,1.595,1.595,4394627.0,0.0,1.0,API
2018-12-12,1.455,1.485,1.455,1.47,1.47,552951.0,0.0,1.0,API
2018-12-11,1.455,1.48,1.455,1.47,1.47,760099.0,0.0,1.0,API
2018-12-10,1.495,1.495,1.455,1.46,1.46,1426629.0,0.0,1.0,API
2018-12-09,1.47,1.485,1.455,1.475,1.475,1724802.0,0.0,1.0,API
2018-12-06,1.45,1.49,1.45,1.48,1.48,1203244.0,0.0,1.0,API
2018-12-05,1.46,1.49,1.445,1.455,1.455,1496671.0,0.0,1.0,API
2018-12-04,1.46,1.465,1.43,1.455,1.455,1144192.0,0.0,1.0,API
2018-12-03,1.495,1.552,1.47,1.475,1.475,2063462.0,0.0,1.0,API
2018-12-02,1.475,1.51,1.475,1.505,1.505,1195545.0,0.0,1.0,API
2018-11-29,1.55,1.56,1.46,1.465,1.465,2373516.0,0.0,1.0,API
2018-11-28,1.5,1.555,1.485,1.555,1.555,1453324.0,0.0,1.0,API
2018-11-27,1.49,1.52,1.465,1.47,1.47,1037300.0,0.0,1.0,API
2018-11-26,1.51,1.53,1.485,1.49,1.49,1161462.0,0.0,1.0,API
2018-11-25,1.5,1.54,1.5,1.515,1.515,1531910.0,0.0,1.0,API
2018-11-22,1.52,1.54,1.495,1.535,1.535,747820.0,0.0,1.0,API
2018-11-21,1.485,1.525,1.485,1.52,1.52,667676.0,0.0,1.0,API
2018-11-20,1.48,1.52,1.465,1.5,1.5,1148886.0,0.0,1.0,API
2018-11-19,1.505,1.54,1.48,1.495,1.495,2053510.0,0.0,1.0,API
2018-11-18,1.525,1.56,1.52,1.535,1.535,1228016.0,0.0,1.0,API
2018-11-15,1.49,1.565,1.49,1.55,1.55,1148086.0,0.0,1.0,API
2018-11-14,1.49,1.525,1.487,1.51,1.51,1080910.0,0.0,1.0,API
2018-11-13,1.55,1.55,1.467,1.485,1.485,2193751.0,0.0,1.0,API
2018-11-12,1.57,1.57,1.53,1.54,1.54,1267460.0,0.0,1.0,API
2018-11-11,1.555,1.585,1.555,1.58,1.58,1573503.0,0.0,1.0,API
