date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,13.1,13.15,12.7,12.99,12.99,948021.0,0.0,1.0,APX
2018-12-12,13.04,13.37,12.92,13.26,13.26,384790.0,0.0,1.0,APX
2018-12-11,12.99,13.09,12.6,13.03,13.03,433321.0,0.0,1.0,APX
2018-12-10,13.06,13.25,12.76,12.83,12.83,625593.0,0.0,1.0,APX
2018-12-09,13.11,13.29,12.55,12.61,12.61,753758.0,0.0,1.0,APX
2018-12-06,13.14,13.59,13.14,13.44,13.44,614181.0,0.0,1.0,APX
2018-12-05,13.57,13.69,12.82,13.01,13.01,1058320.0,0.0,1.0,APX
2018-12-04,13.14,13.81,13.01,13.57,13.57,745340.0,0.0,1.0,APX
2018-12-03,14.3,14.44,13.76,13.83,13.83,706140.0,0.0,1.0,APX
2018-12-02,14.06,14.36,14.03,14.26,14.26,652131.0,0.0,1.0,APX
2018-11-29,13.64,13.9,13.45,13.9,13.9,1030931.0,0.0,1.0,APX
2018-11-28,13.9,14.1,13.55,13.76,13.76,1036893.0,0.0,1.0,APX
2018-11-27,13.36,13.68,13.35,13.58,13.58,1045961.0,0.0,1.0,APX
2018-11-26,13.2,13.84,13.19,13.34,13.34,1501119.0,0.0,1.0,APX
2018-11-25,12.28,13.06,12.28,12.71,12.71,1103661.0,0.0,1.0,APX
2018-11-22,12.52,12.61,12.2,12.27,12.27,293316.0,0.0,1.0,APX
2018-11-21,12.61,12.765,12.43,12.49,12.49,1112386.0,0.0,1.0,APX
2018-11-20,12.53,12.88,12.38,12.54,12.54,1092285.0,0.0,1.0,APX
2018-11-19,12.72,13.25,12.51,13.0,13.0,1365566.0,0.0,1.0,APX
2018-11-18,13.02,13.695,12.92,13.29,13.29,914909.0,0.0,1.0,APX
2018-11-15,12.8,13.16,12.51,12.98,12.98,1179575.0,0.0,1.0,APX
2018-11-14,11.14,13.27,11.08,12.46,12.46,1806225.0,0.0,1.0,APX
2018-11-13,11.36,11.53,11.07,11.17,11.17,501132.0,0.0,1.0,APX
2018-11-12,11.25,11.385,10.89,11.2,11.2,757587.0,0.0,1.0,APX
2018-11-11,11.59,11.84,11.23,11.7,11.7,677594.0,0.0,1.0,APX
2018-11-08,11.96,11.97,11.33,11.6,11.6,791100.0,0.0,1.0,APX
2018-11-07,11.37,11.93,11.09,11.87,11.87,825417.0,0.0,1.0,APX
2018-11-06,10.56,10.89,10.15,10.85,10.85,538204.0,0.0,1.0,APX
2018-11-05,10.82,10.87,10.27,10.44,10.44,406972.0,0.0,1.0,APX
2018-11-04,11.24,11.26,10.59,10.72,10.72,728311.0,0.0,1.0,APX
2018-11-01,10.89,11.34,10.8,11.32,11.32,828807.0,0.0,1.0,APX
2018-10-31,10.72,11.01,10.68,10.84,10.84,510410.0,0.0,1.0,APX
2018-10-30,10.8,11.08,10.37,10.64,10.64,866400.0,0.0,1.0,APX
2018-10-29,9.9,10.51,9.6,10.46,10.46,685185.0,0.0,1.0,APX
