date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.01,2.02,1.98,2.02,2.02,41787.0,0.0,1.0,ARQ
2018-12-12,1.95,2.02,1.945,2.02,2.02,83882.0,0.0,1.0,ARQ
2018-12-11,1.915,2.02,1.915,1.95,1.95,67446.0,0.0,1.0,ARQ
2018-12-10,2.0,2.01,1.915,1.915,1.915,51720.0,0.0,1.0,ARQ
2018-12-09,2.01,2.04,1.97,2.0,2.0,101395.0,0.0,1.0,ARQ
2018-12-06,2.13,2.13,2.02,2.03,2.03,10222.0,0.0,1.0,ARQ
2018-12-05,2.12,2.16,2.05,2.05,2.05,27570.0,0.0,1.0,ARQ
2018-12-04,2.03,2.12,2.0,2.12,2.12,106431.0,0.0,1.0,ARQ
2018-12-03,2.11,2.125,2.05,2.09,2.09,66196.0,0.0,1.0,ARQ
2018-12-02,2.19,2.2,2.13,2.16,2.16,61213.0,0.0,1.0,ARQ
2018-11-29,2.13,2.2,2.09,2.19,2.19,59778.0,0.0,1.0,ARQ
2018-11-28,2.15,2.15,2.12,2.12,2.12,45636.0,0.0,1.0,ARQ
2018-11-27,2.19,2.2,2.09,2.09,2.09,159689.0,0.0,1.0,ARQ
2018-11-26,2.21,2.21,2.16,2.2,2.2,57101.0,0.0,1.0,ARQ
2018-11-25,2.18,2.2,2.16,2.2,2.2,105859.0,0.0,1.0,ARQ
2018-11-22,2.19,2.21,2.15,2.2,2.2,14871.0,0.0,1.0,ARQ
2018-11-21,2.2,2.22,2.15,2.2,2.2,79051.0,0.0,1.0,ARQ
2018-11-20,2.2,2.2,2.14,2.2,2.2,73397.0,0.0,1.0,ARQ
2018-11-19,2.22,2.22,2.15,2.22,2.22,38685.0,0.0,1.0,ARQ
2018-11-18,2.16,2.23,2.15,2.22,2.22,43173.0,0.0,1.0,ARQ
2018-11-15,2.16,2.21,2.15,2.15,2.15,39423.0,0.0,1.0,ARQ
2018-11-14,2.17,2.21,2.14,2.21,2.21,45774.0,0.0,1.0,ARQ
2018-11-13,2.22,2.22,2.17,2.17,2.17,30212.0,0.0,1.0,ARQ
2018-11-12,2.29,2.29,2.2,2.24,2.24,103574.0,0.0,1.0,ARQ
2018-11-11,2.27,2.3,2.25,2.29,2.29,56799.0,0.0,1.0,ARQ
2018-11-08,2.29,2.29,2.26,2.27,2.27,319787.0,0.0,1.0,ARQ
2018-11-07,2.29,2.3,2.26,2.27,2.27,94428.0,0.0,1.0,ARQ
2018-11-06,2.28,2.28,2.21,2.26,2.26,66800.0,0.0,1.0,ARQ
2018-11-05,2.23,2.26,2.19,2.19,2.19,24355.0,0.0,1.0,ARQ
2018-11-04,2.18,2.26,2.18,2.26,2.26,32961.0,0.0,1.0,ARQ
2018-11-01,2.3,2.3,2.2,2.26,2.26,72977.0,0.0,1.0,ARQ
2018-10-31,2.21,2.285,2.21,2.28,2.28,32193.0,0.0,1.0,ARQ
2018-10-30,2.23,2.3,2.14,2.19,2.19,109617.0,0.0,1.0,ARQ
2018-10-29,2.22,2.22,2.13,2.17,2.17,203228.0,0.0,1.0,ARQ
2018-10-28,2.32,2.32,2.19,2.23,2.23,145751.0,0.0,1.0,ARQ
2018-10-25,2.25,2.33,2.24,2.32,2.32,118278.0,0.0,1.0,ARQ
2018-10-24,2.3,2.3,2.21,2.25,2.25,122413.0,0.0,1.0,ARQ
2018-10-23,2.31,2.36,2.29,2.3,2.3,96085.0,0.0,1.0,ARQ
2018-10-22,2.38,2.38,2.29,2.31,2.31,110016.0,0.0,1.0,ARQ
2018-10-21,2.41,2.43,2.26,2.36,2.36,88723.0,0.0,1.0,ARQ
2018-10-18,2.48,2.48,2.3,2.37,2.37,109862.0,0.0,1.0,ARQ
2018-10-17,2.48,2.51,2.34,2.48,2.48,156568.0,0.0,1.0,ARQ
2018-10-16,2.22,2.5,2.22,2.48,2.48,335189.0,0.0,1.0,ARQ
2018-10-15,2.25,2.26,2.2,2.2,2.2,76849.0,0.0,1.0,ARQ
2018-10-14,2.25,2.26,2.21,2.22,2.22,65554.0,0.0,1.0,ARQ
2018-10-11,2.16,2.29,2.16,2.22,2.22,228244.0,0.0,1.0,ARQ
2018-10-10,2.2,2.28,2.1,2.2,2.2,208879.0,0.0,1.0,ARQ
2018-10-09,2.4,2.46,2.23,2.23,2.23,111053.0,0.0,1.0,ARQ
2018-10-08,2.49,2.49,2.32,2.4,2.4,275819.0,0.0,1.0,ARQ
2018-10-07,2.37,2.51,2.36,2.44,2.44,82975.0,0.0,1.0,ARQ
2018-10-05,2.4,2.4,2.35,2.37,2.37,34230.0,0.0,1.0,ARQ
2018-10-04,2.45,2.52,2.38,2.4,2.4,80153.0,0.0,1.0,ARQ
2018-10-03,2.37,2.45,2.36,2.45,2.45,62692.0,0.0,1.0,ARQ
2018-10-02,2.42,2.42,2.36,2.37,2.37,191975.0,0.0,1.0,ARQ
2018-10-01,2.39,2.44,2.39,2.4,2.4,83660.0,0.0,1.0,ARQ
2018-09-28,2.44,2.45,2.34,2.36,2.36,141809.0,0.0,1.0,ARQ
2018-09-27,2.43,2.43,2.31,2.43,2.43,133854.0,0.0,1.0,ARQ
2018-09-26,2.42,2.42,2.39,2.41,2.41,202554.0,0.0,1.0,ARQ
2018-09-25,2.36,2.45,2.335,2.4,2.4,359411.0,0.0,1.0,ARQ
2018-09-24,2.13,2.35,2.13,2.34,2.34,257700.0,0.0,1.0,ARQ
2018-09-21,2.13,2.22,2.13,2.16,2.16,167520.0,0.0,1.0,ARQ
2018-09-20,2.2,2.23,2.11,2.13,2.13,307923.0,0.0,1.0,ARQ
2018-09-19,2.16,2.24,2.15,2.24,2.24,150086.0,0.0,1.0,ARQ
2018-09-18,2.18,2.18,2.14,2.16,2.16,85469.0,0.0,1.0,ARQ
2018-09-17,2.12,2.19,2.12,2.12,2.12,81062.0,0.0,1.0,ARQ
2018-09-14,2.19,2.19,2.11,2.11,2.11,106837.0,0.0,1.0,ARQ
2018-09-13,2.06,2.19,2.06,2.15,2.15,199057.0,0.0,1.0,ARQ
2018-09-12,2.08,2.1,2.05,2.07,2.07,116402.0,0.0,1.0,ARQ
2018-09-11,2.11,2.13,2.05,2.08,2.08,163716.0,0.0,1.0,ARQ
2018-09-10,2.09,2.15,2.07,2.14,2.14,125390.0,0.0,1.0,ARQ
2018-09-07,2.14,2.15,2.05,2.08,2.08,200486.0,0.0,1.0,ARQ
2018-09-06,2.21,2.22,2.11,2.14,2.14,141448.0,0.0,1.0,ARQ
2018-09-05,2.17,2.215,2.17,2.2,2.165,94669.0,0.0,1.0,ARQ
2018-09-04,2.17,2.2,2.12,2.17,2.1355,180118.0,0.0,1.0,ARQ
2018-09-03,2.21,2.25,2.12,2.17,2.1355,291795.0,0.0,1.0,ARQ
2018-08-31,2.07,2.21,2.05,2.2,2.165,295288.0,0.0,1.0,ARQ
2018-08-30,2.15,2.2,2.07,2.07,2.0371,317618.0,0.0,1.0,ARQ
2018-08-29,2.18,2.18,2.13,2.15,2.1158,705755.0,0.0,1.0,ARQ
2018-08-28,2.24,2.24,2.15,2.19,2.1552,425492.0,0.0,1.0,ARQ
2018-08-27,2.22,2.22,2.15,2.21,2.1748,423032.0,0.0,1.0,ARQ
2018-08-24,2.17,2.23,2.14,2.22,2.1847,1332776.0,0.0,1.0,ARQ
2018-08-23,2.6,2.6,2.105,2.15,2.1158,2959790.0,0.0,1.0,ARQ
2018-08-22,3.1,3.2,3.1,3.15,3.0999,100113.0,0.0,1.0,ARQ
2018-08-21,3.06,3.12,3.045,3.1,3.0507,294944.0,0.0,1.0,ARQ
2018-08-20,3.07,3.08,3.05,3.06,3.0113,75548.0,0.0,1.0,ARQ
2018-08-17,3.09,3.1,3.02,3.06,3.0113,70892.0,0.0,1.0,ARQ
2018-08-16,3.11,3.12,3.015,3.07,3.0212,192962.0,0.0,1.0,ARQ
2018-08-15,3.14,3.14,3.09,3.09,3.0408,74784.0,0.0,1.0,ARQ
2018-08-14,3.13,3.16,3.09,3.1,3.0507,56686.0,0.0,1.0,ARQ
2018-08-13,3.12,3.19,3.12,3.17,3.1196,89257.0,0.0,1.0,ARQ
2018-08-10,3.19,3.22,3.14,3.14,3.09,30108.0,0.0,1.0,ARQ
2018-08-09,3.18,3.22,3.1,3.21,3.1589,97359.0,0.0,1.0,ARQ
2018-08-08,3.1,3.18,3.09,3.18,3.1294,78385.0,0.0,1.0,ARQ
2018-08-07,3.2,3.22,3.1,3.12,3.0704,107902.0,0.0,1.0,ARQ
2018-08-06,3.23,3.23,3.17,3.2,3.1491,161245.0,0.0,1.0,ARQ
2018-08-03,3.2,3.24,3.18,3.24,3.1885,72560.0,0.0,1.0,ARQ
2018-08-02,3.21,3.22,3.13,3.2,3.1491,80963.0,0.0,1.0,ARQ
2018-08-01,3.1,3.23,3.1,3.2,3.1491,239335.0,0.0,1.0,ARQ
2018-07-31,3.12,3.18,3.02,3.02,2.972,125248.0,0.0,1.0,ARQ
2018-07-30,3.25,3.25,3.1,3.12,3.0704,167384.0,0.0,1.0,ARQ
2018-07-27,3.25,3.25,3.23,3.25,3.1983,34720.0,0.0,1.0,ARQ
2018-07-26,3.25,3.25,3.21,3.21,3.1589,79851.0,0.0,1.0,ARQ
2018-07-25,3.25,3.27,3.22,3.24,3.1885,79328.0,0.0,1.0,ARQ
2018-07-24,3.21,3.24,3.195,3.21,3.1589,84905.0,0.0,1.0,ARQ
2018-07-23,3.27,3.27,3.23,3.25,3.1983,79066.0,0.0,1.0,ARQ
2018-07-20,3.21,3.27,3.21,3.27,3.218,48276.0,0.0,1.0,ARQ
2018-07-19,3.19,3.21,3.15,3.2,3.1491,57539.0,0.0,1.0,ARQ
2018-07-18,3.15,3.19,3.11,3.17,3.1196,250775.0,0.0,1.0,ARQ
2018-07-17,3.08,3.15,3.07,3.13,3.0802,67772.0,0.0,1.0,ARQ
2018-07-16,3.26,3.26,3.0,3.1,3.0507,172377.0,0.0,1.0,ARQ
2018-07-13,3.2,3.3,3.19,3.25,3.1983,128604.0,0.0,1.0,ARQ
2018-07-12,3.2,3.26,3.2,3.21,3.1589,128053.0,0.0,1.0,ARQ
2018-07-11,3.26,3.27,3.2,3.23,3.1786,115068.0,0.0,1.0,ARQ
2018-07-10,3.28,3.3,3.23,3.26,3.2081,62975.0,0.0,1.0,ARQ
2018-07-09,3.32,3.32,3.24,3.28,3.2278,110770.0,0.0,1.0,ARQ
2018-07-06,3.32,3.32,3.24,3.32,3.2672,143580.0,0.0,1.0,ARQ
2018-07-05,3.35,3.35,3.275,3.31,3.2573,125118.0,0.0,1.0,ARQ
2018-07-04,3.25,3.37,3.22,3.31,3.2573,100817.0,0.0,1.0,ARQ
2018-07-03,3.26,3.26,3.2,3.22,3.1688,122740.0,0.0,1.0,ARQ
2018-07-02,3.38,3.38,3.26,3.26,3.2081,113638.0,0.0,1.0,ARQ
2018-06-29,3.36,3.39,3.3,3.3,3.2475,56411.0,0.0,1.0,ARQ
2018-06-28,3.36,3.39,3.3,3.31,3.2573,60952.0,0.0,1.0,ARQ
2018-06-27,3.35,3.39,3.31,3.34,3.2869,117949.0,0.0,1.0,ARQ
2018-06-26,3.38,3.4,3.3,3.33,3.277,107061.0,0.0,1.0,ARQ
2018-06-25,3.35,3.4,3.34,3.4,3.3459,156714.0,0.0,1.0,ARQ
2018-06-22,3.3,3.36,3.29,3.33,3.277,324600.0,0.0,1.0,ARQ
2018-06-21,3.28,3.37,3.28,3.34,3.2869,140393.0,0.0,1.0,ARQ
2018-06-20,3.27,3.36,3.27,3.31,3.2573,35779.0,0.0,1.0,ARQ
2018-06-19,3.37,3.4,3.26,3.26,3.2081,103392.0,0.0,1.0,ARQ
2018-06-18,3.42,3.48,3.36,3.38,3.3262,45746.0,0.0,1.0,ARQ
2018-06-15,3.42,3.48,3.37,3.41,3.3558,190918.0,0.0,1.0,ARQ
2018-06-14,3.41,3.47,3.34,3.47,3.4148,144186.0,0.0,1.0,ARQ
2018-06-13,3.38,3.45,3.35,3.45,3.3951,118286.0,0.0,1.0,ARQ
2018-06-12,3.33,3.38,3.27,3.33,3.277,70134.0,0.0,1.0,ARQ
2018-06-08,3.23,3.41,3.2,3.33,3.277,252721.0,0.0,1.0,ARQ
2018-06-07,3.24,3.29,3.21,3.25,3.1983,254673.0,0.0,1.0,ARQ
2018-06-06,3.27,3.3,3.17,3.24,3.1885,277976.0,0.0,1.0,ARQ
2018-06-05,3.34,3.34,3.2,3.29,3.2377,282967.0,0.0,1.0,ARQ
2018-06-04,3.35,3.37,3.3,3.33,3.277,168136.0,0.0,1.0,ARQ
2018-06-01,3.37,3.37,3.33,3.36,3.3065,48666.0,0.0,1.0,ARQ
2018-05-31,3.39,3.395,3.37,3.37,3.3164,88908.0,0.0,1.0,ARQ
2018-05-30,3.38,3.4,3.37,3.39,3.3361,99771.0,0.0,1.0,ARQ
2018-05-29,3.4,3.4,3.35,3.35,3.2967,43667.0,0.0,1.0,ARQ
2018-05-28,3.42,3.42,3.35,3.35,3.2967,78448.0,0.0,1.0,ARQ
2018-05-25,3.39,3.42,3.39,3.42,3.3656,24226.0,0.0,1.0,ARQ
2018-05-24,3.39,3.42,3.35,3.38,3.3262,115149.0,0.0,1.0,ARQ
2018-05-23,3.37,3.38,3.35,3.38,3.3262,111815.0,0.0,1.0,ARQ
2018-05-22,3.39,3.39,3.34,3.35,3.2967,99675.0,0.0,1.0,ARQ
2018-05-21,3.48,3.48,3.32,3.4,3.3459,182550.0,0.0,1.0,ARQ
2018-05-18,3.47,3.5,3.455,3.46,3.405,51559.0,0.0,1.0,ARQ
2018-05-17,3.46,3.5,3.45,3.47,3.4148,64704.0,0.0,1.0,ARQ
2018-05-16,3.45,3.505,3.45,3.45,3.3951,158881.0,0.0,1.0,ARQ
2018-05-15,3.5,3.5,3.45,3.45,3.3951,48131.0,0.0,1.0,ARQ
2018-05-14,3.54,3.54,3.46,3.49,3.4345,91572.0,0.0,1.0,ARQ
2018-05-11,3.59,3.59,3.52,3.52,3.464,84856.0,0.0,1.0,ARQ
2018-05-10,3.5,3.55,3.45,3.55,3.4935,194079.0,0.0,1.0,ARQ
2018-05-09,3.61,3.61,3.57,3.6,3.5427,99170.0,0.0,1.0,ARQ
2018-05-08,3.57,3.63,3.57,3.6,3.5427,216859.0,0.0,1.0,ARQ
2018-05-07,3.62,3.65,3.56,3.57,3.5132,149002.0,0.0,1.0,ARQ
2018-05-04,3.65,3.65,3.62,3.63,3.5722,66413.0,0.0,1.0,ARQ
2018-05-03,3.65,3.66,3.62,3.62,3.5624,118236.0,0.0,1.0,ARQ
2018-05-02,3.57,3.64,3.56,3.64,3.5821,48412.0,0.0,1.0,ARQ
2018-05-01,3.7,3.7,3.47,3.53,3.4738,150959.0,0.0,1.0,ARQ
2018-04-30,3.65,3.7,3.61,3.7,3.6411,107934.0,0.0,1.0,ARQ
2018-04-27,3.65,3.7,3.63,3.65,3.5919,252465.0,0.0,1.0,ARQ
2018-04-26,3.58,3.69,3.57,3.69,3.6313,255859.0,0.0,1.0,ARQ
2018-04-24,3.5,3.61,3.5,3.58,3.523,147659.0,0.0,1.0,ARQ
2018-04-23,3.48,3.55,3.47,3.5,3.4443,67858.0,0.0,1.0,ARQ
2018-04-20,3.51,3.51,3.41,3.46,3.405,76165.0,0.0,1.0,ARQ
2018-04-19,3.7,3.72,3.51,3.51,3.4542,259356.0,0.0,1.0,ARQ
2018-04-18,3.6,3.72,3.56,3.72,3.6608,261800.0,0.0,1.0,ARQ
2018-04-17,3.52,3.59,3.51,3.59,3.5329,118032.0,0.0,1.0,ARQ
2018-04-16,3.51,3.52,3.47,3.51,3.4542,90150.0,0.0,1.0,ARQ
2018-04-13,3.5,3.53,3.47,3.52,3.464,78579.0,0.0,1.0,ARQ
2018-04-12,3.51,3.51,3.49,3.5,3.4443,226714.0,0.0,1.0,ARQ
2018-04-11,3.54,3.54,3.48,3.52,3.464,147677.0,0.0,1.0,ARQ
2018-04-10,3.46,3.53,3.46,3.51,3.4542,106693.0,0.0,1.0,ARQ
2018-04-09,3.48,3.48,3.385,3.46,3.405,77171.0,0.0,1.0,ARQ
2018-04-06,3.38,3.5,3.38,3.5,3.4443,142279.0,0.0,1.0,ARQ
2018-04-05,3.36,3.42,3.25,3.37,3.3164,161864.0,0.0,1.0,ARQ
2018-04-04,3.45,3.58,3.42,3.42,3.2918,208544.0,0.0,1.0,ARQ
2018-04-03,3.36,3.43,3.36,3.43,3.3014,169301.0,0.0,1.0,ARQ
2018-03-28,3.35,3.38,3.34,3.37,3.2437,50541.0,0.0,1.0,ARQ
2018-03-27,3.37,3.38,3.32,3.37,3.2437,81342.0,0.0,1.0,ARQ
2018-03-26,3.35,3.38,3.33,3.36,3.234,71840.0,0.0,1.0,ARQ
2018-03-25,3.3,3.32,3.27,3.3,3.1763,1112465.0,0.0,1.0,ARQ
2018-03-22,3.29,3.35,3.28,3.29,3.1667,109860.0,0.0,1.0,ARQ
2018-03-21,3.3,3.3,3.29,3.29,3.1667,136754.0,0.0,1.0,ARQ
2018-03-20,3.32,3.33,3.28,3.3,3.1763,440465.0,0.0,1.0,ARQ
2018-03-19,3.3,3.3,3.26,3.28,3.157,127649.0,0.0,1.0,ARQ
2018-03-18,3.28,3.3,3.26,3.29,3.1667,151512.0,0.0,1.0,ARQ
2018-03-15,3.31,3.34,3.26,3.26,3.1378,1368835.0,0.0,1.0,ARQ
2018-03-14,3.31,3.31,3.28,3.28,3.157,322848.0,0.0,1.0,ARQ
2018-03-13,3.32,3.32,3.28,3.29,3.1667,603347.0,0.0,1.0,ARQ
2018-03-12,3.27,3.3,3.26,3.27,3.1474,253387.0,0.0,1.0,ARQ
2018-03-11,3.33,3.33,3.26,3.31,3.1859,987048.0,0.0,1.0,ARQ
2018-03-08,3.32,3.33,3.26,3.3,3.1763,192821.0,0.0,1.0,ARQ
2018-03-07,3.31,3.31,3.26,3.27,3.1474,181849.0,0.0,1.0,ARQ
2018-03-06,3.35,3.35,3.3,3.3,3.1763,59894.0,0.0,1.0,ARQ
2018-03-05,3.37,3.37,3.3,3.35,3.2244,353738.0,0.0,1.0,ARQ
2018-03-04,3.34,3.35,3.26,3.34,3.2148,256848.0,0.0,1.0,ARQ
2018-03-01,3.35,3.35,3.22,3.34,3.2148,299482.0,0.0,1.0,ARQ
2018-02-28,3.3,3.45,3.28,3.35,3.2244,385304.0,0.0,1.0,ARQ
2018-02-27,3.31,3.32,3.24,3.3,3.1763,109225.0,0.0,1.0,ARQ
2018-02-26,3.3,3.35,3.29,3.31,3.1859,479312.0,0.0,1.0,ARQ
2018-02-25,3.36,3.36,3.24,3.31,3.1859,360676.0,0.0,1.0,ARQ
2018-02-22,3.14,3.43,3.12,3.33,3.2052,493074.0,0.0,1.0,ARQ
2018-02-21,3.08,3.19,3.06,3.13,3.0127,1554062.0,0.0,1.0,ARQ
2018-02-20,3.23,3.23,2.7,3.0,2.8875,3700701.0,0.0,1.0,ARQ
2018-02-19,3.36,3.44,3.33,3.41,3.2822,228283.0,0.0,1.0,ARQ
2018-02-18,3.33,3.43,3.27,3.4,3.2725,182399.0,0.0,1.0,ARQ
2018-02-15,3.21,3.39,3.21,3.34,3.2148,123484.0,0.0,1.0,ARQ
