date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.85,1.87,1.85,1.855,1.855,1338095.0,0.0,1.0,ASB
2018-12-12,1.855,1.87,1.83,1.85,1.85,126029.0,0.0,1.0,ASB
2018-12-11,1.85,1.857,1.82,1.835,1.835,1113785.0,0.0,1.0,ASB
2018-12-10,1.86,1.88,1.825,1.84,1.84,399344.0,0.0,1.0,ASB
2018-12-09,1.85,1.905,1.85,1.87,1.87,167954.0,0.0,1.0,ASB
2018-12-06,1.832,1.875,1.81,1.86,1.86,606915.0,0.0,1.0,ASB
2018-12-05,1.89,1.897,1.822,1.83,1.83,742127.0,0.0,1.0,ASB
2018-12-04,1.87,1.915,1.855,1.905,1.905,380319.0,0.0,1.0,ASB
2018-12-03,1.915,2.0,1.89,1.95,1.95,1250459.0,0.0,1.0,ASB
2018-12-02,1.89,1.925,1.84,1.885,1.885,603365.0,0.0,1.0,ASB
2018-11-29,1.8,1.89,1.762,1.855,1.855,5545263.0,0.0,1.0,ASB
2018-11-28,1.81,1.867,1.81,1.82,1.82,390917.0,0.0,1.0,ASB
2018-11-27,1.855,1.8675,1.805,1.825,1.825,752477.0,0.0,1.0,ASB
2018-11-26,1.9,1.9,1.805,1.86,1.86,1005373.0,0.0,1.0,ASB
2018-11-25,1.865,1.9,1.82,1.88,1.88,1326921.0,0.0,1.0,ASB
2018-11-22,1.87,1.88,1.835,1.87,1.87,422928.0,0.0,1.0,ASB
2018-11-21,1.88,1.895,1.865,1.87,1.87,233510.0,0.0,1.0,ASB
2018-11-20,1.865,1.875,1.835,1.875,1.875,825594.0,0.0,1.0,ASB
2018-11-19,1.86,1.895,1.835,1.89,1.89,364740.0,0.0,1.0,ASB
2018-11-18,1.895,1.8975,1.85,1.87,1.87,265290.0,0.0,1.0,ASB
2018-11-15,1.885,1.9,1.845,1.895,1.895,336366.0,0.0,1.0,ASB
2018-11-14,1.885,1.895,1.84,1.865,1.865,597081.0,0.0,1.0,ASB
2018-11-13,1.865,1.92,1.845,1.86,1.86,2229827.0,0.0,1.0,ASB
2018-11-12,1.855,1.9,1.855,1.885,1.885,224401.0,0.0,1.0,ASB
2018-11-11,1.89,1.93,1.865,1.885,1.885,513395.0,0.0,1.0,ASB
2018-11-08,1.86,1.895,1.835,1.875,1.875,499417.0,0.0,1.0,ASB
2018-11-07,1.84,1.86,1.815,1.855,1.855,179248.0,0.0,1.0,ASB
2018-11-06,1.82,1.86,1.81,1.86,1.86,1357595.0,0.0,1.0,ASB
2018-11-05,1.88,1.882,1.805,1.82,1.82,141077.0,0.0,1.0,ASB
2018-11-04,1.805,1.88,1.805,1.85,1.85,154003.0,0.0,1.0,ASB
2018-11-01,1.82,1.86,1.78,1.845,1.845,420518.0,0.0,1.0,ASB
2018-10-31,1.8,1.82,1.775,1.82,1.82,637512.0,0.0,1.0,ASB
2018-10-30,1.785,1.8,1.77,1.79,1.79,1188138.0,0.0,1.0,ASB
2018-10-29,1.74,1.775,1.725,1.75,1.75,156347.0,0.0,1.0,ASB
2018-10-28,1.765,1.797,1.74,1.77,1.77,260832.0,0.0,1.0,ASB
2018-10-25,1.71,1.79,1.71,1.77,1.77,1055875.0,0.0,1.0,ASB
2018-10-24,1.7,1.76,1.55,1.71,1.71,460089.0,0.0,1.0,ASB
2018-10-23,1.805,1.81,1.76,1.78,1.78,189094.0,0.0,1.0,ASB
2018-10-22,1.8,1.8,1.75,1.78,1.78,198208.0,0.0,1.0,ASB
2018-10-21,1.79,1.83,1.77,1.8,1.8,147557.0,0.0,1.0,ASB
2018-10-18,1.78,1.84,1.75,1.8,1.8,663925.0,0.0,1.0,ASB
2018-10-17,1.85,1.85,1.785,1.8,1.8,321426.0,0.0,1.0,ASB
2018-10-16,1.865,1.87,1.84,1.85,1.85,32989.0,0.0,1.0,ASB
2018-10-15,1.93,1.93,1.83,1.855,1.855,177735.0,0.0,1.0,ASB
2018-10-14,1.84,1.8825,1.84,1.865,1.865,225925.0,0.0,1.0,ASB
2018-10-11,1.84,1.88,1.835,1.84,1.84,78399.0,0.0,1.0,ASB
2018-10-10,1.87,1.905,1.84,1.84,1.84,144820.0,0.0,1.0,ASB
2018-10-09,1.945,1.97,1.93,1.95,1.95,299403.0,0.0,1.0,ASB
2018-10-08,1.95,1.95,1.885,1.92,1.92,76271.0,0.0,1.0,ASB
2018-10-07,1.995,1.995,1.925,1.955,1.955,267323.0,0.0,1.0,ASB
2018-10-05,2.01,2.01,1.975,1.99,1.99,113481.0,0.0,1.0,ASB
2018-10-04,1.99,2.01,1.965,1.99,1.99,493349.0,0.0,1.0,ASB
2018-10-03,1.965,1.99,1.955,1.98,1.98,58087.0,0.0,1.0,ASB
2018-10-02,2.0,2.0,1.97,1.99,1.99,189659.0,0.0,1.0,ASB
2018-10-01,1.97,1.99,1.94,1.99,1.99,141154.0,0.0,1.0,ASB
2018-09-28,1.935,1.97,1.925,1.97,1.97,206645.0,0.0,1.0,ASB
2018-09-27,1.92,1.96,1.892,1.96,1.96,333574.0,0.0,1.0,ASB
2018-09-26,1.98,1.98,1.905,1.925,1.925,98933.0,0.0,1.0,ASB
2018-09-25,1.98,1.99,1.93,1.94,1.94,326164.0,0.0,1.0,ASB
2018-09-24,2.05,2.055,1.935,1.98,1.98,339870.0,0.0,1.0,ASB
2018-09-21,2.01,2.08,1.987,2.04,2.04,759429.0,0.0,1.0,ASB
2018-09-20,1.9,2.02,1.9,2.0,2.0,702551.0,0.0,1.0,ASB
2018-09-19,1.89,1.97,1.89,1.91,1.91,176632.0,0.0,1.0,ASB
2018-09-18,1.96,1.96,1.917,1.92,1.92,182088.0,0.0,1.0,ASB
2018-09-17,1.975,1.99,1.94,1.98,1.98,195745.0,0.0,1.0,ASB
2018-09-14,1.82,1.91,1.82,1.91,1.91,212508.0,0.0,1.0,ASB
2018-09-13,1.91,1.94,1.86,1.9,1.87,247185.0,0.0,1.0,ASB
2018-09-12,1.895,1.91,1.85,1.91,1.8798,270575.0,0.0,1.0,ASB
2018-09-11,1.9,1.9,1.875,1.875,1.8454,171395.0,0.0,1.0,ASB
2018-09-10,1.935,1.94,1.85,1.89,1.8602,74854.0,0.0,1.0,ASB
2018-09-07,1.87,1.925,1.855,1.9,1.87,221455.0,0.0,1.0,ASB
2018-09-06,1.955,1.957,1.86,1.86,1.8306,169644.0,0.0,1.0,ASB
2018-09-05,1.91,1.96,1.91,1.95,1.9192,195097.0,0.0,1.0,ASB
2018-09-04,1.95,1.98,1.947,1.95,1.9192,293797.0,0.0,1.0,ASB
2018-09-03,1.9,1.995,1.9,1.95,1.9192,2763919.0,0.0,1.0,ASB
2018-08-31,1.78,1.91,1.755,1.9,1.87,759973.0,0.0,1.0,ASB
2018-08-30,1.755,1.765,1.725,1.765,1.7371,269726.0,0.0,1.0,ASB
2018-08-29,1.73,1.76,1.73,1.745,1.7174,248964.0,0.0,1.0,ASB
2018-08-28,1.755,1.76,1.73,1.74,1.7125,420670.0,0.0,1.0,ASB
2018-08-27,1.72,1.765,1.72,1.755,1.7273,210881.0,0.0,1.0,ASB
2018-08-24,1.75,1.76,1.72,1.755,1.7273,1029454.0,0.0,1.0,ASB
2018-08-23,1.75,1.755,1.72,1.75,1.7224,79719.0,0.0,1.0,ASB
2018-08-22,1.76,1.76,1.75,1.75,1.7224,60890.0,0.0,1.0,ASB
2018-08-21,1.75,1.76,1.745,1.76,1.7322,93344.0,0.0,1.0,ASB
2018-08-20,1.755,1.755,1.73,1.75,1.7224,183226.0,0.0,1.0,ASB
2018-08-17,1.72,1.76,1.72,1.755,1.7273,267047.0,0.0,1.0,ASB
2018-08-16,1.755,1.76,1.71,1.72,1.6928,41434.0,0.0,1.0,ASB
2018-08-15,1.71,1.78,1.71,1.78,1.7519,703220.0,0.0,1.0,ASB
2018-08-14,1.725,1.775,1.71,1.775,1.747,113114.0,0.0,1.0,ASB
2018-08-13,1.73,1.73,1.705,1.72,1.6928,105461.0,0.0,1.0,ASB
2018-08-10,1.695,1.72,1.685,1.72,1.6928,33258.0,0.0,1.0,ASB
2018-08-09,1.66,1.715,1.655,1.7,1.6732,73821.0,0.0,1.0,ASB
2018-08-08,1.655,1.705,1.65,1.65,1.6239,219255.0,0.0,1.0,ASB
2018-08-07,1.715,1.715,1.655,1.705,1.6781,122384.0,0.0,1.0,ASB
2018-08-06,1.66,1.73,1.655,1.655,1.6289,69831.0,0.0,1.0,ASB
