date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.57,1.59,1.57,1.585,1.585,3796854.0,0.0,1.0,AST
2018-12-12,1.605,1.615,1.567,1.57,1.57,3577403.0,0.0,1.0,AST
2018-12-11,1.59,1.62,1.59,1.62,1.62,3931456.0,0.0,1.0,AST
2018-12-10,1.62,1.625,1.575,1.59,1.59,4938757.0,0.0,1.0,AST
2018-12-09,1.58,1.605,1.565,1.585,1.585,5262561.0,0.0,1.0,AST
2018-12-06,1.59,1.622,1.585,1.59,1.59,5248556.0,0.0,1.0,AST
2018-12-05,1.57,1.595,1.56,1.59,1.59,5156526.0,0.0,1.0,AST
2018-12-04,1.555,1.57,1.542,1.56,1.56,5888828.0,0.0,1.0,AST
2018-12-03,1.54,1.57,1.54,1.565,1.565,5712232.0,0.0,1.0,AST
2018-12-02,1.565,1.575,1.545,1.56,1.56,5611199.0,0.0,1.0,AST
2018-11-29,1.585,1.59,1.545,1.545,1.545,20280881.0,0.0,1.0,AST
2018-11-28,1.6,1.61,1.582,1.585,1.585,4235744.0,0.0,1.0,AST
2018-11-27,1.6,1.615,1.587,1.59,1.59,5540165.0,0.0,1.0,AST
2018-11-26,1.61,1.615,1.595,1.595,1.595,4325734.0,0.0,1.0,AST
2018-11-25,1.63,1.63,1.61,1.615,1.615,3518063.0,0.0,1.0,AST
2018-11-22,1.62,1.64,1.615,1.635,1.635,3762744.0,0.0,1.0,AST
2018-11-21,1.64,1.64,1.615,1.625,1.625,5538844.0,0.0,1.0,AST
2018-11-20,1.595,1.63,1.58,1.62,1.62,5763152.0,0.0,1.0,AST
2018-11-19,1.595,1.605,1.595,1.605,1.605,3376297.0,0.0,1.0,AST
2018-11-18,1.61,1.625,1.59,1.6,1.6,4478824.0,0.0,1.0,AST
2018-11-15,1.675,1.69,1.66,1.665,1.6164,2669799.0,0.0,1.0,AST
2018-11-14,1.71,1.72,1.667,1.685,1.6358,6482725.0,0.0,1.0,AST
