date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,4.45,4.47,4.41,4.44,4.44,7455726.0,0.0,1.0,AZJ
2018-12-12,4.45,4.47,4.43,4.44,4.44,6357305.0,0.0,1.0,AZJ
2018-12-11,4.38,4.46,4.37,4.43,4.43,13887336.0,0.0,1.0,AZJ
2018-12-10,4.37,4.39,4.36,4.37,4.37,9520581.0,0.0,1.0,AZJ
2018-12-09,4.39,4.45,4.36,4.36,4.36,7551772.0,0.0,1.0,AZJ
2018-12-06,4.44,4.475,4.385,4.42,4.42,14560840.0,0.0,1.0,AZJ
2018-12-05,4.3,4.36,4.27,4.36,4.36,8597309.0,0.0,1.0,AZJ
2018-12-04,4.22,4.31,4.22,4.29,4.29,6502476.0,0.0,1.0,AZJ
2018-12-03,4.28,4.32,4.275,4.29,4.29,5065264.0,0.0,1.0,AZJ
2018-12-02,4.3,4.32,4.27,4.29,4.29,12055621.0,0.0,1.0,AZJ
2018-11-29,4.25,4.26,4.19,4.21,4.21,12917367.0,0.0,1.0,AZJ
2018-11-28,4.24,4.28,4.21,4.25,4.25,5357528.0,0.0,1.0,AZJ
2018-11-27,4.18,4.23,4.18,4.21,4.21,6528001.0,0.0,1.0,AZJ
2018-11-26,4.23,4.25,4.18,4.21,4.21,6814020.0,0.0,1.0,AZJ
2018-11-25,4.14,4.22,4.12,4.22,4.22,3796993.0,0.0,1.0,AZJ
2018-11-22,4.13,4.19,4.12,4.17,4.17,2570209.0,0.0,1.0,AZJ
2018-11-21,4.14,4.175,4.1,4.12,4.12,5406530.0,0.0,1.0,AZJ
2018-11-20,4.09,4.18,4.09,4.16,4.16,3150205.0,0.0,1.0,AZJ
2018-11-19,4.13,4.15,4.09,4.14,4.14,4630534.0,0.0,1.0,AZJ
2018-11-18,4.13,4.17,4.09,4.14,4.14,3988982.0,0.0,1.0,AZJ
2018-11-15,4.23,4.23,4.165,4.17,4.17,2380017.0,0.0,1.0,AZJ
2018-11-14,4.21,4.24,4.17,4.22,4.22,3325756.0,0.0,1.0,AZJ
2018-11-13,4.25,4.28,4.195,4.2,4.2,3636448.0,0.0,1.0,AZJ
2018-11-12,4.27,4.29,4.22,4.24,4.24,3805289.0,0.0,1.0,AZJ
2018-11-11,4.24,4.3,4.24,4.3,4.3,2398208.0,0.0,1.0,AZJ
2018-11-08,4.2,4.27,4.2,4.27,4.27,4409704.0,0.0,1.0,AZJ
2018-11-07,4.21,4.24,4.19,4.23,4.23,5186070.0,0.0,1.0,AZJ
2018-11-06,4.21,4.24,4.185,4.2,4.2,3406031.0,0.0,1.0,AZJ
2018-11-05,4.14,4.23,4.14,4.21,4.21,2482271.0,0.0,1.0,AZJ
2018-11-04,4.13,4.18,4.13,4.16,4.16,2822996.0,0.0,1.0,AZJ
2018-11-01,4.14,4.19,4.13,4.16,4.16,4303970.0,0.0,1.0,AZJ
2018-10-31,4.19,4.23,4.15,4.17,4.17,3865638.0,0.0,1.0,AZJ
2018-10-30,4.2,4.23,4.18,4.2,4.2,5633085.0,0.0,1.0,AZJ
2018-10-29,4.12,4.19,4.11,4.19,4.19,5190604.0,0.0,1.0,AZJ
2018-10-28,4.07,4.135,4.01,4.11,4.11,3142147.0,0.0,1.0,AZJ
2018-10-25,4.1,4.1,4.01,4.07,4.07,4674246.0,0.0,1.0,AZJ
2018-10-24,4.18,4.21,4.05,4.05,4.05,5261325.0,0.0,1.0,AZJ
2018-10-23,4.2,4.26,4.19,4.23,4.23,10933364.0,0.0,1.0,AZJ
2018-10-22,4.2,4.22,4.17,4.2,4.2,5704434.0,0.0,1.0,AZJ
2018-10-21,4.13,4.18,4.13,4.18,4.18,3127724.0,0.0,1.0,AZJ
2018-10-18,4.12,4.16,4.08,4.16,4.16,5353457.0,0.0,1.0,AZJ
2018-10-17,4.05,4.1,4.04,4.1,4.1,5792297.0,0.0,1.0,AZJ
2018-10-16,3.94,4.04,3.94,4.04,4.04,5269555.0,0.0,1.0,AZJ
2018-10-15,3.94,4.0,3.92,3.96,3.96,5211562.0,0.0,1.0,AZJ
2018-10-14,3.97,4.01,3.9,3.95,3.95,6152165.0,0.0,1.0,AZJ
2018-10-11,4.0,4.03,3.97,4.01,4.01,7398769.0,0.0,1.0,AZJ
2018-10-10,4.05,4.09,4.02,4.02,4.02,7912114.0,0.0,1.0,AZJ
2018-10-09,4.08,4.115,4.07,4.09,4.09,6659448.0,0.0,1.0,AZJ
2018-10-08,4.1,4.13,4.05,4.09,4.09,4383203.0,0.0,1.0,AZJ
2018-10-07,4.1,4.175,4.09,4.1,4.1,3290534.0,0.0,1.0,AZJ
2018-10-05,4.13,4.18,4.13,4.14,4.14,3195633.0,0.0,1.0,AZJ
2018-10-04,4.12,4.18,4.12,4.15,4.15,3984153.0,0.0,1.0,AZJ
2018-10-03,4.1,4.155,4.09,4.14,4.14,2061675.0,0.0,1.0,AZJ
2018-10-02,4.12,4.15,4.08,4.1,4.1,6947169.0,0.0,1.0,AZJ
2018-10-01,4.08,4.12,4.07,4.11,4.11,2424759.0,0.0,1.0,AZJ
2018-09-28,4.11,4.16,4.1,4.11,4.11,6325467.0,0.0,1.0,AZJ
2018-09-27,4.1,4.15,4.09,4.09,4.09,18786889.0,0.0,1.0,AZJ
2018-09-26,4.16,4.18,4.12,4.13,4.13,4740033.0,0.0,1.0,AZJ
2018-09-25,4.15,4.19,4.145,4.16,4.16,4672758.0,0.0,1.0,AZJ
2018-09-24,4.12,4.16,4.095,4.15,4.15,6811600.0,0.0,1.0,AZJ
2018-09-21,4.08,4.17,4.05,4.11,4.11,17905080.0,0.0,1.0,AZJ
2018-09-20,4.26,4.27,4.23,4.24,4.24,12409493.0,0.0,1.0,AZJ
2018-09-19,4.25,4.33,4.24,4.28,4.28,9780892.0,0.0,1.0,AZJ
2018-09-18,4.22,4.28,4.215,4.26,4.26,3933448.0,0.0,1.0,AZJ
2018-09-17,4.2,4.24,4.19,4.21,4.21,1995695.0,0.0,1.0,AZJ
2018-09-14,4.2,4.22,4.185,4.2,4.2,3156473.0,0.0,1.0,AZJ
2018-09-13,4.2,4.225,4.18,4.2,4.2,4091718.0,0.0,1.0,AZJ
2018-09-12,4.17,4.28,4.15,4.23,4.23,8255815.0,0.0,1.0,AZJ
2018-09-11,4.2,4.22,4.19,4.2,4.2,2912320.0,0.0,1.0,AZJ
2018-09-10,4.15,4.205,4.15,4.2,4.2,3182145.0,0.0,1.0,AZJ
2018-09-07,4.15,4.17,4.125,4.17,4.17,4308612.0,0.0,1.0,AZJ
2018-09-06,4.21,4.215,4.165,4.18,4.18,4282899.0,0.0,1.0,AZJ
2018-09-05,4.22,4.24,4.2,4.22,4.22,4460810.0,0.0,1.0,AZJ
2018-09-04,4.22,4.235,4.205,4.22,4.22,2387594.0,0.0,1.0,AZJ
2018-09-03,4.25,4.255,4.18,4.23,4.23,3147602.0,0.0,1.0,AZJ
2018-08-31,4.21,4.26,4.2,4.2,4.2,9210732.0,0.0,1.0,AZJ
2018-08-30,4.28,4.28,4.2,4.2,4.2,3874713.0,0.0,1.0,AZJ
2018-08-29,4.22,4.29,4.2,4.27,4.27,4102302.0,0.0,1.0,AZJ
2018-08-28,4.19,4.265,4.15,4.24,4.24,11249676.0,0.0,1.0,AZJ
2018-08-27,4.28,4.3,4.19,4.2,4.2,3425062.0,0.0,1.0,AZJ
2018-08-24,4.43,4.465,4.37,4.38,4.249,5404356.0,0.0,1.0,AZJ
2018-08-23,4.42,4.45,4.37,4.4,4.2684,5096245.0,0.0,1.0,AZJ
2018-08-22,4.4,4.435,4.39,4.41,4.2781,5407637.0,0.0,1.0,AZJ
2018-08-21,4.45,4.45,4.39,4.4,4.2684,11248108.0,0.0,1.0,AZJ
2018-08-20,4.5,4.5,4.41,4.42,4.2878,3069904.0,0.0,1.0,AZJ
2018-08-17,4.5,4.52,4.44,4.45,4.3169,3264175.0,0.0,1.0,AZJ
2018-08-16,4.57,4.58,4.47,4.5,4.3654,4180088.0,0.0,1.0,AZJ
2018-08-15,4.47,4.49,4.4,4.48,4.346,3417026.0,0.0,1.0,AZJ
2018-08-14,4.4,4.505,4.395,4.48,4.346,7111569.0,0.0,1.0,AZJ
2018-08-13,4.4,4.49,4.37,4.48,4.346,3284190.0,0.0,1.0,AZJ
2018-08-10,4.49,4.49,4.395,4.4,4.2684,2284724.0,0.0,1.0,AZJ
2018-08-09,4.45,4.48,4.42,4.46,4.3266,1961259.0,0.0,1.0,AZJ
2018-08-08,4.47,4.52,4.41,4.43,4.2975,4956891.0,0.0,1.0,AZJ
2018-08-07,4.55,4.55,4.47,4.49,4.3557,3208674.0,0.0,1.0,AZJ
