date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,6.33,6.39,6.175,6.19,6.19,959141.0,0.0,1.0,BAP
2018-12-12,6.24,6.38,6.24,6.33,6.33,1231378.0,0.0,1.0,BAP
2018-12-11,6.15,6.25,6.09,6.22,6.22,1205456.0,0.0,1.0,BAP
2018-12-10,6.2,6.21,6.12,6.18,6.18,651097.0,0.0,1.0,BAP
2018-12-09,6.33,6.33,6.12,6.17,6.17,700504.0,0.0,1.0,BAP
2018-12-06,6.36,6.43,6.28,6.38,6.38,610020.0,0.0,1.0,BAP
2018-12-05,6.43,6.55,6.28,6.31,6.31,1669534.0,0.0,1.0,BAP
2018-12-04,6.27,6.35,6.25,6.34,6.34,1313954.0,0.0,1.0,BAP
2018-12-03,6.4,6.54,6.39,6.44,6.44,1782666.0,0.0,1.0,BAP
2018-12-02,6.35,6.45,6.28,6.41,6.41,1044342.0,0.0,1.0,BAP
2018-11-29,6.44,6.44,6.08,6.14,6.14,4489124.0,0.0,1.0,BAP
2018-11-28,6.16,6.45,6.085,6.16,6.16,1188123.0,0.0,1.0,BAP
2018-11-27,6.1,6.18,6.01,6.04,6.04,1284767.0,0.0,1.0,BAP
2018-11-26,6.03,6.16,5.99,6.07,6.07,1113129.0,0.0,1.0,BAP
2018-11-25,6.01,6.07,5.92,5.96,5.96,1773306.0,0.0,1.0,BAP
2018-11-22,6.0,6.09,6.0,6.04,6.04,1411701.0,0.0,1.0,BAP
2018-11-21,5.93,6.11,5.93,6.06,6.06,2916169.0,0.0,1.0,BAP
2018-11-20,5.98,5.98,5.835,5.91,5.91,1539931.0,0.0,1.0,BAP
2018-11-19,6.15,6.15,6.01,6.05,6.05,1267749.0,0.0,1.0,BAP
2018-11-18,6.29,6.3,6.13,6.18,6.18,1457696.0,0.0,1.0,BAP
2018-11-15,6.3,6.4,6.23,6.28,6.28,1270812.0,0.0,1.0,BAP
2018-11-14,6.4,6.51,6.21,6.29,6.29,2251551.0,0.0,1.0,BAP
2018-11-13,6.71,6.76,6.43,6.45,6.45,2248355.0,0.0,1.0,BAP
2018-11-12,7.0,7.0,6.69,6.71,6.71,2150764.0,0.0,1.0,BAP
2018-11-11,7.0,7.14,6.97,7.06,7.06,591955.0,0.0,1.0,BAP
2018-11-08,6.93,6.98,6.9,6.98,6.98,431077.0,0.0,1.0,BAP
2018-11-07,6.93,6.99,6.89,6.96,6.96,642001.0,0.0,1.0,BAP
2018-11-06,6.83,6.89,6.79,6.88,6.88,759461.0,0.0,1.0,BAP
2018-11-05,6.79,6.86,6.75,6.85,6.85,310738.0,0.0,1.0,BAP
2018-11-04,6.78,6.97,6.78,6.81,6.81,413020.0,0.0,1.0,BAP
2018-11-01,6.77,6.9,6.74,6.88,6.88,858888.0,0.0,1.0,BAP
2018-10-31,6.85,6.95,6.76,6.9,6.9,1892287.0,0.0,1.0,BAP
2018-10-30,6.79,6.85,6.73,6.83,6.83,1154649.0,0.0,1.0,BAP
2018-10-29,6.43,6.77,6.42,6.76,6.76,1343043.0,0.0,1.0,BAP
2018-10-28,6.28,6.55,6.21,6.53,6.53,1342999.0,0.0,1.0,BAP
2018-10-25,6.37,6.46,6.25,6.29,6.29,1457658.0,0.0,1.0,BAP
2018-10-24,6.42,6.6,5.78,6.34,6.34,2527607.0,0.0,1.0,BAP
2018-10-23,6.62,6.85,6.61,6.64,6.64,1647033.0,0.0,1.0,BAP
2018-10-22,6.95,6.97,6.71,6.72,6.72,1575117.0,0.0,1.0,BAP
2018-10-21,7.03,7.07,6.96,6.98,6.98,396867.0,0.0,1.0,BAP
2018-10-18,7.03,7.09,7.03,7.05,7.05,529677.0,0.0,1.0,BAP
2018-10-17,7.05,7.16,7.05,7.1,7.1,735809.0,0.0,1.0,BAP
2018-10-16,7.1,7.2,7.09,7.13,7.13,1455093.0,0.0,1.0,BAP
2018-10-15,7.08,7.13,7.005,7.13,7.13,1125828.0,0.0,1.0,BAP
2018-10-14,7.05,7.15,7.035,7.09,7.09,744774.0,0.0,1.0,BAP
2018-10-11,7.0,7.21,6.93,7.17,7.17,922418.0,0.0,1.0,BAP
2018-10-10,7.01,7.13,6.81,7.07,7.07,1427898.0,0.0,1.0,BAP
2018-10-09,7.31,7.38,7.27,7.3,7.3,1246797.0,0.0,1.0,BAP
2018-10-08,7.5,7.53,7.36,7.37,7.37,616396.0,0.0,1.0,BAP
2018-10-07,7.53,7.59,7.51,7.51,7.51,435003.0,0.0,1.0,BAP
2018-10-05,7.6,7.65,7.54,7.56,7.56,438950.0,0.0,1.0,BAP
2018-10-04,7.62,7.75,7.59,7.6,7.6,971555.0,0.0,1.0,BAP
2018-10-03,7.55,7.63,7.45,7.61,7.61,627540.0,0.0,1.0,BAP
2018-10-02,7.72,7.72,7.52,7.55,7.55,864064.0,0.0,1.0,BAP
2018-10-01,7.65,7.675,7.58,7.65,7.65,713827.0,0.0,1.0,BAP
2018-09-28,7.57,7.74,7.56,7.66,7.66,1351967.0,0.0,1.0,BAP
2018-09-27,7.53,7.6,7.49,7.57,7.57,611832.0,0.0,1.0,BAP
2018-09-26,7.4,7.54,7.4,7.48,7.48,1031605.0,0.0,1.0,BAP
2018-09-25,7.39,7.41,7.35,7.36,7.36,519314.0,0.0,1.0,BAP
2018-09-24,7.35,7.4,7.24,7.39,7.39,512514.0,0.0,1.0,BAP
2018-09-21,7.32,7.39,7.26,7.33,7.33,832403.0,0.0,1.0,BAP
2018-09-20,7.35,7.39,7.24,7.31,7.31,1044222.0,0.0,1.0,BAP
2018-09-19,7.38,7.43,7.36,7.38,7.38,1340258.0,0.0,1.0,BAP
2018-09-18,7.4,7.45,7.29,7.33,7.33,1350116.0,0.0,1.0,BAP
2018-09-17,7.42,7.52,7.37,7.42,7.42,1329732.0,0.0,1.0,BAP
2018-09-14,7.39,7.49,7.39,7.43,7.43,900326.0,0.0,1.0,BAP
2018-09-13,7.45,7.49,7.37,7.4,7.4,671301.0,0.0,1.0,BAP
2018-09-12,7.38,7.5,7.3,7.42,7.42,1307594.0,0.0,1.0,BAP
2018-09-11,7.34,7.685,7.34,7.42,7.42,1398136.0,0.0,1.0,BAP
2018-09-10,7.2,7.275,7.095,7.26,7.26,1075337.0,0.0,1.0,BAP
2018-09-07,7.21,7.25,7.05,7.25,7.25,1242661.0,0.0,1.0,BAP
2018-09-06,7.31,7.35,7.21,7.27,7.27,1593510.0,0.0,1.0,BAP
2018-09-05,7.62,7.62,7.315,7.35,7.35,998722.0,0.0,1.0,BAP
2018-09-04,7.6,7.63,7.435,7.62,7.62,1080257.0,0.0,1.0,BAP
2018-09-03,7.53,7.85,7.5,7.58,7.58,2036883.0,0.0,1.0,BAP
2018-08-31,7.29,7.47,7.27,7.44,7.44,2008902.0,0.0,1.0,BAP
2018-08-30,7.23,7.31,7.23,7.27,7.27,1114056.0,0.0,1.0,BAP
2018-08-29,7.6,7.61,7.27,7.28,7.195,2093659.0,0.0,1.0,BAP
2018-08-28,7.07,7.36,7.07,7.34,7.2543,1857707.0,0.0,1.0,BAP
2018-08-27,7.13,7.19,6.99,7.01,6.9282,729480.0,0.0,1.0,BAP
2018-08-24,6.98,7.11,6.91,7.07,6.9875,1556269.0,0.0,1.0,BAP
2018-08-23,6.85,7.0,6.76,6.92,6.8392,2762732.0,0.0,1.0,BAP
2018-08-22,7.03,7.14,6.53,6.85,6.77,3807491.0,0.0,1.0,BAP
2018-08-21,7.06,7.16,7.06,7.14,7.0566,640782.0,0.0,1.0,BAP
2018-08-20,7.12,7.24,7.05,7.06,6.9776,883086.0,0.0,1.0,BAP
2018-08-17,7.06,7.19,7.06,7.12,7.0369,896789.0,0.0,1.0,BAP
2018-08-16,7.13,7.13,7.03,7.1,7.0171,762260.0,0.0,1.0,BAP
2018-08-15,7.16,7.19,7.04,7.14,7.0566,877332.0,0.0,1.0,BAP
2018-08-14,7.05,7.22,7.025,7.19,7.1061,586193.0,0.0,1.0,BAP
2018-08-13,7.09,7.1,7.025,7.04,6.9578,369578.0,0.0,1.0,BAP
2018-08-10,7.14,7.21,7.04,7.04,6.9578,617377.0,0.0,1.0,BAP
2018-08-09,7.02,7.13,6.98,7.1,7.0171,448212.0,0.0,1.0,BAP
2018-08-08,7.0,7.04,6.93,6.98,6.8985,606798.0,0.0,1.0,BAP
2018-08-07,7.05,7.08,6.99,7.02,6.938,744900.0,0.0,1.0,BAP
2018-08-06,7.05,7.09,6.995,7.04,6.9578,436299.0,0.0,1.0,BAP
2018-08-03,6.97,7.04,6.94,7.0,6.9183,782120.0,0.0,1.0,BAP
2018-08-02,6.98,6.98,6.835,6.9,6.8194,551307.0,0.0,1.0,BAP
2018-08-01,7.0,7.01,6.92,6.94,6.859,384524.0,0.0,1.0,BAP
2018-07-31,7.0,7.04,6.92,6.98,6.8985,596796.0,0.0,1.0,BAP
2018-07-30,6.99,7.03,6.955,7.0,6.9183,705590.0,0.0,1.0,BAP
2018-07-27,6.94,7.06,6.92,7.02,6.938,843384.0,0.0,1.0,BAP
2018-07-26,6.95,6.96,6.87,6.89,6.8096,1034487.0,0.0,1.0,BAP
2018-07-25,6.96,6.99,6.9,6.96,6.8787,962089.0,0.0,1.0,BAP
2018-07-24,6.99,7.01,6.94,7.0,6.9183,896685.0,0.0,1.0,BAP
2018-07-23,7.0,7.02,6.94,6.97,6.8886,1045566.0,0.0,1.0,BAP
2018-07-20,7.06,7.1,7.0,7.02,6.938,1965585.0,0.0,1.0,BAP
2018-07-19,7.02,7.07,6.92,6.98,6.8985,1321285.0,0.0,1.0,BAP
2018-07-18,6.97,7.01,6.94,6.98,6.8985,856727.0,0.0,1.0,BAP
2018-07-17,6.91,6.95,6.82,6.94,6.859,714416.0,0.0,1.0,BAP
2018-07-16,6.94,7.045,6.91,6.93,6.8491,677551.0,0.0,1.0,BAP
2018-07-13,6.94,6.96,6.915,6.92,6.8392,339454.0,0.0,1.0,BAP
2018-07-12,6.91,7.05,6.875,6.93,6.8491,819910.0,0.0,1.0,BAP
2018-07-11,6.93,6.96,6.89,6.9,6.8194,586663.0,0.0,1.0,BAP
2018-07-10,6.92,6.97,6.85,6.87,6.7898,1662227.0,0.0,1.0,BAP
2018-07-09,6.76,6.9,6.71,6.9,6.8194,701592.0,0.0,1.0,BAP
2018-07-06,6.55,6.72,6.55,6.72,6.6415,674368.0,0.0,1.0,BAP
2018-07-05,6.69,6.7,6.52,6.54,6.4636,867518.0,0.0,1.0,BAP
2018-07-04,6.67,6.79,6.63,6.66,6.5822,510513.0,0.0,1.0,BAP
2018-07-03,6.65,6.74,6.61,6.64,6.5625,749982.0,0.0,1.0,BAP
2018-07-02,6.59,6.68,6.59,6.61,6.5328,834220.0,0.0,1.0,BAP
2018-06-29,6.67,6.7,6.54,6.55,6.4735,763773.0,0.0,1.0,BAP
2018-06-28,6.73,6.78,6.66,6.67,6.5921,453610.0,0.0,1.0,BAP
2018-06-27,6.71,6.8,6.68,6.75,6.6712,405786.0,0.0,1.0,BAP
2018-06-26,6.68,6.72,6.66,6.71,6.6317,498932.0,0.0,1.0,BAP
2018-06-25,6.79,6.825,6.75,6.77,6.691,360717.0,0.0,1.0,BAP
2018-06-22,6.78,6.84,6.725,6.73,6.6514,495877.0,0.0,1.0,BAP
2018-06-21,6.75,6.89,6.69,6.82,6.7404,1683714.0,0.0,1.0,BAP
2018-06-20,6.68,6.75,6.64,6.68,6.602,731551.0,0.0,1.0,BAP
2018-06-19,6.75,6.76,6.65,6.68,6.602,697822.0,0.0,1.0,BAP
2018-06-18,6.74,6.76,6.57,6.75,6.6712,877339.0,0.0,1.0,BAP
2018-06-15,6.85,6.88,6.8,6.84,6.7601,644402.0,0.0,1.0,BAP
2018-06-14,6.76,6.85,6.75,6.83,6.7503,665594.0,0.0,1.0,BAP
2018-06-13,6.85,6.88,6.755,6.78,6.7008,432016.0,0.0,1.0,BAP
2018-06-12,6.88,6.93,6.82,6.88,6.7997,1166117.0,0.0,1.0,BAP
2018-06-08,6.82,6.88,6.79,6.81,6.7305,605799.0,0.0,1.0,BAP
2018-06-07,6.7,6.855,6.66,6.8,6.7206,1465526.0,0.0,1.0,BAP
2018-06-06,6.67,6.73,6.67,6.73,6.6514,892569.0,0.0,1.0,BAP
2018-06-05,6.72,6.74,6.66,6.68,6.602,946326.0,0.0,1.0,BAP
2018-06-04,6.71,6.74,6.66,6.74,6.6613,689575.0,0.0,1.0,BAP
2018-06-01,6.65,6.72,6.62,6.65,6.5724,466566.0,0.0,1.0,BAP
2018-05-31,6.63,6.7,6.62,6.7,6.6218,1228370.0,0.0,1.0,BAP
2018-05-30,6.59,6.65,6.57,6.62,6.5427,898604.0,0.0,1.0,BAP
2018-05-29,6.61,6.68,6.6,6.63,6.5526,898121.0,0.0,1.0,BAP
2018-05-28,6.59,6.675,6.59,6.63,6.5526,592878.0,0.0,1.0,BAP
2018-05-25,6.47,6.59,6.46,6.58,6.5032,471959.0,0.0,1.0,BAP
2018-05-24,6.52,6.53,6.43,6.47,6.3945,943401.0,0.0,1.0,BAP
2018-05-23,6.55,6.64,6.5,6.54,6.4636,758803.0,0.0,1.0,BAP
