date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,5.71,5.8,5.7,5.77,5.77,560455.0,0.0,1.0,BGA
2018-12-12,5.67,5.8,5.65,5.76,5.76,948765.0,0.0,1.0,BGA
2018-12-11,5.58,5.77,5.57,5.76,5.76,381502.0,0.0,1.0,BGA
2018-12-10,5.75,5.76,5.54,5.59,5.59,324022.0,0.0,1.0,BGA
2018-12-09,5.8,5.89,5.7,5.71,5.71,292745.0,0.0,1.0,BGA
2018-12-06,5.82,5.94,5.82,5.9,5.9,288538.0,0.0,1.0,BGA
2018-12-05,5.92,6.01,5.83,5.87,5.87,253814.0,0.0,1.0,BGA
2018-12-04,5.84,5.91,5.79,5.88,5.88,325274.0,0.0,1.0,BGA
2018-12-03,6.06,6.08,5.93,5.96,5.96,369010.0,0.0,1.0,BGA
2018-12-02,6.0,6.125,6.0,6.09,6.09,490844.0,0.0,1.0,BGA
2018-11-29,5.9,5.945,5.84,5.93,5.93,735962.0,0.0,1.0,BGA
2018-11-28,6.0,6.065,5.89,5.99,5.99,355069.0,0.0,1.0,BGA
2018-11-27,5.99,6.08,5.95,6.05,6.05,384473.0,0.0,1.0,BGA
2018-11-26,5.99,6.0,5.89,5.97,5.97,342422.0,0.0,1.0,BGA
2018-11-25,5.82,5.92,5.75,5.91,5.91,421543.0,0.0,1.0,BGA
2018-11-22,5.74,5.88,5.73,5.85,5.85,245543.0,0.0,1.0,BGA
2018-11-21,5.64,5.76,5.61,5.75,5.75,471731.0,0.0,1.0,BGA
2018-11-20,5.7,5.77,5.56,5.63,5.63,906813.0,0.0,1.0,BGA
2018-11-19,5.83,5.87,5.695,5.78,5.78,705156.0,0.0,1.0,BGA
2018-11-18,6.01,6.02,5.82,5.87,5.87,369177.0,0.0,1.0,BGA
2018-11-15,5.93,6.07,5.92,6.0,6.0,366978.0,0.0,1.0,BGA
2018-11-14,5.98,6.06,5.94,6.0,6.0,572145.0,0.0,1.0,BGA
2018-11-13,5.95,6.02,5.925,5.96,5.96,437637.0,0.0,1.0,BGA
2018-11-12,6.01,6.08,5.92,5.94,5.94,623585.0,0.0,1.0,BGA
2018-11-11,6.14,6.18,6.095,6.14,6.14,443653.0,0.0,1.0,BGA
2018-11-08,6.16,6.22,6.09,6.16,6.16,593655.0,0.0,1.0,BGA
2018-11-07,5.99,6.22,5.99,6.11,6.11,779346.0,0.0,1.0,BGA
2018-11-06,6.01,6.09,5.93,5.99,5.99,391247.0,0.0,1.0,BGA
2018-11-05,5.95,6.05,5.915,6.01,6.01,480589.0,0.0,1.0,BGA
2018-11-04,6.07,6.17,5.93,5.95,5.95,549006.0,0.0,1.0,BGA
2018-11-01,6.02,6.16,6.0,6.16,6.16,703565.0,0.0,1.0,BGA
2018-10-31,5.98,6.09,5.97,6.08,6.08,440711.0,0.0,1.0,BGA
2018-10-30,6.0,6.13,5.92,5.97,5.97,797777.0,0.0,1.0,BGA
2018-10-29,5.86,5.97,5.79,5.96,5.96,443365.0,0.0,1.0,BGA
2018-10-28,5.95,5.96,5.88,5.9,5.9,324809.0,0.0,1.0,BGA
2018-10-25,5.97,6.06,5.79,5.87,5.87,589271.0,0.0,1.0,BGA
2018-10-24,6.1,6.14,5.95,5.97,5.97,1141236.0,0.0,1.0,BGA
2018-10-23,6.15,6.195,6.12,6.14,6.14,295884.0,0.0,1.0,BGA
2018-10-22,6.2,6.29,6.17,6.19,6.19,672431.0,0.0,1.0,BGA
2018-10-21,6.27,6.37,6.17,6.17,6.17,336198.0,0.0,1.0,BGA
2018-10-18,6.35,6.36,6.27,6.28,6.28,367579.0,0.0,1.0,BGA
2018-10-17,6.51,6.59,6.26,6.36,6.36,643204.0,0.0,1.0,BGA
2018-10-16,6.21,6.62,6.21,6.51,6.51,1484538.0,0.0,1.0,BGA
2018-10-15,6.09,6.19,6.08,6.16,6.16,922703.0,0.0,1.0,BGA
2018-10-14,6.26,6.36,6.09,6.09,6.09,963772.0,0.0,1.0,BGA
2018-10-11,6.32,6.38,6.26,6.28,6.28,3834411.0,0.0,1.0,BGA
2018-10-10,6.48,6.48,6.3,6.4,6.4,1508870.0,0.0,1.0,BGA
2018-10-09,6.5,6.58,6.5,6.54,6.54,743414.0,0.0,1.0,BGA
2018-10-08,6.52,6.56,6.49,6.51,6.51,703658.0,0.0,1.0,BGA
2018-10-07,6.6,6.6,6.44,6.51,6.51,507902.0,0.0,1.0,BGA
2018-10-05,6.5,6.54,6.5,6.51,6.51,396347.0,0.0,1.0,BGA
2018-10-04,6.53,6.59,6.5,6.51,6.51,570463.0,0.0,1.0,BGA
2018-10-03,6.7,6.71,6.53,6.53,6.53,873979.0,0.0,1.0,BGA
2018-10-02,6.72,6.79,6.7,6.72,6.72,520399.0,0.0,1.0,BGA
2018-10-01,6.8,6.84,6.71,6.76,6.76,350390.0,0.0,1.0,BGA
2018-09-28,6.84,6.92,6.8,6.81,6.81,556889.0,0.0,1.0,BGA
2018-09-27,6.8,6.91,6.79,6.82,6.82,604570.0,0.0,1.0,BGA
2018-09-26,6.95,6.96,6.79,6.79,6.79,1029614.0,0.0,1.0,BGA
2018-09-25,6.89,7.01,6.79,6.93,6.93,714325.0,0.0,1.0,BGA
2018-09-24,6.78,7.02,6.75,6.93,6.93,884468.0,0.0,1.0,BGA
2018-09-21,6.8,6.85,6.75,6.75,6.75,630238.0,0.0,1.0,BGA
2018-09-20,6.85,6.93,6.73,6.78,6.78,785329.0,0.0,1.0,BGA
2018-09-19,6.92,6.99,6.85,6.85,6.85,1146819.0,0.0,1.0,BGA
2018-09-18,7.04,7.11,6.9,6.93,6.93,879235.0,0.0,1.0,BGA
2018-09-17,7.21,7.26,7.03,7.08,7.08,889263.0,0.0,1.0,BGA
2018-09-14,7.15,7.44,7.15,7.25,7.25,1044766.0,0.0,1.0,BGA
2018-09-13,7.1,7.24,7.1,7.14,7.14,1425517.0,0.0,1.0,BGA
2018-09-12,7.25,7.3,7.09,7.15,7.15,1305125.0,0.0,1.0,BGA
2018-09-11,7.58,7.58,7.58,7.58,7.58,0.0,0.0,1.0,BGA
2018-09-10,7.6,7.62,7.485,7.58,7.58,476606.0,0.0,1.0,BGA
2018-09-07,7.6,7.62,7.485,7.58,7.58,476606.0,0.0,1.0,BGA
2018-09-06,7.55,7.64,7.45,7.62,7.62,642917.0,0.0,1.0,BGA
2018-09-05,7.65,7.7,7.555,7.63,7.63,596432.0,0.0,1.0,BGA
2018-09-04,7.63,7.77,7.63,7.68,7.68,252771.0,0.0,1.0,BGA
2018-09-03,7.63,7.9,7.565,7.69,7.635,541690.0,0.0,1.0,BGA
2018-08-31,7.85,8.03,7.8,7.83,7.774,565705.0,0.0,1.0,BGA
2018-08-30,7.89,7.99,7.73,7.94,7.8832,588041.0,0.0,1.0,BGA
2018-08-29,7.39,7.92,7.09,7.87,7.8137,952282.0,0.0,1.0,BGA
2018-08-28,7.7,7.71,7.58,7.66,7.6052,433006.0,0.0,1.0,BGA
2018-08-27,7.6,7.78,7.59,7.7,7.6449,223318.0,0.0,1.0,BGA
2018-08-24,7.72,7.79,7.62,7.68,7.6251,437772.0,0.0,1.0,BGA
2018-08-23,7.7,7.77,7.55,7.74,7.6846,254570.0,0.0,1.0,BGA
2018-08-22,7.65,7.79,7.565,7.79,7.7343,239958.0,0.0,1.0,BGA
2018-08-21,7.74,7.79,7.65,7.73,7.6747,167375.0,0.0,1.0,BGA
2018-08-20,7.63,7.78,7.6,7.69,7.635,270726.0,0.0,1.0,BGA
2018-08-17,7.6,7.65,7.53,7.6,7.5456,306127.0,0.0,1.0,BGA
2018-08-16,7.6,7.67,7.54,7.59,7.5357,301203.0,0.0,1.0,BGA
2018-08-15,7.46,7.64,7.46,7.61,7.5556,195915.0,0.0,1.0,BGA
2018-08-14,7.48,7.575,7.43,7.53,7.4761,449417.0,0.0,1.0,BGA
2018-08-13,7.36,7.45,7.32,7.43,7.3769,273994.0,0.0,1.0,BGA
2018-08-10,7.48,7.495,7.36,7.39,7.3371,1898839.0,0.0,1.0,BGA
2018-08-09,7.43,7.575,7.41,7.43,7.3769,533431.0,0.0,1.0,BGA
2018-08-08,7.58,7.64,7.54,7.57,7.5159,853557.0,0.0,1.0,BGA
2018-08-07,7.55,7.65,7.55,7.64,7.5854,585733.0,0.0,1.0,BGA
2018-08-06,7.5,7.67,7.5,7.55,7.496,359664.0,0.0,1.0,BGA
2018-08-03,7.44,7.55,7.42,7.51,7.4563,496696.0,0.0,1.0,BGA
2018-08-02,7.4,7.44,7.31,7.42,7.3669,186262.0,0.0,1.0,BGA
2018-08-01,7.32,7.36,7.27,7.32,7.2676,270552.0,0.0,1.0,BGA
2018-07-31,7.32,7.425,7.27,7.31,7.2577,360027.0,0.0,1.0,BGA
2018-07-30,7.36,7.4,7.295,7.34,7.2875,567290.0,0.0,1.0,BGA
2018-07-27,7.34,7.46,7.3,7.37,7.3173,428996.0,0.0,1.0,BGA
2018-07-26,7.35,7.4,7.2,7.25,7.1981,885763.0,0.0,1.0,BGA
2018-07-25,7.54,7.55,7.28,7.35,7.2974,586735.0,0.0,1.0,BGA
2018-07-24,7.45,7.6,7.44,7.52,7.4662,376318.0,0.0,1.0,BGA
2018-07-23,7.44,7.46,7.34,7.45,7.3967,470675.0,0.0,1.0,BGA
2018-07-20,7.55,7.61,7.36,7.42,7.3669,559122.0,0.0,1.0,BGA
2018-07-19,7.73,7.88,7.51,7.53,7.4761,776855.0,0.0,1.0,BGA
2018-07-18,7.72,8.15,7.64,8.01,7.9527,1276913.0,0.0,1.0,BGA
2018-07-17,7.58,7.73,7.58,7.7,7.6449,537698.0,0.0,1.0,BGA
2018-07-16,7.36,7.71,7.34,7.57,7.5159,730374.0,0.0,1.0,BGA
2018-07-13,7.22,7.31,7.215,7.31,7.2577,449107.0,0.0,1.0,BGA
2018-07-12,7.29,7.325,7.23,7.25,7.1981,356927.0,0.0,1.0,BGA
2018-07-11,7.3,7.34,7.27,7.29,7.2379,374067.0,0.0,1.0,BGA
2018-07-10,7.35,7.37,7.19,7.24,7.1882,347632.0,0.0,1.0,BGA
2018-07-09,7.3,7.35,7.3,7.33,7.2776,163832.0,0.0,1.0,BGA
2018-07-06,7.35,7.355,7.28,7.3,7.2478,355848.0,0.0,1.0,BGA
2018-07-05,7.39,7.45,7.32,7.34,7.2875,281674.0,0.0,1.0,BGA
2018-07-04,7.38,7.42,7.32,7.39,7.3371,241974.0,0.0,1.0,BGA
2018-07-03,7.4,7.48,7.38,7.42,7.3669,316602.0,0.0,1.0,BGA
2018-07-02,7.41,7.49,7.35,7.37,7.3173,306603.0,0.0,1.0,BGA
2018-06-29,7.44,7.5,7.38,7.41,7.357,191502.0,0.0,1.0,BGA
2018-06-28,7.46,7.47,7.38,7.44,7.3868,224745.0,0.0,1.0,BGA
2018-06-27,7.38,7.49,7.35,7.46,7.4066,217965.0,0.0,1.0,BGA
2018-06-26,7.4,7.435,7.32,7.42,7.3669,199071.0,0.0,1.0,BGA
2018-06-25,7.55,7.56,7.42,7.44,7.3868,197137.0,0.0,1.0,BGA
2018-06-22,7.5,7.58,7.48,7.55,7.496,296336.0,0.0,1.0,BGA
2018-06-21,7.59,7.59,7.48,7.55,7.496,729337.0,0.0,1.0,BGA
2018-06-20,7.34,7.52,7.33,7.52,7.4662,575433.0,0.0,1.0,BGA
2018-06-19,7.34,7.38,7.26,7.26,7.2081,264978.0,0.0,1.0,BGA
2018-06-18,7.3,7.385,7.28,7.35,7.2974,209243.0,0.0,1.0,BGA
2018-06-15,7.33,7.38,7.27,7.29,7.2379,358255.0,0.0,1.0,BGA
2018-06-14,7.35,7.43,7.15,7.22,7.1684,387454.0,0.0,1.0,BGA
2018-06-13,7.41,7.47,7.33,7.35,7.2974,176825.0,0.0,1.0,BGA
2018-06-12,7.28,7.48,7.28,7.44,7.3868,430682.0,0.0,1.0,BGA
2018-06-08,7.22,7.36,7.22,7.28,7.2279,212007.0,0.0,1.0,BGA
2018-06-07,7.22,7.29,7.19,7.2,7.1485,250167.0,0.0,1.0,BGA
2018-06-06,7.2,7.33,7.2,7.29,7.2379,334220.0,0.0,1.0,BGA
2018-06-05,7.18,7.27,7.16,7.21,7.1584,241071.0,0.0,1.0,BGA
2018-06-04,7.25,7.27,7.18,7.24,7.1882,258375.0,0.0,1.0,BGA
2018-06-01,7.17,7.28,7.15,7.2,7.1485,192471.0,0.0,1.0,BGA
2018-05-31,7.24,7.28,7.2,7.25,7.1981,456787.0,0.0,1.0,BGA
