date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,16.62,16.94,16.59,16.81,16.81,254700.0,0.0,1.0,BKW
2018-12-12,16.82,17.04,16.66,16.84,16.84,473460.0,0.0,1.0,BKW
2018-12-11,16.71,16.91,16.58,16.86,16.86,187136.0,0.0,1.0,BKW
2018-12-10,16.7,16.97,16.31,16.79,16.79,269361.0,0.0,1.0,BKW
2018-12-09,17.14,17.14,16.58,16.93,16.93,328698.0,0.0,1.0,BKW
2018-12-06,16.99,17.3,16.8,17.23,17.23,266838.0,0.0,1.0,BKW
2018-12-05,16.99,17.3,16.8,17.06,17.06,335897.0,0.0,1.0,BKW
2018-12-04,16.6,17.0,16.6,17.0,17.0,565651.0,0.0,1.0,BKW
2018-12-03,16.69,16.99,16.64,16.97,16.97,422399.0,0.0,1.0,BKW
2018-12-02,16.37,16.98,16.36,16.93,16.93,280442.0,0.0,1.0,BKW
2018-11-29,16.35,16.35,16.05,16.33,16.33,795632.0,0.0,1.0,BKW
2018-11-28,16.41,16.53,16.14,16.37,16.37,381938.0,0.0,1.0,BKW
2018-11-27,15.53,16.35,15.28,16.3,16.3,682797.0,0.0,1.0,BKW
2018-11-26,15.25,16.04,15.25,15.53,15.53,503326.0,0.0,1.0,BKW
2018-11-25,14.95,15.2,14.75,15.0,15.0,293038.0,0.0,1.0,BKW
2018-11-22,15.15,15.2,14.86,14.99,14.99,290375.0,0.0,1.0,BKW
2018-11-21,15.32,15.44,15.18,15.2,15.2,319490.0,0.0,1.0,BKW
2018-11-20,15.75,15.8,15.4,15.44,15.44,303840.0,0.0,1.0,BKW
2018-11-19,16.35,16.35,15.83,15.93,15.93,292256.0,0.0,1.0,BKW
2018-11-18,16.76,16.86,16.35,16.41,16.41,242257.0,0.0,1.0,BKW
2018-11-15,16.88,17.03,16.78,16.82,16.82,189036.0,0.0,1.0,BKW
2018-11-14,16.98,17.19,16.7,16.9,16.9,238169.0,0.0,1.0,BKW
2018-11-13,17.18,17.24,17.05,17.06,17.06,267537.0,0.0,1.0,BKW
2018-11-12,17.23,17.25,17.05,17.18,17.18,196630.0,0.0,1.0,BKW
2018-11-11,17.19,17.4,17.17,17.37,17.37,266483.0,0.0,1.0,BKW
