date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,0.945,0.945,0.85,0.88,0.88,338861.0,0.0,1.0,BLA
2018-12-12,0.905,0.95,0.905,0.95,0.95,122218.0,0.0,1.0,BLA
2018-12-11,0.95,0.95,0.9,0.92,0.92,252029.0,0.0,1.0,BLA
2018-12-10,0.995,0.995,0.96,0.96,0.96,71659.0,0.0,1.0,BLA
2018-12-09,1.01,1.02,0.975,0.98,0.98,163347.0,0.0,1.0,BLA
2018-12-06,1.04,1.05,0.98,0.995,0.995,156068.0,0.0,1.0,BLA
2018-12-05,1.08,1.09,1.02,1.02,1.02,118999.0,0.0,1.0,BLA
2018-12-04,1.045,1.1,1.025,1.07,1.07,243834.0,0.0,1.0,BLA
2018-12-03,1.055,1.07,1.05,1.05,1.05,101615.0,0.0,1.0,BLA
2018-12-02,1.035,1.1,1.03,1.06,1.06,207229.0,0.0,1.0,BLA
2018-11-29,1.05,1.065,1.02,1.025,1.025,166381.0,0.0,1.0,BLA
2018-11-28,1.07,1.075,1.03,1.05,1.05,269848.0,0.0,1.0,BLA
2018-11-27,1.025,1.07,1.025,1.065,1.065,174726.0,0.0,1.0,BLA
2018-11-26,1.03,1.04,1.01,1.025,1.025,58084.0,0.0,1.0,BLA
2018-11-25,1.035,1.05,1.005,1.03,1.03,57579.0,0.0,1.0,BLA
2018-11-22,1.04,1.07,1.035,1.035,1.035,52568.0,0.0,1.0,BLA
2018-11-21,1.0,1.03,1.0,1.03,1.03,115125.0,0.0,1.0,BLA
2018-11-20,1.04,1.04,0.97,0.99,0.99,128077.0,0.0,1.0,BLA
2018-11-19,1.07,1.12,0.99,0.995,0.995,369126.0,0.0,1.0,BLA
2018-11-18,1.0,1.07,0.99,1.06,1.06,447752.0,0.0,1.0,BLA
2018-11-15,1.005,1.01,1.0,1.0,1.0,367261.0,0.0,1.0,BLA
2018-11-14,1.0,1.015,0.965,1.01,1.01,448174.0,0.0,1.0,BLA
2018-11-13,1.03,1.03,0.99,0.99,0.99,543689.0,0.0,1.0,BLA
2018-11-12,1.025,1.0325,1.02,1.025,1.025,515472.0,0.0,1.0,BLA
2018-11-11,1.04,1.05,1.015,1.015,1.015,156486.0,0.0,1.0,BLA
2018-11-08,1.09,1.095,1.025,1.05,1.05,323937.0,0.0,1.0,BLA
2018-11-07,1.1,1.105,1.065,1.085,1.085,342084.0,0.0,1.0,BLA
2018-11-06,1.09,1.095,1.055,1.09,1.09,262420.0,0.0,1.0,BLA
2018-11-05,1.095,1.102,1.085,1.09,1.09,330800.0,0.0,1.0,BLA
2018-11-04,1.1,1.135,1.09,1.095,1.095,105142.0,0.0,1.0,BLA
2018-11-01,1.18,1.185,1.085,1.1,1.1,285357.0,0.0,1.0,BLA
2018-10-31,1.225,1.26,1.2,1.2,1.2,337543.0,0.0,1.0,BLA
2018-10-30,1.2,1.24,1.18,1.21,1.21,161280.0,0.0,1.0,BLA
2018-10-29,1.15,1.22,1.145,1.2,1.2,150453.0,0.0,1.0,BLA
2018-10-28,1.155,1.2,1.125,1.155,1.155,513022.0,0.0,1.0,BLA
2018-10-25,1.12,1.19,1.12,1.16,1.16,388374.0,0.0,1.0,BLA
2018-10-24,1.17,1.17,1.07,1.08,1.08,479989.0,0.0,1.0,BLA
2018-10-23,1.215,1.245,1.16,1.195,1.195,134610.0,0.0,1.0,BLA
2018-10-22,1.22,1.245,1.2,1.205,1.205,100396.0,0.0,1.0,BLA
2018-10-21,1.24,1.35,1.2,1.22,1.22,604014.0,0.0,1.0,BLA
2018-10-18,1.165,1.245,1.13,1.24,1.24,664693.0,0.0,1.0,BLA
2018-10-17,1.22,1.245,1.162,1.165,1.165,280918.0,0.0,1.0,BLA
2018-10-16,1.2,1.297,1.18,1.22,1.22,635826.0,0.0,1.0,BLA
2018-10-15,1.27,1.27,1.17,1.2,1.2,288856.0,0.0,1.0,BLA
2018-10-14,1.325,1.325,1.225,1.25,1.25,537081.0,0.0,1.0,BLA
2018-10-11,1.38,1.385,1.31,1.325,1.325,344746.0,0.0,1.0,BLA
2018-10-10,1.42,1.435,1.35,1.375,1.375,374163.0,0.0,1.0,BLA
2018-10-09,1.41,1.49,1.41,1.435,1.435,169955.0,0.0,1.0,BLA
2018-10-08,1.49,1.49,1.4,1.405,1.405,653842.0,0.0,1.0,BLA
2018-10-07,1.54,1.54,1.48,1.5,1.5,116325.0,0.0,1.0,BLA
2018-10-05,1.585,1.6,1.52,1.54,1.54,379495.0,0.0,1.0,BLA
2018-10-04,1.6,1.625,1.58,1.585,1.585,337027.0,0.0,1.0,BLA
2018-10-03,1.62,1.65,1.585,1.6,1.6,221002.0,0.0,1.0,BLA
2018-10-02,1.75,1.77,1.605,1.61,1.61,513757.0,0.0,1.0,BLA
2018-10-01,1.635,1.785,1.585,1.72,1.72,535098.0,0.0,1.0,BLA
2018-09-28,1.63,1.645,1.58,1.585,1.585,477953.0,0.0,1.0,BLA
2018-09-27,1.585,1.61,1.575,1.585,1.585,207593.0,0.0,1.0,BLA
2018-09-26,1.63,1.63,1.58,1.58,1.58,359448.0,0.0,1.0,BLA
2018-09-25,1.625,1.64,1.59,1.635,1.635,260460.0,0.0,1.0,BLA
2018-09-24,1.62,1.62,1.575,1.58,1.58,152511.0,0.0,1.0,BLA
2018-09-21,1.595,1.625,1.585,1.62,1.62,232772.0,0.0,1.0,BLA
2018-09-20,1.6,1.61,1.575,1.6,1.6,228083.0,0.0,1.0,BLA
2018-09-19,1.6,1.6,1.565,1.575,1.575,177735.0,0.0,1.0,BLA
2018-09-18,1.62,1.63,1.56,1.605,1.605,385047.0,0.0,1.0,BLA
2018-09-17,1.585,1.63,1.585,1.62,1.62,300804.0,0.0,1.0,BLA
2018-09-14,1.63,1.63,1.56,1.585,1.585,280676.0,0.0,1.0,BLA
2018-09-13,1.595,1.635,1.58,1.605,1.605,296665.0,0.0,1.0,BLA
2018-09-12,1.58,1.62,1.565,1.585,1.585,127908.0,0.0,1.0,BLA
2018-09-11,1.555,1.61,1.54,1.58,1.58,245352.0,0.0,1.0,BLA
2018-09-10,1.58,1.63,1.55,1.56,1.56,177399.0,0.0,1.0,BLA
2018-09-07,1.62,1.625,1.54,1.58,1.58,323048.0,0.0,1.0,BLA
2018-09-06,1.635,1.65,1.62,1.625,1.625,273027.0,0.0,1.0,BLA
2018-09-05,1.65,1.7,1.62,1.635,1.635,889334.0,0.0,1.0,BLA
2018-09-04,1.69,1.69,1.62,1.65,1.65,340546.0,0.0,1.0,BLA
2018-09-03,1.84,1.84,1.69,1.7,1.7,301858.0,0.0,1.0,BLA
2018-08-31,1.62,1.845,1.62,1.72,1.72,638248.0,0.0,1.0,BLA
2018-08-30,1.85,1.87,1.58,1.63,1.63,1407674.0,0.0,1.0,BLA
2018-08-29,1.9,1.91,1.81,1.855,1.855,438525.0,0.0,1.0,BLA
2018-08-28,1.925,1.94,1.88,1.88,1.88,355168.0,0.0,1.0,BLA
2018-08-27,1.975,2.0,1.915,1.92,1.92,293050.0,0.0,1.0,BLA
2018-08-24,2.02,2.09,1.95,1.955,1.955,144651.0,0.0,1.0,BLA
2018-08-23,2.18,2.18,2.01,2.02,2.02,223596.0,0.0,1.0,BLA
2018-08-22,2.07,2.21,2.06,2.14,2.14,360267.0,0.0,1.0,BLA
2018-08-21,2.0,2.1,2.0,2.05,2.05,232514.0,0.0,1.0,BLA
2018-08-20,1.95,2.0,1.905,2.0,2.0,333525.0,0.0,1.0,BLA
2018-08-17,1.91,1.955,1.89,1.92,1.92,436398.0,0.0,1.0,BLA
2018-08-16,1.94,1.97,1.88,1.91,1.91,364628.0,0.0,1.0,BLA
2018-08-15,1.975,1.98,1.905,1.91,1.91,204684.0,0.0,1.0,BLA
2018-08-14,1.9,2.07,1.9,1.98,1.98,553222.0,0.0,1.0,BLA
2018-08-13,1.95,1.95,1.88,1.905,1.905,590909.0,0.0,1.0,BLA
2018-08-10,2.2,2.2,1.96,1.99,1.99,668447.0,0.0,1.0,BLA
