date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,5.05,5.1,4.96,4.97,4.97,5162194.0,0.0,1.0,BLD
2018-12-12,5.0,5.07,4.99,5.01,5.01,3267294.0,0.0,1.0,BLD
2018-12-11,4.91,5.06,4.89,4.99,4.99,10833474.0,0.0,1.0,BLD
2018-12-10,4.87,4.93,4.785,4.86,4.86,5330379.0,0.0,1.0,BLD
2018-12-09,4.94,4.99,4.82,4.89,4.89,5977719.0,0.0,1.0,BLD
2018-12-06,5.03,5.08,4.915,5.02,5.02,7951465.0,0.0,1.0,BLD
2018-12-05,5.14,5.18,5.025,5.06,5.06,3281009.0,0.0,1.0,BLD
2018-12-04,5.05,5.1,5.01,5.06,5.06,6426462.0,0.0,1.0,BLD
2018-12-03,5.24,5.27,5.13,5.17,5.17,5085031.0,0.0,1.0,BLD
2018-12-02,5.15,5.3,5.15,5.28,5.28,5494851.0,0.0,1.0,BLD
2018-11-29,5.2,5.26,5.075,5.1,5.1,12161449.0,0.0,1.0,BLD
2018-11-28,5.26,5.345,5.22,5.26,5.26,5692757.0,0.0,1.0,BLD
2018-11-27,5.2,5.23,5.075,5.15,5.15,4971667.0,0.0,1.0,BLD
2018-11-26,5.2,5.28,5.1,5.21,5.21,3286271.0,0.0,1.0,BLD
2018-11-25,5.23,5.24,5.12,5.17,5.17,4403808.0,0.0,1.0,BLD
2018-11-22,5.19,5.33,5.16,5.28,5.28,4537313.0,0.0,1.0,BLD
2018-11-21,5.07,5.215,5.06,5.19,5.19,5194086.0,0.0,1.0,BLD
2018-11-20,5.04,5.09,4.98,5.03,5.03,7743075.0,0.0,1.0,BLD
2018-11-19,5.25,5.3,5.08,5.13,5.13,7543149.0,0.0,1.0,BLD
2018-11-18,5.32,5.35,5.24,5.3,5.3,2412578.0,0.0,1.0,BLD
2018-11-15,5.39,5.4,5.3,5.36,5.36,2838104.0,0.0,1.0,BLD
2018-11-14,5.31,5.46,5.31,5.38,5.38,3727589.0,0.0,1.0,BLD
2018-11-13,5.4,5.42,5.32,5.34,5.34,3793439.0,0.0,1.0,BLD
2018-11-12,5.42,5.445,5.36,5.39,5.39,4656880.0,0.0,1.0,BLD
2018-11-11,5.52,5.58,5.48,5.51,5.51,4788359.0,0.0,1.0,BLD
2018-11-08,5.6,5.61,5.495,5.55,5.55,3472988.0,0.0,1.0,BLD
2018-11-07,5.69,5.7,5.56,5.59,5.59,4151697.0,0.0,1.0,BLD
2018-11-06,5.57,5.66,5.54,5.6,5.6,3902024.0,0.0,1.0,BLD
2018-11-05,5.55,5.6,5.48,5.57,5.57,3294336.0,0.0,1.0,BLD
2018-11-04,5.56,5.63,5.48,5.5,5.5,4894353.0,0.0,1.0,BLD
2018-11-01,5.65,5.75,5.57,5.61,5.61,4819851.0,0.0,1.0,BLD
2018-10-31,5.62,5.73,5.585,5.67,5.67,4859352.0,0.0,1.0,BLD
2018-10-30,5.66,5.69,5.56,5.61,5.61,7880069.0,0.0,1.0,BLD
2018-10-29,5.4,5.53,5.3,5.52,5.52,11300232.0,0.0,1.0,BLD
2018-10-28,5.65,5.65,5.56,5.63,5.63,2911805.0,0.0,1.0,BLD
2018-10-25,5.7,5.71,5.54,5.58,5.58,6720832.0,0.0,1.0,BLD
2018-10-24,5.7,5.7,5.615,5.64,5.64,3708272.0,0.0,1.0,BLD
2018-10-23,5.91,5.91,5.76,5.77,5.77,4164447.0,0.0,1.0,BLD
2018-10-22,5.86,5.9,5.77,5.82,5.82,4882681.0,0.0,1.0,BLD
2018-10-21,5.97,6.02,5.865,5.87,5.87,6640087.0,0.0,1.0,BLD
2018-10-18,6.12,6.16,5.95,6.09,6.09,8076036.0,0.0,1.0,BLD
2018-10-17,6.48,6.52,6.15,6.21,6.21,10896395.0,0.0,1.0,BLD
2018-10-16,6.65,6.69,6.51,6.54,6.54,3684429.0,0.0,1.0,BLD
2018-10-15,6.37,6.5,6.36,6.5,6.5,3924748.0,0.0,1.0,BLD
2018-10-14,6.38,6.44,6.35,6.37,6.37,3580464.0,0.0,1.0,BLD
2018-10-11,6.31,6.42,6.3,6.38,6.38,4215411.0,0.0,1.0,BLD
2018-10-10,6.42,6.5,6.35,6.39,6.39,7289606.0,0.0,1.0,BLD
2018-10-09,6.73,6.73,6.53,6.6,6.6,4502718.0,0.0,1.0,BLD
2018-10-08,6.73,6.75,6.615,6.69,6.69,2737866.0,0.0,1.0,BLD
2018-10-07,6.81,6.82,6.725,6.75,6.75,1973878.0,0.0,1.0,BLD
2018-10-05,7.01,7.015,6.83,6.86,6.86,3773075.0,0.0,1.0,BLD
2018-10-04,7.01,7.085,6.99,7.05,7.05,3647426.0,0.0,1.0,BLD
2018-10-03,6.99,7.055,6.96,7.01,7.01,4506270.0,0.0,1.0,BLD
2018-10-02,7.0,7.0,6.905,6.99,6.99,4130744.0,0.0,1.0,BLD
2018-10-01,6.93,7.035,6.91,7.0,7.0,2647810.0,0.0,1.0,BLD
2018-09-28,6.91,6.975,6.87,6.91,6.91,2840391.0,0.0,1.0,BLD
2018-09-27,6.93,6.95,6.81,6.88,6.88,3468790.0,0.0,1.0,BLD
2018-09-26,6.98,7.0,6.925,6.95,6.95,2342006.0,0.0,1.0,BLD
2018-09-25,6.91,6.97,6.87,6.94,6.94,2733568.0,0.0,1.0,BLD
2018-09-24,6.87,7.04,6.85,6.97,6.97,4613081.0,0.0,1.0,BLD
2018-09-21,6.8,6.865,6.775,6.86,6.86,3785026.0,0.0,1.0,BLD
