date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.99,2.99,2.92,2.95,2.95,244051.0,0.0,1.0,BWX
2018-12-12,2.94,3.07,2.9,2.95,2.95,131175.0,0.0,1.0,BWX
2018-12-11,2.85,3.12,2.82,3.02,3.02,305515.0,0.0,1.0,BWX
2018-12-10,2.77,2.88,2.76,2.84,2.84,183640.0,0.0,1.0,BWX
2018-12-09,2.97,3.0,2.74,2.77,2.77,538847.0,0.0,1.0,BWX
2018-12-06,3.07,3.09,2.91,3.0,3.0,336418.0,0.0,1.0,BWX
2018-12-05,3.25,3.28,3.0,3.03,3.03,202169.0,0.0,1.0,BWX
2018-12-04,3.26,3.29,3.15,3.16,3.16,363980.0,0.0,1.0,BWX
2018-12-03,3.45,3.49,3.245,3.33,3.33,401946.0,0.0,1.0,BWX
2018-12-02,3.25,3.5,3.24,3.43,3.43,407150.0,0.0,1.0,BWX
2018-11-29,3.33,3.36,3.25,3.3,3.3,406760.0,0.0,1.0,BWX
2018-11-28,3.3,3.375,3.28,3.35,3.35,179460.0,0.0,1.0,BWX
2018-11-27,3.35,3.38,3.26,3.32,3.32,431703.0,0.0,1.0,BWX
2018-11-26,3.37,3.59,3.26,3.32,3.32,392904.0,0.0,1.0,BWX
2018-11-25,3.4,3.43,3.17,3.41,3.41,508782.0,0.0,1.0,BWX
2018-11-22,3.3,3.455,3.22,3.42,3.42,2619821.0,0.0,1.0,BWX
2018-11-21,3.2,3.24,3.17,3.24,3.24,1520065.0,0.0,1.0,BWX
2018-11-20,3.18,3.2,3.06,3.16,3.16,495748.0,0.0,1.0,BWX
2018-11-19,3.13,3.17,3.11,3.14,3.14,546946.0,0.0,1.0,BWX
2018-11-18,3.15,3.18,3.1,3.12,3.12,226704.0,0.0,1.0,BWX
2018-11-15,3.18,3.25,3.06,3.11,3.11,411299.0,0.0,1.0,BWX
2018-11-14,2.99,3.215,2.985,3.14,3.14,748282.0,0.0,1.0,BWX
2018-11-13,2.88,2.97,2.88,2.96,2.96,840537.0,0.0,1.0,BWX
2018-11-12,2.94,2.95,2.85,2.9,2.9,908062.0,0.0,1.0,BWX
2018-11-11,2.81,2.97,2.81,2.9,2.9,889276.0,0.0,1.0,BWX
2018-11-08,2.87,2.89,2.8,2.84,2.84,620806.0,0.0,1.0,BWX
2018-11-07,2.8,2.85,2.75,2.81,2.81,1004773.0,0.0,1.0,BWX
2018-11-06,2.8,2.875,2.73,2.76,2.76,446745.0,0.0,1.0,BWX
2018-11-05,2.61,2.77,2.57,2.77,2.77,745016.0,0.0,1.0,BWX
2018-11-04,2.7,2.75,2.57,2.58,2.58,692417.0,0.0,1.0,BWX
2018-11-01,2.78,2.78,2.66,2.7,2.7,396211.0,0.0,1.0,BWX
2018-10-31,2.53,2.78,2.52,2.78,2.78,1027025.0,0.0,1.0,BWX
2018-10-30,2.63,2.74,2.495,2.54,2.54,961626.0,0.0,1.0,BWX
2018-10-29,2.75,2.77,2.55,2.66,2.66,2548644.0,0.0,1.0,BWX
2018-10-28,2.9,2.9,2.68,2.8,2.8,2936933.0,0.0,1.0,BWX
2018-10-25,3.4,3.42,3.3,3.34,3.34,728029.0,0.0,1.0,BWX
2018-10-24,3.4,3.49,3.29,3.35,3.35,775682.0,0.0,1.0,BWX
2018-10-23,3.51,3.59,3.41,3.47,3.47,300803.0,0.0,1.0,BWX
2018-10-22,3.54,3.57,3.46,3.49,3.49,366727.0,0.0,1.0,BWX
