date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,9.91,9.98,9.82,9.9,9.9,4004448.0,0.0,1.0,BXB
2018-12-12,10.05,10.14,10.0,10.0,10.0,2710822.0,0.0,1.0,BXB
2018-12-11,10.14,10.14,10.03,10.1,10.1,4763917.0,0.0,1.0,BXB
2018-12-10,10.11,10.13,10.02,10.13,10.13,4489492.0,0.0,1.0,BXB
2018-12-09,10.26,10.3,10.01,10.05,10.05,3187572.0,0.0,1.0,BXB
2018-12-06,10.18,10.37,10.16,10.33,10.33,3646422.0,0.0,1.0,BXB
2018-12-05,10.33,10.36,10.17,10.22,10.22,2974684.0,0.0,1.0,BXB
2018-12-04,10.06,10.3,10.05,10.28,10.28,4203906.0,0.0,1.0,BXB
2018-12-03,10.29,10.44,10.21,10.24,10.24,4187662.0,0.0,1.0,BXB
2018-12-02,10.44,10.44,10.19,10.26,10.26,3529874.0,0.0,1.0,BXB
2018-11-29,10.5,10.58,10.27,10.27,10.27,7563552.0,0.0,1.0,BXB
2018-11-28,10.6,10.675,10.43,10.48,10.48,5238954.0,0.0,1.0,BXB
2018-11-27,10.5,10.565,10.45,10.53,10.53,7505556.0,0.0,1.0,BXB
2018-11-26,10.47,10.52,10.34,10.48,10.48,3039522.0,0.0,1.0,BXB
2018-11-25,10.38,10.44,10.31,10.37,10.37,3955050.0,0.0,1.0,BXB
2018-11-22,10.41,10.48,10.34,10.4,10.4,3339272.0,0.0,1.0,BXB
2018-11-21,10.59,10.59,10.38,10.52,10.52,2669842.0,0.0,1.0,BXB
2018-11-20,10.21,10.51,10.2,10.49,10.49,3364038.0,0.0,1.0,BXB
2018-11-19,10.25,10.35,10.19,10.32,10.32,3544546.0,0.0,1.0,BXB
2018-11-18,10.26,10.39,10.22,10.26,10.26,2559786.0,0.0,1.0,BXB
2018-11-15,10.5,10.55,10.28,10.33,10.33,4111381.0,0.0,1.0,BXB
2018-11-14,10.44,10.51,10.315,10.42,10.42,3602721.0,0.0,1.0,BXB
2018-11-13,10.49,10.64,10.465,10.48,10.48,3646955.0,0.0,1.0,BXB
2018-11-12,10.68,10.69,10.55,10.55,10.55,3797085.0,0.0,1.0,BXB
2018-11-11,10.51,10.83,10.51,10.79,10.79,2624397.0,0.0,1.0,BXB
2018-11-08,10.56,10.68,10.49,10.56,10.56,2919931.0,0.0,1.0,BXB
2018-11-07,10.68,10.75,10.63,10.67,10.67,3489931.0,0.0,1.0,BXB
2018-11-06,10.45,10.645,10.43,10.6,10.6,3719131.0,0.0,1.0,BXB
2018-11-05,10.45,10.61,10.245,10.57,10.57,2688876.0,0.0,1.0,BXB
2018-11-04,10.51,10.6,10.43,10.52,10.52,2180579.0,0.0,1.0,BXB
2018-11-01,10.34,10.525,10.22,10.52,10.52,3696349.0,0.0,1.0,BXB
2018-10-31,10.66,10.66,10.41,10.46,10.46,3666078.0,0.0,1.0,BXB
2018-10-30,10.57,10.785,10.57,10.62,10.62,4791638.0,0.0,1.0,BXB
2018-10-29,10.35,10.57,10.33,10.56,10.56,2924947.0,0.0,1.0,BXB
2018-10-28,10.45,10.535,10.36,10.47,10.47,2866658.0,0.0,1.0,BXB
2018-10-25,10.58,10.59,10.39,10.48,10.48,5082744.0,0.0,1.0,BXB
2018-10-24,10.59,10.68,10.45,10.55,10.55,5660115.0,0.0,1.0,BXB
2018-10-23,10.8,10.91,10.54,10.74,10.74,6270538.0,0.0,1.0,BXB
2018-10-22,10.31,10.5,10.22,10.4,10.4,3178746.0,0.0,1.0,BXB
2018-10-21,10.49,10.55,10.31,10.42,10.42,2272142.0,0.0,1.0,BXB
2018-10-18,10.5,10.62,10.47,10.59,10.59,3565781.0,0.0,1.0,BXB
2018-10-17,10.56,10.58,10.47,10.57,10.57,3077980.0,0.0,1.0,BXB
2018-10-16,10.39,10.55,10.38,10.53,10.53,2859661.0,0.0,1.0,BXB
2018-10-15,10.39,10.405,10.25,10.35,10.35,3913653.0,0.0,1.0,BXB
2018-10-14,10.29,10.4,10.15,10.24,10.24,4737788.0,0.0,1.0,BXB
2018-10-11,10.37,10.61,10.35,10.43,10.43,4290372.0,0.0,1.0,BXB
2018-10-10,10.31,10.505,10.28,10.39,10.39,6600934.0,0.0,1.0,BXB
2018-10-09,10.63,10.69,10.51,10.6,10.6,5858128.0,0.0,1.0,BXB
2018-10-08,10.73,10.82,10.615,10.63,10.63,4696232.0,0.0,1.0,BXB
2018-10-07,10.84,10.93,10.72,10.74,10.74,3091480.0,0.0,1.0,BXB
