date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,7.55,7.595,7.44,7.48,7.48,1126177.0,0.0,1.0,CGC
2018-12-12,7.52,7.63,7.45,7.57,7.57,992393.0,0.0,1.0,CGC
2018-12-11,7.47,7.53,7.38,7.51,7.51,2165545.0,0.0,1.0,CGC
2018-12-10,7.3,7.48,7.3,7.39,7.39,1844766.0,0.0,1.0,CGC
2018-12-09,7.31,7.36,7.16,7.29,7.29,2864455.0,0.0,1.0,CGC
2018-12-06,7.39,7.43,7.31,7.36,7.36,2356951.0,0.0,1.0,CGC
2018-12-05,7.34,7.45,7.29,7.38,7.38,1018751.0,0.0,1.0,CGC
2018-12-04,7.33,7.36,7.15,7.34,7.34,1919834.0,0.0,1.0,CGC
2018-12-03,7.6,7.72,7.525,7.56,7.56,1972114.0,0.0,1.0,CGC
2018-12-02,7.79,7.79,7.56,7.6,7.6,5026554.0,0.0,1.0,CGC
2018-11-29,7.5,7.635,7.44,7.61,7.61,2897651.0,0.0,1.0,CGC
2018-11-28,7.41,7.62,7.41,7.58,7.58,2725839.0,0.0,1.0,CGC
2018-11-27,7.2,7.4,7.2,7.34,7.34,2720726.0,0.0,1.0,CGC
2018-11-26,6.92,7.16,6.9,7.16,7.16,1398494.0,0.0,1.0,CGC
2018-11-25,6.9,6.93,6.78,6.86,6.86,2173971.0,0.0,1.0,CGC
2018-11-22,6.91,7.12,6.86,6.95,6.95,2461600.0,0.0,1.0,CGC
2018-11-21,6.86,6.92,6.4,6.59,6.59,2468980.0,0.0,1.0,CGC
2018-11-20,6.78,6.88,6.7,6.85,6.85,1818804.0,0.0,1.0,CGC
2018-11-19,6.96,7.0,6.8,6.85,6.85,1706089.0,0.0,1.0,CGC
2018-11-18,6.89,7.08,6.76,6.97,6.97,1462058.0,0.0,1.0,CGC
2018-11-15,6.14,6.95,6.14,6.89,6.89,2244444.0,0.0,1.0,CGC
2018-11-14,6.18,6.24,6.12,6.16,6.16,815897.0,0.0,1.0,CGC
2018-11-13,6.3,6.325,6.13,6.16,6.16,1004116.0,0.0,1.0,CGC
2018-11-12,6.49,6.53,6.305,6.34,6.34,755818.0,0.0,1.0,CGC
2018-11-11,6.63,6.64,6.42,6.51,6.51,1132228.0,0.0,1.0,CGC
2018-11-08,6.27,6.59,6.255,6.52,6.52,1759489.0,0.0,1.0,CGC
2018-11-07,6.22,6.3,6.155,6.23,6.23,829270.0,0.0,1.0,CGC
2018-11-06,6.2,6.23,6.03,6.17,6.17,1384388.0,0.0,1.0,CGC
2018-11-05,6.12,6.355,6.12,6.24,6.24,839606.0,0.0,1.0,CGC
2018-11-04,6.21,6.23,6.08,6.12,6.12,815232.0,0.0,1.0,CGC
2018-11-01,6.24,6.24,6.09,6.21,6.21,1509393.0,0.0,1.0,CGC
2018-10-31,6.18,6.33,6.14,6.24,6.24,1153209.0,0.0,1.0,CGC
2018-10-30,6.1,6.18,6.04,6.1,6.1,921889.0,0.0,1.0,CGC
2018-10-29,5.91,6.02,5.85,5.99,5.99,1522908.0,0.0,1.0,CGC
2018-10-28,6.04,6.14,5.88,5.9,5.9,1431560.0,0.0,1.0,CGC
2018-10-25,6.11,6.115,5.94,5.98,5.98,1892334.0,0.0,1.0,CGC
2018-10-24,6.12,6.17,6.0,6.06,6.06,2085686.0,0.0,1.0,CGC
2018-10-23,6.22,6.22,6.07,6.09,6.09,1335976.0,0.0,1.0,CGC
2018-10-22,6.09,6.17,6.03,6.15,6.15,1248868.0,0.0,1.0,CGC
2018-10-21,6.08,6.105,5.99,6.02,6.02,1263498.0,0.0,1.0,CGC
2018-10-18,6.25,6.25,6.09,6.12,6.12,1223194.0,0.0,1.0,CGC
2018-10-17,6.42,6.44,6.235,6.29,6.29,1234786.0,0.0,1.0,CGC
2018-10-16,6.35,6.46,6.35,6.43,6.43,1412524.0,0.0,1.0,CGC
2018-10-15,6.3,6.35,6.22,6.31,6.31,1413870.0,0.0,1.0,CGC
2018-10-14,6.5,6.5,6.235,6.27,6.27,2107516.0,0.0,1.0,CGC
2018-10-11,6.44,6.63,6.405,6.52,6.52,2004516.0,0.0,1.0,CGC
2018-10-10,6.5,6.57,6.1,6.54,6.54,1985563.0,0.0,1.0,CGC
2018-10-09,6.65,6.75,6.57,6.68,6.68,1458162.0,0.0,1.0,CGC
2018-10-08,6.73,6.77,6.56,6.57,6.57,1754115.0,0.0,1.0,CGC
2018-10-07,6.65,6.79,6.58,6.74,6.74,1556660.0,0.0,1.0,CGC
2018-10-05,6.8,6.84,6.66,6.69,6.69,1210868.0,0.0,1.0,CGC
2018-10-04,6.97,7.0,6.77,6.82,6.82,1768556.0,0.0,1.0,CGC
2018-10-03,7.18,7.19,7.03,7.04,7.04,1688197.0,0.0,1.0,CGC
2018-10-02,7.15,7.24,7.08,7.22,7.22,1641071.0,0.0,1.0,CGC
2018-10-01,7.17,7.19,7.09,7.13,7.13,617904.0,0.0,1.0,CGC
2018-09-28,7.28,7.29,7.05,7.13,7.13,1404858.0,0.0,1.0,CGC
2018-09-27,7.13,7.24,7.03,7.22,7.22,1911389.0,0.0,1.0,CGC
2018-09-26,6.94,7.08,6.88,7.07,7.07,1751216.0,0.0,1.0,CGC
2018-09-25,6.88,6.88,6.68,6.83,6.83,2501201.0,0.0,1.0,CGC
2018-09-24,6.89,7.005,6.79,6.82,6.82,1627395.0,0.0,1.0,CGC
2018-09-21,6.84,6.85,6.66,6.8,6.8,2588299.0,0.0,1.0,CGC
2018-09-20,6.86,6.95,6.815,6.84,6.84,2920151.0,0.0,1.0,CGC
2018-09-19,6.85,7.05,6.775,6.86,6.86,3431171.0,0.0,1.0,CGC
2018-09-18,6.72,6.72,6.5,6.54,6.54,1773868.0,0.0,1.0,CGC
2018-09-17,6.78,6.8,6.66,6.72,6.72,2233232.0,0.0,1.0,CGC
2018-09-14,6.71,6.75,6.61,6.75,6.75,1627636.0,0.0,1.0,CGC
2018-09-13,6.64,6.72,6.55,6.7,6.7,1504016.0,0.0,1.0,CGC
2018-09-12,6.72,6.76,6.51,6.61,6.61,2285491.0,0.0,1.0,CGC
2018-09-11,6.67,6.86,6.62,6.82,6.735,2044877.0,0.0,1.0,CGC
2018-09-10,6.85,6.89,6.62,6.62,6.5375,1273038.0,0.0,1.0,CGC
2018-09-07,6.75,6.93,6.7,6.85,6.7646,1657982.0,0.0,1.0,CGC
2018-09-06,6.83,6.85,6.55,6.78,6.6955,3957000.0,0.0,1.0,CGC
2018-09-05,7.11,7.16,6.87,6.9,6.814,3087813.0,0.0,1.0,CGC
2018-09-04,7.11,7.27,7.05,7.06,6.972,1612719.0,0.0,1.0,CGC
2018-09-03,7.02,7.26,7.0,7.11,7.0214,1851271.0,0.0,1.0,CGC
2018-08-31,7.27,7.37,7.215,7.23,7.1399,1864225.0,0.0,1.0,CGC
2018-08-30,7.4,7.41,7.18,7.38,7.288,3685442.0,0.0,1.0,CGC
2018-08-29,7.57,7.64,7.36,7.42,7.3275,3390340.0,0.0,1.0,CGC
2018-08-28,7.48,7.66,7.33,7.52,7.4263,3632690.0,0.0,1.0,CGC
2018-08-27,7.69,7.69,7.1,7.48,7.3868,6219890.0,0.0,1.0,CGC
2018-08-24,7.23,8.25,6.86,7.74,7.6435,5856221.0,0.0,1.0,CGC
2018-08-23,8.68,8.79,8.55,8.74,8.6311,856750.0,0.0,1.0,CGC
2018-08-22,8.54,8.63,8.47,8.62,8.5126,809611.0,0.0,1.0,CGC
2018-08-21,8.6,8.6,8.46,8.53,8.4237,445373.0,0.0,1.0,CGC
2018-08-20,8.57,8.69,8.49,8.55,8.4434,778854.0,0.0,1.0,CGC
2018-08-17,8.36,8.535,8.36,8.49,8.3842,810966.0,0.0,1.0,CGC
2018-08-16,8.19,8.37,8.15,8.28,8.1768,772173.0,0.0,1.0,CGC
2018-08-15,8.19,8.31,8.16,8.25,8.1472,491456.0,0.0,1.0,CGC
2018-08-14,8.09,8.26,8.07,8.19,8.0879,636204.0,0.0,1.0,CGC
2018-08-13,8.35,8.36,8.085,8.11,8.0089,906228.0,0.0,1.0,CGC
2018-08-10,8.43,8.46,8.32,8.33,8.2262,463144.0,0.0,1.0,CGC
2018-08-09,8.4,8.46,8.28,8.39,8.2854,666069.0,0.0,1.0,CGC
2018-08-08,8.35,8.47,8.3,8.43,8.3249,973017.0,0.0,1.0,CGC
2018-08-07,8.45,8.51,8.37,8.4,8.2953,1071532.0,0.0,1.0,CGC
2018-08-06,8.4,8.45,8.28,8.42,8.3151,604861.0,0.0,1.0,CGC
2018-08-03,8.3,8.37,8.25,8.36,8.2558,568032.0,0.0,1.0,CGC
2018-08-02,8.07,8.23,8.02,8.2,8.0978,895210.0,0.0,1.0,CGC
2018-08-01,7.94,8.05,7.9,8.0,7.9003,1294316.0,0.0,1.0,CGC
2018-07-31,8.04,8.04,7.81,7.87,7.7719,924683.0,0.0,1.0,CGC
2018-07-30,8.1,8.14,7.92,8.0,7.9003,562338.0,0.0,1.0,CGC
2018-07-27,8.0,8.09,7.95,8.06,7.9595,1030523.0,0.0,1.0,CGC
2018-07-26,7.78,7.98,7.68,7.96,7.8608,1613469.0,0.0,1.0,CGC
2018-07-25,7.65,7.76,7.56,7.73,7.6337,1310993.0,0.0,1.0,CGC
2018-07-24,7.65,7.66,7.56,7.6,7.5053,787437.0,0.0,1.0,CGC
2018-07-23,7.76,7.8,7.55,7.57,7.4757,1032440.0,0.0,1.0,CGC
2018-07-20,7.69,7.82,7.66,7.76,7.6633,782078.0,0.0,1.0,CGC
2018-07-19,7.75,7.81,7.69,7.69,7.5942,1114325.0,0.0,1.0,CGC
2018-07-18,7.8,7.81,7.72,7.76,7.6633,959444.0,0.0,1.0,CGC
2018-07-17,7.87,7.88,7.74,7.76,7.6633,1447332.0,0.0,1.0,CGC
2018-07-16,7.92,7.93,7.79,7.8,7.7028,1197053.0,0.0,1.0,CGC
2018-07-13,7.93,8.0,7.8,7.86,7.762,1333489.0,0.0,1.0,CGC
2018-07-12,7.68,7.88,7.65,7.85,7.7522,1796459.0,0.0,1.0,CGC
2018-07-11,7.63,7.69,7.52,7.6,7.5053,1500365.0,0.0,1.0,CGC
2018-07-10,7.65,7.67,7.56,7.58,7.4855,948941.0,0.0,1.0,CGC
2018-07-09,7.65,7.7,7.54,7.57,7.4757,1255432.0,0.0,1.0,CGC
2018-07-06,7.75,7.8,7.64,7.68,7.5843,1032835.0,0.0,1.0,CGC
2018-07-05,7.8,7.81,7.62,7.72,7.6238,1666025.0,0.0,1.0,CGC
2018-07-04,7.82,7.91,7.65,7.83,7.7324,1270679.0,0.0,1.0,CGC
