date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,9.61,9.97,9.61,9.88,9.88,2167627.0,0.0,1.0,CGF
2018-12-12,9.57,10.02,9.5,9.81,9.81,2623457.0,0.0,1.0,CGF
2018-12-11,9.0,9.73,9.0,9.5,9.5,3649836.0,0.0,1.0,CGF
2018-12-10,9.27,9.305,9.01,9.08,9.08,2620841.0,0.0,1.0,CGF
2018-12-09,9.37,9.46,9.17,9.35,9.35,1995907.0,0.0,1.0,CGF
2018-12-06,9.77,9.855,9.42,9.49,9.49,1683048.0,0.0,1.0,CGF
2018-12-05,9.5,9.62,9.36,9.42,9.42,1625851.0,0.0,1.0,CGF
2018-12-04,9.5,9.58,9.42,9.55,9.55,1826920.0,0.0,1.0,CGF
2018-12-03,9.88,10.07,9.61,9.64,9.64,2439938.0,0.0,1.0,CGF
2018-12-02,9.6,10.07,9.6,10.04,10.04,3821939.0,0.0,1.0,CGF
2018-11-29,9.82,9.83,9.48,9.52,9.52,3514590.0,0.0,1.0,CGF
2018-11-28,10.02,10.09,9.725,9.84,9.84,2682039.0,0.0,1.0,CGF
2018-11-27,10.07,10.09,9.79,10.02,10.02,2108553.0,0.0,1.0,CGF
2018-11-26,9.64,9.92,9.56,9.89,9.89,1959141.0,0.0,1.0,CGF
2018-11-25,9.64,9.64,9.465,9.53,9.53,1607582.0,0.0,1.0,CGF
2018-11-22,9.64,9.68,9.52,9.61,9.61,1018560.0,0.0,1.0,CGF
2018-11-21,9.37,9.49,9.305,9.47,9.47,1306194.0,0.0,1.0,CGF
2018-11-20,9.36,9.39,9.23,9.32,9.32,2186231.0,0.0,1.0,CGF
2018-11-19,9.6,9.64,9.39,9.47,9.47,1859475.0,0.0,1.0,CGF
2018-11-18,9.77,9.81,9.64,9.67,9.67,1180054.0,0.0,1.0,CGF
2018-11-15,9.82,9.88,9.74,9.77,9.77,1354393.0,0.0,1.0,CGF
2018-11-14,9.84,9.93,9.715,9.86,9.86,1607461.0,0.0,1.0,CGF
2018-11-13,9.89,9.92,9.73,9.73,9.73,2447765.0,0.0,1.0,CGF
2018-11-12,9.63,9.76,9.57,9.7,9.7,2071067.0,0.0,1.0,CGF
2018-11-11,9.84,9.99,9.77,9.84,9.84,1740046.0,0.0,1.0,CGF
2018-11-08,9.96,10.03,9.68,9.84,9.84,3020789.0,0.0,1.0,CGF
2018-11-07,10.13,10.24,9.98,10.0,10.0,4543729.0,0.0,1.0,CGF
2018-11-06,10.12,10.155,9.87,10.08,10.08,3491411.0,0.0,1.0,CGF
2018-11-05,10.23,10.34,10.12,10.19,10.19,1981182.0,0.0,1.0,CGF
2018-11-04,10.46,10.635,10.22,10.24,10.24,3007280.0,0.0,1.0,CGF
2018-11-01,10.5,10.59,10.41,10.5,10.5,2411757.0,0.0,1.0,CGF
2018-10-31,10.23,11.05,10.07,10.66,10.66,6117778.0,0.0,1.0,CGF
2018-10-30,10.7,11.12,10.25,10.26,10.26,5487179.0,0.0,1.0,CGF
2018-10-29,10.32,10.55,10.26,10.5,10.5,2334543.0,0.0,1.0,CGF
2018-10-28,10.4,10.54,10.09,10.32,10.32,1863670.0,0.0,1.0,CGF
2018-10-25,10.72,10.91,10.165,10.27,10.27,3171199.0,0.0,1.0,CGF
2018-10-24,10.97,10.99,10.76,10.77,10.77,1472481.0,0.0,1.0,CGF
2018-10-23,11.08,11.3,11.06,11.15,11.15,1456718.0,0.0,1.0,CGF
2018-10-22,11.35,11.48,11.18,11.19,11.19,1227305.0,0.0,1.0,CGF
2018-10-21,11.57,11.62,11.29,11.52,11.52,2039916.0,0.0,1.0,CGF
2018-10-18,11.5,11.6,11.4,11.57,11.57,3033617.0,0.0,1.0,CGF
2018-10-17,11.1,11.57,11.1,11.51,11.51,2593047.0,0.0,1.0,CGF
2018-10-16,10.85,11.215,10.85,11.07,11.07,1453521.0,0.0,1.0,CGF
2018-10-15,10.6,10.8,10.565,10.72,10.72,1347772.0,0.0,1.0,CGF
2018-10-14,10.55,10.66,10.43,10.59,10.59,1116968.0,0.0,1.0,CGF
2018-10-11,10.38,10.7,10.32,10.64,10.64,3435659.0,0.0,1.0,CGF
2018-10-10,10.75,10.8,10.44,10.44,10.44,2652721.0,0.0,1.0,CGF
2018-10-09,10.89,11.02,10.78,10.91,10.91,1937991.0,0.0,1.0,CGF
2018-10-08,10.97,11.07,10.85,11.02,11.02,1513061.0,0.0,1.0,CGF
2018-10-07,11.02,11.09,10.9,10.98,10.98,1192384.0,0.0,1.0,CGF
2018-10-05,10.96,11.16,10.96,11.07,11.07,971701.0,0.0,1.0,CGF
2018-10-04,10.95,11.18,10.95,11.09,11.09,1015797.0,0.0,1.0,CGF
2018-10-03,10.91,11.02,10.86,10.96,10.96,1557311.0,0.0,1.0,CGF
2018-10-02,10.99,11.09,10.93,10.95,10.95,1885524.0,0.0,1.0,CGF
2018-10-01,11.01,11.12,10.9,10.94,10.94,1321202.0,0.0,1.0,CGF
2018-09-28,11.03,11.27,10.93,11.2,11.2,1924255.0,0.0,1.0,CGF
2018-09-27,10.98,11.07,10.96,11.02,11.02,1049112.0,0.0,1.0,CGF
2018-09-26,11.03,11.1,10.9,10.99,10.99,1915791.0,0.0,1.0,CGF
