date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,44.25,44.43,42.7,43.04,43.04,437480.0,0.0,1.0,CIM
2018-12-12,42.47,42.8,42.15,42.57,42.57,246298.0,0.0,1.0,CIM
2018-12-11,41.92,41.92,41.25,41.5,41.5,482818.0,0.0,1.0,CIM
2018-12-10,40.58,42.12,40.58,41.65,41.65,391851.0,0.0,1.0,CIM
2018-12-09,40.84,41.405,39.575,39.78,39.78,329051.0,0.0,1.0,CIM
2018-12-06,41.96,42.22,41.27,41.46,41.46,205459.0,0.0,1.0,CIM
2018-12-05,41.0,41.68,40.82,41.68,41.68,227960.0,0.0,1.0,CIM
2018-12-04,40.83,41.3,40.76,41.19,41.19,228879.0,0.0,1.0,CIM
2018-12-03,42.3,42.99,41.555,41.68,41.68,367430.0,0.0,1.0,CIM
2018-12-02,41.41,42.65,40.51,42.25,42.25,434226.0,0.0,1.0,CIM
2018-11-29,42.83,42.88,40.58,40.6,40.6,921519.0,0.0,1.0,CIM
2018-11-28,43.55,43.87,42.775,42.94,42.94,342414.0,0.0,1.0,CIM
2018-11-27,44.23,44.25,43.055,43.28,43.28,325668.0,0.0,1.0,CIM
2018-11-26,43.11,43.66,42.58,43.58,43.58,405917.0,0.0,1.0,CIM
2018-11-25,42.54,42.62,42.14,42.49,42.49,212570.0,0.0,1.0,CIM
2018-11-22,42.18,42.81,42.02,42.78,42.78,168928.0,0.0,1.0,CIM
2018-11-21,42.51,42.77,41.91,42.06,42.06,197784.0,0.0,1.0,CIM
2018-11-20,41.94,42.43,41.45,42.09,42.09,413289.0,0.0,1.0,CIM
2018-11-19,42.51,42.95,42.01,42.32,42.32,316459.0,0.0,1.0,CIM
2018-11-18,43.77,43.77,42.785,43.03,43.03,259080.0,0.0,1.0,CIM
2018-11-15,43.61,44.23,43.53,43.8,43.8,276098.0,0.0,1.0,CIM
2018-11-14,43.26,43.68,42.97,43.46,43.46,417599.0,0.0,1.0,CIM
2018-11-13,44.96,45.21,43.32,43.4,43.4,465933.0,0.0,1.0,CIM
2018-11-12,45.75,46.36,45.16,45.19,45.19,251410.0,0.0,1.0,CIM
2018-11-11,46.18,46.58,45.95,46.48,46.48,231774.0,0.0,1.0,CIM
2018-11-08,46.83,47.33,46.33,46.58,46.58,290312.0,0.0,1.0,CIM
2018-11-07,47.23,47.58,47.2,47.37,47.37,166567.0,0.0,1.0,CIM
2018-11-06,46.51,47.04,46.075,46.97,46.97,229242.0,0.0,1.0,CIM
2018-11-05,46.63,47.06,46.45,46.77,46.77,227672.0,0.0,1.0,CIM
2018-11-04,45.9,47.47,45.9,46.86,46.86,267761.0,0.0,1.0,CIM
2018-11-01,46.56,47.47,46.01,46.42,46.42,306971.0,0.0,1.0,CIM
2018-10-31,46.75,47.42,46.615,47.08,47.08,286054.0,0.0,1.0,CIM
2018-10-30,47.29,47.63,46.6,47.29,47.29,366803.0,0.0,1.0,CIM
2018-10-29,45.37,47.37,45.02,47.27,47.27,260816.0,0.0,1.0,CIM
2018-10-28,45.49,46.39,45.43,45.98,45.98,161157.0,0.0,1.0,CIM
2018-10-25,45.9,46.35,45.4,45.72,45.72,326740.0,0.0,1.0,CIM
2018-10-24,46.63,47.0,45.93,45.93,45.93,441655.0,0.0,1.0,CIM
2018-10-23,47.81,48.48,46.86,47.71,47.71,492968.0,0.0,1.0,CIM
2018-10-22,46.96,46.96,46.13,46.96,46.96,381528.0,0.0,1.0,CIM
2018-10-21,46.11,46.49,45.48,46.23,46.23,235287.0,0.0,1.0,CIM
