date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,6.68,6.78,6.64,6.67,6.67,108387.0,0.0,1.0,CKF
2018-12-12,6.75,6.85,6.68,6.79,6.79,168066.0,0.0,1.0,CKF
2018-12-11,6.84,6.84,6.61,6.74,6.74,277558.0,0.0,1.0,CKF
2018-12-10,6.8,6.82,6.63,6.82,6.82,356149.0,0.0,1.0,CKF
2018-12-09,6.82,6.86,6.65,6.74,6.74,381255.0,0.0,1.0,CKF
2018-12-06,6.85,6.88,6.74,6.79,6.79,285074.0,0.0,1.0,CKF
2018-12-05,6.75,6.9,6.75,6.87,6.87,446047.0,0.0,1.0,CKF
2018-12-04,6.91,6.99,6.89,6.9,6.81,262097.0,0.0,1.0,CKF
2018-12-03,7.2,7.24,7.02,7.06,6.9679,293103.0,0.0,1.0,CKF
2018-12-02,7.34,7.34,7.18,7.25,7.1554,376219.0,0.0,1.0,CKF
2018-11-29,7.22,7.35,7.01,7.35,7.2541,750366.0,0.0,1.0,CKF
2018-11-28,7.15,7.26,7.12,7.22,7.1258,1364474.0,0.0,1.0,CKF
2018-11-27,6.56,7.0,6.48,6.95,6.8593,671647.0,0.0,1.0,CKF
2018-11-26,6.51,6.67,6.48,6.58,6.4942,751051.0,0.0,1.0,CKF
2018-11-25,6.69,6.71,6.55,6.61,6.5238,321054.0,0.0,1.0,CKF
2018-11-22,6.69,6.8,6.66,6.69,6.6027,149452.0,0.0,1.0,CKF
2018-11-21,6.62,6.77,6.62,6.75,6.662,234197.0,0.0,1.0,CKF
2018-11-20,6.74,6.84,6.66,6.68,6.5929,269785.0,0.0,1.0,CKF
2018-11-19,6.75,6.765,6.61,6.73,6.6422,610463.0,0.0,1.0,CKF
2018-11-18,6.9,6.9,6.81,6.83,6.7409,457725.0,0.0,1.0,CKF
2018-11-15,6.99,7.04,6.88,6.9,6.81,196541.0,0.0,1.0,CKF
2018-11-14,6.96,7.04,6.9,6.96,6.8692,318582.0,0.0,1.0,CKF
2018-11-13,7.2,7.2,6.955,6.97,6.8791,498988.0,0.0,1.0,CKF
2018-11-12,7.19,7.22,7.05,7.21,7.116,795033.0,0.0,1.0,CKF
2018-11-11,7.06,7.325,7.01,7.25,7.1554,770275.0,0.0,1.0,CKF
2018-11-08,7.08,7.08,6.96,7.03,6.9383,358016.0,0.0,1.0,CKF
2018-11-07,7.2,7.25,7.05,7.06,6.9679,1039687.0,0.0,1.0,CKF
2018-11-06,6.9,7.09,6.81,7.09,6.9975,1125056.0,0.0,1.0,CKF
2018-11-05,6.73,6.88,6.67,6.86,6.7705,540637.0,0.0,1.0,CKF
2018-11-04,6.86,6.9,6.68,6.73,6.6422,731493.0,0.0,1.0,CKF
2018-11-01,6.72,6.89,6.67,6.77,6.6817,677184.0,0.0,1.0,CKF
2018-10-31,6.4,6.775,6.4,6.67,6.583,571259.0,0.0,1.0,CKF
2018-10-30,6.4,6.445,6.33,6.41,6.3264,741597.0,0.0,1.0,CKF
2018-10-29,6.3,6.38,6.22,6.37,6.2869,711572.0,0.0,1.0,CKF
2018-10-28,6.25,6.335,6.24,6.3,6.2178,387177.0,0.0,1.0,CKF
2018-10-25,6.36,6.43,6.22,6.28,6.1981,263859.0,0.0,1.0,CKF
2018-10-24,6.25,6.4,6.25,6.33,6.2474,419130.0,0.0,1.0,CKF
2018-10-23,6.39,6.4,6.31,6.31,6.2277,483129.0,0.0,1.0,CKF
2018-10-22,6.6,6.62,6.37,6.4,6.3165,482240.0,0.0,1.0,CKF
2018-10-21,6.68,6.68,6.59,6.62,6.5337,253211.0,0.0,1.0,CKF
2018-10-18,6.66,6.705,6.58,6.68,6.5929,401056.0,0.0,1.0,CKF
2018-10-17,6.7,6.78,6.61,6.7,6.6126,390655.0,0.0,1.0,CKF
2018-10-16,6.65,6.7,6.52,6.61,6.5238,866890.0,0.0,1.0,CKF
2018-10-15,6.61,6.81,6.61,6.65,6.5633,446785.0,0.0,1.0,CKF
2018-10-14,6.59,6.66,6.55,6.64,6.5534,455461.0,0.0,1.0,CKF
2018-10-11,6.62,6.64,6.57,6.6,6.5139,631292.0,0.0,1.0,CKF
2018-10-10,6.57,6.735,6.57,6.63,6.5435,468991.0,0.0,1.0,CKF
2018-10-09,6.64,6.72,6.61,6.65,6.5633,536600.0,0.0,1.0,CKF
2018-10-08,6.69,6.74,6.62,6.65,6.5633,614633.0,0.0,1.0,CKF
2018-10-07,6.58,6.69,6.48,6.68,6.5929,515400.0,0.0,1.0,CKF
2018-10-05,6.48,6.53,6.34,6.45,6.3659,508268.0,0.0,1.0,CKF
2018-10-04,6.11,6.49,6.09,6.45,6.3659,1298694.0,0.0,1.0,CKF
2018-10-03,6.17,6.17,6.09,6.11,6.0303,162290.0,0.0,1.0,CKF
2018-10-02,6.22,6.24,6.13,6.19,6.1093,209352.0,0.0,1.0,CKF
2018-10-01,6.23,6.24,6.14,6.2,6.1191,103612.0,0.0,1.0,CKF
2018-09-28,6.09,6.24,6.09,6.19,6.1093,596988.0,0.0,1.0,CKF
2018-09-27,5.95,6.09,5.95,6.06,5.981,820803.0,0.0,1.0,CKF
2018-09-26,6.01,6.02,5.94,6.0,5.9217,185821.0,0.0,1.0,CKF
2018-09-25,6.02,6.04,5.98,6.02,5.9415,982414.0,0.0,1.0,CKF
2018-09-24,6.0,6.08,5.98,6.02,5.9415,374421.0,0.0,1.0,CKF
2018-09-21,5.84,5.99,5.84,5.95,5.8724,265246.0,0.0,1.0,CKF
2018-09-20,5.9,5.995,5.79,5.8,5.7243,414596.0,0.0,1.0,CKF
2018-09-19,5.87,5.9,5.8,5.89,5.8132,283381.0,0.0,1.0,CKF
2018-09-18,5.89,5.94,5.81,5.88,5.8033,277327.0,0.0,1.0,CKF
2018-09-17,5.84,5.97,5.83,5.91,5.8329,299261.0,0.0,1.0,CKF
2018-09-14,5.73,5.84,5.72,5.82,5.7441,304297.0,0.0,1.0,CKF
2018-09-13,5.64,5.76,5.62,5.73,5.6553,130276.0,0.0,1.0,CKF
2018-09-12,5.53,5.71,5.53,5.7,5.6257,120214.0,0.0,1.0,CKF
2018-09-11,5.56,5.68,5.52,5.58,5.5072,146420.0,0.0,1.0,CKF
2018-09-10,5.69,5.76,5.55,5.61,5.5368,245530.0,0.0,1.0,CKF
2018-09-07,5.7,5.77,5.66,5.69,5.6158,155127.0,0.0,1.0,CKF
2018-09-06,5.65,5.7,5.6,5.7,5.6257,143222.0,0.0,1.0,CKF
2018-09-05,5.62,5.69,5.62,5.69,5.6158,110771.0,0.0,1.0,CKF
2018-09-04,5.61,5.66,5.6,5.62,5.5467,109927.0,0.0,1.0,CKF
2018-09-03,5.66,5.66,5.58,5.61,5.5368,36999.0,0.0,1.0,CKF
2018-08-31,5.59,5.66,5.59,5.66,5.5862,112969.0,0.0,1.0,CKF
2018-08-30,5.58,5.67,5.58,5.65,5.5763,117202.0,0.0,1.0,CKF
2018-08-29,5.63,5.665,5.57,5.57,5.4973,183317.0,0.0,1.0,CKF
2018-08-28,5.6,5.64,5.56,5.6,5.527,100717.0,0.0,1.0,CKF
2018-08-27,5.62,5.64,5.52,5.61,5.5368,128215.0,0.0,1.0,CKF
2018-08-24,5.67,5.68,5.59,5.64,5.5664,216708.0,0.0,1.0,CKF
2018-08-23,5.55,5.72,5.54,5.7,5.6257,213010.0,0.0,1.0,CKF
2018-08-22,5.64,5.71,5.51,5.52,5.448,149120.0,0.0,1.0,CKF
2018-08-21,5.55,5.67,5.55,5.65,5.5763,154312.0,0.0,1.0,CKF
2018-08-20,5.5,5.58,5.42,5.55,5.4776,154136.0,0.0,1.0,CKF
2018-08-17,5.5,5.62,5.47,5.6,5.527,157923.0,0.0,1.0,CKF
2018-08-16,5.43,5.51,5.38,5.48,5.4085,271409.0,0.0,1.0,CKF
2018-08-15,5.4,5.49,5.385,5.46,5.3888,165079.0,0.0,1.0,CKF
2018-08-14,5.38,5.42,5.36,5.39,5.3197,120362.0,0.0,1.0,CKF
2018-08-13,5.4,5.4,5.34,5.39,5.3197,108439.0,0.0,1.0,CKF
2018-08-10,5.42,5.43,5.39,5.4,5.3296,136866.0,0.0,1.0,CKF
2018-08-09,5.37,5.43,5.35,5.41,5.3394,83466.0,0.0,1.0,CKF
2018-08-08,5.35,5.38,5.28,5.36,5.2901,154017.0,0.0,1.0,CKF
2018-08-07,5.29,5.36,5.26,5.36,5.2901,218377.0,0.0,1.0,CKF
2018-08-06,5.28,5.3,5.24,5.28,5.2111,78991.0,0.0,1.0,CKF
2018-08-03,5.24,5.285,5.22,5.27,5.2013,271399.0,0.0,1.0,CKF
2018-08-02,5.19,5.25,5.18,5.22,5.1519,247704.0,0.0,1.0,CKF
2018-08-01,5.21,5.22,5.17,5.21,5.142,198218.0,0.0,1.0,CKF
2018-07-31,5.25,5.25,5.16,5.21,5.142,145681.0,0.0,1.0,CKF
2018-07-30,5.19,5.265,5.165,5.24,5.1717,280393.0,0.0,1.0,CKF
2018-07-27,5.23,5.24,5.16,5.19,5.1223,135058.0,0.0,1.0,CKF
2018-07-26,5.25,5.26,5.2,5.23,5.1618,97243.0,0.0,1.0,CKF
2018-07-25,5.24,5.26,5.2,5.23,5.1618,223234.0,0.0,1.0,CKF
2018-07-24,5.25,5.27,5.22,5.23,5.1618,464405.0,0.0,1.0,CKF
2018-07-23,5.23,5.26,5.22,5.23,5.1618,198910.0,0.0,1.0,CKF
2018-07-20,5.23,5.25,5.22,5.23,5.1618,129125.0,0.0,1.0,CKF
2018-07-19,5.25,5.29,5.2,5.23,5.1618,232652.0,0.0,1.0,CKF
2018-07-18,5.31,5.33,5.22,5.23,5.1618,500145.0,0.0,1.0,CKF
2018-07-17,5.23,5.27,5.22,5.23,5.1618,175417.0,0.0,1.0,CKF
2018-07-16,5.37,5.37,5.22,5.23,5.1618,213193.0,0.0,1.0,CKF
2018-07-13,5.35,5.37,5.305,5.33,5.2605,257410.0,0.0,1.0,CKF
2018-07-12,5.24,5.36,5.24,5.35,5.2802,355974.0,0.0,1.0,CKF
2018-07-11,5.36,5.4,5.175,5.25,5.1815,505482.0,0.0,1.0,CKF
2018-07-10,5.42,5.47,5.315,5.37,5.3,296552.0,0.0,1.0,CKF
2018-07-09,5.5,5.53,5.44,5.48,5.3197,215307.0,0.0,1.0,CKF
2018-07-06,5.4,5.49,5.39,5.49,5.3294,153364.0,0.0,1.0,CKF
2018-07-05,5.55,5.62,5.36,5.46,5.3003,301824.0,0.0,1.0,CKF
2018-07-04,5.5,5.58,5.5,5.53,5.3682,164996.0,0.0,1.0,CKF
2018-07-03,5.55,5.59,5.47,5.5,5.3391,318429.0,0.0,1.0,CKF
2018-07-02,5.59,5.6,5.51,5.51,5.3488,414293.0,0.0,1.0,CKF
