date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.37,2.39,2.36,2.38,2.38,96490.0,0.0,1.0,CMA
2018-12-12,2.39,2.4,2.35,2.36,2.36,1123551.0,0.0,1.0,CMA
2018-12-11,2.4,2.4,2.39,2.39,2.39,434914.0,0.0,1.0,CMA
2018-12-10,2.4,2.4,2.38,2.4,2.4,183558.0,0.0,1.0,CMA
2018-12-09,2.39,2.4,2.38,2.4,2.4,310667.0,0.0,1.0,CMA
2018-12-06,2.39,2.4,2.38,2.4,2.4,331270.0,0.0,1.0,CMA
2018-12-05,2.37,2.41,2.36,2.38,2.38,1559275.0,0.0,1.0,CMA
2018-12-04,2.39,2.39,2.36,2.36,2.36,165260.0,0.0,1.0,CMA
2018-12-03,2.4,2.4,2.38,2.39,2.39,222658.0,0.0,1.0,CMA
2018-12-02,2.4,2.4,2.38,2.4,2.4,294149.0,0.0,1.0,CMA
2018-11-29,2.4,2.4,2.38,2.38,2.38,227049.0,0.0,1.0,CMA
2018-11-28,2.4,2.41,2.38,2.4,2.4,335356.0,0.0,1.0,CMA
2018-11-27,2.39,2.39,2.38,2.38,2.38,340174.0,0.0,1.0,CMA
2018-11-26,2.44,2.44,2.39,2.39,2.39,299880.0,0.0,1.0,CMA
2018-11-25,2.4,2.41,2.39,2.41,2.41,175181.0,0.0,1.0,CMA
2018-11-22,2.39,2.4,2.38,2.4,2.4,425333.0,0.0,1.0,CMA
2018-11-21,2.37,2.4,2.37,2.39,2.39,210406.0,0.0,1.0,CMA
2018-11-20,2.39,2.39,2.35,2.39,2.39,358500.0,0.0,1.0,CMA
2018-11-19,2.39,2.4,2.38,2.39,2.39,372405.0,0.0,1.0,CMA
2018-11-18,2.39,2.4,2.37,2.4,2.4,234815.0,0.0,1.0,CMA
2018-11-15,2.4,2.41,2.38,2.39,2.39,288889.0,0.0,1.0,CMA
2018-11-14,2.4,2.41,2.37,2.39,2.39,358312.0,0.0,1.0,CMA
2018-11-13,2.42,2.43,2.39,2.39,2.39,886388.0,0.0,1.0,CMA
2018-11-12,2.39,2.43,2.38,2.42,2.42,859712.0,0.0,1.0,CMA
2018-11-11,2.4,2.41,2.38,2.38,2.38,658681.0,0.0,1.0,CMA
2018-11-08,2.4,2.4,2.37,2.4,2.4,444723.0,0.0,1.0,CMA
2018-11-07,2.39,2.405,2.37,2.4,2.4,911201.0,0.0,1.0,CMA
2018-11-06,2.36,2.38,2.36,2.37,2.37,644285.0,0.0,1.0,CMA
2018-11-05,2.33,2.35,2.33,2.35,2.35,594866.0,0.0,1.0,CMA
2018-11-04,2.31,2.34,2.31,2.32,2.32,619594.0,0.0,1.0,CMA
2018-11-01,2.32,2.33,2.29,2.3,2.3,1604448.0,0.0,1.0,CMA
2018-10-31,2.35,2.37,2.31,2.32,2.32,1001564.0,0.0,1.0,CMA
2018-10-30,2.36,2.38,2.32,2.35,2.35,650040.0,0.0,1.0,CMA
2018-10-29,2.38,2.38,2.35,2.36,2.36,398591.0,0.0,1.0,CMA
