date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.01,1.015,1.005,1.005,1.005,3814959.0,0.0,1.0,CMW
2018-12-12,1.015,1.02,1.0,1.01,1.01,6100429.0,0.0,1.0,CMW
2018-12-11,1.005,1.02,1.0,1.02,1.02,7015591.0,0.0,1.0,CMW
2018-12-10,1.01,1.0125,1.005,1.005,1.005,5451443.0,0.0,1.0,CMW
2018-12-09,1.01,1.02,1.005,1.005,1.005,3146110.0,0.0,1.0,CMW
2018-12-06,1.025,1.03,1.012,1.02,1.02,4928867.0,0.0,1.0,CMW
2018-12-05,1.01,1.03,1.005,1.02,1.02,7559637.0,0.0,1.0,CMW
2018-12-04,1.0,1.01,1.0,1.005,1.005,5097212.0,0.0,1.0,CMW
2018-12-03,1.01,1.02,1.0,1.01,1.01,3680973.0,0.0,1.0,CMW
2018-12-02,1.0,1.01,0.995,1.01,1.01,5250845.0,0.0,1.0,CMW
2018-11-29,1.02,1.02,0.982,0.99,0.99,11640491.0,0.0,1.0,CMW
2018-11-28,1.0233,1.0233,1.0233,1.0233,1.0233,0.0,0.0,1.0,CMW
2018-11-27,1.0233,1.0233,1.0233,1.0233,1.0233,0.0,0.0,1.0,CMW
2018-11-26,1.0233,1.0233,1.0233,1.0233,1.0233,0.0,0.0,1.0,CMW
2018-11-25,1.0233,1.0283,1.0184,1.0233,1.0233,2016909.0,0.0,1.0,CMW
2018-11-22,1.0233,1.0283,1.0184,1.0233,1.0233,2016909.0,0.0,1.0,CMW
2018-11-21,1.0084,1.0233,1.0084,1.0184,1.0184,3321025.0,0.0,1.0,CMW
2018-11-20,1.0084,1.0134,0.9985,1.0134,1.0134,2801665.0,0.0,1.0,CMW
2018-11-19,1.0134,1.0134,1.0035,1.0084,1.0084,2100536.0,0.0,1.0,CMW
2018-11-18,1.0084,1.0134,0.9985,1.0134,1.0134,2391596.0,0.0,1.0,CMW
2018-11-15,1.0184,1.0233,1.0084,1.0084,1.0084,3470699.0,0.0,1.0,CMW
