date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,170.66,171.52,169.09,170.53,170.53,112092.0,0.0,1.0,COH
2018-12-12,172.7,172.87,170.45,171.89,171.89,99856.0,0.0,1.0,COH
2018-12-11,170.0,171.24,166.36,170.44,170.44,177197.0,0.0,1.0,COH
2018-12-10,167.83,170.79,167.41,170.48,170.48,156856.0,0.0,1.0,COH
2018-12-09,172.0,172.04,165.22,165.73,165.73,200080.0,0.0,1.0,COH
2018-12-06,172.83,174.8,171.845,174.4,174.4,258772.0,0.0,1.0,COH
2018-12-05,171.57,172.0,167.73,169.35,169.35,136625.0,0.0,1.0,COH
2018-12-04,167.0,171.03,166.11,170.71,170.71,137140.0,0.0,1.0,COH
2018-12-03,172.0,173.07,169.09,169.96,169.96,152137.0,0.0,1.0,COH
2018-12-02,176.4,176.4,171.38,173.0,173.0,167691.0,0.0,1.0,COH
2018-11-29,173.0,173.0,168.87,169.28,169.28,470456.0,0.0,1.0,COH
2018-11-28,168.6,172.89,168.19,172.7,172.7,257036.0,0.0,1.0,COH
2018-11-27,170.45,170.46,167.34,168.43,168.43,192270.0,0.0,1.0,COH
2018-11-26,167.5,170.45,167.47,169.19,169.19,169609.0,0.0,1.0,COH
2018-11-25,166.98,168.58,166.5,166.83,166.83,195858.0,0.0,1.0,COH
2018-11-22,167.42,168.25,166.79,167.43,167.43,274091.0,0.0,1.0,COH
2018-11-21,166.0,169.0,166.0,167.29,167.29,252277.0,0.0,1.0,COH
2018-11-20,157.5,163.74,156.51,162.66,162.66,322654.0,0.0,1.0,COH
2018-11-19,155.9,159.5,155.22,158.74,158.74,453379.0,0.0,1.0,COH
2018-11-18,158.99,160.0,155.92,156.03,156.03,237652.0,0.0,1.0,COH
2018-11-15,161.63,163.69,159.32,160.63,160.63,227063.0,0.0,1.0,COH
2018-11-14,161.01,164.23,159.94,161.28,161.28,281148.0,0.0,1.0,COH
2018-11-13,167.3,168.02,159.89,160.2,160.2,349541.0,0.0,1.0,COH
2018-11-12,171.35,172.0,167.67,168.02,168.02,205483.0,0.0,1.0,COH
2018-11-11,176.09,176.32,173.25,175.45,175.45,158921.0,0.0,1.0,COH
2018-11-08,173.4,176.69,173.02,176.13,176.13,166381.0,0.0,1.0,COH
2018-11-07,173.07,175.39,172.12,173.02,173.02,133092.0,0.0,1.0,COH
2018-11-06,171.74,172.29,169.2,171.29,171.29,252527.0,0.0,1.0,COH
2018-11-05,172.5,174.06,171.56,171.74,171.74,123415.0,0.0,1.0,COH
2018-11-04,175.56,176.79,172.0,172.73,172.73,249646.0,0.0,1.0,COH
2018-11-01,180.0,181.93,177.06,179.56,179.56,195425.0,0.0,1.0,COH
2018-10-31,178.07,181.26,177.5,179.38,179.38,191716.0,0.0,1.0,COH
2018-10-30,176.01,177.58,173.15,177.58,177.58,206584.0,0.0,1.0,COH
2018-10-29,173.0,175.0,171.07,175.0,175.0,172860.0,0.0,1.0,COH
2018-10-28,173.0,174.45,172.5,173.33,173.33,145366.0,0.0,1.0,COH
2018-10-25,175.05,175.54,171.45,173.56,173.56,197669.0,0.0,1.0,COH
