date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.7,2.74,2.62,2.69,2.69,7672441.0,0.0,1.0,CSR
2018-12-12,2.78,2.83,2.77,2.81,2.81,2717190.0,0.0,1.0,CSR
2018-12-11,2.76,2.79,2.75,2.77,2.77,2139744.0,0.0,1.0,CSR
2018-12-10,2.79,2.84,2.74,2.76,2.76,4378715.0,0.0,1.0,CSR
2018-12-09,2.95,2.98,2.76,2.77,2.77,7224804.0,0.0,1.0,CSR
2018-12-06,2.94,3.0,2.92,2.97,2.97,3643327.0,0.0,1.0,CSR
2018-12-05,3.06,3.07,2.965,2.99,2.99,4963610.0,0.0,1.0,CSR
2018-12-04,2.88,3.02,2.81,2.99,2.99,6957618.0,0.0,1.0,CSR
2018-12-03,3.0,3.06,2.92,2.95,2.95,18125858.0,0.0,1.0,CSR
2018-12-02,3.04,3.11,3.0,3.05,3.05,5485778.0,0.0,1.0,CSR
2018-11-29,3.05,3.07,2.91,3.0,3.0,6917245.0,0.0,1.0,CSR
2018-11-28,3.0,3.165,2.99,3.12,3.12,6536421.0,0.0,1.0,CSR
2018-11-27,3.01,3.05,2.905,3.02,3.02,5160267.0,0.0,1.0,CSR
2018-11-26,2.89,3.0,2.88,2.96,2.96,5708199.0,0.0,1.0,CSR
2018-11-25,2.91,2.925,2.85,2.86,2.86,3276033.0,0.0,1.0,CSR
2018-11-22,2.91,2.95,2.88,2.94,2.94,1966814.0,0.0,1.0,CSR
2018-11-21,2.94,2.97,2.89,2.91,2.91,2258803.0,0.0,1.0,CSR
2018-11-20,2.97,2.97,2.88,2.91,2.91,4759989.0,0.0,1.0,CSR
2018-11-19,2.96,3.05,2.89,3.01,3.01,4736121.0,0.0,1.0,CSR
2018-11-18,3.07,3.075,2.95,2.98,2.98,3224946.0,0.0,1.0,CSR
2018-11-15,3.09,3.12,3.05,3.05,3.05,1996429.0,0.0,1.0,CSR
2018-11-14,3.07,3.13,3.055,3.08,3.08,3064546.0,0.0,1.0,CSR
2018-11-13,3.1,3.19,3.07,3.07,3.07,4420829.0,0.0,1.0,CSR
2018-11-12,3.13,3.155,3.09,3.09,3.09,3063463.0,0.0,1.0,CSR
2018-11-11,3.19,3.215,3.14,3.15,3.15,3083603.0,0.0,1.0,CSR
2018-11-08,3.24,3.24,3.16,3.18,3.18,2561995.0,0.0,1.0,CSR
2018-11-07,3.33,3.365,3.31,3.33,3.2,3615880.0,0.0,1.0,CSR
2018-11-06,3.31,3.35,3.225,3.27,3.1423,5657367.0,0.0,1.0,CSR
2018-11-05,3.23,3.37,3.225,3.34,3.2096,3591147.0,0.0,1.0,CSR
2018-11-04,3.26,3.3,3.21,3.21,3.0847,4905684.0,0.0,1.0,CSR
2018-11-01,3.5,3.52,3.26,3.34,3.2096,7258529.0,0.0,1.0,CSR
2018-10-31,3.56,3.61,3.52,3.59,3.4499,2819846.0,0.0,1.0,CSR
2018-10-30,3.56,3.585,3.49,3.53,3.3922,3365338.0,0.0,1.0,CSR
2018-10-29,3.43,3.58,3.41,3.56,3.421,2648513.0,0.0,1.0,CSR
2018-10-28,3.42,3.47,3.4,3.46,3.3249,1428457.0,0.0,1.0,CSR
2018-10-25,3.35,3.49,3.33,3.42,3.2865,4959882.0,0.0,1.0,CSR
2018-10-24,3.4,3.4,3.32,3.32,3.1904,3421057.0,0.0,1.0,CSR
2018-10-23,3.44,3.54,3.43,3.48,3.3441,3228819.0,0.0,1.0,CSR
2018-10-22,3.53,3.56,3.42,3.44,3.3057,3555780.0,0.0,1.0,CSR
2018-10-21,3.66,3.68,3.55,3.56,3.421,2733312.0,0.0,1.0,CSR
