date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,11.65,11.925,11.64,11.89,11.89,1138024.0,0.0,1.0,CWN
2018-12-12,11.86,11.95,11.74,11.81,11.81,1513365.0,0.0,1.0,CWN
2018-12-11,11.74,11.82,11.63,11.81,11.81,2006815.0,0.0,1.0,CWN
2018-12-10,11.55,11.66,11.51,11.65,11.65,1231801.0,0.0,1.0,CWN
2018-12-09,11.6,11.7,11.51,11.54,11.54,1499824.0,0.0,1.0,CWN
2018-12-06,11.54,11.85,11.51,11.72,11.72,1313057.0,0.0,1.0,CWN
2018-12-05,11.55,11.62,11.51,11.57,11.57,1506174.0,0.0,1.0,CWN
2018-12-04,11.56,11.61,11.43,11.55,11.55,2875091.0,0.0,1.0,CWN
2018-12-03,11.9,11.92,11.71,11.75,11.75,1400138.0,0.0,1.0,CWN
2018-12-02,11.8,11.92,11.78,11.92,11.92,647944.0,0.0,1.0,CWN
2018-11-29,11.91,11.91,11.665,11.7,11.7,2948439.0,0.0,1.0,CWN
2018-11-28,12.08,12.13,11.77,11.8,11.8,1173935.0,0.0,1.0,CWN
2018-11-27,12.09,12.14,11.91,11.93,11.93,1449238.0,0.0,1.0,CWN
2018-11-26,11.9,12.02,11.88,12.01,12.01,965287.0,0.0,1.0,CWN
2018-11-25,11.86,11.86,11.74,11.85,11.85,1331296.0,0.0,1.0,CWN
2018-11-22,11.77,11.86,11.72,11.83,11.83,743238.0,0.0,1.0,CWN
2018-11-21,11.58,11.77,11.57,11.75,11.75,1044593.0,0.0,1.0,CWN
2018-11-20,11.48,11.61,11.43,11.6,11.6,2346778.0,0.0,1.0,CWN
2018-11-19,11.67,11.72,11.545,11.6,11.6,1529014.0,0.0,1.0,CWN
2018-11-18,11.67,11.75,11.64,11.7,11.7,1398216.0,0.0,1.0,CWN
2018-11-15,11.8,11.83,11.69,11.77,11.77,1174570.0,0.0,1.0,CWN
2018-11-14,11.69,11.77,11.64,11.76,11.76,1473288.0,0.0,1.0,CWN
2018-11-13,11.59,11.76,11.55,11.63,11.63,1903049.0,0.0,1.0,CWN
2018-11-12,11.66,11.7,11.53,11.62,11.62,2804914.0,0.0,1.0,CWN
2018-11-11,11.77,11.9,11.73,11.87,11.87,1247444.0,0.0,1.0,CWN
2018-11-08,11.86,11.92,11.715,11.77,11.77,1156692.0,0.0,1.0,CWN
2018-11-07,11.86,11.94,11.66,11.86,11.86,2890984.0,0.0,1.0,CWN
2018-11-06,11.63,11.77,11.55,11.76,11.76,2167014.0,0.0,1.0,CWN
2018-11-05,11.73,11.83,11.63,11.67,11.67,2160629.0,0.0,1.0,CWN
2018-11-04,11.95,12.12,11.87,11.89,11.89,1374615.0,0.0,1.0,CWN
2018-11-01,12.3,12.36,11.855,12.0,12.0,3032652.0,0.0,1.0,CWN
2018-10-31,12.46,12.63,12.21,12.26,12.26,2847166.0,0.0,1.0,CWN
2018-10-30,12.55,12.66,12.42,12.51,12.51,1134359.0,0.0,1.0,CWN
2018-10-29,12.29,12.55,12.25,12.52,12.52,797100.0,0.0,1.0,CWN
2018-10-28,12.36,12.51,12.35,12.43,12.43,703998.0,0.0,1.0,CWN
2018-10-25,12.32,12.42,12.28,12.36,12.36,1239369.0,0.0,1.0,CWN
2018-10-24,12.48,12.6,12.31,12.32,12.32,1746973.0,0.0,1.0,CWN
2018-10-23,12.9,12.91,12.655,12.71,12.71,1431959.0,0.0,1.0,CWN
2018-10-22,13.26,13.3,12.8,12.86,12.86,1408147.0,0.0,1.0,CWN
2018-10-21,13.1,13.1,12.87,12.95,12.95,1177552.0,0.0,1.0,CWN
2018-10-18,13.11,13.17,13.0,13.1,13.1,1380205.0,0.0,1.0,CWN
2018-10-17,13.07,13.22,13.0,13.19,13.19,1491996.0,0.0,1.0,CWN
2018-10-16,13.05,13.13,13.03,13.1,13.1,1234626.0,0.0,1.0,CWN
2018-10-15,12.95,13.06,12.93,13.02,13.02,1359645.0,0.0,1.0,CWN
2018-10-14,13.0,13.09,12.87,12.96,12.96,1329136.0,0.0,1.0,CWN
2018-10-11,13.05,13.09,12.91,13.04,13.04,1701044.0,0.0,1.0,CWN
2018-10-10,13.02,13.18,13.01,13.07,13.07,2100478.0,0.0,1.0,CWN
2018-10-09,13.15,13.25,13.09,13.25,13.25,2258019.0,0.0,1.0,CWN
2018-10-08,13.22,13.31,13.05,13.15,13.15,1999304.0,0.0,1.0,CWN
2018-10-07,13.31,13.4,13.2,13.28,13.28,1045299.0,0.0,1.0,CWN
2018-10-05,13.3,13.42,13.265,13.37,13.37,1043247.0,0.0,1.0,CWN
2018-10-04,13.4,13.43,13.33,13.4,13.4,862574.0,0.0,1.0,CWN
2018-10-03,13.32,13.4,13.27,13.35,13.35,1124982.0,0.0,1.0,CWN
2018-10-02,13.51,13.58,13.2,13.3,13.3,1330994.0,0.0,1.0,CWN
2018-10-01,13.57,13.69,13.51,13.54,13.54,528845.0,0.0,1.0,CWN
2018-09-28,13.5,13.72,13.49,13.69,13.69,2502762.0,0.0,1.0,CWN
2018-09-27,13.39,13.455,13.38,13.4,13.4,739233.0,0.0,1.0,CWN
2018-09-26,13.43,13.43,13.31,13.35,13.35,1068881.0,0.0,1.0,CWN
2018-09-25,13.31,13.4,13.27,13.33,13.33,1061978.0,0.0,1.0,CWN
2018-09-24,13.28,13.38,13.26,13.35,13.35,1066753.0,0.0,1.0,CWN
2018-09-21,13.29,13.36,13.23,13.27,13.27,1897875.0,0.0,1.0,CWN
2018-09-20,13.33,13.37,13.15,13.28,13.28,2057469.0,0.0,1.0,CWN
2018-09-19,13.69,13.7,13.51,13.59,13.29,1306491.0,0.0,1.0,CWN
2018-09-18,13.68,13.7,13.48,13.57,13.2704,1033142.0,0.0,1.0,CWN
2018-09-17,13.57,13.74,13.48,13.68,13.378,1327264.0,0.0,1.0,CWN
2018-09-14,13.53,13.55,13.42,13.5,13.202,1319202.0,0.0,1.0,CWN
2018-09-13,13.53,13.57,13.425,13.46,13.1629,2561335.0,0.0,1.0,CWN
2018-09-12,13.52,13.6,13.48,13.5,13.202,1618124.0,0.0,1.0,CWN
2018-09-11,13.5,13.62,13.43,13.58,13.2802,1215342.0,0.0,1.0,CWN
2018-09-10,13.67,13.71,13.6,13.63,13.3291,981052.0,0.0,1.0,CWN
2018-09-07,13.71,13.76,13.66,13.75,13.4465,1061520.0,0.0,1.0,CWN
