date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.76,1.78,1.755,1.765,1.765,5852427.0,0.0,1.0,CWY
2018-12-12,1.735,1.775,1.73,1.755,1.755,4283102.0,0.0,1.0,CWY
2018-12-11,1.73,1.735,1.707,1.73,1.73,4028794.0,0.0,1.0,CWY
2018-12-10,1.715,1.73,1.71,1.72,1.72,3902123.0,0.0,1.0,CWY
2018-12-09,1.725,1.745,1.7,1.71,1.71,4436112.0,0.0,1.0,CWY
2018-12-06,1.725,1.74,1.71,1.73,1.73,3336708.0,0.0,1.0,CWY
2018-12-05,1.72,1.74,1.675,1.71,1.71,5592770.0,0.0,1.0,CWY
2018-12-04,1.68,1.71,1.675,1.7,1.7,4166243.0,0.0,1.0,CWY
2018-12-03,1.735,1.76,1.697,1.7,1.7,4242519.0,0.0,1.0,CWY
2018-12-02,1.73,1.77,1.715,1.73,1.73,3829914.0,0.0,1.0,CWY
2018-11-29,1.71,1.725,1.687,1.7,1.7,9175763.0,0.0,1.0,CWY
2018-11-28,1.73,1.745,1.695,1.705,1.705,4616949.0,0.0,1.0,CWY
2018-11-27,1.715,1.725,1.705,1.715,1.715,4351496.0,0.0,1.0,CWY
2018-11-26,1.73,1.73,1.695,1.705,1.705,3583579.0,0.0,1.0,CWY
2018-11-25,1.71,1.72,1.69,1.71,1.71,4772842.0,0.0,1.0,CWY
2018-11-22,1.725,1.74,1.695,1.71,1.71,6172590.0,0.0,1.0,CWY
2018-11-21,1.755,1.785,1.725,1.74,1.74,3900039.0,0.0,1.0,CWY
2018-11-20,1.79,1.795,1.72,1.74,1.74,5599378.0,0.0,1.0,CWY
2018-11-19,1.855,1.855,1.79,1.8,1.8,3906041.0,0.0,1.0,CWY
2018-11-18,1.84,1.92,1.805,1.855,1.855,8021245.0,0.0,1.0,CWY
2018-11-15,1.73,1.76,1.73,1.745,1.745,4920756.0,0.0,1.0,CWY
2018-11-14,1.71,1.735,1.69,1.715,1.715,5389129.0,0.0,1.0,CWY
2018-11-13,1.715,1.75,1.705,1.715,1.715,3713306.0,0.0,1.0,CWY
2018-11-12,1.735,1.735,1.705,1.71,1.71,4151731.0,0.0,1.0,CWY
2018-11-11,1.74,1.76,1.73,1.735,1.735,2592239.0,0.0,1.0,CWY
2018-11-08,1.765,1.77,1.735,1.74,1.74,2608154.0,0.0,1.0,CWY
2018-11-07,1.735,1.765,1.725,1.755,1.755,4491420.0,0.0,1.0,CWY
2018-11-06,1.715,1.725,1.68,1.72,1.72,4543619.0,0.0,1.0,CWY
2018-11-05,1.72,1.725,1.7,1.71,1.71,3013141.0,0.0,1.0,CWY
