date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.0,2.05,1.995,2.01,2.01,561450.0,0.0,1.0,DCN
2018-12-12,2.03,2.06,2.0,2.0,2.0,1181693.0,0.0,1.0,DCN
2018-12-11,2.01,2.04,1.99,2.01,2.01,1667161.0,0.0,1.0,DCN
2018-12-10,2.04,2.04,2.0,2.02,2.02,291536.0,0.0,1.0,DCN
2018-12-09,2.04,2.12,2.02,2.04,2.04,1250174.0,0.0,1.0,DCN
2018-12-06,2.0,2.01,1.965,1.985,1.985,533226.0,0.0,1.0,DCN
2018-12-05,2.04,2.04,1.955,2.0,2.0,782763.0,0.0,1.0,DCN
2018-12-04,2.05,2.12,2.03,2.06,2.06,656409.0,0.0,1.0,DCN
2018-12-03,2.05,2.08,2.01,2.03,2.03,691606.0,0.0,1.0,DCN
2018-12-02,2.07,2.07,2.0,2.0,2.0,327236.0,0.0,1.0,DCN
2018-11-29,2.03,2.08,2.01,2.08,2.08,799025.0,0.0,1.0,DCN
2018-11-28,2.04,2.06,1.99,2.01,2.01,219363.0,0.0,1.0,DCN
2018-11-27,2.12,2.12,1.965,2.05,2.05,859583.0,0.0,1.0,DCN
2018-11-26,2.19,2.19,2.09,2.11,2.11,251404.0,0.0,1.0,DCN
2018-11-25,2.21,2.26,2.14,2.14,2.14,246394.0,0.0,1.0,DCN
2018-11-22,2.25,2.26,2.18,2.18,2.18,365369.0,0.0,1.0,DCN
2018-11-21,2.27,2.27,2.18,2.24,2.24,201390.0,0.0,1.0,DCN
2018-11-20,2.24,2.28,2.235,2.25,2.25,249861.0,0.0,1.0,DCN
2018-11-19,2.25,2.3,2.245,2.25,2.25,779784.0,0.0,1.0,DCN
2018-11-18,2.33,2.34,2.25,2.26,2.26,129770.0,0.0,1.0,DCN
2018-11-15,2.25,2.32,2.21,2.27,2.27,181688.0,0.0,1.0,DCN
2018-11-14,2.29,2.31,2.2,2.22,2.22,136361.0,0.0,1.0,DCN
2018-11-13,2.29,2.3,2.2,2.24,2.24,288571.0,0.0,1.0,DCN
2018-11-12,2.4,2.41,2.3,2.31,2.31,302711.0,0.0,1.0,DCN
2018-11-11,2.45,2.45,2.4,2.42,2.42,153490.0,0.0,1.0,DCN
2018-11-08,2.41,2.48,2.4,2.48,2.48,171677.0,0.0,1.0,DCN
2018-11-07,2.41,2.44,2.38,2.4,2.4,124001.0,0.0,1.0,DCN
2018-11-06,2.4,2.42,2.35,2.42,2.42,293614.0,0.0,1.0,DCN
2018-11-05,2.43,2.43,2.4,2.41,2.41,894600.0,0.0,1.0,DCN
2018-11-04,2.44,2.44,2.4,2.43,2.43,85701.0,0.0,1.0,DCN
2018-11-01,2.45,2.46,2.4,2.45,2.45,146160.0,0.0,1.0,DCN
2018-10-31,2.36,2.41,2.33,2.41,2.41,170703.0,0.0,1.0,DCN
2018-10-30,2.35,2.42,2.29,2.39,2.39,220447.0,0.0,1.0,DCN
2018-10-29,2.38,2.405,2.33,2.36,2.36,424459.0,0.0,1.0,DCN
2018-10-28,2.49,2.5,2.38,2.45,2.45,462081.0,0.0,1.0,DCN
2018-10-25,2.42,2.48,2.35,2.48,2.48,378793.0,0.0,1.0,DCN
2018-10-24,2.4,2.41,2.35,2.4,2.4,518384.0,0.0,1.0,DCN
2018-10-23,2.45,2.5,2.39,2.4,2.4,604714.0,0.0,1.0,DCN
2018-10-22,2.44,2.46,2.42,2.44,2.44,456846.0,0.0,1.0,DCN
2018-10-21,2.48,2.51,2.42,2.45,2.45,1128827.0,0.0,1.0,DCN
2018-10-18,2.3,2.47,2.29,2.47,2.47,251474.0,0.0,1.0,DCN
2018-10-17,2.28,2.34,2.24,2.3,2.3,525359.0,0.0,1.0,DCN
2018-10-16,2.28,2.29,2.24,2.26,2.26,664232.0,0.0,1.0,DCN
2018-10-15,2.16,2.37,2.16,2.26,2.26,750707.0,0.0,1.0,DCN
2018-10-14,2.21,2.22,2.11,2.14,2.14,2095417.0,0.0,1.0,DCN
2018-10-11,2.18,2.3,2.16,2.19,2.19,583848.0,0.0,1.0,DCN
2018-10-10,2.13,2.17,2.1,2.15,2.15,604242.0,0.0,1.0,DCN
2018-10-09,2.24,2.24,2.12,2.15,2.15,203479.0,0.0,1.0,DCN
2018-10-08,2.28,2.28,2.2,2.21,2.21,145514.0,0.0,1.0,DCN
2018-10-07,2.27,2.39,2.25,2.26,2.26,560251.0,0.0,1.0,DCN
2018-10-05,2.28,2.29,2.24,2.26,2.26,283736.0,0.0,1.0,DCN
2018-10-04,2.31,2.31,2.26,2.26,2.26,377672.0,0.0,1.0,DCN
2018-10-03,2.3,2.34,2.27,2.32,2.32,148840.0,0.0,1.0,DCN
2018-10-02,2.25,2.28,2.23,2.23,2.23,81866.0,0.0,1.0,DCN
2018-10-01,2.24,2.27,2.21,2.25,2.25,147862.0,0.0,1.0,DCN
2018-09-28,2.28,2.29,2.22,2.23,2.23,171289.0,0.0,1.0,DCN
2018-09-27,2.38,2.39,2.28,2.28,2.28,163237.0,0.0,1.0,DCN
2018-09-26,2.35,2.4,2.3,2.37,2.37,217018.0,0.0,1.0,DCN
2018-09-25,2.35,2.35,2.3,2.31,2.31,238484.0,0.0,1.0,DCN
2018-09-24,2.39,2.39,2.29,2.31,2.31,74396.0,0.0,1.0,DCN
2018-09-21,2.28,2.38,2.26,2.35,2.35,602389.0,0.0,1.0,DCN
2018-09-20,2.31,2.345,2.27,2.3,2.3,249125.0,0.0,1.0,DCN
2018-09-19,2.3,2.3,2.25,2.25,2.25,110655.0,0.0,1.0,DCN
2018-09-18,2.35,2.38,2.26,2.32,2.32,83346.0,0.0,1.0,DCN
2018-09-17,2.3,2.34,2.23,2.3,2.3,66978.0,0.0,1.0,DCN
2018-09-14,2.26,2.33,2.23,2.32,2.32,193278.0,0.0,1.0,DCN
2018-09-13,2.25,2.295,2.24,2.28,2.28,130692.0,0.0,1.0,DCN
2018-09-12,2.31,2.31,2.2,2.24,2.24,191422.0,0.0,1.0,DCN
2018-09-11,2.34,2.39,2.26,2.28,2.28,271076.0,0.0,1.0,DCN
2018-09-10,2.25,2.34,2.245,2.34,2.34,156722.0,0.0,1.0,DCN
2018-09-07,2.3,2.32,2.14,2.25,2.25,473349.0,0.0,1.0,DCN
2018-09-06,2.31,2.34,2.27,2.31,2.31,293472.0,0.0,1.0,DCN
2018-09-05,2.4,2.4,2.3,2.31,2.31,140058.0,0.0,1.0,DCN
2018-09-04,2.36,2.38,2.32,2.34,2.34,218706.0,0.0,1.0,DCN
2018-09-03,2.39,2.39,2.33,2.36,2.36,197256.0,0.0,1.0,DCN
2018-08-31,2.4,2.4,2.33,2.33,2.33,119757.0,0.0,1.0,DCN
2018-08-30,2.41,2.43,2.37,2.4,2.4,532726.0,0.0,1.0,DCN
2018-08-29,2.38,2.43,2.36,2.41,2.41,393406.0,0.0,1.0,DCN
2018-08-28,2.39,2.39,2.31,2.37,2.37,166365.0,0.0,1.0,DCN
2018-08-27,2.37,2.4,2.36,2.37,2.37,275985.0,0.0,1.0,DCN
2018-08-24,2.36,2.39,2.34,2.36,2.36,205614.0,0.0,1.0,DCN
2018-08-23,2.4,2.4,2.34,2.36,2.36,449687.0,0.0,1.0,DCN
2018-08-22,2.38,2.4,2.34,2.35,2.35,318340.0,0.0,1.0,DCN
2018-08-21,2.42,2.45,2.36,2.38,2.38,379427.0,0.0,1.0,DCN
2018-08-20,2.35,2.46,2.35,2.4,2.4,1857970.0,0.0,1.0,DCN
2018-08-17,2.38,2.39,2.27,2.31,2.31,300634.0,0.0,1.0,DCN
2018-08-16,2.49,2.49,2.35,2.38,2.38,655633.0,0.0,1.0,DCN
2018-08-15,2.65,2.65,2.49,2.53,2.53,405146.0,0.0,1.0,DCN
2018-08-14,2.74,2.74,2.63,2.64,2.64,261753.0,0.0,1.0,DCN
2018-08-13,2.72,2.74,2.68,2.72,2.72,215954.0,0.0,1.0,DCN
2018-08-10,2.68,2.76,2.655,2.71,2.71,123224.0,0.0,1.0,DCN
2018-08-09,2.69,2.735,2.64,2.68,2.68,130986.0,0.0,1.0,DCN
2018-08-08,2.74,2.74,2.65,2.7,2.7,317967.0,0.0,1.0,DCN
2018-08-07,2.73,2.75,2.7,2.72,2.72,639337.0,0.0,1.0,DCN
2018-08-06,2.74,2.78,2.72,2.73,2.73,246441.0,0.0,1.0,DCN
2018-08-03,2.81,2.85,2.76,2.8,2.8,340997.0,0.0,1.0,DCN
2018-08-02,2.85,2.89,2.81,2.85,2.85,521203.0,0.0,1.0,DCN
2018-08-01,2.96,3.01,2.88,2.89,2.89,591392.0,0.0,1.0,DCN
2018-07-31,2.91,2.98,2.87,2.94,2.94,177286.0,0.0,1.0,DCN
2018-07-30,2.86,2.91,2.83,2.86,2.86,80243.0,0.0,1.0,DCN
