date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,40.85,42.19,40.4,40.54,40.54,555731.0,0.0,1.0,DMP
2018-12-12,44.2,44.21,41.96,42.02,42.02,383606.0,0.0,1.0,DMP
2018-12-11,43.03,44.42,42.89,44.1,44.1,327863.0,0.0,1.0,DMP
2018-12-10,43.72,44.19,43.07,43.23,43.23,329713.0,0.0,1.0,DMP
2018-12-09,45.5,45.74,43.21,43.33,43.33,408872.0,0.0,1.0,DMP
2018-12-06,45.04,46.72,45.01,46.24,46.24,484817.0,0.0,1.0,DMP
2018-12-05,45.02,45.69,44.66,44.75,44.75,286175.0,0.0,1.0,DMP
2018-12-04,46.0,46.0,44.75,45.18,45.18,293777.0,0.0,1.0,DMP
2018-12-03,47.02,47.35,46.16,46.26,46.26,332711.0,0.0,1.0,DMP
2018-12-02,46.5,47.51,46.3,47.37,47.37,278391.0,0.0,1.0,DMP
2018-11-29,46.49,46.78,45.39,45.99,45.99,596838.0,0.0,1.0,DMP
2018-11-28,46.01,46.55,45.72,46.49,46.49,1421171.0,0.0,1.0,DMP
2018-11-27,46.79,46.79,45.49,45.81,45.81,859287.0,0.0,1.0,DMP
2018-11-26,46.58,47.01,46.2,46.8,46.8,222849.0,0.0,1.0,DMP
2018-11-25,45.32,46.34,45.05,46.09,46.09,395021.0,0.0,1.0,DMP
2018-11-22,45.89,46.94,45.48,45.77,45.77,429257.0,0.0,1.0,DMP
2018-11-21,46.08,46.88,45.65,45.7,45.7,717346.0,0.0,1.0,DMP
2018-11-20,45.89,47.4,45.32,46.61,46.61,682873.0,0.0,1.0,DMP
2018-11-19,47.03,47.44,46.01,47.33,47.33,268556.0,0.0,1.0,DMP
2018-11-18,48.23,48.5,47.66,47.92,47.92,266355.0,0.0,1.0,DMP
2018-11-15,48.25,49.0,48.2,48.22,48.22,583610.0,0.0,1.0,DMP
2018-11-14,49.61,50.79,48.4,48.64,48.64,405365.0,0.0,1.0,DMP
2018-11-13,50.02,50.71,49.58,49.79,49.79,224252.0,0.0,1.0,DMP
2018-11-12,49.5,50.13,49.15,49.67,49.67,322529.0,0.0,1.0,DMP
2018-11-11,48.8,50.5,48.66,50.31,50.31,419383.0,0.0,1.0,DMP
2018-11-08,49.35,49.5,48.34,49.12,49.12,584320.0,0.0,1.0,DMP
2018-11-07,51.79,51.79,49.36,49.72,49.72,1483916.0,0.0,1.0,DMP
2018-11-06,54.39,56.15,54.39,55.68,55.68,353182.0,0.0,1.0,DMP
2018-11-05,55.1,55.39,54.25,54.56,54.56,226409.0,0.0,1.0,DMP
2018-11-04,55.99,56.8,54.71,54.87,54.87,327810.0,0.0,1.0,DMP
2018-11-01,54.79,56.2,54.37,55.86,55.86,380415.0,0.0,1.0,DMP
2018-10-31,54.19,55.35,53.45,55.24,55.24,348284.0,0.0,1.0,DMP
2018-10-30,53.06,54.22,53.05,54.01,54.01,458089.0,0.0,1.0,DMP
2018-10-29,52.64,54.33,52.3,54.0,54.0,485124.0,0.0,1.0,DMP
2018-10-28,51.94,52.94,51.82,52.65,52.65,310513.0,0.0,1.0,DMP
2018-10-25,52.0,53.5,51.71,52.13,52.13,254411.0,0.0,1.0,DMP
2018-10-24,52.5,54.0,52.5,52.98,52.98,450426.0,0.0,1.0,DMP
2018-10-23,55.5,56.46,53.87,54.87,54.87,557164.0,0.0,1.0,DMP
2018-10-22,55.31,56.83,55.31,56.27,56.27,439403.0,0.0,1.0,DMP
2018-10-21,54.0,55.53,54.0,55.27,55.27,362729.0,0.0,1.0,DMP
2018-10-18,53.5,55.29,53.41,54.85,54.85,265941.0,0.0,1.0,DMP
2018-10-17,54.43,55.01,53.71,54.28,54.28,234107.0,0.0,1.0,DMP
2018-10-16,54.49,55.125,53.28,55.02,55.02,448735.0,0.0,1.0,DMP
2018-10-15,53.0,54.7,53.0,54.23,54.23,316152.0,0.0,1.0,DMP
2018-10-14,51.58,53.47,51.53,53.28,53.28,291284.0,0.0,1.0,DMP
2018-10-11,50.5,52.61,50.5,52.61,52.61,398318.0,0.0,1.0,DMP
2018-10-10,52.0,52.14,50.51,51.73,51.73,524149.0,0.0,1.0,DMP
2018-10-09,50.26,52.47,50.26,52.34,52.34,401132.0,0.0,1.0,DMP
2018-10-08,51.0,51.2,49.75,49.84,49.84,288443.0,0.0,1.0,DMP
2018-10-07,50.01,50.69,49.81,50.41,50.41,163411.0,0.0,1.0,DMP
2018-10-05,50.28,51.25,50.27,50.49,50.49,170128.0,0.0,1.0,DMP
2018-10-04,50.5,51.365,50.35,50.59,50.59,159857.0,0.0,1.0,DMP
2018-10-03,51.2,51.2,50.57,50.78,50.78,113542.0,0.0,1.0,DMP
2018-10-02,51.9,52.5,50.51,50.66,50.66,220890.0,0.0,1.0,DMP
2018-10-01,52.35,53.08,51.81,52.27,52.27,168685.0,0.0,1.0,DMP
2018-09-28,52.21,53.33,52.21,53.2,53.2,331521.0,0.0,1.0,DMP
2018-09-27,51.71,52.5,51.5,52.21,52.21,217726.0,0.0,1.0,DMP
2018-09-26,50.29,51.55,50.23,51.54,51.54,175048.0,0.0,1.0,DMP
2018-09-25,50.71,51.38,50.33,50.73,50.73,119726.0,0.0,1.0,DMP
2018-09-24,50.01,51.0,50.01,50.9,50.9,138529.0,0.0,1.0,DMP
2018-09-21,50.6,51.19,50.28,50.66,50.66,384206.0,0.0,1.0,DMP
2018-09-20,51.2,51.94,50.09,50.5,50.5,389107.0,0.0,1.0,DMP
2018-09-19,51.69,52.5,51.05,51.97,51.97,257016.0,0.0,1.0,DMP
2018-09-18,52.5,53.08,51.0,51.54,51.54,263500.0,0.0,1.0,DMP
2018-09-17,51.9,53.08,51.41,53.0,53.0,188076.0,0.0,1.0,DMP
2018-09-14,51.94,51.94,51.18,51.68,51.68,157710.0,0.0,1.0,DMP
2018-09-13,52.38,52.74,51.53,51.68,51.68,353903.0,0.0,1.0,DMP
2018-09-12,52.0,53.19,52.0,52.45,52.45,327402.0,0.0,1.0,DMP
2018-09-11,52.51,53.28,52.0,52.45,52.45,245524.0,0.0,1.0,DMP
2018-09-10,54.41,54.55,52.35,52.67,52.67,289146.0,0.0,1.0,DMP
2018-09-07,51.92,55.0,51.85,54.7,54.7,422657.0,0.0,1.0,DMP
2018-09-06,53.21,53.45,52.155,52.33,52.33,335467.0,0.0,1.0,DMP
2018-09-05,52.99,54.465,52.8,53.45,53.45,374370.0,0.0,1.0,DMP
2018-09-04,54.0,55.16,53.13,53.46,53.46,240929.0,0.0,1.0,DMP
2018-09-03,53.81,55.39,53.74,54.14,54.14,398127.0,0.0,1.0,DMP
2018-08-31,54.91,55.26,53.79,54.1,54.1,603278.0,0.0,1.0,DMP
2018-08-30,57.44,57.69,54.96,55.3,55.3,1185907.0,0.0,1.0,DMP
2018-08-29,55.61,57.8,55.61,57.7,57.7,435163.0,0.0,1.0,DMP
2018-08-28,55.4,57.42,55.315,57.42,57.42,385423.0,0.0,1.0,DMP
2018-08-27,54.7,55.99,54.7,55.42,55.42,177071.0,0.0,1.0,DMP
2018-08-24,55.0,56.49,54.82,55.28,55.28,211525.0,0.0,1.0,DMP
2018-08-23,54.42,55.56,54.42,55.12,55.12,372488.0,0.0,1.0,DMP
2018-08-22,55.5,56.12,54.745,55.17,55.17,615368.0,0.0,1.0,DMP
2018-08-21,55.12,56.24,55.02,55.5,55.5,380400.0,0.0,1.0,DMP
2018-08-20,54.99,55.3,54.08,55.11,55.11,534505.0,0.0,1.0,DMP
2018-08-17,55.0,56.38,53.82,56.06,55.563,618454.0,0.0,1.0,DMP
2018-08-16,53.0,57.04,53.0,56.0,55.5035,1468574.0,0.0,1.0,DMP
2018-08-15,48.78,52.9,48.3,51.99,51.5291,843802.0,0.0,1.0,DMP
2018-08-14,47.0,51.9,45.52,49.0,48.5656,1861774.0,0.0,1.0,DMP
2018-08-13,51.35,52.82,51.04,52.42,51.9553,294110.0,0.0,1.0,DMP
2018-08-10,50.34,52.18,49.95,51.5,51.0434,296369.0,0.0,1.0,DMP
2018-08-09,50.13,51.03,49.75,50.0,49.5567,560690.0,0.0,1.0,DMP
2018-08-08,49.61,50.23,48.3,50.06,49.6162,641536.0,0.0,1.0,DMP
2018-08-07,50.01,50.94,50.01,50.8,50.3496,214357.0,0.0,1.0,DMP
2018-08-06,51.27,51.67,50.61,51.0,50.5479,133233.0,0.0,1.0,DMP
2018-08-03,50.52,51.88,50.52,51.29,50.8353,246157.0,0.0,1.0,DMP
2018-08-02,49.97,50.7,49.71,50.5,50.0523,265858.0,0.0,1.0,DMP
2018-08-01,49.0,50.71,48.94,50.2,49.755,332083.0,0.0,1.0,DMP
2018-07-31,49.6,50.06,48.93,49.95,49.5072,398880.0,0.0,1.0,DMP
2018-07-30,49.0,50.27,48.82,50.24,49.7946,273766.0,0.0,1.0,DMP
2018-07-27,49.43,50.3,49.32,49.85,49.4081,224997.0,0.0,1.0,DMP
2018-07-26,48.5,49.065,48.2,48.87,48.4367,245039.0,0.0,1.0,DMP
2018-07-25,48.65,49.28,48.46,48.86,48.4268,368277.0,0.0,1.0,DMP
2018-07-24,48.51,50.39,48.51,49.84,49.3981,168392.0,0.0,1.0,DMP
2018-07-23,49.0,49.555,48.52,49.25,48.8134,289988.0,0.0,1.0,DMP
2018-07-20,49.96,50.34,48.1,48.96,48.5259,394002.0,0.0,1.0,DMP
2018-07-19,50.58,50.79,50.31,50.35,49.9036,152875.0,0.0,1.0,DMP
2018-07-18,49.05,50.5,48.86,50.36,49.9135,290241.0,0.0,1.0,DMP
2018-07-17,49.1,49.1,48.54,48.83,48.3971,390134.0,0.0,1.0,DMP
2018-07-16,49.2,50.13,48.29,48.42,47.9907,510056.0,0.0,1.0,DMP
2018-07-13,47.87,48.16,47.56,47.92,47.4952,191320.0,0.0,1.0,DMP
2018-07-12,47.5,48.14,47.5,47.95,47.5249,270368.0,0.0,1.0,DMP
2018-07-11,47.52,48.24,47.1,47.71,47.287,249081.0,0.0,1.0,DMP
2018-07-10,47.1,48.05,46.6,47.78,47.3564,453292.0,0.0,1.0,DMP
2018-07-09,48.19,48.73,46.98,47.22,46.8014,526850.0,0.0,1.0,DMP
2018-07-06,48.61,49.81,48.29,49.07,48.635,616025.0,0.0,1.0,DMP
2018-07-05,50.85,50.98,48.28,48.92,48.4863,1224041.0,0.0,1.0,DMP
2018-07-04,53.18,54.1,51.9,53.84,53.3627,303228.0,0.0,1.0,DMP
2018-07-03,51.25,53.2,51.25,52.95,52.4806,287695.0,0.0,1.0,DMP
2018-07-02,52.2,52.4,51.17,51.21,50.756,255841.0,0.0,1.0,DMP
