date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,10.92,11.26,10.92,11.09,11.09,2414345.0,0.0,1.0,DXS
2018-12-12,11.15,11.15,10.97,10.98,10.98,2588576.0,0.0,1.0,DXS
2018-12-11,11.05,11.19,10.97,11.17,11.17,2981500.0,0.0,1.0,DXS
2018-12-10,10.94,11.05,10.89,10.99,10.99,3152000.0,0.0,1.0,DXS
2018-12-09,11.0,11.125,10.91,10.91,10.91,3382493.0,0.0,1.0,DXS
2018-12-06,10.88,11.09,10.75,11.07,11.07,3366559.0,0.0,1.0,DXS
2018-12-05,10.57,10.88,10.57,10.76,10.76,5853793.0,0.0,1.0,DXS
2018-12-04,10.6,10.71,10.495,10.64,10.64,3002941.0,0.0,1.0,DXS
2018-12-03,10.71,10.72,10.56,10.6,10.6,2618630.0,0.0,1.0,DXS
2018-12-02,10.57,10.66,10.53,10.63,10.63,2102000.0,0.0,1.0,DXS
2018-11-29,10.79,10.83,10.46,10.46,10.46,7064171.0,0.0,1.0,DXS
2018-11-28,10.72,10.85,10.67,10.83,10.83,3462941.0,0.0,1.0,DXS
2018-11-27,10.69,10.74,10.59,10.71,10.71,2293128.0,0.0,1.0,DXS
2018-11-26,10.6,10.68,10.515,10.64,10.64,3301198.0,0.0,1.0,DXS
2018-11-25,10.44,10.72,10.41,10.71,10.71,4831312.0,0.0,1.0,DXS
2018-11-22,10.4,10.48,10.375,10.45,10.45,1914086.0,0.0,1.0,DXS
2018-11-21,10.26,10.39,10.26,10.37,10.37,2220002.0,0.0,1.0,DXS
2018-11-20,10.22,10.38,10.1,10.32,10.32,3249002.0,0.0,1.0,DXS
2018-11-19,10.21,10.24,10.135,10.2,10.2,2226190.0,0.0,1.0,DXS
2018-11-18,10.04,10.23,9.99,10.22,10.22,3497013.0,0.0,1.0,DXS
2018-11-15,10.05,10.12,9.98,10.02,10.02,1859798.0,0.0,1.0,DXS
2018-11-14,10.23,10.24,10.0,10.1,10.1,2557018.0,0.0,1.0,DXS
2018-11-13,10.17,10.36,10.13,10.15,10.15,2369971.0,0.0,1.0,DXS
2018-11-12,10.15,10.32,10.13,10.25,10.25,2511559.0,0.0,1.0,DXS
2018-11-11,10.15,10.23,10.11,10.16,10.16,2052863.0,0.0,1.0,DXS
2018-11-08,9.9,10.07,9.9,10.07,10.07,3283087.0,0.0,1.0,DXS
2018-11-07,9.91,9.98,9.91,9.98,9.98,2508853.0,0.0,1.0,DXS
2018-11-06,9.75,9.92,9.75,9.9,9.9,4934399.0,0.0,1.0,DXS
2018-11-05,9.7,9.89,9.69,9.86,9.86,3612263.0,0.0,1.0,DXS
2018-11-04,9.84,9.89,9.67,9.68,9.68,5341799.0,0.0,1.0,DXS
2018-11-01,9.86,9.9,9.77,9.83,9.83,3967622.0,0.0,1.0,DXS
2018-10-31,10.16,10.23,9.9,9.93,9.93,3444106.0,0.0,1.0,DXS
2018-10-30,10.37,10.41,10.16,10.2,10.2,5047603.0,0.0,1.0,DXS
2018-10-29,10.33,10.39,10.23,10.37,10.37,1959064.0,0.0,1.0,DXS
2018-10-28,10.14,10.31,10.11,10.27,10.27,2019927.0,0.0,1.0,DXS
2018-10-25,10.13,10.16,9.99,10.08,10.08,2829684.0,0.0,1.0,DXS
2018-10-24,10.2,10.27,10.12,10.15,10.15,3919454.0,0.0,1.0,DXS
2018-10-23,10.18,10.315,10.15,10.29,10.29,2339742.0,0.0,1.0,DXS
2018-10-22,10.21,10.27,10.12,10.14,10.14,1854462.0,0.0,1.0,DXS
2018-10-21,10.13,10.25,10.13,10.24,10.24,1399584.0,0.0,1.0,DXS
2018-10-18,10.15,10.235,10.14,10.2,10.2,2897868.0,0.0,1.0,DXS
2018-10-17,10.11,10.24,10.045,10.22,10.22,3545195.0,0.0,1.0,DXS
2018-10-16,9.96,10.095,9.95,10.08,10.08,2589525.0,0.0,1.0,DXS
2018-10-15,9.87,9.95,9.845,9.88,9.88,2733202.0,0.0,1.0,DXS
2018-10-14,9.8,9.95,9.8,9.89,9.89,2622750.0,0.0,1.0,DXS
2018-10-11,10.03,10.1,9.975,9.98,9.98,4560900.0,0.0,1.0,DXS
2018-10-10,10.26,10.27,10.17,10.2,10.2,3952650.0,0.0,1.0,DXS
2018-10-09,10.39,10.405,10.31,10.34,10.34,2643405.0,0.0,1.0,DXS
2018-10-08,10.22,10.35,10.22,10.34,10.34,1941939.0,0.0,1.0,DXS
2018-10-07,10.21,10.31,10.21,10.24,10.24,1457309.0,0.0,1.0,DXS
2018-10-05,10.22,10.29,10.17,10.27,10.27,2360193.0,0.0,1.0,DXS
2018-10-04,10.29,10.3,10.185,10.28,10.28,2804701.0,0.0,1.0,DXS
2018-10-03,10.24,10.34,10.21,10.32,10.32,3114096.0,0.0,1.0,DXS
2018-10-02,10.49,10.5,10.31,10.34,10.34,2203175.0,0.0,1.0,DXS
2018-10-01,10.56,10.6,10.475,10.5,10.5,689229.0,0.0,1.0,DXS
2018-09-28,10.55,10.64,10.54,10.56,10.56,2966767.0,0.0,1.0,DXS
2018-09-27,10.68,10.68,10.54,10.54,10.54,2894335.0,0.0,1.0,DXS
2018-09-26,10.68,10.725,10.645,10.68,10.68,2249558.0,0.0,1.0,DXS
2018-09-25,10.59,10.63,10.52,10.63,10.63,2766156.0,0.0,1.0,DXS
2018-09-24,10.5,10.63,10.42,10.6,10.6,2023008.0,0.0,1.0,DXS
2018-09-21,10.65,10.67,10.47,10.49,10.49,5605580.0,0.0,1.0,DXS
2018-09-20,10.78,10.8,10.61,10.66,10.66,4098578.0,0.0,1.0,DXS
2018-09-19,10.88,10.92,10.84,10.86,10.86,2008632.0,0.0,1.0,DXS
2018-09-18,10.84,10.94,10.825,10.9,10.9,2032910.0,0.0,1.0,DXS
2018-09-17,10.69,10.85,10.69,10.84,10.84,1858062.0,0.0,1.0,DXS
2018-09-14,10.81,10.86,10.75,10.75,10.75,3880025.0,0.0,1.0,DXS
2018-09-13,10.86,10.9,10.8,10.81,10.81,2202037.0,0.0,1.0,DXS
2018-09-12,10.77,10.88,10.72,10.82,10.82,2299788.0,0.0,1.0,DXS
2018-09-11,10.66,10.79,10.66,10.78,10.78,2339501.0,0.0,1.0,DXS
2018-09-10,10.74,10.76,10.65,10.67,10.67,1983782.0,0.0,1.0,DXS
2018-09-07,10.73,10.765,10.68,10.73,10.73,2827479.0,0.0,1.0,DXS
2018-09-06,10.8,10.815,10.67,10.74,10.74,2809145.0,0.0,1.0,DXS
2018-09-05,10.77,10.87,10.735,10.82,10.82,2910916.0,0.0,1.0,DXS
2018-09-04,10.68,10.765,10.66,10.75,10.75,1642419.0,0.0,1.0,DXS
