date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.49,2.55,2.46,2.54,2.54,960950.0,0.0,1.0,ECX
2018-12-12,2.5,2.51,2.465,2.49,2.49,1110064.0,0.0,1.0,ECX
2018-12-11,2.49,2.57,2.46,2.55,2.47,2746192.0,0.0,1.0,ECX
2018-12-10,2.53,2.55,2.45,2.47,2.3925,448116.0,0.0,1.0,ECX
2018-12-09,2.47,2.52,2.44,2.47,2.3925,876621.0,0.0,1.0,ECX
2018-12-06,2.5,2.51,2.45,2.51,2.4313,602612.0,0.0,1.0,ECX
2018-12-05,2.45,2.51,2.435,2.46,2.3828,481212.0,0.0,1.0,ECX
2018-12-04,2.49,2.505,2.43,2.48,2.4022,1010015.0,0.0,1.0,ECX
2018-12-03,2.55,2.55,2.49,2.51,2.4313,1684053.0,0.0,1.0,ECX
2018-12-02,2.5,2.56,2.5,2.55,2.47,1016956.0,0.0,1.0,ECX
2018-11-29,2.5,2.53,2.47,2.5,2.4216,2108168.0,0.0,1.0,ECX
2018-11-28,2.47,2.56,2.465,2.51,2.4313,1542899.0,0.0,1.0,ECX
2018-11-27,2.55,2.565,2.46,2.48,2.4022,3680798.0,0.0,1.0,ECX
2018-11-26,2.5,2.62,2.48,2.5,2.4216,1775910.0,0.0,1.0,ECX
2018-11-25,2.43,2.48,2.4,2.47,2.3925,2606640.0,0.0,1.0,ECX
2018-11-22,2.5,2.5,2.415,2.46,2.3828,1023576.0,0.0,1.0,ECX
2018-11-21,2.4,2.49,2.395,2.49,2.4119,1221445.0,0.0,1.0,ECX
2018-11-20,2.4,2.49,2.37,2.46,2.3828,1589424.0,0.0,1.0,ECX
2018-11-19,2.53,2.53,2.42,2.46,2.3828,2993904.0,0.0,1.0,ECX
2018-11-18,2.64,2.65,2.53,2.54,2.4603,2569269.0,0.0,1.0,ECX
2018-11-15,2.68,2.7,2.62,2.62,2.5378,3161563.0,0.0,1.0,ECX
2018-11-14,2.54,2.64,2.54,2.64,2.5572,6562100.0,0.0,1.0,ECX
2018-11-13,2.57,2.61,2.54,2.58,2.4991,3996019.0,0.0,1.0,ECX
2018-11-12,2.62,2.67,2.62,2.63,2.5475,1912020.0,0.0,1.0,ECX
2018-11-11,2.69,2.73,2.67,2.68,2.5959,1807066.0,0.0,1.0,ECX
2018-11-08,2.68,2.75,2.67,2.71,2.625,3787823.0,0.0,1.0,ECX
2018-11-07,2.58,2.78,2.58,2.67,2.5862,9102385.0,0.0,1.0,ECX
2018-11-06,2.29,2.34,2.25,2.3,2.2278,1542360.0,0.0,1.0,ECX
2018-11-05,2.3,2.35,2.27,2.31,2.2375,2170599.0,0.0,1.0,ECX
2018-11-04,2.37,2.46,2.25,2.27,2.1988,4749778.0,0.0,1.0,ECX
2018-11-01,2.31,2.46,2.31,2.44,2.3635,1437821.0,0.0,1.0,ECX
2018-10-31,2.41,2.43,2.35,2.37,2.2956,1343310.0,0.0,1.0,ECX
2018-10-30,2.46,2.51,2.39,2.42,2.3441,1625926.0,0.0,1.0,ECX
2018-10-29,2.31,2.41,2.27,2.41,2.3344,1365689.0,0.0,1.0,ECX
2018-10-28,2.29,2.37,2.28,2.36,2.286,936699.0,0.0,1.0,ECX
2018-10-25,2.39,2.49,2.29,2.32,2.2472,1749366.0,0.0,1.0,ECX
2018-10-24,2.49,2.49,2.37,2.37,2.2956,1452248.0,0.0,1.0,ECX
2018-10-23,2.55,2.57,2.49,2.54,2.4603,1020591.0,0.0,1.0,ECX
2018-10-22,2.55,2.625,2.52,2.55,2.47,1964743.0,0.0,1.0,ECX
2018-10-21,2.55,2.6,2.51,2.58,2.4991,1087585.0,0.0,1.0,ECX
2018-10-18,2.52,2.575,2.52,2.56,2.4797,1086752.0,0.0,1.0,ECX
2018-10-17,2.53,2.56,2.51,2.54,2.4603,782808.0,0.0,1.0,ECX
2018-10-16,2.53,2.575,2.525,2.55,2.47,1396057.0,0.0,1.0,ECX
2018-10-15,2.56,2.56,2.51,2.53,2.4506,1415866.0,0.0,1.0,ECX
2018-10-14,2.48,2.56,2.455,2.52,2.4409,2318795.0,0.0,1.0,ECX
2018-10-11,2.48,2.52,2.46,2.51,2.4313,1139469.0,0.0,1.0,ECX
2018-10-10,2.58,2.6,2.51,2.51,2.4313,1226474.0,0.0,1.0,ECX
2018-10-09,2.66,2.69,2.61,2.65,2.5669,813003.0,0.0,1.0,ECX
2018-10-08,2.7,2.77,2.665,2.68,2.5959,2038352.0,0.0,1.0,ECX
2018-10-07,2.72,2.78,2.715,2.75,2.6637,2001293.0,0.0,1.0,ECX
2018-10-05,2.75,2.81,2.73,2.77,2.6831,4059819.0,0.0,1.0,ECX
2018-10-04,2.74,2.82,2.73,2.78,2.6928,2751801.0,0.0,1.0,ECX
2018-10-03,2.65,2.73,2.59,2.69,2.6056,2655367.0,0.0,1.0,ECX
2018-10-02,2.62,2.665,2.55,2.65,2.5669,2224000.0,0.0,1.0,ECX
2018-10-01,2.56,2.65,2.515,2.64,2.5572,1694882.0,0.0,1.0,ECX
2018-09-28,2.53,2.59,2.49,2.57,2.4894,4228706.0,0.0,1.0,ECX
2018-09-27,2.42,2.545,2.41,2.53,2.4506,1632017.0,0.0,1.0,ECX
2018-09-26,2.45,2.46,2.375,2.41,2.3344,1260736.0,0.0,1.0,ECX
2018-09-25,2.4,2.46,2.4,2.45,2.3731,1906910.0,0.0,1.0,ECX
2018-09-24,2.38,2.4,2.28,2.38,2.3053,3423172.0,0.0,1.0,ECX
2018-09-21,2.45,2.55,2.39,2.42,2.3441,3947574.0,0.0,1.0,ECX
2018-09-20,2.47,2.51,2.365,2.45,2.3731,3211780.0,0.0,1.0,ECX
2018-09-19,2.42,2.53,2.41,2.52,2.4409,1605771.0,0.0,1.0,ECX
2018-09-18,2.49,2.53,2.43,2.45,2.3731,1333987.0,0.0,1.0,ECX
2018-09-17,2.58,2.58,2.495,2.51,2.4313,1720139.0,0.0,1.0,ECX
2018-09-14,2.52,2.595,2.51,2.58,2.4991,1623727.0,0.0,1.0,ECX
2018-09-13,2.54,2.57,2.485,2.51,2.4313,1078383.0,0.0,1.0,ECX
2018-09-12,2.6,2.63,2.505,2.56,2.4797,1206251.0,0.0,1.0,ECX
2018-09-11,2.6,2.64,2.56,2.63,2.5475,1458490.0,0.0,1.0,ECX
2018-09-10,2.68,2.69,2.565,2.6,2.5184,2411051.0,0.0,1.0,ECX
2018-09-07,2.62,2.72,2.62,2.68,2.5959,1832735.0,0.0,1.0,ECX
2018-09-06,2.65,2.72,2.605,2.63,2.5475,2043928.0,0.0,1.0,ECX
2018-09-05,2.68,2.715,2.615,2.65,2.5669,1692189.0,0.0,1.0,ECX
2018-09-04,2.72,2.74,2.66,2.68,2.5959,1082208.0,0.0,1.0,ECX
2018-09-03,2.69,2.725,2.66,2.72,2.6347,1446601.0,0.0,1.0,ECX
2018-08-31,2.69,2.74,2.64,2.66,2.5765,1167473.0,0.0,1.0,ECX
2018-08-30,2.7,2.735,2.64,2.7,2.6153,2066460.0,0.0,1.0,ECX
2018-08-29,2.57,2.68,2.57,2.67,2.5862,2359152.0,0.0,1.0,ECX
2018-08-28,2.6,2.65,2.55,2.57,2.4894,2035536.0,0.0,1.0,ECX
2018-08-27,2.63,2.63,2.54,2.6,2.5184,1263261.0,0.0,1.0,ECX
2018-08-24,2.69,2.69,2.57,2.64,2.5572,2549738.0,0.0,1.0,ECX
2018-08-23,2.59,2.72,2.56,2.69,2.6056,3975035.0,0.0,1.0,ECX
2018-08-22,2.5,2.58,2.46,2.56,2.4797,2329577.0,0.0,1.0,ECX
2018-08-21,2.49,2.54,2.45,2.5,2.4216,4293494.0,0.0,1.0,ECX
2018-08-20,2.4,2.5,2.37,2.49,2.4119,6573144.0,0.0,1.0,ECX
2018-08-17,2.12,2.2,2.11,2.14,2.0729,3103824.0,0.0,1.0,ECX
2018-08-16,2.05,2.14,2.05,2.11,2.0438,2985182.0,0.0,1.0,ECX
2018-08-15,2.09,2.1,2.02,2.05,1.9857,2703962.0,0.0,1.0,ECX
2018-08-14,2.12,2.14,2.02,2.09,2.0244,5718127.0,0.0,1.0,ECX
2018-08-13,1.92,2.135,1.905,2.1,2.0341,7017540.0,0.0,1.0,ECX
2018-08-10,1.9,1.94,1.85,1.9,1.8404,4599984.0,0.0,1.0,ECX
2018-08-09,1.98,1.98,1.86,1.9,1.8404,10174252.0,0.0,1.0,ECX
2018-08-08,1.895,2.05,1.87,1.99,1.9276,24508569.0,0.0,1.0,ECX
2018-08-07,1.87,1.965,1.657,1.8,1.7435,57091163.0,0.0,1.0,ECX
2018-08-06,3.05,3.08,3.03,3.04,2.9446,525607.0,0.0,1.0,ECX
2018-08-03,3.07,3.1,3.01,3.05,2.9543,1549799.0,0.0,1.0,ECX
2018-08-02,3.08,3.1,3.06,3.07,2.9737,884326.0,0.0,1.0,ECX
2018-08-01,3.12,3.12,3.06,3.07,2.9737,723561.0,0.0,1.0,ECX
2018-07-31,3.1,3.1,3.07,3.07,2.9737,830598.0,0.0,1.0,ECX
2018-07-30,3.1,3.11,3.08,3.09,2.9931,868522.0,0.0,1.0,ECX
2018-07-27,3.13,3.14,3.11,3.11,3.0124,1294827.0,0.0,1.0,ECX
2018-07-26,3.12,3.145,3.08,3.11,3.0124,863093.0,0.0,1.0,ECX
2018-07-25,3.14,3.15,3.095,3.11,3.0124,1587219.0,0.0,1.0,ECX
2018-07-24,3.12,3.15,3.09,3.14,3.0415,879067.0,0.0,1.0,ECX
2018-07-23,3.21,3.23,3.085,3.1,3.0027,1019206.0,0.0,1.0,ECX
2018-07-20,3.18,3.24,3.17,3.22,3.119,519820.0,0.0,1.0,ECX
2018-07-19,3.17,3.24,3.155,3.21,3.1093,982502.0,0.0,1.0,ECX
