date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,3.25,3.305,3.25,3.29,3.29,6183537.0,0.0,1.0,EVN
2018-12-12,3.28,3.32,3.25,3.29,3.29,6497397.0,0.0,1.0,EVN
2018-12-11,3.36,3.37,3.28,3.31,3.31,6397949.0,0.0,1.0,EVN
2018-12-10,3.28,3.4,3.25,3.38,3.38,9972532.0,0.0,1.0,EVN
2018-12-09,3.3,3.33,3.27,3.3,3.3,11082781.0,0.0,1.0,EVN
2018-12-06,3.23,3.28,3.18,3.22,3.22,8247992.0,0.0,1.0,EVN
2018-12-05,3.19,3.26,3.17,3.26,3.26,7165096.0,0.0,1.0,EVN
2018-12-04,3.24,3.26,3.16,3.2,3.2,6641659.0,0.0,1.0,EVN
2018-12-03,3.17,3.22,3.14,3.21,3.21,7405513.0,0.0,1.0,EVN
2018-12-02,3.15,3.18,3.12,3.17,3.17,6073082.0,0.0,1.0,EVN
2018-11-29,3.12,3.14,3.045,3.14,3.14,9774369.0,0.0,1.0,EVN
2018-11-28,3.11,3.17,3.09,3.15,3.15,5578855.0,0.0,1.0,EVN
2018-11-27,3.11,3.11,3.035,3.09,3.09,4607531.0,0.0,1.0,EVN
2018-11-26,3.1,3.13,3.05,3.12,3.12,7500914.0,0.0,1.0,EVN
2018-11-25,3.12,3.17,3.09,3.12,3.12,7852307.0,0.0,1.0,EVN
2018-11-22,3.17,3.18,3.12,3.13,3.13,3294917.0,0.0,1.0,EVN
2018-11-21,3.23,3.24,3.12,3.18,3.18,7010910.0,0.0,1.0,EVN
2018-11-20,3.12,3.18,3.09,3.18,3.18,5221308.0,0.0,1.0,EVN
2018-11-19,3.18,3.18,3.115,3.15,3.15,10240532.0,0.0,1.0,EVN
2018-11-18,3.09,3.2,3.06,3.16,3.16,8199260.0,0.0,1.0,EVN
2018-11-15,3.11,3.13,3.05,3.07,3.07,3738835.0,0.0,1.0,EVN
2018-11-14,3.07,3.14,3.07,3.13,3.13,6096136.0,0.0,1.0,EVN
2018-11-13,3.1,3.14,3.01,3.05,3.05,6102152.0,0.0,1.0,EVN
2018-11-12,3.08,3.175,3.05,3.11,3.11,12193481.0,0.0,1.0,EVN
2018-11-11,3.04,3.115,3.035,3.11,3.11,6495944.0,0.0,1.0,EVN
2018-11-08,3.06,3.12,3.06,3.09,3.09,4950472.0,0.0,1.0,EVN
2018-11-07,3.12,3.12,3.04,3.06,3.06,4366320.0,0.0,1.0,EVN
2018-11-06,3.05,3.145,3.02,3.12,3.12,8270108.0,0.0,1.0,EVN
2018-11-05,3.01,3.06,2.94,3.04,3.04,5388288.0,0.0,1.0,EVN
2018-11-04,3.05,3.065,2.98,2.98,2.98,7709098.0,0.0,1.0,EVN
2018-11-01,3.05,3.07,2.965,3.07,3.07,8571734.0,0.0,1.0,EVN
2018-10-31,2.95,3.03,2.905,2.99,2.99,7754308.0,0.0,1.0,EVN
2018-10-30,3.07,3.07,2.95,2.98,2.98,11553980.0,0.0,1.0,EVN
2018-10-29,3.14,3.16,3.05,3.07,3.07,9462589.0,0.0,1.0,EVN
2018-10-28,3.12,3.17,3.06,3.16,3.16,6207056.0,0.0,1.0,EVN
2018-10-25,3.14,3.14,3.06,3.12,3.12,9379898.0,0.0,1.0,EVN
2018-10-24,3.18,3.25,3.11,3.19,3.19,12110990.0,0.0,1.0,EVN
2018-10-23,3.15,3.2,3.12,3.17,3.17,8257372.0,0.0,1.0,EVN
2018-10-22,3.14,3.14,3.07,3.09,3.09,5613484.0,0.0,1.0,EVN
2018-10-21,3.06,3.16,3.06,3.14,3.14,8243691.0,0.0,1.0,EVN
2018-10-18,3.01,3.09,2.985,3.08,3.08,6946828.0,0.0,1.0,EVN
2018-10-17,3.03,3.045,2.985,3.02,3.02,6624047.0,0.0,1.0,EVN
2018-10-16,3.01,3.05,2.98,3.04,3.04,6408719.0,0.0,1.0,EVN
2018-10-15,3.05,3.06,2.99,3.03,3.03,8522387.0,0.0,1.0,EVN
2018-10-14,3.0,3.0,2.93,2.97,2.97,9071483.0,0.0,1.0,EVN
2018-10-11,2.99,3.03,2.96,3.01,3.01,13570509.0,0.0,1.0,EVN
2018-10-10,2.74,2.89,2.71,2.88,2.88,12215374.0,0.0,1.0,EVN
2018-10-09,2.77,2.78,2.7,2.71,2.71,5241881.0,0.0,1.0,EVN
2018-10-08,2.74,2.79,2.71,2.76,2.76,6137322.0,0.0,1.0,EVN
2018-10-07,2.73,2.79,2.72,2.76,2.76,8323724.0,0.0,1.0,EVN
2018-10-05,2.73,2.76,2.68,2.72,2.72,4690585.0,0.0,1.0,EVN
2018-10-04,2.73,2.74,2.66,2.68,2.68,7178277.0,0.0,1.0,EVN
2018-10-03,2.7,2.77,2.68,2.73,2.73,9731513.0,0.0,1.0,EVN
2018-10-02,2.67,2.68,2.63,2.63,2.63,3522614.0,0.0,1.0,EVN
2018-10-01,2.65,2.67,2.63,2.66,2.66,2821480.0,0.0,1.0,EVN
2018-09-28,2.63,2.695,2.63,2.65,2.65,5728097.0,0.0,1.0,EVN
2018-09-27,2.69,2.71,2.635,2.64,2.64,7951026.0,0.0,1.0,EVN
2018-09-26,2.74,2.765,2.69,2.71,2.71,8580765.0,0.0,1.0,EVN
2018-09-25,2.72,2.79,2.67,2.68,2.68,6744754.0,0.0,1.0,EVN
2018-09-24,2.82,2.83,2.71,2.71,2.71,6676779.0,0.0,1.0,EVN
2018-09-21,2.87,2.9,2.84,2.86,2.86,35323939.0,0.0,1.0,EVN
2018-09-20,2.67,2.87,2.67,2.85,2.85,16076245.0,0.0,1.0,EVN
2018-09-19,2.65,2.7,2.63,2.67,2.67,11688988.0,0.0,1.0,EVN
2018-09-18,2.7,2.73,2.63,2.65,2.65,11200697.0,0.0,1.0,EVN
2018-09-17,2.67,2.71,2.64,2.71,2.71,9806436.0,0.0,1.0,EVN
2018-09-14,2.65,2.67,2.62,2.65,2.65,7719409.0,0.0,1.0,EVN
2018-09-13,2.67,2.7,2.61,2.63,2.63,12857136.0,0.0,1.0,EVN
2018-09-12,2.7,2.71,2.615,2.64,2.64,11105158.0,0.0,1.0,EVN
2018-09-11,2.77,2.78,2.67,2.71,2.71,9829377.0,0.0,1.0,EVN
2018-09-10,2.76,2.77,2.72,2.74,2.74,8627404.0,0.0,1.0,EVN
2018-09-07,2.72,2.785,2.705,2.77,2.77,11686579.0,0.0,1.0,EVN
2018-09-06,2.83,2.84,2.7,2.71,2.71,8684441.0,0.0,1.0,EVN
2018-09-05,2.85,2.91,2.81,2.84,2.84,11220829.0,0.0,1.0,EVN
2018-09-04,2.73,2.85,2.72,2.84,2.84,8687669.0,0.0,1.0,EVN
2018-09-03,2.68,2.74,2.67,2.7,2.7,6271657.0,0.0,1.0,EVN
2018-08-31,2.65,2.67,2.605,2.65,2.65,7659436.0,0.0,1.0,EVN
2018-08-30,2.72,2.72,2.66,2.66,2.66,6284312.0,0.0,1.0,EVN
2018-08-29,2.74,2.76,2.69,2.73,2.73,11261237.0,0.0,1.0,EVN
2018-08-28,2.79,2.795,2.73,2.77,2.77,7474151.0,0.0,1.0,EVN
2018-08-27,2.74,2.815,2.72,2.77,2.73,11049638.0,0.0,1.0,EVN
2018-08-24,2.74,2.75,2.665,2.68,2.6413,9585014.0,0.0,1.0,EVN
2018-08-23,2.77,2.79,2.71,2.75,2.7103,7806196.0,0.0,1.0,EVN
2018-08-22,2.82,2.86,2.75,2.77,2.73,7843145.0,0.0,1.0,EVN
2018-08-21,2.83,2.85,2.805,2.82,2.7793,5119036.0,0.0,1.0,EVN
2018-08-20,2.75,2.83,2.74,2.81,2.7694,9933869.0,0.0,1.0,EVN
2018-08-17,2.81,2.84,2.71,2.74,2.7004,14632729.0,0.0,1.0,EVN
2018-08-16,2.86,2.875,2.78,2.85,2.8088,8880235.0,0.0,1.0,EVN
2018-08-15,2.96,2.97,2.89,2.91,2.868,5952477.0,0.0,1.0,EVN
