date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,44.14,44.44,43.9,44.0,44.0,312201.0,0.0,1.0,FLT
2018-12-12,44.14,45.75,44.05,45.08,45.08,293537.0,0.0,1.0,FLT
2018-12-11,43.91,44.49,43.6,44.27,44.27,362524.0,0.0,1.0,FLT
2018-12-10,44.88,45.185,43.77,43.93,43.93,354170.0,0.0,1.0,FLT
2018-12-09,46.1,46.2,44.92,45.02,45.02,268875.0,0.0,1.0,FLT
2018-12-06,45.5,47.31,45.32,46.92,46.92,291386.0,0.0,1.0,FLT
2018-12-05,46.4,46.88,45.49,45.81,45.81,269221.0,0.0,1.0,FLT
2018-12-04,46.98,47.08,46.32,46.5,46.5,267741.0,0.0,1.0,FLT
2018-12-03,49.15,49.15,47.75,48.05,48.05,337966.0,0.0,1.0,FLT
2018-12-02,49.6,50.11,48.93,49.72,49.72,270783.0,0.0,1.0,FLT
2018-11-29,48.49,49.18,47.6,48.85,48.85,735327.0,0.0,1.0,FLT
2018-11-28,48.33,48.74,47.95,48.28,48.28,329437.0,0.0,1.0,FLT
2018-11-27,48.14,48.81,47.88,48.23,48.23,215770.0,0.0,1.0,FLT
2018-11-26,46.99,48.99,46.98,48.4,48.4,465026.0,0.0,1.0,FLT
2018-11-25,45.8,46.55,45.63,46.53,46.53,258308.0,0.0,1.0,FLT
2018-11-22,46.49,46.63,46.16,46.34,46.34,236401.0,0.0,1.0,FLT
2018-11-21,46.37,46.8,46.07,46.55,46.55,188321.0,0.0,1.0,FLT
2018-11-20,45.95,46.53,45.07,46.05,46.05,251316.0,0.0,1.0,FLT
2018-11-19,45.7,46.67,45.02,46.55,46.55,334987.0,0.0,1.0,FLT
2018-11-18,47.3,47.8,45.63,46.07,46.07,298212.0,0.0,1.0,FLT
2018-11-15,48.0,48.16,47.23,47.59,47.59,455015.0,0.0,1.0,FLT
2018-11-14,46.33,48.36,46.33,48.3,48.3,490754.0,0.0,1.0,FLT
2018-11-13,45.5,46.91,45.4,46.03,46.03,283919.0,0.0,1.0,FLT
2018-11-12,45.72,46.17,45.37,45.99,45.99,202213.0,0.0,1.0,FLT
2018-11-11,45.0,46.48,45.0,46.07,46.07,297996.0,0.0,1.0,FLT
2018-11-08,46.65,47.1,45.22,45.62,45.62,395693.0,0.0,1.0,FLT
2018-11-07,45.35,47.17,45.3,47.03,47.03,593023.0,0.0,1.0,FLT
2018-11-06,44.98,45.36,44.3,45.3,45.3,418950.0,0.0,1.0,FLT
2018-11-05,45.86,46.3,45.025,45.23,45.23,235341.0,0.0,1.0,FLT
2018-11-04,45.21,46.32,44.97,45.86,45.86,377362.0,0.0,1.0,FLT
2018-11-01,45.12,46.33,44.12,45.98,45.98,496018.0,0.0,1.0,FLT
2018-10-31,45.53,46.7,45.45,45.76,45.76,445796.0,0.0,1.0,FLT
2018-10-30,46.7,46.9,45.52,46.4,46.4,482648.0,0.0,1.0,FLT
2018-10-29,45.29,47.55,44.7,47.35,47.35,439954.0,0.0,1.0,FLT
2018-10-28,46.07,46.5,45.27,45.54,45.54,548427.0,0.0,1.0,FLT
2018-10-25,46.99,47.42,46.03,46.51,46.51,606948.0,0.0,1.0,FLT
2018-10-24,46.07,46.99,45.64,46.76,46.76,680313.0,0.0,1.0,FLT
2018-10-23,47.61,47.8,46.42,46.98,46.98,507521.0,0.0,1.0,FLT
2018-10-22,47.97,49.7,47.64,47.91,47.91,1040389.0,0.0,1.0,FLT
2018-10-21,51.36,52.48,45.05,46.08,46.08,1466481.0,0.0,1.0,FLT
2018-10-18,52.45,52.5,50.86,51.19,51.19,321826.0,0.0,1.0,FLT
2018-10-17,52.5,52.83,52.22,52.53,52.53,357743.0,0.0,1.0,FLT
2018-10-16,52.0,52.2,51.53,52.2,52.2,335992.0,0.0,1.0,FLT
2018-10-15,50.35,51.75,50.29,51.5,51.5,261341.0,0.0,1.0,FLT
2018-10-14,50.3,50.8,49.96,50.35,50.35,364261.0,0.0,1.0,FLT
2018-10-11,51.03,51.28,50.3,50.75,50.75,367997.0,0.0,1.0,FLT
2018-10-10,52.32,52.71,50.715,51.03,51.03,651296.0,0.0,1.0,FLT
2018-10-09,51.74,53.43,51.04,53.4,53.4,618290.0,0.0,1.0,FLT
2018-10-08,51.6,52.76,51.45,51.75,51.75,371007.0,0.0,1.0,FLT
2018-10-07,51.15,51.71,50.995,51.36,51.36,206737.0,0.0,1.0,FLT
2018-10-05,50.35,51.45,50.35,51.28,51.28,294428.0,0.0,1.0,FLT
2018-10-04,51.2,51.61,50.1,50.25,50.25,350027.0,0.0,1.0,FLT
2018-10-03,51.33,51.64,51.11,51.2,51.2,366283.0,0.0,1.0,FLT
2018-10-02,52.41,52.67,51.46,51.73,51.73,223071.0,0.0,1.0,FLT
2018-10-01,52.61,52.67,52.09,52.51,52.51,187544.0,0.0,1.0,FLT
2018-09-28,53.18,54.405,53.13,53.16,53.16,546401.0,0.0,1.0,FLT
2018-09-27,52.47,53.4,52.09,53.28,53.28,324715.0,0.0,1.0,FLT
2018-09-26,53.12,53.505,52.51,52.58,52.58,457235.0,0.0,1.0,FLT
2018-09-25,54.21,54.33,52.74,53.1,53.1,577169.0,0.0,1.0,FLT
2018-09-24,53.18,54.66,52.94,54.3,54.3,253308.0,0.0,1.0,FLT
2018-09-21,53.35,53.71,53.05,53.6,53.6,621867.0,0.0,1.0,FLT
2018-09-20,54.0,54.1,53.33,53.33,53.33,537195.0,0.0,1.0,FLT
2018-09-19,54.43,55.18,54.43,54.59,54.59,231062.0,0.0,1.0,FLT
2018-09-18,55.38,55.55,54.13,54.36,54.36,486189.0,0.0,1.0,FLT
2018-09-17,55.11,55.84,54.87,55.55,55.55,332544.0,0.0,1.0,FLT
2018-09-14,55.61,55.62,54.75,55.43,55.43,315449.0,0.0,1.0,FLT
2018-09-13,56.0,56.5,55.38,55.78,55.78,553033.0,0.0,1.0,FLT
2018-09-12,56.38,57.155,56.28,57.04,55.97,353588.0,0.0,1.0,FLT
2018-09-11,56.6,56.94,56.18,56.56,55.499,279451.0,0.0,1.0,FLT
2018-09-10,57.08,57.53,56.36,56.66,55.5971,410362.0,0.0,1.0,FLT
2018-09-07,57.53,57.99,56.75,57.38,56.3036,361495.0,0.0,1.0,FLT
2018-09-06,58.17,58.84,57.61,57.99,56.9022,693783.0,0.0,1.0,FLT
2018-09-05,58.79,59.11,58.14,58.5,57.4026,587326.0,0.0,1.0,FLT
2018-09-04,58.5,58.9,58.16,58.67,57.5694,359840.0,0.0,1.0,FLT
2018-09-03,58.52,58.61,57.9,58.08,56.9905,318347.0,0.0,1.0,FLT
2018-08-31,57.75,58.8,57.72,58.42,57.3241,869312.0,0.0,1.0,FLT
2018-08-30,56.61,58.13,56.505,58.05,56.9611,450400.0,0.0,1.0,FLT
2018-08-29,56.49,56.97,56.07,56.6,55.5383,674813.0,0.0,1.0,FLT
2018-08-28,57.2,57.71,55.77,56.81,55.7443,773345.0,0.0,1.0,FLT
2018-08-27,56.17,58.42,55.27,56.98,55.9111,829944.0,0.0,1.0,FLT
2018-08-24,61.07,61.57,57.68,57.91,56.8237,1082136.0,0.0,1.0,FLT
2018-08-23,64.75,66.0,60.84,61.68,60.523,1166212.0,0.0,1.0,FLT
2018-08-22,66.8,67.9,65.28,67.12,65.8609,324487.0,0.0,1.0,FLT
2018-08-21,69.35,69.35,68.06,68.48,67.1954,218047.0,0.0,1.0,FLT
2018-08-20,69.45,70.53,69.07,69.36,68.0589,360831.0,0.0,1.0,FLT
2018-08-17,68.34,69.38,68.15,68.38,67.0973,382251.0,0.0,1.0,FLT
2018-08-16,66.17,68.48,66.16,68.3,67.0188,294207.0,0.0,1.0,FLT
2018-08-15,65.86,67.17,65.74,67.16,65.9002,156913.0,0.0,1.0,FLT
2018-08-14,64.43,66.73,64.43,66.26,65.017,240829.0,0.0,1.0,FLT
2018-08-13,65.0,65.22,64.51,64.83,63.6139,249305.0,0.0,1.0,FLT
2018-08-10,65.44,66.21,65.07,65.84,64.6049,322779.0,0.0,1.0,FLT
2018-08-09,65.22,66.86,64.75,65.9,64.6638,320348.0,0.0,1.0,FLT
2018-08-08,64.5,65.34,64.01,64.5,63.2901,438958.0,0.0,1.0,FLT
2018-08-07,65.56,65.9,64.96,65.37,64.1437,391007.0,0.0,1.0,FLT
2018-08-06,67.02,67.37,66.01,66.23,64.9876,192879.0,0.0,1.0,FLT
