date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,4.21,4.23,4.09,4.12,4.12,11405226.0,0.0,1.0,FMG
2018-12-12,4.19,4.25,4.15,4.21,4.21,7998466.0,0.0,1.0,FMG
2018-12-11,4.14,4.2,4.14,4.15,4.15,12246809.0,0.0,1.0,FMG
2018-12-10,4.09,4.16,4.06,4.13,4.13,10587918.0,0.0,1.0,FMG
2018-12-09,4.05,4.09,4.02,4.07,4.07,9370585.0,0.0,1.0,FMG
2018-12-06,4.02,4.1,4.01,4.07,4.07,9747302.0,0.0,1.0,FMG
2018-12-05,4.07,4.09,4.025,4.05,4.05,6984217.0,0.0,1.0,FMG
2018-12-04,4.05,4.12,4.01,4.1,4.1,8170767.0,0.0,1.0,FMG
2018-12-03,4.14,4.19,4.09,4.1,4.1,10693677.0,0.0,1.0,FMG
2018-12-02,4.15,4.23,4.12,4.17,4.17,19706918.0,0.0,1.0,FMG
2018-11-29,4.05,4.05,3.98,4.0,4.0,33624144.0,0.0,1.0,FMG
2018-11-28,4.07,4.115,4.02,4.03,4.03,26880113.0,0.0,1.0,FMG
2018-11-27,3.83,3.975,3.81,3.94,3.94,29404015.0,0.0,1.0,FMG
2018-11-26,3.84,3.86,3.765,3.85,3.85,16028478.0,0.0,1.0,FMG
2018-11-25,3.91,3.96,3.815,3.85,3.85,34350247.0,0.0,1.0,FMG
2018-11-22,3.96,4.02,3.945,4.01,4.01,8010553.0,0.0,1.0,FMG
2018-11-21,4.01,4.04,3.97,4.0,4.0,7736339.0,0.0,1.0,FMG
2018-11-20,3.94,4.005,3.91,3.96,3.96,20653473.0,0.0,1.0,FMG
2018-11-19,4.08,4.11,4.02,4.08,4.08,10247835.0,0.0,1.0,FMG
2018-11-18,4.13,4.15,4.03,4.05,4.05,10587701.0,0.0,1.0,FMG
2018-11-15,4.01,4.13,4.01,4.12,4.12,13654890.0,0.0,1.0,FMG
2018-11-14,3.95,4.01,3.895,3.97,3.97,15574809.0,0.0,1.0,FMG
2018-11-13,4.12,4.15,3.96,3.97,3.97,30173922.0,0.0,1.0,FMG
2018-11-12,4.21,4.22,4.12,4.16,4.16,12236783.0,0.0,1.0,FMG
2018-11-11,4.2,4.29,4.18,4.28,4.28,8506822.0,0.0,1.0,FMG
2018-11-08,4.24,4.27,4.18,4.25,4.25,9884306.0,0.0,1.0,FMG
2018-11-07,4.29,4.305,4.245,4.27,4.27,8325282.0,0.0,1.0,FMG
2018-11-06,4.22,4.26,4.165,4.26,4.26,11617505.0,0.0,1.0,FMG
2018-11-05,4.24,4.25,4.17,4.25,4.25,12266785.0,0.0,1.0,FMG
2018-11-04,4.09,4.22,4.08,4.21,4.21,29710535.0,0.0,1.0,FMG
2018-11-01,4.16,4.17,4.04,4.11,4.11,21650245.0,0.0,1.0,FMG
2018-10-31,4.02,4.125,4.005,4.11,4.11,18748656.0,0.0,1.0,FMG
2018-10-30,4.08,4.11,3.89,4.0,4.0,28967569.0,0.0,1.0,FMG
2018-10-29,3.89,4.085,3.85,4.06,4.06,15620297.0,0.0,1.0,FMG
2018-10-28,3.85,3.95,3.83,3.9,3.9,19641055.0,0.0,1.0,FMG
2018-10-25,3.74,3.875,3.72,3.83,3.83,29450146.0,0.0,1.0,FMG
2018-10-24,3.79,3.81,3.6,3.64,3.64,26323302.0,0.0,1.0,FMG
2018-10-23,3.93,3.93,3.81,3.86,3.86,17247455.0,0.0,1.0,FMG
2018-10-22,3.94,3.95,3.88,3.9,3.9,18027314.0,0.0,1.0,FMG
2018-10-21,3.89,4.0,3.86,3.97,3.97,12094615.0,0.0,1.0,FMG
2018-10-18,3.88,3.925,3.83,3.88,3.88,14116465.0,0.0,1.0,FMG
2018-10-17,3.86,3.98,3.825,3.97,3.97,17339176.0,0.0,1.0,FMG
2018-10-16,3.93,3.94,3.77,3.8,3.8,15717093.0,0.0,1.0,FMG
