date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.32,1.325,1.31,1.31,1.31,727795.0,0.0,1.0,GDI
2018-12-12,1.33,1.33,1.312,1.32,1.32,821268.0,0.0,1.0,GDI
2018-12-11,1.31,1.33,1.305,1.33,1.33,302961.0,0.0,1.0,GDI
2018-12-10,1.305,1.31,1.295,1.31,1.31,485721.0,0.0,1.0,GDI
2018-12-09,1.3,1.315,1.29,1.31,1.31,968424.0,0.0,1.0,GDI
2018-12-06,1.31,1.335,1.3,1.3,1.3,369638.0,0.0,1.0,GDI
2018-12-05,1.295,1.315,1.285,1.3,1.3,464253.0,0.0,1.0,GDI
2018-12-04,1.275,1.29,1.267,1.29,1.29,512748.0,0.0,1.0,GDI
2018-12-03,1.27,1.28,1.26,1.275,1.275,575098.0,0.0,1.0,GDI
2018-12-02,1.265,1.285,1.265,1.275,1.275,258210.0,0.0,1.0,GDI
2018-11-29,1.26,1.265,1.255,1.265,1.265,1296614.0,0.0,1.0,GDI
2018-11-28,1.265,1.275,1.26,1.26,1.26,386700.0,0.0,1.0,GDI
2018-11-27,1.26,1.27,1.26,1.26,1.26,400679.0,0.0,1.0,GDI
2018-11-26,1.275,1.275,1.255,1.26,1.26,1756558.0,0.0,1.0,GDI
2018-11-25,1.255,1.275,1.255,1.275,1.275,327453.0,0.0,1.0,GDI
2018-11-22,1.26,1.27,1.25,1.26,1.26,226867.0,0.0,1.0,GDI
2018-11-21,1.255,1.255,1.242,1.25,1.25,570335.0,0.0,1.0,GDI
2018-11-20,1.245,1.26,1.24,1.255,1.255,308582.0,0.0,1.0,GDI
2018-11-19,1.24,1.255,1.235,1.245,1.245,813725.0,0.0,1.0,GDI
2018-11-18,1.24,1.25,1.23,1.245,1.245,424182.0,0.0,1.0,GDI
2018-11-15,1.24,1.26,1.24,1.245,1.245,181468.0,0.0,1.0,GDI
2018-11-14,1.265,1.267,1.232,1.24,1.24,1113127.0,0.0,1.0,GDI
2018-11-13,1.3,1.3,1.265,1.27,1.27,1068427.0,0.0,1.0,GDI
2018-11-12,1.29,1.3,1.28,1.3,1.3,346779.0,0.0,1.0,GDI
2018-11-11,1.255,1.285,1.255,1.285,1.285,1027401.0,0.0,1.0,GDI
2018-11-08,1.255,1.255,1.24,1.255,1.255,718857.0,0.0,1.0,GDI
2018-11-07,1.255,1.26,1.24,1.25,1.25,1112066.0,0.0,1.0,GDI
2018-11-06,1.285,1.29,1.25,1.25,1.25,779900.0,0.0,1.0,GDI
2018-11-05,1.24,1.31,1.237,1.305,1.305,674790.0,0.0,1.0,GDI
2018-11-04,1.275,1.275,1.2,1.24,1.24,1178570.0,0.0,1.0,GDI
2018-11-01,1.295,1.295,1.265,1.275,1.275,764734.0,0.0,1.0,GDI
2018-10-31,1.3,1.3,1.272,1.275,1.275,1355168.0,0.0,1.0,GDI
2018-10-30,1.29,1.31,1.27,1.29,1.29,2265898.0,0.0,1.0,GDI
2018-10-29,1.27,1.3,1.265,1.285,1.285,1599202.0,0.0,1.0,GDI
2018-10-28,1.305,1.31,1.28,1.29,1.29,1363062.0,0.0,1.0,GDI
2018-10-25,1.315,1.325,1.3,1.32,1.32,264458.0,0.0,1.0,GDI
2018-10-24,1.335,1.335,1.31,1.31,1.31,393644.0,0.0,1.0,GDI
2018-10-23,1.325,1.34,1.31,1.335,1.335,329473.0,0.0,1.0,GDI
2018-10-22,1.35,1.355,1.325,1.325,1.325,483039.0,0.0,1.0,GDI
2018-10-21,1.36,1.36,1.33,1.34,1.34,207158.0,0.0,1.0,GDI
2018-10-18,1.36,1.3675,1.345,1.355,1.355,569342.0,0.0,1.0,GDI
2018-10-17,1.35,1.37,1.35,1.36,1.36,615233.0,0.0,1.0,GDI
2018-10-16,1.335,1.35,1.32,1.35,1.35,1403690.0,0.0,1.0,GDI
2018-10-15,1.33,1.34,1.32,1.325,1.325,335583.0,0.0,1.0,GDI
2018-10-14,1.335,1.345,1.325,1.335,1.335,2175042.0,0.0,1.0,GDI
2018-10-11,1.33,1.355,1.33,1.34,1.34,1416419.0,0.0,1.0,GDI
2018-10-10,1.337,1.35,1.325,1.34,1.34,898580.0,0.0,1.0,GDI
2018-10-09,1.345,1.355,1.335,1.345,1.345,813079.0,0.0,1.0,GDI
2018-10-08,1.36,1.36,1.33,1.335,1.335,592747.0,0.0,1.0,GDI
2018-10-07,1.335,1.355,1.33,1.355,1.355,407920.0,0.0,1.0,GDI
2018-10-05,1.315,1.335,1.31,1.325,1.325,476981.0,0.0,1.0,GDI
2018-10-04,1.32,1.3275,1.31,1.315,1.315,342068.0,0.0,1.0,GDI
2018-10-03,1.335,1.335,1.31,1.31,1.31,340497.0,0.0,1.0,GDI
2018-10-02,1.32,1.33,1.312,1.33,1.33,692677.0,0.0,1.0,GDI
2018-10-01,1.32,1.335,1.312,1.32,1.32,279576.0,0.0,1.0,GDI
2018-09-28,1.31,1.32,1.305,1.32,1.32,1267240.0,0.0,1.0,GDI
2018-09-27,1.3,1.32,1.3,1.315,1.315,1181326.0,0.0,1.0,GDI
2018-09-26,1.3,1.32,1.29,1.31,1.31,1033716.0,0.0,1.0,GDI
2018-09-25,1.325,1.335,1.305,1.305,1.305,2778740.0,0.0,1.0,GDI
2018-09-24,1.34,1.345,1.32,1.33,1.33,1140689.0,0.0,1.0,GDI
2018-09-21,1.3,1.34,1.29,1.34,1.34,1327737.0,0.0,1.0,GDI
2018-09-20,1.295,1.305,1.295,1.3,1.3,2007532.0,0.0,1.0,GDI
2018-09-19,1.305,1.31,1.295,1.3,1.3,184060.0,0.0,1.0,GDI
2018-09-18,1.32,1.32,1.29,1.295,1.295,493052.0,0.0,1.0,GDI
2018-09-17,1.3,1.325,1.29,1.32,1.32,624286.0,0.0,1.0,GDI
2018-09-14,1.3,1.315,1.295,1.305,1.305,517335.0,0.0,1.0,GDI
2018-09-13,1.28,1.31,1.28,1.3,1.3,385037.0,0.0,1.0,GDI
2018-09-12,1.285,1.295,1.28,1.295,1.295,701102.0,0.0,1.0,GDI
2018-09-11,1.28,1.285,1.275,1.28,1.28,806940.0,0.0,1.0,GDI
2018-09-10,1.285,1.285,1.275,1.28,1.28,205628.0,0.0,1.0,GDI
2018-09-07,1.27,1.29,1.27,1.28,1.28,914502.0,0.0,1.0,GDI
2018-09-06,1.275,1.28,1.27,1.275,1.275,520412.0,0.0,1.0,GDI
2018-09-05,1.27,1.28,1.27,1.27,1.27,437391.0,0.0,1.0,GDI
2018-09-04,1.27,1.28,1.27,1.27,1.27,171050.0,0.0,1.0,GDI
2018-09-03,1.275,1.285,1.265,1.27,1.27,299500.0,0.0,1.0,GDI
2018-08-31,1.255,1.275,1.242,1.27,1.27,352120.0,0.0,1.0,GDI
