date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.81,2.88,2.81,2.83,2.83,3354927.0,0.0,1.0,GEM
2018-12-12,2.83,2.85,2.81,2.83,2.83,1348498.0,0.0,1.0,GEM
2018-12-11,2.82,2.85,2.78,2.83,2.83,4033960.0,0.0,1.0,GEM
2018-12-10,2.86,2.87,2.82,2.84,2.84,3559955.0,0.0,1.0,GEM
2018-12-09,2.83,2.91,2.82,2.86,2.86,2705017.0,0.0,1.0,GEM
2018-12-06,2.83,2.89,2.81,2.87,2.87,1855536.0,0.0,1.0,GEM
2018-12-05,2.98,3.0,2.835,2.88,2.88,4485341.0,0.0,1.0,GEM
2018-12-04,2.94,3.035,2.92,3.02,3.02,5714764.0,0.0,1.0,GEM
2018-12-03,2.9,3.0,2.88,3.0,3.0,8633909.0,0.0,1.0,GEM
2018-12-02,2.81,2.95,2.81,2.93,2.93,5785400.0,0.0,1.0,GEM
2018-11-29,2.85,2.85,2.73,2.8,2.8,2872985.0,0.0,1.0,GEM
2018-11-28,2.86,2.89,2.815,2.83,2.83,3093492.0,0.0,1.0,GEM
2018-11-27,2.81,2.84,2.8,2.84,2.84,5278831.0,0.0,1.0,GEM
2018-11-26,2.82,2.82,2.77,2.82,2.82,2729634.0,0.0,1.0,GEM
2018-11-25,2.82,2.84,2.77,2.81,2.81,3615987.0,0.0,1.0,GEM
2018-11-22,2.84,2.88,2.79,2.85,2.85,2464199.0,0.0,1.0,GEM
2018-11-21,2.82,2.865,2.78,2.85,2.85,2773302.0,0.0,1.0,GEM
2018-11-20,2.84,2.885,2.755,2.83,2.83,4363032.0,0.0,1.0,GEM
2018-11-19,2.88,2.88,2.79,2.86,2.86,5350580.0,0.0,1.0,GEM
2018-11-18,2.87,2.93,2.825,2.93,2.93,6877399.0,0.0,1.0,GEM
2018-11-15,2.72,2.87,2.72,2.84,2.84,7974760.0,0.0,1.0,GEM
2018-11-14,2.51,2.73,2.47,2.69,2.69,11300583.0,0.0,1.0,GEM
2018-11-13,2.42,2.44,2.34,2.41,2.41,5570259.0,0.0,1.0,GEM
2018-11-12,2.41,2.44,2.37,2.43,2.43,2091639.0,0.0,1.0,GEM
2018-11-11,2.35,2.45,2.35,2.45,2.45,5930377.0,0.0,1.0,GEM
2018-11-08,2.12,2.36,2.12,2.36,2.36,8412653.0,0.0,1.0,GEM
2018-11-07,2.13,2.16,2.11,2.12,2.12,1652382.0,0.0,1.0,GEM
2018-11-06,2.09,2.13,2.06,2.12,2.12,1830393.0,0.0,1.0,GEM
2018-11-05,2.02,2.07,1.99,2.07,2.07,1165848.0,0.0,1.0,GEM
2018-11-04,2.0,2.035,1.99,2.0,2.0,1374447.0,0.0,1.0,GEM
2018-11-01,2.01,2.04,2.0,2.02,2.02,833015.0,0.0,1.0,GEM
2018-10-31,2.05,2.05,2.0,2.03,2.03,1304741.0,0.0,1.0,GEM
2018-10-30,1.97,2.07,1.97,2.05,2.05,1671442.0,0.0,1.0,GEM
2018-10-29,1.98,2.01,1.95,2.01,2.01,1257900.0,0.0,1.0,GEM
2018-10-28,1.92,1.9975,1.905,1.985,1.985,3356733.0,0.0,1.0,GEM
2018-10-25,2.09,2.09,1.88,1.91,1.91,6957075.0,0.0,1.0,GEM
2018-10-24,2.13,2.14,2.06,2.06,2.06,2290647.0,0.0,1.0,GEM
2018-10-23,2.11,2.17,2.11,2.16,2.16,2408980.0,0.0,1.0,GEM
2018-10-22,2.13,2.14,2.11,2.13,2.13,1366576.0,0.0,1.0,GEM
2018-10-21,2.18,2.19,2.11,2.15,2.15,2849021.0,0.0,1.0,GEM
2018-10-18,2.12,2.17,2.11,2.17,2.17,2003331.0,0.0,1.0,GEM
2018-10-17,2.07,2.16,2.06,2.15,2.15,2154154.0,0.0,1.0,GEM
2018-10-16,2.12,2.13,2.065,2.11,2.11,1549190.0,0.0,1.0,GEM
2018-10-15,2.05,2.13,2.05,2.11,2.11,4428501.0,0.0,1.0,GEM
