date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,3.73,3.77,3.73,3.76,3.76,1098838.0,0.0,1.0,GOZ
2018-12-12,3.79,3.8,3.76,3.77,3.77,636621.0,0.0,1.0,GOZ
2018-12-11,3.76,3.81,3.73,3.8,3.8,1540812.0,0.0,1.0,GOZ
2018-12-10,3.76,3.8,3.75,3.79,3.79,519597.0,0.0,1.0,GOZ
2018-12-09,3.76,3.8,3.7,3.76,3.76,359762.0,0.0,1.0,GOZ
2018-12-06,3.78,3.81,3.77,3.8,3.8,477614.0,0.0,1.0,GOZ
2018-12-05,3.72,3.79,3.71,3.78,3.78,871220.0,0.0,1.0,GOZ
2018-12-04,3.69,3.695,3.67,3.69,3.69,646243.0,0.0,1.0,GOZ
2018-12-03,3.63,3.68,3.63,3.67,3.67,926894.0,0.0,1.0,GOZ
2018-12-02,3.69,3.69,3.645,3.66,3.66,329149.0,0.0,1.0,GOZ
2018-11-29,3.73,3.74,3.645,3.65,3.65,917411.0,0.0,1.0,GOZ
2018-11-28,3.75,3.75,3.69,3.71,3.71,416590.0,0.0,1.0,GOZ
2018-11-27,3.69,3.73,3.67,3.73,3.73,491316.0,0.0,1.0,GOZ
2018-11-26,3.67,3.68,3.625,3.67,3.67,412393.0,0.0,1.0,GOZ
2018-11-25,3.61,3.705,3.61,3.67,3.67,639205.0,0.0,1.0,GOZ
2018-11-22,3.62,3.63,3.59,3.61,3.61,538220.0,0.0,1.0,GOZ
2018-11-21,3.52,3.625,3.52,3.61,3.61,1070359.0,0.0,1.0,GOZ
2018-11-20,3.46,3.57,3.44,3.54,3.54,1038054.0,0.0,1.0,GOZ
2018-11-19,3.602,3.602,3.602,3.602,3.602,0.0,0.0,1.0,GOZ
2018-11-18,3.592,3.6219,3.587,3.602,3.602,569266.0,0.0,1.0,GOZ
2018-11-15,3.592,3.6219,3.587,3.602,3.602,569266.0,0.0,1.0,GOZ
2018-11-14,3.592,3.6219,3.582,3.592,3.592,657950.0,0.0,1.0,GOZ
2018-11-13,3.6718,3.6718,3.592,3.592,3.592,743263.0,0.0,1.0,GOZ
2018-11-12,3.6119,3.6618,3.6119,3.6319,3.6319,416375.0,0.0,1.0,GOZ
2018-11-11,3.602,3.6718,3.602,3.6419,3.6419,457841.0,0.0,1.0,GOZ
2018-11-08,3.592,3.6319,3.592,3.6119,3.6119,564660.0,0.0,1.0,GOZ
2018-11-07,3.6119,3.6618,3.602,3.6119,3.6119,396132.0,0.0,1.0,GOZ
2018-11-06,3.592,3.6219,3.572,3.6119,3.6119,546883.0,0.0,1.0,GOZ
2018-11-05,3.572,3.6119,3.567,3.602,3.602,558083.0,0.0,1.0,GOZ
2018-11-04,3.572,3.592,3.5521,3.5621,3.5621,529449.0,0.0,1.0,GOZ
2018-11-01,3.592,3.6119,3.572,3.572,3.572,1476413.0,0.0,1.0,GOZ
2018-10-31,3.6219,3.6369,3.582,3.592,3.592,355694.0,0.0,1.0,GOZ
2018-10-30,3.592,3.6419,3.592,3.6219,3.6219,525190.0,0.0,1.0,GOZ
2018-10-29,3.592,3.6219,3.592,3.6219,3.6219,295203.0,0.0,1.0,GOZ
2018-10-28,3.592,3.6219,3.582,3.6219,3.6219,490464.0,0.0,1.0,GOZ
2018-10-25,3.572,3.602,3.572,3.602,3.602,437172.0,0.0,1.0,GOZ
2018-10-24,3.6119,3.6369,3.592,3.592,3.592,647238.0,0.0,1.0,GOZ
2018-10-23,3.572,3.6618,3.572,3.6519,3.6519,295448.0,0.0,1.0,GOZ
2018-10-22,3.6519,3.6718,3.6219,3.6219,3.6219,313707.0,0.0,1.0,GOZ
2018-10-21,3.602,3.6618,3.592,3.6419,3.6419,189362.0,0.0,1.0,GOZ
2018-10-18,3.6219,3.6768,3.6219,3.6618,3.6618,274666.0,0.0,1.0,GOZ
2018-10-17,3.6419,3.6818,3.6369,3.6519,3.6519,408504.0,0.0,1.0,GOZ
2018-10-16,3.592,3.6618,3.592,3.6519,3.6519,534516.0,0.0,1.0,GOZ
2018-10-15,3.572,3.602,3.5621,3.582,3.582,674076.0,0.0,1.0,GOZ
2018-10-14,3.582,3.6119,3.572,3.582,3.582,918876.0,0.0,1.0,GOZ
2018-10-11,3.6219,3.6419,3.592,3.6119,3.6119,789531.0,0.0,1.0,GOZ
2018-10-10,3.7017,3.7217,3.6419,3.6419,3.6419,753003.0,0.0,1.0,GOZ
2018-10-09,3.7516,3.7915,3.7416,3.7416,3.7416,505562.0,0.0,1.0,GOZ
2018-10-08,3.7716,3.8015,3.7516,3.7616,3.7616,433366.0,0.0,1.0,GOZ
2018-10-07,3.7915,3.8314,3.7816,3.7816,3.7816,743956.0,0.0,1.0,GOZ
2018-10-05,3.8215,3.8414,3.7915,3.7915,3.7915,1070567.0,0.0,1.0,GOZ
2018-10-04,3.8314,3.8614,3.8115,3.8215,3.8215,825453.0,0.0,1.0,GOZ
2018-10-03,3.8414,3.8514,3.8215,3.8215,3.8215,683468.0,0.0,1.0,GOZ
2018-10-02,3.8514,3.8614,3.8414,3.8514,3.8514,1588489.0,0.0,1.0,GOZ
2018-10-01,3.8115,3.8714,3.8115,3.8614,3.8614,413892.0,0.0,1.0,GOZ
2018-09-28,3.8913,3.8913,3.8664,3.8813,3.8813,506734.0,0.0,1.0,GOZ
2018-09-27,3.8514,3.8813,3.8464,3.8614,3.8614,523339.0,0.0,1.0,GOZ
2018-09-26,3.8714,3.9013,3.8714,3.8714,3.8714,440808.0,0.0,1.0,GOZ
2018-09-25,3.9013,3.9113,3.8813,3.9113,3.9113,1163607.0,0.0,1.0,GOZ
2018-09-24,3.9013,3.9113,3.8813,3.9113,3.9113,500468.0,0.0,1.0,GOZ
2018-09-21,3.8514,3.9013,3.8514,3.9013,3.9013,1172957.0,0.0,1.0,GOZ
2018-09-20,3.8514,3.9013,3.8414,3.8913,3.8913,1326283.0,0.0,1.0,GOZ
2018-09-19,3.8714,3.8913,3.8714,3.8714,3.8714,871084.0,0.0,1.0,GOZ
2018-09-18,3.8913,3.9013,3.8714,3.8813,3.8813,909511.0,0.0,1.0,GOZ
2018-09-17,3.8714,3.8913,3.8514,3.8813,3.8813,554282.0,0.0,1.0,GOZ
2018-09-14,3.7516,3.8514,3.7516,3.8514,3.8514,554019.0,0.0,1.0,GOZ
2018-09-13,3.7716,3.8215,3.7716,3.8115,3.8115,300845.0,0.0,1.0,GOZ
2018-09-12,3.7616,3.8015,3.7516,3.7915,3.7915,1060831.0,0.0,1.0,GOZ
2018-09-11,3.7716,3.7915,3.7416,3.7716,3.7716,552421.0,0.0,1.0,GOZ
2018-09-10,3.7816,3.8115,3.7516,3.7516,3.7516,584380.0,0.0,1.0,GOZ
2018-09-07,3.7716,3.7915,3.7516,3.7915,3.7915,709158.0,0.0,1.0,GOZ
2018-09-06,3.7117,3.7716,3.6918,3.7616,3.7616,818251.0,0.0,1.0,GOZ
2018-09-05,3.7217,3.7566,3.6918,3.7317,3.7317,505701.0,0.0,1.0,GOZ
2018-09-04,3.7117,3.7217,3.6918,3.7017,3.7017,1202401.0,0.0,1.0,GOZ
2018-09-03,3.7317,3.7416,3.6918,3.6918,3.6918,314361.0,0.0,1.0,GOZ
2018-08-31,3.6818,3.7416,3.6818,3.7317,3.7317,513525.0,0.0,1.0,GOZ
2018-08-30,3.7217,3.7416,3.6918,3.6918,3.6918,551469.0,0.0,1.0,GOZ
2018-08-29,3.7117,3.7466,3.6918,3.7416,3.7416,689631.0,0.0,1.0,GOZ
2018-08-28,3.6918,3.7067,3.6718,3.6918,3.6918,513482.0,0.0,1.0,GOZ
2018-08-27,3.6519,3.6918,3.6519,3.6918,3.6918,631540.0,0.0,1.0,GOZ
2018-08-24,3.6618,3.6918,3.6519,3.6718,3.6718,413852.0,0.0,1.0,GOZ
2018-08-23,3.6718,3.6968,3.6519,3.6818,3.6818,506756.0,0.0,1.0,GOZ
2018-08-22,3.6918,3.6918,3.6419,3.6519,3.6519,694188.0,0.0,1.0,GOZ
2018-08-21,3.7317,3.7317,3.6918,3.7117,3.7117,616701.0,0.0,1.0,GOZ
2018-08-20,3.7017,3.7217,3.7017,3.7017,3.7017,635962.0,0.0,1.0,GOZ
2018-08-17,3.7317,3.7416,3.7017,3.7117,3.7117,550889.0,0.0,1.0,GOZ
2018-08-16,3.7516,3.8015,3.7317,3.7516,3.7516,539731.0,0.0,1.0,GOZ
2018-08-15,3.8015,3.8614,3.7816,3.8514,3.8514,463613.0,0.0,1.0,GOZ
2018-08-14,3.7416,3.7965,3.7217,3.7915,3.7915,705413.0,0.0,1.0,GOZ
2018-08-13,3.7416,3.7516,3.7017,3.7416,3.7416,293807.0,0.0,1.0,GOZ
2018-08-10,3.7516,3.7716,3.7367,3.7516,3.7516,299901.0,0.0,1.0,GOZ
2018-08-09,3.7416,3.7716,3.7416,3.7516,3.7516,408696.0,0.0,1.0,GOZ
2018-08-08,3.7616,3.7716,3.7416,3.7516,3.7516,486982.0,0.0,1.0,GOZ
2018-08-07,3.7217,3.7915,3.7217,3.7516,3.7516,522401.0,0.0,1.0,GOZ
2018-08-06,3.7416,3.7516,3.7217,3.7317,3.7317,431745.0,0.0,1.0,GOZ
2018-08-03,3.7317,3.7616,3.7117,3.7217,3.7217,451289.0,0.0,1.0,GOZ
2018-08-02,3.7416,3.7616,3.6918,3.7117,3.7117,897852.0,0.0,1.0,GOZ
2018-08-01,3.7416,3.7616,3.7017,3.7516,3.7516,834513.0,0.0,1.0,GOZ
2018-07-31,3.6918,3.7317,3.6519,3.7217,3.7217,783316.0,0.0,1.0,GOZ
2018-07-30,3.6519,3.6818,3.6519,3.6718,3.6718,363915.0,0.0,1.0,GOZ
2018-07-27,3.6618,3.6918,3.6469,3.6918,3.6918,476219.0,0.0,1.0,GOZ
2018-07-26,3.6319,3.6419,3.602,3.6419,3.6419,327178.0,0.0,1.0,GOZ
2018-07-25,3.602,3.6319,3.592,3.6219,3.6219,309547.0,0.0,1.0,GOZ
2018-07-24,3.6319,3.6419,3.592,3.6219,3.6219,501285.0,0.0,1.0,GOZ
2018-07-23,3.6319,3.6519,3.602,3.6119,3.6119,356160.0,0.0,1.0,GOZ
2018-07-20,3.6119,3.6718,3.6119,3.6618,3.6618,392655.0,0.0,1.0,GOZ
2018-07-19,3.6419,3.6419,3.602,3.6119,3.6119,415181.0,0.0,1.0,GOZ
2018-07-18,3.6718,3.6818,3.6319,3.6319,3.6319,265682.0,0.0,1.0,GOZ
2018-07-17,3.6718,3.6818,3.6319,3.6519,3.6519,324863.0,0.0,1.0,GOZ
2018-07-16,3.6618,3.6818,3.6319,3.6718,3.6718,249320.0,0.0,1.0,GOZ
2018-07-13,3.6818,3.7017,3.6419,3.6419,3.6419,402789.0,0.0,1.0,GOZ
2018-07-12,3.6419,3.7017,3.6369,3.6818,3.6818,556374.0,0.0,1.0,GOZ
2018-07-11,3.6319,3.6419,3.6119,3.6319,3.6319,361455.0,0.0,1.0,GOZ
2018-07-10,3.6519,3.6718,3.6419,3.6419,3.6419,378950.0,0.0,1.0,GOZ
2018-07-09,3.6718,3.7017,3.6718,3.6818,3.6818,334554.0,0.0,1.0,GOZ
2018-07-06,3.6319,3.6818,3.6319,3.6718,3.6718,536596.0,0.0,1.0,GOZ
2018-07-05,3.6319,3.6618,3.602,3.6419,3.6419,488572.0,0.0,1.0,GOZ
2018-07-04,3.6419,3.6519,3.6119,3.6319,3.6319,375327.0,0.0,1.0,GOZ
2018-07-03,3.6319,3.6519,3.602,3.6319,3.6319,551928.0,0.0,1.0,GOZ
2018-07-02,3.602,3.6419,3.602,3.6419,3.6419,568172.0,0.0,1.0,GOZ
2018-06-29,3.6219,3.6319,3.5621,3.602,3.602,574643.0,0.0,1.0,GOZ
2018-06-28,3.5621,3.6119,3.5421,3.592,3.592,785199.0,0.0,1.0,GOZ
2018-06-27,3.7017,3.7017,3.6718,3.6818,3.5698,613854.0,0.0,1.0,GOZ
2018-06-26,3.6419,3.7217,3.6419,3.7117,3.5988,1142520.0,0.0,1.0,GOZ
2018-06-25,3.6818,3.6818,3.6519,3.6818,3.5698,513731.0,0.0,1.0,GOZ
2018-06-22,3.6119,3.6818,3.592,3.6818,3.5698,919743.0,0.0,1.0,GOZ
2018-06-21,3.6519,3.6668,3.6219,3.6419,3.5311,1181066.0,0.0,1.0,GOZ
2018-06-20,3.592,3.6319,3.592,3.6119,3.5021,454302.0,0.0,1.0,GOZ
2018-06-19,3.602,3.6319,3.582,3.592,3.4827,420221.0,0.0,1.0,GOZ
2018-06-18,3.592,3.6419,3.592,3.6219,3.5117,653020.0,0.0,1.0,GOZ
2018-06-15,3.572,3.602,3.5421,3.592,3.4827,1368726.0,0.0,1.0,GOZ
2018-06-14,3.5221,3.5621,3.5221,3.5421,3.4343,791273.0,0.0,1.0,GOZ
2018-06-13,3.5421,3.577,3.5321,3.5421,3.4343,725021.0,0.0,1.0,GOZ
2018-06-12,3.5621,3.602,3.5221,3.5621,3.4537,817224.0,0.0,1.0,GOZ
2018-06-08,3.592,3.6219,3.567,3.572,3.4634,331553.0,0.0,1.0,GOZ
2018-06-07,3.6119,3.6219,3.582,3.602,3.4924,190978.0,0.0,1.0,GOZ
2018-06-06,3.582,3.6419,3.5621,3.6319,3.5214,485139.0,0.0,1.0,GOZ
2018-06-05,3.6219,3.6319,3.5621,3.582,3.473,437686.0,0.0,1.0,GOZ
2018-06-04,3.5621,3.6419,3.5521,3.6419,3.5311,1008165.0,0.0,1.0,GOZ
2018-06-01,3.5122,3.5621,3.5122,3.5521,3.444,241199.0,0.0,1.0,GOZ
2018-05-31,3.5321,3.5621,3.5221,3.5421,3.4343,1177569.0,0.0,1.0,GOZ
2018-05-30,3.5521,3.5621,3.5321,3.5421,3.4343,246121.0,0.0,1.0,GOZ
2018-05-29,3.5321,3.5521,3.5221,3.5421,3.4343,555894.0,0.0,1.0,GOZ
2018-05-28,3.5221,3.5321,3.5122,3.5221,3.415,451055.0,0.0,1.0,GOZ
2018-05-25,3.4722,3.5221,3.4722,3.5122,3.4053,603343.0,0.0,1.0,GOZ
2018-05-24,3.4323,3.5221,3.4124,3.4922,3.386,840374.0,0.0,1.0,GOZ
2018-05-23,3.4124,3.4323,3.4024,3.4323,3.3279,512680.0,0.0,1.0,GOZ
2018-05-22,3.3725,3.4174,3.3625,3.4124,3.3086,172557.0,0.0,1.0,GOZ
2018-05-21,3.4124,3.4323,3.3924,3.4124,3.3086,191145.0,0.0,1.0,GOZ
2018-05-18,3.4124,3.4323,3.3974,3.4323,3.3279,269120.0,0.0,1.0,GOZ
2018-05-17,3.4323,3.4423,3.4124,3.4124,3.3086,310538.0,0.0,1.0,GOZ
2018-05-16,3.4423,3.4573,3.4224,3.4523,3.3473,753718.0,0.0,1.0,GOZ
2018-05-15,3.4224,3.4523,3.4124,3.4224,3.3183,752736.0,0.0,1.0,GOZ
2018-05-14,3.4323,3.4523,3.4124,3.4423,3.3376,328046.0,0.0,1.0,GOZ
2018-05-11,3.4323,3.4523,3.4174,3.4323,3.3279,254784.0,0.0,1.0,GOZ
2018-05-10,3.4224,3.4722,3.4224,3.4323,3.3279,418787.0,0.0,1.0,GOZ
2018-05-09,3.4523,3.4722,3.4323,3.4423,3.3376,706983.0,0.0,1.0,GOZ
2018-05-08,3.4423,3.4822,3.4224,3.4423,3.3376,386743.0,0.0,1.0,GOZ
2018-05-07,3.4523,3.4523,3.4323,3.4523,3.3473,298123.0,0.0,1.0,GOZ
2018-05-04,3.4822,3.4872,3.3924,3.4423,3.3376,1154898.0,0.0,1.0,GOZ
2018-05-03,3.4722,3.5122,3.4423,3.4822,3.3763,2119941.0,0.0,1.0,GOZ
2018-05-02,3.4523,3.4922,3.4423,3.4722,3.3666,476761.0,0.0,1.0,GOZ
2018-05-01,3.4323,3.4623,3.4224,3.4623,3.3569,413774.0,0.0,1.0,GOZ
2018-04-30,3.3924,3.4323,3.3824,3.4323,3.3279,469393.0,0.0,1.0,GOZ
2018-04-27,3.3924,3.3924,3.3725,3.3924,3.2892,308898.0,0.0,1.0,GOZ
2018-04-26,3.3026,3.3924,3.3026,3.3725,3.2699,310831.0,0.0,1.0,GOZ
