date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.69,2.7,2.67,2.7,2.7,83367.0,0.0,1.0,IDR
2018-12-12,2.7,2.7,2.675,2.68,2.68,29383.0,0.0,1.0,IDR
2018-12-11,2.69,2.7,2.68,2.69,2.69,30006.0,0.0,1.0,IDR
2018-12-10,2.69,2.7,2.68,2.69,2.69,23473.0,0.0,1.0,IDR
2018-12-09,2.68,2.69,2.67,2.68,2.68,150381.0,0.0,1.0,IDR
2018-12-06,2.73,2.73,2.69,2.69,2.69,306171.0,0.0,1.0,IDR
2018-12-05,2.7,2.74,2.7,2.74,2.74,44522.0,0.0,1.0,IDR
2018-12-04,2.69,2.71,2.69,2.71,2.71,58212.0,0.0,1.0,IDR
2018-12-03,2.69,2.71,2.69,2.7,2.7,45326.0,0.0,1.0,IDR
2018-12-02,2.71,2.71,2.68,2.68,2.68,28433.0,0.0,1.0,IDR
2018-11-29,2.73,2.75,2.66,2.66,2.66,137815.0,0.0,1.0,IDR
2018-11-28,2.75,2.75,2.72,2.75,2.75,33396.0,0.0,1.0,IDR
2018-11-27,2.73,2.75,2.71,2.74,2.74,116996.0,0.0,1.0,IDR
2018-11-26,2.74,2.75,2.71,2.73,2.73,101980.0,0.0,1.0,IDR
2018-11-25,2.68,2.74,2.68,2.74,2.74,74166.0,0.0,1.0,IDR
2018-11-22,2.64,2.7,2.64,2.7,2.7,87516.0,0.0,1.0,IDR
2018-11-21,2.65,2.67,2.63,2.65,2.65,88602.0,0.0,1.0,IDR
2018-11-20,2.64,2.69,2.62,2.69,2.69,79175.0,0.0,1.0,IDR
2018-11-19,2.63,2.65,2.61,2.64,2.64,37963.0,0.0,1.0,IDR
2018-11-18,2.62,2.65,2.61,2.65,2.65,73203.0,0.0,1.0,IDR
2018-11-15,2.6,2.63,2.59,2.62,2.62,314250.0,0.0,1.0,IDR
2018-11-14,2.6,2.62,2.6,2.62,2.62,98080.0,0.0,1.0,IDR
2018-11-13,2.61,2.61,2.59,2.61,2.61,157878.0,0.0,1.0,IDR
2018-11-12,2.6,2.62,2.59,2.61,2.61,248288.0,0.0,1.0,IDR
2018-11-11,2.6,2.63,2.59,2.61,2.61,170476.0,0.0,1.0,IDR
2018-11-08,2.6,2.6,2.57,2.57,2.57,379732.0,0.0,1.0,IDR
