date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,4.77,4.86,4.66,4.73,4.73,3010424.0,0.0,1.0,IFL
2018-12-12,4.52,4.99,4.52,4.83,4.83,4622897.0,0.0,1.0,IFL
2018-12-11,4.31,4.63,4.21,4.5,4.5,5759913.0,0.0,1.0,IFL
2018-12-10,4.3,4.52,4.27,4.34,4.34,7343675.0,0.0,1.0,IFL
2018-12-09,4.44,4.55,4.195,4.28,4.28,12468635.0,0.0,1.0,IFL
2018-12-06,5.25,5.33,4.5,4.6,4.6,16068820.0,0.0,1.0,IFL
2018-12-05,7.01,7.17,6.84,7.17,7.17,1777029.0,0.0,1.0,IFL
2018-12-04,6.95,7.04,6.86,7.0,7.0,1267791.0,0.0,1.0,IFL
2018-12-03,7.09,7.12,7.0,7.06,7.06,1478466.0,0.0,1.0,IFL
2018-12-02,6.98,7.215,6.97,7.18,7.18,1529981.0,0.0,1.0,IFL
2018-11-29,7.2,7.35,6.87,6.9,6.9,2793929.0,0.0,1.0,IFL
2018-11-28,6.8,7.235,6.8,7.12,7.12,1852488.0,0.0,1.0,IFL
2018-11-27,6.85,6.85,6.61,6.81,6.81,1485460.0,0.0,1.0,IFL
2018-11-26,6.7,6.83,6.605,6.8,6.8,1699190.0,0.0,1.0,IFL
2018-11-25,6.83,6.84,6.66,6.7,6.7,890967.0,0.0,1.0,IFL
2018-11-22,6.71,6.88,6.71,6.84,6.84,518069.0,0.0,1.0,IFL
2018-11-21,6.75,6.785,6.7,6.71,6.71,889547.0,0.0,1.0,IFL
2018-11-20,6.74,6.86,6.66,6.75,6.75,968465.0,0.0,1.0,IFL
2018-11-19,6.78,6.81,6.68,6.78,6.78,1351011.0,0.0,1.0,IFL
2018-11-18,6.8,6.91,6.77,6.81,6.81,880095.0,0.0,1.0,IFL
2018-11-15,6.85,6.95,6.685,6.84,6.84,1741990.0,0.0,1.0,IFL
2018-11-14,6.85,6.94,6.84,6.94,6.94,965171.0,0.0,1.0,IFL
2018-11-13,6.99,7.04,6.83,6.85,6.85,1712598.0,0.0,1.0,IFL
2018-11-12,7.07,7.07,6.905,6.93,6.93,1037198.0,0.0,1.0,IFL
2018-11-11,7.1,7.17,7.095,7.12,7.12,670755.0,0.0,1.0,IFL
2018-11-08,7.16,7.18,7.08,7.16,7.16,776789.0,0.0,1.0,IFL
