date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.085,1.1,1.055,1.085,1.085,191038.0,0.0,1.0,IFM
2018-12-12,1.135,1.135,1.09,1.11,1.11,357572.0,0.0,1.0,IFM
2018-12-11,1.08,1.115,1.07,1.07,1.07,246605.0,0.0,1.0,IFM
2018-12-10,1.045,1.09,1.03,1.09,1.09,327832.0,0.0,1.0,IFM
2018-12-09,1.085,1.13,1.065,1.065,1.065,120598.0,0.0,1.0,IFM
2018-12-06,1.18,1.18,1.005,1.08,1.08,279889.0,0.0,1.0,IFM
2018-12-05,1.19,1.2,1.15,1.18,1.18,92866.0,0.0,1.0,IFM
2018-12-04,1.195,1.2,1.14,1.19,1.19,363459.0,0.0,1.0,IFM
2018-12-03,1.2,1.23,1.2,1.215,1.215,201670.0,0.0,1.0,IFM
2018-12-02,1.19,1.215,1.18,1.2,1.2,479792.0,0.0,1.0,IFM
2018-11-29,1.155,1.195,1.145,1.17,1.17,193073.0,0.0,1.0,IFM
2018-11-28,1.18,1.2,1.15,1.17,1.17,398216.0,0.0,1.0,IFM
2018-11-27,1.14,1.175,1.14,1.165,1.165,298618.0,0.0,1.0,IFM
2018-11-26,1.12,1.16,1.11,1.14,1.14,76491.0,0.0,1.0,IFM
2018-11-25,1.125,1.145,1.12,1.145,1.145,204248.0,0.0,1.0,IFM
2018-11-22,1.155,1.155,1.125,1.125,1.125,137232.0,0.0,1.0,IFM
2018-11-21,1.135,1.19,1.135,1.15,1.15,239696.0,0.0,1.0,IFM
2018-11-20,1.16,1.16,1.12,1.12,1.12,267780.0,0.0,1.0,IFM
2018-11-19,1.195,1.195,1.14,1.18,1.18,222746.0,0.0,1.0,IFM
2018-11-18,1.13,1.23,1.13,1.17,1.17,152946.0,0.0,1.0,IFM
2018-11-15,1.15,1.17,1.13,1.145,1.145,190253.0,0.0,1.0,IFM
2018-11-14,1.155,1.18,1.14,1.15,1.15,180727.0,0.0,1.0,IFM
2018-11-13,1.19,1.19,1.14,1.16,1.16,269086.0,0.0,1.0,IFM
2018-11-12,1.21,1.215,1.177,1.19,1.19,228540.0,0.0,1.0,IFM
2018-11-11,1.195,1.25,1.195,1.22,1.22,280604.0,0.0,1.0,IFM
2018-11-08,1.165,1.195,1.15,1.185,1.185,398957.0,0.0,1.0,IFM
2018-11-07,1.125,1.23,1.125,1.175,1.175,276381.0,0.0,1.0,IFM
2018-11-06,1.11,1.115,1.085,1.115,1.115,84377.0,0.0,1.0,IFM
2018-11-05,1.085,1.13,1.045,1.075,1.075,227002.0,0.0,1.0,IFM
2018-11-04,1.14,1.14,1.09,1.1,1.1,204234.0,0.0,1.0,IFM
2018-11-01,1.125,1.16,1.115,1.15,1.15,212736.0,0.0,1.0,IFM
2018-10-31,1.115,1.15,1.077,1.125,1.125,573672.0,0.0,1.0,IFM
2018-10-30,1.08,1.145,1.08,1.115,1.115,356547.0,0.0,1.0,IFM
2018-10-29,1.04,1.085,1.01,1.085,1.085,762403.0,0.0,1.0,IFM
2018-10-28,1.05,1.075,1.0,1.06,1.06,841862.0,0.0,1.0,IFM
