date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,0.425,0.49,0.42,0.475,0.475,2693931.0,0.0,1.0,IFN
2018-12-12,0.44,0.45,0.42,0.425,0.425,1846005.0,0.0,1.0,IFN
2018-12-11,0.45,0.45,0.43,0.445,0.445,853322.0,0.0,1.0,IFN
2018-12-10,0.445,0.45,0.435,0.44,0.44,1676429.0,0.0,1.0,IFN
2018-12-09,0.43,0.445,0.425,0.43,0.43,1433683.0,0.0,1.0,IFN
2018-12-06,0.445,0.45,0.43,0.445,0.445,1147593.0,0.0,1.0,IFN
2018-12-05,0.45,0.45,0.437,0.445,0.445,2106403.0,0.0,1.0,IFN
2018-12-04,0.45,0.455,0.44,0.44,0.44,1814157.0,0.0,1.0,IFN
2018-12-03,0.465,0.485,0.455,0.46,0.46,1193860.0,0.0,1.0,IFN
2018-12-02,0.47,0.485,0.455,0.475,0.475,5213524.0,0.0,1.0,IFN
2018-11-29,0.46,0.47,0.455,0.465,0.465,4476930.0,0.0,1.0,IFN
2018-11-28,0.455,0.47,0.455,0.46,0.46,1465668.0,0.0,1.0,IFN
2018-11-27,0.47,0.4775,0.46,0.465,0.465,1543484.0,0.0,1.0,IFN
2018-11-26,0.47,0.47,0.455,0.465,0.465,594318.0,0.0,1.0,IFN
2018-11-25,0.47,0.47,0.44,0.465,0.465,1242054.0,0.0,1.0,IFN
2018-11-22,0.49,0.49,0.46,0.465,0.465,544003.0,0.0,1.0,IFN
2018-11-21,0.5,0.515,0.47,0.47,0.47,730570.0,0.0,1.0,IFN
2018-11-20,0.475,0.5,0.475,0.495,0.495,683876.0,0.0,1.0,IFN
2018-11-19,0.475,0.485,0.475,0.48,0.48,664359.0,0.0,1.0,IFN
2018-11-18,0.485,0.5,0.475,0.5,0.5,1155091.0,0.0,1.0,IFN
2018-11-15,0.465,0.495,0.46,0.48,0.48,3911826.0,0.0,1.0,IFN
