date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.11,2.11,2.09,2.1,2.1,146556.0,0.0,1.0,IGL
2018-12-12,2.09,2.1,2.09,2.1,2.1,358733.0,0.0,1.0,IGL
2018-12-11,2.1,2.11,2.08,2.09,2.09,110405.0,0.0,1.0,IGL
2018-12-10,2.05,2.09,2.05,2.09,2.09,348609.0,0.0,1.0,IGL
2018-12-09,2.08,2.08,2.03,2.03,2.03,279817.0,0.0,1.0,IGL
2018-12-06,2.06,2.08,2.06,2.07,2.07,342652.0,0.0,1.0,IGL
2018-12-05,2.09,2.11,2.05,2.05,2.05,582575.0,0.0,1.0,IGL
2018-12-04,2.09,2.1,2.07,2.09,2.09,237802.0,0.0,1.0,IGL
2018-12-03,2.1,2.12,2.09,2.09,2.09,125354.0,0.0,1.0,IGL
2018-12-02,2.1,2.13,2.09,2.13,2.13,570566.0,0.0,1.0,IGL
2018-11-29,2.1,2.14,2.09,2.09,2.09,40415.0,0.0,1.0,IGL
2018-11-28,2.08,2.12,2.06,2.09,2.09,1911647.0,0.0,1.0,IGL
2018-11-27,2.065,2.075,2.05,2.05,2.05,93299.0,0.0,1.0,IGL
2018-11-26,2.06,2.08,2.06,2.08,2.08,86384.0,0.0,1.0,IGL
2018-11-25,2.1,2.13,2.07,2.11,2.11,81655.0,0.0,1.0,IGL
2018-11-22,2.06,2.12,2.04,2.12,2.12,151108.0,0.0,1.0,IGL
2018-11-21,2.06,2.13,2.05,2.11,2.11,149936.0,0.0,1.0,IGL
2018-11-20,2.05,2.09,2.01,2.04,2.04,269408.0,0.0,1.0,IGL
2018-11-19,2.08,2.09,2.05,2.05,2.05,195127.0,0.0,1.0,IGL
2018-11-18,2.04,2.06,2.03,2.06,2.06,72697.0,0.0,1.0,IGL
2018-11-15,2.01,2.03,2.01,2.02,2.02,256159.0,0.0,1.0,IGL
2018-11-14,2.02,2.025,1.99,2.0,2.0,168643.0,0.0,1.0,IGL
2018-11-13,2.06,2.06,2.01,2.01,2.01,417969.0,0.0,1.0,IGL
2018-11-12,2.06,2.06,2.04,2.05,2.05,660124.0,0.0,1.0,IGL
2018-11-11,2.08,2.08,2.03,2.08,2.08,75293.0,0.0,1.0,IGL
2018-11-08,2.04,2.08,2.03,2.06,2.06,67176.0,0.0,1.0,IGL
2018-11-07,2.04,2.05,2.02,2.03,2.03,227287.0,0.0,1.0,IGL
2018-11-06,2.05,2.08,2.01,2.03,2.03,620508.0,0.0,1.0,IGL
2018-11-05,2.06,2.07,2.04,2.04,2.04,58171.0,0.0,1.0,IGL
2018-11-04,2.07,2.07,2.05,2.05,2.05,45585.0,0.0,1.0,IGL
2018-11-01,2.07,2.07,2.05,2.07,2.07,47539.0,0.0,1.0,IGL
2018-10-31,2.05,2.07,2.03,2.05,2.05,61652.0,0.0,1.0,IGL
2018-10-30,2.05,2.07,2.03,2.04,2.04,115019.0,0.0,1.0,IGL
2018-10-29,2.07,2.09,1.955,2.02,2.02,692345.0,0.0,1.0,IGL
2018-10-28,2.06,2.11,2.06,2.06,2.06,1041751.0,0.0,1.0,IGL
2018-10-25,2.08,2.13,2.07,2.1,2.1,78057.0,0.0,1.0,IGL
2018-10-24,2.08,2.11,2.06,2.11,2.11,135707.0,0.0,1.0,IGL
2018-10-23,2.09,2.12,2.08,2.12,2.12,209717.0,0.0,1.0,IGL
2018-10-22,2.12,2.12,2.09,2.1,2.1,203863.0,0.0,1.0,IGL
2018-10-21,2.12,2.13,2.1,2.12,2.12,353229.0,0.0,1.0,IGL
2018-10-18,2.14,2.17,2.12,2.12,2.12,79689.0,0.0,1.0,IGL
2018-10-17,2.11,2.17,2.11,2.17,2.17,192313.0,0.0,1.0,IGL
2018-10-16,2.11,2.13,2.1,2.11,2.11,84816.0,0.0,1.0,IGL
2018-10-15,2.13,2.13,2.1,2.1,2.1,88916.0,0.0,1.0,IGL
2018-10-14,2.13,2.13,2.1,2.11,2.11,508801.0,0.0,1.0,IGL
2018-10-11,2.1,2.13,2.09,2.13,2.13,418358.0,0.0,1.0,IGL
2018-10-10,2.1,2.13,2.09,2.1,2.1,196417.0,0.0,1.0,IGL
2018-10-09,2.13,2.14,2.1,2.12,2.12,514431.0,0.0,1.0,IGL
2018-10-08,2.14,2.14,2.12,2.14,2.14,189598.0,0.0,1.0,IGL
2018-10-07,2.13,2.15,2.13,2.14,2.14,135349.0,0.0,1.0,IGL
2018-10-05,2.14,2.15,2.11,2.15,2.15,149940.0,0.0,1.0,IGL
2018-10-04,2.13,2.14,2.12,2.13,2.13,185719.0,0.0,1.0,IGL
2018-10-03,2.16,2.16,2.13,2.14,2.14,94649.0,0.0,1.0,IGL
2018-10-02,2.15,2.17,2.14,2.17,2.17,131654.0,0.0,1.0,IGL
2018-10-01,2.16,2.16,2.12,2.16,2.16,227124.0,0.0,1.0,IGL
2018-09-28,2.16,2.16,2.12,2.15,2.15,172724.0,0.0,1.0,IGL
2018-09-27,2.13,2.16,2.13,2.15,2.15,220625.0,0.0,1.0,IGL
2018-09-26,2.16,2.17,2.13,2.13,2.13,184585.0,0.0,1.0,IGL
2018-09-25,2.17,2.21,2.14,2.17,2.17,385870.0,0.0,1.0,IGL
2018-09-24,2.16,2.18,2.1,2.18,2.18,481323.0,0.0,1.0,IGL
2018-09-21,2.17,2.22,2.17,2.17,2.17,3475375.0,0.0,1.0,IGL
2018-09-20,2.19,2.2,2.17,2.17,2.17,192792.0,0.0,1.0,IGL
2018-09-19,2.18,2.21,2.17,2.2,2.2,204978.0,0.0,1.0,IGL
2018-09-18,2.2,2.235,2.16,2.19,2.19,294144.0,0.0,1.0,IGL
2018-09-17,2.23,2.28,2.22,2.26,2.185,325404.0,0.0,1.0,IGL
2018-09-14,2.24,2.27,2.22,2.23,2.156,1019194.0,0.0,1.0,IGL
2018-09-13,2.25,2.28,2.25,2.27,2.1947,400643.0,0.0,1.0,IGL
2018-09-12,2.25,2.26,2.23,2.25,2.1753,574524.0,0.0,1.0,IGL
2018-09-11,2.29,2.29,2.24,2.25,2.1753,518952.0,0.0,1.0,IGL
2018-09-10,2.24,2.3,2.24,2.26,2.185,394924.0,0.0,1.0,IGL
2018-09-07,2.24,2.25,2.22,2.25,2.1753,304136.0,0.0,1.0,IGL
2018-09-06,2.24,2.24,2.21,2.22,2.1463,266082.0,0.0,1.0,IGL
2018-09-05,2.27,2.29,2.23,2.25,2.1753,150178.0,0.0,1.0,IGL
2018-09-04,2.27,2.27,2.24,2.25,2.1753,220938.0,0.0,1.0,IGL
2018-09-03,2.26,2.3,2.26,2.26,2.185,1893453.0,0.0,1.0,IGL
2018-08-31,2.27,2.28,2.24,2.26,2.185,452029.0,0.0,1.0,IGL
2018-08-30,2.29,2.3,2.25,2.27,2.1947,274827.0,0.0,1.0,IGL
2018-08-29,2.28,2.3,2.27,2.29,2.214,531630.0,0.0,1.0,IGL
2018-08-28,2.27,2.32,2.26,2.3,2.2237,342706.0,0.0,1.0,IGL
2018-08-27,2.26,2.29,2.24,2.26,2.185,509791.0,0.0,1.0,IGL
2018-08-24,2.28,2.29,2.25,2.26,2.185,155215.0,0.0,1.0,IGL
2018-08-23,2.26,2.27,2.25,2.27,2.1947,79169.0,0.0,1.0,IGL
2018-08-22,2.24,2.26,2.23,2.26,2.185,66169.0,0.0,1.0,IGL
2018-08-21,2.24,2.25,2.24,2.25,2.1753,56757.0,0.0,1.0,IGL
2018-08-20,2.24,2.25,2.23,2.24,2.1657,305562.0,0.0,1.0,IGL
2018-08-17,2.23,2.25,2.23,2.23,2.156,750290.0,0.0,1.0,IGL
2018-08-16,2.23,2.24,2.225,2.23,2.156,279579.0,0.0,1.0,IGL
2018-08-15,2.24,2.25,2.23,2.24,2.1657,80551.0,0.0,1.0,IGL
2018-08-14,2.24,2.25,2.23,2.25,2.1753,112905.0,0.0,1.0,IGL
2018-08-13,2.24,2.245,2.23,2.23,2.156,62811.0,0.0,1.0,IGL
2018-08-10,2.22,2.25,2.2,2.25,2.1753,363640.0,0.0,1.0,IGL
2018-08-09,2.25,2.26,2.22,2.22,2.1463,244972.0,0.0,1.0,IGL
2018-08-08,2.245,2.25,2.23,2.23,2.156,158626.0,0.0,1.0,IGL
2018-08-07,2.25,2.26,2.23,2.24,2.1657,318894.0,0.0,1.0,IGL
2018-08-06,2.25,2.25,2.24,2.25,2.1753,96976.0,0.0,1.0,IGL
2018-08-03,2.25,2.27,2.24,2.24,2.1657,153442.0,0.0,1.0,IGL
2018-08-02,2.25,2.25,2.24,2.24,2.1657,114881.0,0.0,1.0,IGL
2018-08-01,2.25,2.25,2.24,2.24,2.1657,20948.0,0.0,1.0,IGL
2018-07-31,2.25,2.25,2.24,2.25,2.1753,84859.0,0.0,1.0,IGL
2018-07-30,2.29,2.29,2.24,2.24,2.1657,336371.0,0.0,1.0,IGL
2018-07-27,2.255,2.26,2.23,2.25,2.1753,206747.0,0.0,1.0,IGL
2018-07-26,2.26,2.3,2.24,2.24,2.1657,105354.0,0.0,1.0,IGL
2018-07-25,2.255,2.26,2.23,2.26,2.185,49704.0,0.0,1.0,IGL
2018-07-24,2.27,2.28,2.25,2.25,2.1753,191624.0,0.0,1.0,IGL
2018-07-23,2.26,2.27,2.25,2.25,2.1753,44788.0,0.0,1.0,IGL
2018-07-20,2.25,2.27,2.24,2.25,2.1753,149382.0,0.0,1.0,IGL
2018-07-19,2.25,2.27,2.25,2.25,2.1753,920083.0,0.0,1.0,IGL
2018-07-18,2.27,2.29,2.25,2.27,2.1947,19030.0,0.0,1.0,IGL
2018-07-17,2.25,2.29,2.23,2.24,2.1657,277803.0,0.0,1.0,IGL
2018-07-16,2.24,2.25,2.22,2.24,2.1657,48523.0,0.0,1.0,IGL
2018-07-13,2.23,2.26,2.23,2.25,2.1753,34702.0,0.0,1.0,IGL
2018-07-12,2.23,2.24,2.23,2.23,2.156,59344.0,0.0,1.0,IGL
2018-07-11,2.24,2.26,2.23,2.23,2.156,89826.0,0.0,1.0,IGL
2018-07-10,2.26,2.27,2.24,2.24,2.1657,206110.0,0.0,1.0,IGL
2018-07-09,2.26,2.26,2.25,2.25,2.1753,81851.0,0.0,1.0,IGL
2018-07-06,2.26,2.29,2.25,2.26,2.185,16810.0,0.0,1.0,IGL
2018-07-05,2.24,2.26,2.24,2.25,2.1753,101529.0,0.0,1.0,IGL
2018-07-04,2.25,2.3,2.23,2.26,2.185,199847.0,0.0,1.0,IGL
2018-07-03,2.26,2.29,2.25,2.25,2.1753,64346.0,0.0,1.0,IGL
2018-07-02,2.29,2.3,2.25,2.3,2.2237,243414.0,0.0,1.0,IGL
2018-06-29,2.27,2.3,2.27,2.29,2.214,27803.0,0.0,1.0,IGL
2018-06-28,2.3,2.3,2.26,2.27,2.1947,101357.0,0.0,1.0,IGL
2018-06-27,2.3,2.31,2.25,2.3,2.2237,75235.0,0.0,1.0,IGL
2018-06-26,2.29,2.3,2.25,2.25,2.1753,462557.0,0.0,1.0,IGL
2018-06-25,2.27,2.31,2.26,2.26,2.185,157006.0,0.0,1.0,IGL
2018-06-22,2.29,2.31,2.26,2.26,2.185,95915.0,0.0,1.0,IGL
2018-06-21,2.32,2.32,2.29,2.29,2.214,21490.0,0.0,1.0,IGL
2018-06-20,2.27,2.28,2.25,2.27,2.1947,210780.0,0.0,1.0,IGL
2018-06-19,2.28,2.28,2.27,2.27,2.1947,126752.0,0.0,1.0,IGL
2018-06-18,2.29,2.29,2.27,2.27,2.1947,95445.0,0.0,1.0,IGL
2018-06-15,2.29,2.3,2.29,2.29,2.214,133587.0,0.0,1.0,IGL
2018-06-14,2.3,2.31,2.285,2.29,2.214,258626.0,0.0,1.0,IGL
2018-06-13,2.3,2.33,2.29,2.3,2.2237,263074.0,0.0,1.0,IGL
2018-06-12,2.29,2.3,2.27,2.3,2.2237,431545.0,0.0,1.0,IGL
2018-06-08,2.29,2.29,2.28,2.29,2.214,22499.0,0.0,1.0,IGL
2018-06-07,2.26,2.29,2.26,2.28,2.2043,114102.0,0.0,1.0,IGL
2018-06-06,2.23,2.26,2.22,2.26,2.185,272227.0,0.0,1.0,IGL
2018-06-05,2.25,2.25,2.22,2.23,2.156,85916.0,0.0,1.0,IGL
2018-06-04,2.26,2.26,2.22,2.23,2.156,340575.0,0.0,1.0,IGL
2018-06-01,2.24,2.27,2.225,2.25,2.1753,91613.0,0.0,1.0,IGL
2018-05-31,2.29,2.29,2.23,2.23,2.156,357801.0,0.0,1.0,IGL
2018-05-30,2.3,2.33,2.28,2.3,2.2237,107174.0,0.0,1.0,IGL
2018-05-29,2.28,2.3,2.27,2.3,2.2237,49941.0,0.0,1.0,IGL
2018-05-28,2.26,2.28,2.25,2.25,2.1753,198294.0,0.0,1.0,IGL
2018-05-25,2.21,2.26,2.21,2.26,2.185,131086.0,0.0,1.0,IGL
2018-05-24,2.22,2.24,2.21,2.21,2.1367,65142.0,0.0,1.0,IGL
2018-05-23,2.22,2.22,2.19,2.21,2.1367,268994.0,0.0,1.0,IGL
2018-05-22,2.23,2.24,2.21,2.23,2.156,25202.0,0.0,1.0,IGL
2018-05-21,2.24,2.25,2.21,2.22,2.1463,49133.0,0.0,1.0,IGL
2018-05-18,2.22,2.25,2.22,2.24,2.1657,117374.0,0.0,1.0,IGL
2018-05-17,2.24,2.25,2.22,2.22,2.1463,151789.0,0.0,1.0,IGL
2018-05-16,2.2,2.24,2.19,2.24,2.1657,97470.0,0.0,1.0,IGL
