date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,3.9,3.97,3.85,3.88,3.88,2075205.0,0.0,1.0,IGO
2018-12-12,3.81,4.01,3.79,3.96,3.96,2827094.0,0.0,1.0,IGO
2018-12-11,3.82,3.94,3.82,3.87,3.87,3057629.0,0.0,1.0,IGO
2018-12-10,3.7,3.81,3.67,3.81,3.81,2700150.0,0.0,1.0,IGO
2018-12-09,3.78,3.84,3.72,3.74,3.74,1663714.0,0.0,1.0,IGO
2018-12-06,3.8,3.86,3.765,3.81,3.81,1169637.0,0.0,1.0,IGO
2018-12-05,3.98,4.0,3.8,3.85,3.85,1906781.0,0.0,1.0,IGO
2018-12-04,3.81,4.01,3.74,3.93,3.93,2898720.0,0.0,1.0,IGO
2018-12-03,4.03,4.1,3.91,3.94,3.94,1826135.0,0.0,1.0,IGO
2018-12-02,3.91,4.11,3.91,4.1,4.1,2854385.0,0.0,1.0,IGO
2018-11-29,3.8,3.84,3.725,3.8,3.8,2844829.0,0.0,1.0,IGO
2018-11-28,3.72,3.85,3.69,3.79,3.79,2466784.0,0.0,1.0,IGO
2018-11-27,3.67,3.67,3.6,3.64,3.64,1642366.0,0.0,1.0,IGO
2018-11-26,3.62,3.67,3.56,3.65,3.65,3825417.0,0.0,1.0,IGO
2018-11-25,3.83,3.83,3.58,3.59,3.59,3541851.0,0.0,1.0,IGO
2018-11-22,3.94,3.94,3.84,3.89,3.89,1387056.0,0.0,1.0,IGO
2018-11-21,3.92,3.98,3.9,3.9,3.9,1558293.0,0.0,1.0,IGO
2018-11-20,3.97,3.97,3.8,3.87,3.87,4066615.0,0.0,1.0,IGO
2018-11-19,4.11,4.14,4.02,4.04,4.04,1644843.0,0.0,1.0,IGO
2018-11-18,4.15,4.2,4.1,4.13,4.13,1259667.0,0.0,1.0,IGO
2018-11-15,4.04,4.195,4.03,4.16,4.16,2388532.0,0.0,1.0,IGO
2018-11-14,4.06,4.1,3.965,3.98,3.98,3218094.0,0.0,1.0,IGO
2018-11-13,4.13,4.18,4.05,4.06,4.06,1777921.0,0.0,1.0,IGO
2018-11-12,4.16,4.205,4.13,4.14,4.14,2114522.0,0.0,1.0,IGO
2018-11-11,4.28,4.49,4.205,4.23,4.23,2258424.0,0.0,1.0,IGO
2018-11-08,4.44,4.46,4.29,4.32,4.32,1939824.0,0.0,1.0,IGO
2018-11-07,4.46,4.525,4.415,4.47,4.47,1229991.0,0.0,1.0,IGO
2018-11-06,4.41,4.48,4.36,4.42,4.42,1918205.0,0.0,1.0,IGO
2018-11-05,4.36,4.52,4.33,4.42,4.42,2866655.0,0.0,1.0,IGO
2018-11-04,4.25,4.445,4.25,4.3,4.3,3456697.0,0.0,1.0,IGO
2018-11-01,4.14,4.28,4.14,4.26,4.26,2243555.0,0.0,1.0,IGO
2018-10-31,4.1,4.18,4.09,4.14,4.14,3638750.0,0.0,1.0,IGO
2018-10-30,4.0,4.06,3.97,4.04,4.04,2196557.0,0.0,1.0,IGO
2018-10-29,4.06,4.12,3.98,4.06,4.06,3842539.0,0.0,1.0,IGO
2018-10-28,3.94,4.04,3.9,3.98,3.98,2111785.0,0.0,1.0,IGO
2018-10-25,4.05,4.08,3.96,3.96,3.96,4467675.0,0.0,1.0,IGO
2018-10-24,4.19,4.19,3.97,3.98,3.98,2786876.0,0.0,1.0,IGO
2018-10-23,4.22,4.275,4.14,4.2,4.2,1851364.0,0.0,1.0,IGO
2018-10-22,4.27,4.31,4.205,4.23,4.23,695782.0,0.0,1.0,IGO
2018-10-21,4.19,4.37,4.16,4.29,4.29,2042101.0,0.0,1.0,IGO
2018-10-18,4.2,4.235,4.17,4.2,4.2,1161214.0,0.0,1.0,IGO
2018-10-17,4.26,4.29,4.18,4.21,4.21,1777565.0,0.0,1.0,IGO
2018-10-16,4.33,4.41,4.27,4.3,4.3,1164631.0,0.0,1.0,IGO
2018-10-15,4.28,4.39,4.28,4.35,4.35,1439185.0,0.0,1.0,IGO
2018-10-14,4.27,4.34,4.195,4.27,4.27,2015296.0,0.0,1.0,IGO
2018-10-11,4.21,4.41,4.21,4.38,4.38,3250404.0,0.0,1.0,IGO
2018-10-10,4.3,4.36,4.22,4.23,4.23,4857641.0,0.0,1.0,IGO
2018-10-09,4.51,4.59,4.49,4.49,4.49,2260252.0,0.0,1.0,IGO
2018-10-08,4.49,4.62,4.455,4.55,4.55,1896467.0,0.0,1.0,IGO
2018-10-07,4.65,4.71,4.54,4.56,4.56,1887604.0,0.0,1.0,IGO
2018-10-05,4.76,4.795,4.68,4.7,4.7,1792669.0,0.0,1.0,IGO
2018-10-04,4.76,4.885,4.76,4.85,4.85,3814584.0,0.0,1.0,IGO
2018-10-03,4.59,4.785,4.58,4.74,4.74,3095258.0,0.0,1.0,IGO
2018-10-02,4.65,4.69,4.535,4.59,4.59,7385687.0,0.0,1.0,IGO
2018-10-01,4.59,4.71,4.55,4.68,4.68,920175.0,0.0,1.0,IGO
2018-09-28,4.53,4.7,4.53,4.66,4.66,2436550.0,0.0,1.0,IGO
2018-09-27,4.58,4.675,4.575,4.61,4.61,2635562.0,0.0,1.0,IGO
2018-09-26,4.5,4.635,4.5,4.62,4.62,3402040.0,0.0,1.0,IGO
2018-09-25,4.41,4.58,4.35,4.54,4.54,2612233.0,0.0,1.0,IGO
2018-09-24,4.59,4.61,4.52,4.59,4.59,2730405.0,0.0,1.0,IGO
2018-09-21,4.55,4.675,4.54,4.62,4.62,4552606.0,0.0,1.0,IGO
2018-09-20,4.53,4.715,4.53,4.58,4.58,5466504.0,0.0,1.0,IGO
2018-09-19,4.27,4.5,4.27,4.49,4.49,4305843.0,0.0,1.0,IGO
2018-09-18,4.16,4.26,4.11,4.25,4.25,2771503.0,0.0,1.0,IGO
2018-09-17,4.22,4.3,4.17,4.24,4.24,2934015.0,0.0,1.0,IGO
2018-09-14,4.13,4.255,4.13,4.25,4.25,2022538.0,0.0,1.0,IGO
2018-09-13,4.19,4.22,4.14,4.16,4.16,1888011.0,0.0,1.0,IGO
2018-09-12,3.97,4.105,3.96,4.08,4.06,2336985.0,0.0,1.0,IGO
2018-09-11,4.0,4.06,3.98,4.0,3.9804,1103847.0,0.0,1.0,IGO
2018-09-10,4.0,4.04,3.94,4.01,3.9903,2974932.0,0.0,1.0,IGO
2018-09-07,3.96,4.07,3.94,4.03,4.0102,1399880.0,0.0,1.0,IGO
2018-09-06,4.01,4.05,4.0,4.01,3.9903,2463988.0,0.0,1.0,IGO
2018-09-05,4.14,4.16,4.01,4.01,3.9903,3303590.0,0.0,1.0,IGO
2018-09-04,4.1,4.26,4.1,4.21,4.1894,3494471.0,0.0,1.0,IGO
2018-09-03,4.21,4.235,4.04,4.13,4.1098,3651024.0,0.0,1.0,IGO
2018-08-31,4.38,4.4,4.25,4.28,4.259,3551366.0,0.0,1.0,IGO
2018-08-30,4.42,4.45,4.35,4.37,4.3486,2330987.0,0.0,1.0,IGO
2018-08-29,4.52,4.59,4.31,4.34,4.3187,4263205.0,0.0,1.0,IGO
2018-08-28,4.22,4.32,4.195,4.31,4.2889,3104803.0,0.0,1.0,IGO
2018-08-27,4.05,4.2,4.02,4.19,4.1695,2437620.0,0.0,1.0,IGO
2018-08-24,4.16,4.16,4.04,4.08,4.06,2844726.0,0.0,1.0,IGO
2018-08-23,4.19,4.23,4.1,4.14,4.1197,3048207.0,0.0,1.0,IGO
2018-08-22,4.24,4.3,4.16,4.18,4.1595,2856766.0,0.0,1.0,IGO
2018-08-21,4.22,4.29,4.11,4.28,4.259,2514847.0,0.0,1.0,IGO
2018-08-20,4.14,4.24,4.14,4.21,4.1894,1795323.0,0.0,1.0,IGO
2018-08-17,4.15,4.21,4.08,4.11,4.0899,2220233.0,0.0,1.0,IGO
2018-08-16,4.03,4.12,3.95,4.11,4.0899,4741627.0,0.0,1.0,IGO
2018-08-15,4.22,4.24,4.105,4.12,4.0998,3527158.0,0.0,1.0,IGO
2018-08-14,4.3,4.34,4.2,4.22,4.1993,4417360.0,0.0,1.0,IGO
2018-08-13,4.38,4.39,4.2,4.22,4.1993,3428604.0,0.0,1.0,IGO
2018-08-10,4.37,4.405,4.34,4.34,4.3187,2233758.0,0.0,1.0,IGO
2018-08-09,4.4,4.42,4.3,4.4,4.3784,3516760.0,0.0,1.0,IGO
2018-08-08,4.28,4.44,4.27,4.42,4.3983,4677663.0,0.0,1.0,IGO
2018-08-07,4.32,4.35,4.21,4.27,4.2491,3848776.0,0.0,1.0,IGO
