date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,0.185,0.185,0.175,0.18,0.18,869206.0,0.0,1.0,INR
2018-12-12,0.185,0.19,0.175,0.18,0.18,7378756.0,0.0,1.0,INR
2018-12-11,0.18,0.19,0.17,0.18,0.18,1110573.0,0.0,1.0,INR
2018-12-10,0.185,0.195,0.175,0.18,0.18,2176663.0,0.0,1.0,INR
2018-12-09,0.19,0.19,0.175,0.18,0.18,8448823.0,0.0,1.0,INR
2018-12-06,0.205,0.205,0.19,0.19,0.19,2027710.0,0.0,1.0,INR
2018-12-05,0.215,0.215,0.195,0.205,0.205,2405917.0,0.0,1.0,INR
2018-12-04,0.21,0.21,0.195,0.21,0.21,2653228.0,0.0,1.0,INR
2018-12-03,0.22,0.23,0.215,0.22,0.22,707019.0,0.0,1.0,INR
2018-12-02,0.23,0.24,0.215,0.24,0.24,5047499.0,0.0,1.0,INR
2018-11-29,0.225,0.23,0.225,0.23,0.23,1421718.0,0.0,1.0,INR
2018-11-28,0.235,0.24,0.225,0.23,0.23,806124.0,0.0,1.0,INR
2018-11-27,0.24,0.24,0.23,0.23,0.23,7343876.0,0.0,1.0,INR
2018-11-26,0.235,0.24,0.23,0.24,0.24,309392.0,0.0,1.0,INR
2018-11-25,0.23,0.24,0.23,0.24,0.24,2173556.0,0.0,1.0,INR
2018-11-22,0.23,0.24,0.225,0.235,0.235,976420.0,0.0,1.0,INR
2018-11-21,0.23,0.23,0.22,0.225,0.225,341281.0,0.0,1.0,INR
2018-11-20,0.23,0.23,0.225,0.23,0.23,5275777.0,0.0,1.0,INR
2018-11-19,0.245,0.245,0.21,0.23,0.23,1470872.0,0.0,1.0,INR
2018-11-18,0.23,0.235,0.23,0.23,0.23,1581478.0,0.0,1.0,INR
2018-11-15,0.235,0.245,0.225,0.23,0.23,2036578.0,0.0,1.0,INR
2018-11-14,0.235,0.2375,0.225,0.23,0.23,1836432.0,0.0,1.0,INR
2018-11-13,0.245,0.255,0.23,0.23,0.23,1732002.0,0.0,1.0,INR
2018-11-12,0.245,0.245,0.23,0.24,0.24,1350902.0,0.0,1.0,INR
2018-11-11,0.25,0.255,0.24,0.25,0.25,1023696.0,0.0,1.0,INR
2018-12-18,0.175,0.185,0.17,0.18,0.18,2063235.0,0.0,1.0,INR
2018-12-16,0.18,0.185,0.17,0.18,0.18,1447300.0,0.0,1.0,INR
