date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.7,1.775,1.68,1.705,1.705,481808.0,0.0,1.0,IRI
2018-12-12,1.6,1.73,1.52,1.72,1.72,989647.0,0.0,1.0,IRI
2018-12-11,1.525,1.61,1.51,1.6,1.6,1104250.0,0.0,1.0,IRI
2018-12-10,1.61,1.63,1.55,1.6,1.6,1091001.0,0.0,1.0,IRI
2018-12-09,1.685,1.71,1.61,1.645,1.645,808550.0,0.0,1.0,IRI
2018-12-06,1.715,1.735,1.675,1.69,1.69,458334.0,0.0,1.0,IRI
2018-12-05,1.7,1.76,1.7,1.75,1.75,846676.0,0.0,1.0,IRI
2018-12-04,1.75,1.75,1.675,1.675,1.675,373092.0,0.0,1.0,IRI
2018-12-03,1.83,1.845,1.755,1.77,1.77,375431.0,0.0,1.0,IRI
2018-12-02,1.82,1.9,1.82,1.86,1.86,897893.0,0.0,1.0,IRI
2018-11-29,1.805,1.84,1.72,1.84,1.84,1690640.0,0.0,1.0,IRI
2018-11-28,1.95,1.95,1.89,1.905,1.905,183481.0,0.0,1.0,IRI
2018-11-27,1.885,1.945,1.885,1.91,1.91,283726.0,0.0,1.0,IRI
2018-11-26,1.9,1.922,1.875,1.885,1.885,288766.0,0.0,1.0,IRI
2018-11-25,1.98,1.98,1.865,1.89,1.89,578962.0,0.0,1.0,IRI
2018-11-22,2.1,2.1,1.98,1.98,1.98,482279.0,0.0,1.0,IRI
2018-11-21,2.05,2.17,2.05,2.1,2.1,1571671.0,0.0,1.0,IRI
2018-11-20,2.11,2.12,2.04,2.04,2.04,553796.0,0.0,1.0,IRI
2018-11-19,2.25,2.275,2.1,2.18,2.18,1114640.0,0.0,1.0,IRI
2018-11-18,2.35,2.47,2.33,2.45,2.45,239672.0,0.0,1.0,IRI
2018-11-15,2.29,2.37,2.27,2.37,2.37,134027.0,0.0,1.0,IRI
2018-11-14,2.27,2.3,2.21,2.27,2.27,105200.0,0.0,1.0,IRI
2018-11-13,2.28,2.33,2.23,2.27,2.27,137854.0,0.0,1.0,IRI
2018-11-12,2.31,2.31,2.19,2.21,2.21,212222.0,0.0,1.0,IRI
2018-11-11,2.35,2.35,2.27,2.29,2.29,117168.0,0.0,1.0,IRI
2018-11-08,2.31,2.4,2.31,2.35,2.35,209034.0,0.0,1.0,IRI
2018-11-07,2.34,2.44,2.3,2.35,2.35,240397.0,0.0,1.0,IRI
2018-11-06,2.25,2.35,2.25,2.32,2.32,263219.0,0.0,1.0,IRI
2018-11-05,2.34,2.34,2.22,2.29,2.29,146080.0,0.0,1.0,IRI
2018-11-04,2.25,2.36,2.25,2.3,2.3,150000.0,0.0,1.0,IRI
2018-11-01,2.28,2.28,2.16,2.25,2.25,117754.0,0.0,1.0,IRI
2018-10-31,2.14,2.27,2.11,2.25,2.25,592881.0,0.0,1.0,IRI
2018-10-30,2.11,2.15,2.09,2.12,2.12,177849.0,0.0,1.0,IRI
2018-10-29,2.1,2.155,2.08,2.1,2.1,541314.0,0.0,1.0,IRI
2018-10-28,2.16,2.18,2.11,2.11,2.11,600287.0,0.0,1.0,IRI
2018-10-25,2.22,2.25,2.15,2.15,2.15,497281.0,0.0,1.0,IRI
