date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,11.27,11.35,11.12,11.23,11.23,296499.0,0.0,1.0,IVC
2018-12-12,11.27,11.53,11.1,11.4,11.4,246443.0,0.0,1.0,IVC
2018-12-11,11.01,11.22,11.01,11.2,11.2,255075.0,0.0,1.0,IVC
2018-12-10,11.21,11.33,11.08,11.1,11.1,277152.0,0.0,1.0,IVC
2018-12-09,11.52,11.61,11.19,11.2,11.2,416365.0,0.0,1.0,IVC
2018-12-06,11.61,11.72,11.52,11.54,11.54,190221.0,0.0,1.0,IVC
2018-12-05,11.75,11.78,11.61,11.7,11.7,198029.0,0.0,1.0,IVC
2018-12-04,11.75,11.8,11.64,11.69,11.69,248245.0,0.0,1.0,IVC
2018-12-03,11.89,11.98,11.77,11.8,11.8,386612.0,0.0,1.0,IVC
2018-12-02,11.76,12.125,11.76,11.95,11.95,415048.0,0.0,1.0,IVC
2018-11-29,12.0,12.0,11.74,11.77,11.77,401003.0,0.0,1.0,IVC
2018-11-28,11.91,12.0,11.72,11.91,11.91,372519.0,0.0,1.0,IVC
2018-11-27,12.17,12.19,11.96,11.99,11.99,291232.0,0.0,1.0,IVC
2018-11-26,12.06,12.25,11.96,12.02,12.02,652982.0,0.0,1.0,IVC
2018-11-25,12.1,12.185,11.93,12.05,12.05,462935.0,0.0,1.0,IVC
2018-11-22,12.2,12.2,11.9,12.02,12.02,161370.0,0.0,1.0,IVC
2018-11-21,11.81,12.13,11.79,12.1,12.1,348396.0,0.0,1.0,IVC
2018-11-20,12.03,12.08,11.79,11.82,11.82,193984.0,0.0,1.0,IVC
2018-11-19,12.2,12.2,11.94,12.04,12.04,309669.0,0.0,1.0,IVC
2018-11-18,12.13,12.33,12.07,12.25,12.25,290474.0,0.0,1.0,IVC
2018-11-15,12.13,12.14,11.97,12.07,12.07,202772.0,0.0,1.0,IVC
2018-11-14,11.86,12.15,11.86,12.06,12.06,264509.0,0.0,1.0,IVC
2018-11-13,11.93,12.17,11.89,11.9,11.9,287856.0,0.0,1.0,IVC
2018-11-12,12.0,12.13,11.91,11.93,11.93,238982.0,0.0,1.0,IVC
2018-11-11,12.15,12.28,12.08,12.18,12.18,204506.0,0.0,1.0,IVC
2018-11-08,12.03,12.19,11.85,12.1,12.1,309663.0,0.0,1.0,IVC
2018-11-07,11.89,12.09,11.8,12.02,12.02,358150.0,0.0,1.0,IVC
2018-11-06,11.75,11.83,11.63,11.71,11.71,463597.0,0.0,1.0,IVC
2018-11-05,11.75,11.89,11.7,11.73,11.73,211551.0,0.0,1.0,IVC
2018-11-04,11.85,11.99,11.65,11.7,11.7,302907.0,0.0,1.0,IVC
2018-11-01,12.0,12.0,11.75,11.85,11.85,395576.0,0.0,1.0,IVC
2018-10-31,12.04,12.12,11.88,12.01,12.01,321367.0,0.0,1.0,IVC
2018-10-30,12.05,12.13,11.88,12.13,12.13,436521.0,0.0,1.0,IVC
2018-10-29,11.93,12.09,11.72,12.06,12.06,319213.0,0.0,1.0,IVC
2018-10-28,12.35,12.38,11.87,11.94,11.94,609602.0,0.0,1.0,IVC
