date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,3.35,3.35,3.13,3.27,3.27,1111911.0,0.0,1.0,KGN
2018-12-12,3.27,3.38,3.21,3.33,3.33,410732.0,0.0,1.0,KGN
2018-12-11,3.25,3.27,3.12,3.25,3.25,816347.0,0.0,1.0,KGN
2018-12-10,3.1,3.26,3.1,3.23,3.23,810362.0,0.0,1.0,KGN
2018-12-09,3.16,3.17,3.035,3.09,3.09,889402.0,0.0,1.0,KGN
2018-12-06,3.27,3.28,3.13,3.21,3.21,456862.0,0.0,1.0,KGN
2018-12-05,3.37,3.47,3.16,3.24,3.24,1074722.0,0.0,1.0,KGN
2018-12-04,3.13,3.39,3.05,3.35,3.35,1605015.0,0.0,1.0,KGN
2018-12-03,3.48,3.48,3.165,3.24,3.24,1546932.0,0.0,1.0,KGN
2018-12-02,3.29,3.49,3.25,3.44,3.44,1197961.0,0.0,1.0,KGN
2018-11-29,3.27,3.4,3.13,3.21,3.21,1763718.0,0.0,1.0,KGN
2018-11-28,3.07,3.41,3.04,3.23,3.23,1548729.0,0.0,1.0,KGN
2018-11-27,2.89,3.06,2.86,3.03,3.03,1405828.0,0.0,1.0,KGN
2018-11-26,3.18,3.18,2.84,2.86,2.86,1490183.0,0.0,1.0,KGN
2018-11-25,2.83,3.09,2.83,3.08,3.08,1407136.0,0.0,1.0,KGN
2018-11-22,2.85,2.88,2.79,2.82,2.82,426519.0,0.0,1.0,KGN
2018-11-21,2.87,2.97,2.81,2.81,2.81,695125.0,0.0,1.0,KGN
2018-11-20,2.73,2.87,2.67,2.83,2.83,1037464.0,0.0,1.0,KGN
2018-11-19,2.89,2.89,2.71,2.77,2.77,1283609.0,0.0,1.0,KGN
2018-11-18,2.72,3.005,2.72,2.91,2.91,2522219.0,0.0,1.0,KGN
2018-11-15,2.78,2.79,2.63,2.72,2.72,1445520.0,0.0,1.0,KGN
