date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,7.47,7.47,7.23,7.36,7.36,286397.0,0.0,1.0,LOV
2018-12-12,7.65,7.65,7.38,7.48,7.48,319958.0,0.0,1.0,LOV
2018-12-11,7.2,7.52,7.06,7.39,7.39,494926.0,0.0,1.0,LOV
2018-12-10,6.93,7.35,6.91,7.12,7.12,255237.0,0.0,1.0,LOV
2018-12-09,7.22,7.26,6.93,7.0,7.0,154841.0,0.0,1.0,LOV
2018-12-06,7.49,7.49,7.26,7.33,7.33,106548.0,0.0,1.0,LOV
2018-12-05,7.75,7.75,7.23,7.29,7.29,253093.0,0.0,1.0,LOV
2018-12-04,7.47,7.47,7.26,7.44,7.44,241985.0,0.0,1.0,LOV
2018-12-03,7.85,7.9,7.52,7.59,7.59,292782.0,0.0,1.0,LOV
2018-12-02,7.95,8.08,7.82,7.92,7.92,215460.0,0.0,1.0,LOV
2018-11-29,8.04,8.08,7.56,7.65,7.65,1178278.0,0.0,1.0,LOV
2018-11-28,7.84,8.2,7.73,8.03,8.03,401843.0,0.0,1.0,LOV
2018-11-27,7.85,7.95,7.75,7.81,7.81,323849.0,0.0,1.0,LOV
2018-11-26,7.95,7.95,7.63,7.75,7.75,286447.0,0.0,1.0,LOV
2018-11-25,7.78,7.88,7.6,7.73,7.73,214277.0,0.0,1.0,LOV
2018-11-22,7.52,8.0,7.52,7.8,7.8,416910.0,0.0,1.0,LOV
2018-11-21,7.4,7.78,7.4,7.51,7.51,293971.0,0.0,1.0,LOV
2018-11-20,7.65,7.65,7.14,7.31,7.31,256428.0,0.0,1.0,LOV
2018-11-19,7.95,7.95,7.54,7.56,7.56,278939.0,0.0,1.0,LOV
2018-11-18,8.15,8.17,7.89,7.99,7.99,290106.0,0.0,1.0,LOV
2018-11-15,7.96,8.28,7.7,8.22,8.22,309605.0,0.0,1.0,LOV
2018-11-14,7.7,8.08,7.68,8.05,8.05,362823.0,0.0,1.0,LOV
2018-11-13,7.78,8.51,7.78,7.85,7.85,381789.0,0.0,1.0,LOV
2018-11-12,7.8,8.02,7.705,7.83,7.83,320662.0,0.0,1.0,LOV
2018-11-11,7.82,8.09,7.72,8.0,8.0,276448.0,0.0,1.0,LOV
2018-11-08,7.67,7.87,7.62,7.82,7.82,302537.0,0.0,1.0,LOV
2018-11-07,7.94,7.94,7.32,7.69,7.69,436107.0,0.0,1.0,LOV
2018-11-06,7.43,7.82,7.23,7.73,7.73,215868.0,0.0,1.0,LOV
2018-11-05,7.25,7.63,7.25,7.59,7.59,136755.0,0.0,1.0,LOV
2018-11-04,7.6,7.84,7.35,7.38,7.38,249520.0,0.0,1.0,LOV
2018-11-01,7.6,7.62,7.36,7.62,7.62,381728.0,0.0,1.0,LOV
2018-10-31,7.65,7.65,7.16,7.42,7.42,567538.0,0.0,1.0,LOV
2018-10-30,6.99,8.1,6.97,7.67,7.67,1137611.0,0.0,1.0,LOV
2018-10-29,6.99,7.18,6.52,6.85,6.85,3337885.0,0.0,1.0,LOV
2018-10-28,8.08,8.56,8.08,8.4,8.4,503612.0,0.0,1.0,LOV
2018-10-25,8.63,8.84,8.325,8.4,8.4,270020.0,0.0,1.0,LOV
2018-10-24,8.61,8.7,8.285,8.52,8.52,528521.0,0.0,1.0,LOV
2018-10-23,8.93,9.03,8.8,8.95,8.95,185855.0,0.0,1.0,LOV
2018-10-22,9.1,9.1,8.89,9.02,9.02,241276.0,0.0,1.0,LOV
2018-10-21,9.35,9.41,8.95,9.12,9.12,283049.0,0.0,1.0,LOV
2018-10-18,9.51,9.61,9.22,9.39,9.39,257810.0,0.0,1.0,LOV
2018-10-17,9.75,9.8,9.53,9.68,9.68,761588.0,0.0,1.0,LOV
2018-10-16,9.6,9.97,9.6,9.87,9.87,102920.0,0.0,1.0,LOV
2018-10-15,9.46,9.76,9.46,9.71,9.71,261809.0,0.0,1.0,LOV
2018-10-14,9.51,9.75,9.48,9.53,9.53,281685.0,0.0,1.0,LOV
2018-10-11,9.5,9.81,9.3,9.6,9.6,455672.0,0.0,1.0,LOV
2018-10-10,9.94,9.94,9.36,9.49,9.49,283468.0,0.0,1.0,LOV
2018-10-09,9.7,9.98,9.67,9.89,9.89,141580.0,0.0,1.0,LOV
2018-10-08,9.81,9.99,9.64,9.8,9.8,222605.0,0.0,1.0,LOV
2018-10-07,9.8,10.03,9.8,9.93,9.93,157206.0,0.0,1.0,LOV
2018-10-05,10.04,10.04,9.725,9.9,9.9,177817.0,0.0,1.0,LOV
2018-10-04,10.21,10.3,10.0,10.05,10.05,361883.0,0.0,1.0,LOV
2018-10-03,9.98,10.27,9.79,10.16,10.16,157265.0,0.0,1.0,LOV
2018-10-02,10.11,10.25,9.95,10.01,10.01,129457.0,0.0,1.0,LOV
2018-10-01,10.35,10.35,10.05,10.11,10.11,71015.0,0.0,1.0,LOV
2018-09-28,9.96,10.4,9.95,10.31,10.31,351160.0,0.0,1.0,LOV
2018-09-27,10.13,10.2,9.92,10.11,10.11,180245.0,0.0,1.0,LOV
2018-09-26,9.9,10.2,9.9,10.2,10.2,242591.0,0.0,1.0,LOV
2018-09-25,9.85,9.95,9.79,9.9,9.9,281215.0,0.0,1.0,LOV
2018-09-24,9.53,9.91,9.53,9.86,9.86,203819.0,0.0,1.0,LOV
2018-09-21,9.56,9.75,9.245,9.6,9.6,2084186.0,0.0,1.0,LOV
2018-09-20,9.79,9.84,9.57,9.57,9.57,278582.0,0.0,1.0,LOV
2018-09-19,9.6,9.84,9.58,9.83,9.83,302363.0,0.0,1.0,LOV
2018-09-18,9.78,9.86,9.57,9.61,9.61,277806.0,0.0,1.0,LOV
2018-09-17,9.6,10.2,9.6,9.94,9.94,411322.0,0.0,1.0,LOV
2018-09-14,9.9,9.92,9.51,9.75,9.75,323600.0,0.0,1.0,LOV
2018-09-13,9.9,10.07,9.9,9.92,9.92,205703.0,0.0,1.0,LOV
2018-09-12,10.0,10.46,9.94,10.0,10.0,213862.0,0.0,1.0,LOV
2018-09-11,9.9,10.38,9.9,10.11,9.97,248917.0,0.0,1.0,LOV
2018-09-10,10.01,10.18,9.75,10.13,9.9897,342836.0,0.0,1.0,LOV
2018-09-07,10.15,10.35,10.03,10.21,10.0686,276938.0,0.0,1.0,LOV
2018-09-06,10.7,10.77,10.27,10.3,10.1574,281304.0,0.0,1.0,LOV
2018-09-05,11.0,11.02,10.69,10.75,10.6011,263202.0,0.0,1.0,LOV
2018-09-04,10.67,11.25,10.67,11.08,10.9266,232833.0,0.0,1.0,LOV
2018-09-03,10.86,11.09,10.68,10.73,10.5814,285757.0,0.0,1.0,LOV
2018-08-31,10.9,10.9,10.66,10.87,10.7195,285354.0,0.0,1.0,LOV
2018-08-30,10.91,11.19,10.86,10.91,10.7589,318378.0,0.0,1.0,LOV
2018-08-29,10.3,10.78,10.3,10.78,10.6307,321457.0,0.0,1.0,LOV
2018-08-28,10.56,10.83,10.42,10.53,10.3842,548832.0,0.0,1.0,LOV
2018-08-27,10.4,10.72,10.39,10.6,10.4532,413042.0,0.0,1.0,LOV
2018-08-24,10.36,10.755,10.36,10.53,10.3842,523450.0,0.0,1.0,LOV
2018-08-23,10.7,10.99,10.42,10.48,10.3349,723297.0,0.0,1.0,LOV
2018-08-22,11.3,11.42,10.13,10.4,10.256,1122798.0,0.0,1.0,LOV
2018-08-21,11.07,11.3,10.95,11.25,11.0942,147288.0,0.0,1.0,LOV
2018-08-20,10.98,11.2,10.86,11.06,10.9068,205896.0,0.0,1.0,LOV
2018-08-17,10.98,11.28,10.92,11.07,10.9167,296212.0,0.0,1.0,LOV
2018-08-16,11.48,11.54,10.935,10.98,10.828,401915.0,0.0,1.0,LOV
2018-08-15,11.19,11.79,10.78,11.61,11.4492,394734.0,0.0,1.0,LOV
