date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,114.16,114.18,112.15,113.18,113.18,956113.0,0.0,1.0,MQG
2018-12-12,113.18,114.57,112.68,114.0,114.0,738241.0,0.0,1.0,MQG
2018-12-11,109.86,113.17,109.63,113.17,113.17,1172574.0,0.0,1.0,MQG
2018-12-10,110.21,111.6,109.12,109.77,109.77,711080.0,0.0,1.0,MQG
2018-12-09,111.74,112.31,109.545,109.89,109.89,1034484.0,0.0,1.0,MQG
2018-12-06,114.5,114.78,112.72,113.32,113.32,815670.0,0.0,1.0,MQG
2018-12-05,112.9,113.59,111.32,112.05,112.05,1029658.0,0.0,1.0,MQG
2018-12-04,114.42,114.42,111.65,113.41,113.41,1150821.0,0.0,1.0,MQG
2018-12-03,118.0,118.45,116.35,116.35,116.35,808495.0,0.0,1.0,MQG
2018-12-02,116.35,118.06,116.0,117.61,117.61,714498.0,0.0,1.0,MQG
2018-11-29,116.1,116.22,114.08,114.42,114.42,2105958.0,0.0,1.0,MQG
2018-11-28,115.77,117.25,115.77,116.81,116.81,982203.0,0.0,1.0,MQG
2018-11-27,115.49,115.76,114.68,115.04,115.04,635946.0,0.0,1.0,MQG
2018-11-26,113.52,115.18,113.5,114.99,114.99,784533.0,0.0,1.0,MQG
2018-11-25,113.21,114.59,112.6,113.46,113.46,697164.0,0.0,1.0,MQG
2018-11-22,114.14,115.29,113.65,114.53,114.53,522888.0,0.0,1.0,MQG
2018-11-21,113.0,114.2,112.45,114.2,114.2,807272.0,0.0,1.0,MQG
2018-11-20,112.77,113.27,111.69,112.77,112.77,1175503.0,0.0,1.0,MQG
2018-11-19,116.01,116.5,114.39,114.93,114.93,972155.0,0.0,1.0,MQG
2018-11-18,117.36,118.68,115.76,116.23,116.23,877712.0,0.0,1.0,MQG
2018-11-15,122.79,122.86,118.85,119.0,119.0,696777.0,0.0,1.0,MQG
2018-11-14,118.99,119.18,117.85,118.81,118.81,862201.0,0.0,1.0,MQG
2018-11-13,119.36,120.235,118.25,118.75,118.75,1681856.0,0.0,1.0,MQG
2018-11-12,120.24,120.79,118.82,119.43,119.43,840408.0,0.0,1.0,MQG
2018-11-11,121.02,122.39,121.02,122.03,122.03,1192639.0,0.0,1.0,MQG
2018-11-08,122.23,124.7,122.15,123.64,121.49,825766.0,0.0,1.0,MQG
2018-11-07,121.25,123.33,121.25,123.09,120.9496,975108.0,0.0,1.0,MQG
2018-11-06,121.12,122.1,119.57,120.81,118.7092,966684.0,0.0,1.0,MQG
2018-11-05,121.22,121.81,120.59,121.5,119.3872,615454.0,0.0,1.0,MQG
2018-11-04,124.0,124.47,121.72,121.72,119.6034,962633.0,0.0,1.0,MQG
2018-11-01,121.0,122.62,119.56,122.42,120.2912,2097747.0,0.0,1.0,MQG
2018-10-31,116.51,117.88,116.34,117.87,115.8203,1119055.0,0.0,1.0,MQG
2018-10-30,117.0,117.66,115.91,117.2,115.162,1339139.0,0.0,1.0,MQG
2018-10-29,112.34,115.39,112.07,115.31,113.3048,958863.0,0.0,1.0,MQG
2018-10-28,111.87,113.07,111.41,112.81,110.8483,618467.0,0.0,1.0,MQG
2018-10-25,111.55,113.09,110.28,111.17,109.2368,2000604.0,0.0,1.0,MQG
2018-10-24,111.86,112.76,110.13,110.13,108.2149,1389435.0,0.0,1.0,MQG
2018-10-23,113.64,114.74,113.31,113.73,111.7523,746159.0,0.0,1.0,MQG
2018-10-22,114.8,115.99,113.85,113.9,111.9194,997464.0,0.0,1.0,MQG
2018-10-21,115.8,116.27,114.19,114.96,112.9609,935263.0,0.0,1.0,MQG
2018-10-18,114.5,116.87,114.1,116.87,114.8377,753192.0,0.0,1.0,MQG
2018-10-17,118.91,118.92,115.27,116.28,114.258,931859.0,0.0,1.0,MQG
2018-10-16,117.8,118.45,116.69,117.36,115.3192,880624.0,0.0,1.0,MQG
2018-10-15,114.45,115.3,113.83,114.45,112.4598,876087.0,0.0,1.0,MQG
2018-10-14,115.0,115.05,112.33,114.83,112.8332,835934.0,0.0,1.0,MQG
2018-10-11,112.6,115.72,112.33,115.53,113.521,1935320.0,0.0,1.0,MQG
2018-10-10,118.02,119.53,115.49,115.49,113.4817,2007983.0,0.0,1.0,MQG
2018-10-09,122.5,123.0,121.77,122.91,120.7727,594479.0,0.0,1.0,MQG
2018-10-08,123.4,124.15,122.39,122.56,120.4288,1152181.0,0.0,1.0,MQG
2018-10-07,123.42,124.19,123.09,123.72,121.5686,942959.0,0.0,1.0,MQG
2018-10-05,122.85,125.88,122.8,125.27,123.0917,829279.0,0.0,1.0,MQG
2018-10-04,122.63,124.06,122.61,123.69,121.5391,755251.0,0.0,1.0,MQG
2018-10-03,122.61,123.8,121.95,122.38,120.2519,583949.0,0.0,1.0,MQG
2018-10-02,125.0,125.76,122.2,122.63,120.4976,832827.0,0.0,1.0,MQG
2018-10-01,125.0,126.0,123.62,124.57,122.4038,543547.0,0.0,1.0,MQG
2018-09-28,128.3,129.0,126.04,126.04,123.8483,1771784.0,0.0,1.0,MQG
