date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,4.96,4.99,4.83,4.87,4.87,567671.0,0.0,1.0,NVT
2018-12-12,4.99,5.06,4.96,5.0,5.0,2835475.0,0.0,1.0,NVT
2018-12-11,5.0,5.12,5.0,5.07,5.07,719401.0,0.0,1.0,NVT
2018-12-10,5.04,5.05,4.92,4.99,4.99,484864.0,0.0,1.0,NVT
2018-12-09,5.1,5.18,4.925,4.95,4.95,722545.0,0.0,1.0,NVT
2018-12-06,5.15,5.32,5.15,5.26,5.26,1406530.0,0.0,1.0,NVT
2018-12-05,5.14,5.23,5.11,5.23,5.23,406620.0,0.0,1.0,NVT
2018-12-04,5.0,5.23,5.0,5.21,5.21,515296.0,0.0,1.0,NVT
2018-12-03,5.05,5.2,5.04,5.11,5.11,489028.0,0.0,1.0,NVT
2018-12-02,5.08,5.18,5.045,5.14,5.14,1616142.0,0.0,1.0,NVT
2018-11-29,5.02,5.1,4.95,4.97,4.97,1275464.0,0.0,1.0,NVT
2018-11-28,4.92,5.16,4.92,5.14,5.14,1122312.0,0.0,1.0,NVT
2018-11-27,5.18,5.18,5.12,5.15,5.15,436989.0,0.0,1.0,NVT
2018-11-26,5.14,5.17,5.1,5.15,5.15,550488.0,0.0,1.0,NVT
2018-11-25,5.1,5.14,5.07,5.12,5.12,497418.0,0.0,1.0,NVT
2018-11-22,5.13,5.195,5.11,5.12,5.12,621477.0,0.0,1.0,NVT
2018-11-21,5.1,5.16,5.08,5.15,5.15,1176679.0,0.0,1.0,NVT
2018-11-20,5.01,5.19,4.985,5.17,5.17,728886.0,0.0,1.0,NVT
2018-11-19,5.02,5.1,5.02,5.07,5.07,479998.0,0.0,1.0,NVT
2018-11-18,5.09,5.13,5.065,5.1,5.1,622057.0,0.0,1.0,NVT
2018-11-15,5.07,5.14,5.03,5.1,5.1,545675.0,0.0,1.0,NVT
2018-11-14,5.1,5.165,5.07,5.12,5.12,495711.0,0.0,1.0,NVT
2018-11-13,5.14,5.21,5.095,5.12,5.12,611608.0,0.0,1.0,NVT
2018-11-12,5.1,5.16,5.08,5.09,5.09,541423.0,0.0,1.0,NVT
2018-11-11,5.23,5.24,5.01,5.21,5.21,839102.0,0.0,1.0,NVT
2018-11-08,5.09,5.22,5.09,5.21,5.21,351157.0,0.0,1.0,NVT
2018-11-07,5.21,5.22,5.14,5.19,5.19,352670.0,0.0,1.0,NVT
