date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,17.03,17.32,16.58,16.67,16.67,2036870.0,0.0,1.0,ORI
2018-12-12,16.97,17.2,16.8,16.88,16.88,866292.0,0.0,1.0,ORI
2018-12-11,17.04,17.29,16.73,17.19,17.19,1430406.0,0.0,1.0,ORI
2018-12-10,16.66,17.0,16.63,16.88,16.88,1738484.0,0.0,1.0,ORI
2018-12-09,17.2,17.3,16.75,16.87,16.87,1476608.0,0.0,1.0,ORI
2018-12-06,17.26,17.4,17.18,17.31,17.31,935330.0,0.0,1.0,ORI
2018-12-05,17.41,17.51,17.23,17.37,17.37,595570.0,0.0,1.0,ORI
2018-12-04,17.47,17.54,17.38,17.44,17.44,3389063.0,0.0,1.0,ORI
2018-12-03,17.99,18.06,17.73,17.8,17.8,1029162.0,0.0,1.0,ORI
2018-12-02,17.63,18.12,17.57,17.98,17.98,2516256.0,0.0,1.0,ORI
2018-11-29,17.76,17.84,17.46,17.5,17.5,2005531.0,0.0,1.0,ORI
2018-11-28,17.79,17.88,17.6,17.72,17.72,1037869.0,0.0,1.0,ORI
2018-11-27,17.7,17.79,17.535,17.74,17.74,548183.0,0.0,1.0,ORI
2018-11-26,17.5,17.72,17.36,17.7,17.7,722233.0,0.0,1.0,ORI
2018-11-25,17.4,17.53,17.26,17.48,17.48,952075.0,0.0,1.0,ORI
2018-11-22,17.43,17.57,17.38,17.5,17.5,373111.0,0.0,1.0,ORI
2018-11-21,17.29,17.45,17.1,17.41,17.41,800494.0,0.0,1.0,ORI
2018-11-20,17.35,17.495,17.26,17.3,17.3,928579.0,0.0,1.0,ORI
2018-11-19,17.51,17.51,17.27,17.5,17.5,984196.0,0.0,1.0,ORI
2018-11-18,17.54,17.67,17.38,17.58,17.58,814834.0,0.0,1.0,ORI
2018-11-15,17.46,17.83,17.46,17.71,17.71,905521.0,0.0,1.0,ORI
2018-11-14,17.35,17.6,17.25,17.51,17.51,1304806.0,0.0,1.0,ORI
2018-11-13,17.88,18.035,17.35,17.44,17.44,1714828.0,0.0,1.0,ORI
2018-11-12,18.15,18.255,17.8,17.87,17.87,1554908.0,0.0,1.0,ORI
2018-11-11,18.34,18.44,18.24,18.37,18.37,1094447.0,0.0,1.0,ORI
2018-11-08,18.27,18.48,18.27,18.47,18.155,935917.0,0.0,1.0,ORI
2018-11-07,18.23,18.48,18.18,18.35,18.037,1157100.0,0.0,1.0,ORI
2018-11-06,17.99,18.16,17.99,18.15,17.8405,1524264.0,0.0,1.0,ORI
2018-11-05,17.65,18.09,17.65,18.04,17.7323,1169747.0,0.0,1.0,ORI
2018-11-04,17.69,18.105,17.64,17.82,17.5161,1897313.0,0.0,1.0,ORI
2018-11-01,16.52,18.04,16.23,17.72,17.4178,3080636.0,0.0,1.0,ORI
2018-10-31,16.82,16.94,16.54,16.65,16.366,1516297.0,0.0,1.0,ORI
