date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,7.45,7.45,7.19,7.2,7.2,4101600.0,0.0,1.0,OSH
2018-12-12,7.32,7.45,7.32,7.37,7.37,2830085.0,0.0,1.0,OSH
2018-12-11,7.28,7.41,7.23,7.38,7.38,5417320.0,0.0,1.0,OSH
2018-12-10,7.3,7.37,7.19,7.25,7.25,2667099.0,0.0,1.0,OSH
2018-12-09,7.3,7.38,7.2,7.33,7.33,3567179.0,0.0,1.0,OSH
2018-12-06,7.34,7.49,7.255,7.29,7.29,3454023.0,0.0,1.0,OSH
2018-12-05,7.41,7.43,7.33,7.38,7.38,1716591.0,0.0,1.0,OSH
2018-12-04,7.35,7.445,7.305,7.4,7.4,4410189.0,0.0,1.0,OSH
2018-12-03,7.64,7.64,7.495,7.52,7.52,4833664.0,0.0,1.0,OSH
2018-12-02,7.46,7.7,7.42,7.68,7.68,6211811.0,0.0,1.0,OSH
2018-11-29,7.34,7.47,7.3,7.31,7.31,7144387.0,0.0,1.0,OSH
2018-11-28,7.18,7.35,7.18,7.32,7.32,3712531.0,0.0,1.0,OSH
2018-11-27,7.23,7.32,7.19,7.23,7.23,2349209.0,0.0,1.0,OSH
2018-11-26,7.27,7.34,7.13,7.21,7.21,3539108.0,0.0,1.0,OSH
2018-11-25,7.38,7.38,7.12,7.15,7.15,3594286.0,0.0,1.0,OSH
2018-11-22,7.42,7.515,7.38,7.45,7.45,2427051.0,0.0,1.0,OSH
2018-11-21,7.35,7.4,7.27,7.35,7.35,2250279.0,0.0,1.0,OSH
2018-11-20,7.27,7.405,7.2,7.34,7.34,4484220.0,0.0,1.0,OSH
2018-11-19,7.41,7.5,7.255,7.33,7.33,3886844.0,0.0,1.0,OSH
2018-11-18,7.44,7.485,7.405,7.46,7.46,1994893.0,0.0,1.0,OSH
2018-11-15,7.6,7.69,7.48,7.5,7.5,2890898.0,0.0,1.0,OSH
2018-11-14,7.43,7.56,7.41,7.56,7.56,4923804.0,0.0,1.0,OSH
2018-11-13,7.45,7.57,7.38,7.46,7.46,8520256.0,0.0,1.0,OSH
2018-11-12,7.71,7.74,7.645,7.66,7.66,4013062.0,0.0,1.0,OSH
2018-11-11,7.68,7.96,7.65,7.87,7.87,5272197.0,0.0,1.0,OSH
2018-11-08,7.67,7.77,7.66,7.7,7.7,4126586.0,0.0,1.0,OSH
2018-11-07,7.75,7.83,7.75,7.81,7.81,3825193.0,0.0,1.0,OSH
2018-11-06,7.64,7.73,7.61,7.71,7.71,2569556.0,0.0,1.0,OSH
2018-11-05,7.51,7.72,7.51,7.72,7.72,2597508.0,0.0,1.0,OSH
2018-11-04,7.63,7.65,7.5,7.56,7.56,2655131.0,0.0,1.0,OSH
2018-11-01,7.6,7.75,7.575,7.66,7.66,2261207.0,0.0,1.0,OSH
2018-10-31,7.74,7.82,7.725,7.76,7.76,3146140.0,0.0,1.0,OSH
2018-10-30,7.8,7.82,7.635,7.77,7.77,5645966.0,0.0,1.0,OSH
2018-10-29,7.67,7.72,7.565,7.71,7.71,23733683.0,0.0,1.0,OSH
2018-10-28,7.76,7.835,7.725,7.78,7.78,2810602.0,0.0,1.0,OSH
2018-10-25,7.95,7.95,7.72,7.77,7.77,8429768.0,0.0,1.0,OSH
2018-10-24,7.83,7.96,7.76,7.87,7.87,5465018.0,0.0,1.0,OSH
2018-10-23,8.0,8.065,7.71,7.98,7.98,8656000.0,0.0,1.0,OSH
2018-10-22,8.51,8.56,8.14,8.14,8.14,14515111.0,0.0,1.0,OSH
2018-10-21,8.42,8.57,8.42,8.51,8.51,2808812.0,0.0,1.0,OSH
2018-10-18,8.39,8.59,8.385,8.56,8.56,3855423.0,0.0,1.0,OSH
2018-10-17,8.31,8.49,8.205,8.48,8.48,6132630.0,0.0,1.0,OSH
2018-10-16,8.46,8.51,8.32,8.33,8.33,3589733.0,0.0,1.0,OSH
2018-10-15,8.44,8.45,8.315,8.37,8.37,2731326.0,0.0,1.0,OSH
2018-10-14,8.38,8.42,8.315,8.36,8.36,2944153.0,0.0,1.0,OSH
2018-10-11,8.31,8.42,8.22,8.38,8.38,6483440.0,0.0,1.0,OSH
2018-10-10,8.72,8.78,8.52,8.53,8.53,6485981.0,0.0,1.0,OSH
2018-10-09,8.91,8.95,8.88,8.89,8.89,5458871.0,0.0,1.0,OSH
2018-10-08,9.13,9.18,8.88,8.91,8.91,7124725.0,0.0,1.0,OSH
2018-10-07,9.16,9.18,9.06,9.07,9.07,2060467.0,0.0,1.0,OSH
2018-10-05,9.1,9.23,9.07,9.22,9.22,1993145.0,0.0,1.0,OSH
2018-10-04,9.08,9.22,9.06,9.16,9.16,2687441.0,0.0,1.0,OSH
2018-10-03,9.0,9.1,9.0,9.05,9.05,1861196.0,0.0,1.0,OSH
2018-10-02,9.09,9.14,9.01,9.04,9.04,1874595.0,0.0,1.0,OSH
2018-10-01,8.95,9.03,8.94,9.03,9.03,1619887.0,0.0,1.0,OSH
2018-09-28,9.03,9.1,8.99,9.03,9.03,4564437.0,0.0,1.0,OSH
2018-09-27,9.0,9.09,8.96,9.05,9.05,2680303.0,0.0,1.0,OSH
2018-09-26,8.92,9.11,8.91,9.1,9.1,4224926.0,0.0,1.0,OSH
2018-09-25,8.84,8.94,8.82,8.9,8.9,4006611.0,0.0,1.0,OSH
2018-09-24,8.68,8.81,8.66,8.74,8.74,2203646.0,0.0,1.0,OSH
2018-09-21,8.6,8.685,8.57,8.61,8.61,6258603.0,0.0,1.0,OSH
2018-09-20,8.68,8.79,8.64,8.67,8.67,5415841.0,0.0,1.0,OSH
2018-09-19,8.68,8.78,8.65,8.75,8.75,5738622.0,0.0,1.0,OSH
2018-09-18,8.8,8.81,8.65,8.68,8.68,2701576.0,0.0,1.0,OSH
2018-09-17,8.79,8.895,8.74,8.85,8.85,1703857.0,0.0,1.0,OSH
2018-09-14,8.72,8.85,8.71,8.81,8.81,2231736.0,0.0,1.0,OSH
2018-09-13,8.76,8.84,8.71,8.73,8.73,2691898.0,0.0,1.0,OSH
2018-09-12,8.66,8.83,8.66,8.81,8.81,3421247.0,0.0,1.0,OSH
2018-09-11,8.54,8.72,8.51,8.68,8.68,2923280.0,0.0,1.0,OSH
2018-09-10,8.37,8.52,8.37,8.46,8.46,1862361.0,0.0,1.0,OSH
2018-09-07,8.42,8.47,8.32,8.42,8.42,6305891.0,0.0,1.0,OSH
2018-09-06,8.6,8.68,8.59,8.6,8.6,3199973.0,0.0,1.0,OSH
2018-09-05,8.85,8.87,8.73,8.73,8.73,2754211.0,0.0,1.0,OSH
2018-09-04,8.98,8.98,8.86,8.88,8.88,2816601.0,0.0,1.0,OSH
2018-09-03,8.99,9.0,8.895,8.96,8.9322,1748418.0,0.0,1.0,OSH
2018-08-31,9.02,9.07,8.93,8.96,8.9322,3499903.0,0.0,1.0,OSH
2018-08-30,8.93,9.04,8.905,9.02,8.992,1921778.0,0.0,1.0,OSH
2018-08-29,8.92,8.95,8.845,8.89,8.8624,10598331.0,0.0,1.0,OSH
2018-08-28,9.02,9.06,8.94,8.94,8.9123,2992611.0,0.0,1.0,OSH
2018-08-27,9.0,9.0,8.88,8.95,8.9222,1634196.0,0.0,1.0,OSH
2018-08-24,8.91,8.96,8.83,8.94,8.9123,4751780.0,0.0,1.0,OSH
2018-08-23,8.98,8.98,8.82,8.84,8.8126,6851241.0,0.0,1.0,OSH
2018-08-22,9.01,9.03,8.91,9.0,8.9721,3621238.0,0.0,1.0,OSH
2018-08-21,9.12,9.16,8.97,9.0,8.9721,3394580.0,0.0,1.0,OSH
2018-08-20,9.11,9.23,9.06,9.22,9.1914,8163938.0,0.0,1.0,OSH
2018-08-17,9.03,9.16,9.02,9.15,9.1216,5327144.0,0.0,1.0,OSH
2018-08-16,9.05,9.07,8.9,9.05,9.0219,5735341.0,0.0,1.0,OSH
2018-08-15,9.09,9.15,8.98,9.15,9.1216,3458018.0,0.0,1.0,OSH
2018-08-14,8.99,9.13,8.94,9.11,9.0817,3346368.0,0.0,1.0,OSH
2018-08-13,8.85,9.01,8.84,8.92,8.8923,3490641.0,0.0,1.0,OSH
2018-08-10,9.12,9.13,8.855,8.89,8.8624,5456856.0,0.0,1.0,OSH
2018-08-09,9.1,9.18,8.99,9.12,9.0917,2962087.0,0.0,1.0,OSH
2018-08-08,9.1,9.265,9.1,9.12,9.0917,2731674.0,0.0,1.0,OSH
2018-08-07,9.11,9.23,9.08,9.12,9.0917,3793061.0,0.0,1.0,OSH
2018-08-06,9.09,9.125,9.05,9.08,9.0518,2803783.0,0.0,1.0,OSH
2018-08-03,9.08,9.13,9.02,9.05,9.0219,3337501.0,0.0,1.0,OSH
2018-08-02,9.04,9.1,8.97,8.99,8.9621,3358712.0,0.0,1.0,OSH
2018-08-01,9.0,9.03,8.905,9.03,9.002,2870054.0,0.0,1.0,OSH
2018-07-31,8.97,8.99,8.86,8.98,8.9521,2242360.0,0.0,1.0,OSH
2018-07-30,8.84,8.89,8.8,8.86,8.8325,902679.0,0.0,1.0,OSH
2018-07-27,8.77,8.91,8.74,8.9,8.8724,4050238.0,0.0,1.0,OSH
2018-07-26,8.69,8.72,8.65,8.71,8.683,3619061.0,0.0,1.0,OSH
2018-07-25,8.68,8.74,8.65,8.69,8.663,2867678.0,0.0,1.0,OSH
2018-07-24,8.65,8.73,8.625,8.7,8.673,1877440.0,0.0,1.0,OSH
2018-07-23,8.62,8.8,8.62,8.7,8.673,3100335.0,0.0,1.0,OSH
2018-07-20,8.63,8.765,8.62,8.66,8.6331,2930488.0,0.0,1.0,OSH
2018-07-19,8.53,8.59,8.485,8.57,8.5434,3871531.0,0.0,1.0,OSH
2018-07-18,8.57,8.67,8.54,8.61,8.5833,9102113.0,0.0,1.0,OSH
2018-07-17,8.86,8.92,8.79,8.8,8.7727,6050412.0,0.0,1.0,OSH
2018-07-16,9.08,9.14,9.025,9.05,9.0219,2268559.0,0.0,1.0,OSH
2018-07-13,9.07,9.14,9.01,9.02,8.992,2347593.0,0.0,1.0,OSH
2018-07-12,8.76,9.07,8.67,9.05,9.0219,6464846.0,0.0,1.0,OSH
2018-07-11,9.0,9.055,8.97,9.03,9.002,2792372.0,0.0,1.0,OSH
2018-07-10,9.15,9.24,9.02,9.05,9.0219,3535279.0,0.0,1.0,OSH
2018-07-09,9.02,9.11,8.99,9.08,9.0518,1743304.0,0.0,1.0,OSH
2018-07-06,8.97,9.04,8.87,9.03,9.002,2696515.0,0.0,1.0,OSH
2018-07-05,8.96,8.97,8.88,8.91,8.8824,3693987.0,0.0,1.0,OSH
2018-07-04,8.9,8.945,8.87,8.9,8.8724,2629235.0,0.0,1.0,OSH
2018-07-03,8.9,8.93,8.81,8.9,8.8724,2627834.0,0.0,1.0,OSH
2018-07-02,8.88,8.93,8.83,8.84,8.8126,3165185.0,0.0,1.0,OSH
2018-06-29,8.86,8.95,8.79,8.9,8.8724,10080587.0,0.0,1.0,OSH
2018-06-28,8.75,8.9,8.75,8.86,8.8325,3975946.0,0.0,1.0,OSH
2018-06-27,8.56,8.74,8.555,8.69,8.663,4576746.0,0.0,1.0,OSH
2018-06-26,8.47,8.52,8.415,8.5,8.4736,2937029.0,0.0,1.0,OSH
2018-06-25,8.45,8.58,8.45,8.51,8.4836,3249234.0,0.0,1.0,OSH
2018-06-22,8.33,8.475,8.32,8.35,8.3241,4021635.0,0.0,1.0,OSH
2018-06-21,8.7,8.7,8.44,8.5,8.4736,5693791.0,0.0,1.0,OSH
2018-06-20,8.49,8.57,8.48,8.52,8.4936,5985106.0,0.0,1.0,OSH
2018-06-19,8.48,8.6,8.46,8.47,8.4437,6156263.0,0.0,1.0,OSH
2018-06-18,8.39,8.44,8.27,8.37,8.344,4160283.0,0.0,1.0,OSH
