date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,0.67,0.67,0.635,0.65,0.65,697081.0,0.0,1.0,PPS
2018-12-12,0.665,0.675,0.66,0.66,0.66,729094.0,0.0,1.0,PPS
2018-12-11,0.64,0.66,0.63,0.655,0.655,1432492.0,0.0,1.0,PPS
2018-12-10,0.66,0.68,0.592,0.64,0.64,5628273.0,0.0,1.0,PPS
2018-12-09,0.695,0.695,0.65,0.65,0.65,1374672.0,0.0,1.0,PPS
2018-12-06,0.715,0.715,0.69,0.69,0.69,748592.0,0.0,1.0,PPS
2018-12-05,0.74,0.76,0.705,0.705,0.705,1305951.0,0.0,1.0,PPS
2018-12-04,0.74,0.755,0.72,0.735,0.735,994139.0,0.0,1.0,PPS
2018-12-03,0.785,0.805,0.75,0.755,0.755,892414.0,0.0,1.0,PPS
2018-12-02,0.71,0.78,0.71,0.78,0.78,1740198.0,0.0,1.0,PPS
2018-11-29,0.695,0.7,0.685,0.69,0.69,901323.0,0.0,1.0,PPS
2018-11-28,0.7,0.71,0.68,0.695,0.695,1785810.0,0.0,1.0,PPS
2018-11-27,0.675,0.7,0.66,0.67,0.67,1305561.0,0.0,1.0,PPS
2018-11-26,0.71,0.73,0.655,0.67,0.67,2687154.0,0.0,1.0,PPS
2018-11-25,0.735,0.735,0.7,0.705,0.705,1090045.0,0.0,1.0,PPS
2018-11-22,0.72,0.745,0.71,0.73,0.73,1691815.0,0.0,1.0,PPS
2018-11-21,0.735,0.755,0.705,0.705,0.705,1158611.0,0.0,1.0,PPS
2018-11-20,0.78,0.785,0.715,0.725,0.725,2295718.0,0.0,1.0,PPS
2018-11-19,0.8,0.82,0.79,0.79,0.79,446582.0,0.0,1.0,PPS
2018-11-18,0.83,0.865,0.795,0.795,0.795,829587.0,0.0,1.0,PPS
2018-11-15,0.81,0.857,0.8,0.85,0.85,913618.0,0.0,1.0,PPS
2018-11-14,0.79,0.81,0.78,0.8,0.8,636574.0,0.0,1.0,PPS
2018-11-13,0.805,0.81,0.78,0.8,0.8,628764.0,0.0,1.0,PPS
2018-11-12,0.81,0.815,0.785,0.81,0.81,1418817.0,0.0,1.0,PPS
2018-11-11,0.825,0.845,0.82,0.82,0.82,604484.0,0.0,1.0,PPS
2018-11-08,0.845,0.855,0.82,0.845,0.845,944979.0,0.0,1.0,PPS
2018-11-07,0.83,0.87,0.83,0.84,0.84,1634561.0,0.0,1.0,PPS
2018-11-06,0.82,0.83,0.79,0.815,0.815,1807354.0,0.0,1.0,PPS
2018-11-05,0.82,0.822,0.8,0.81,0.81,617522.0,0.0,1.0,PPS
2018-11-04,0.845,0.86,0.82,0.82,0.82,1041578.0,0.0,1.0,PPS
2018-11-01,0.865,0.865,0.83,0.84,0.84,1433045.0,0.0,1.0,PPS
2018-10-31,0.795,0.865,0.795,0.84,0.84,2834825.0,0.0,1.0,PPS
2018-10-30,0.77,0.775,0.75,0.77,0.77,1181198.0,0.0,1.0,PPS
2018-10-29,0.675,0.78,0.67,0.75,0.75,1990780.0,0.0,1.0,PPS
2018-10-28,0.72,0.74,0.665,0.68,0.68,5902288.0,0.0,1.0,PPS
2018-10-25,0.785,0.8,0.735,0.74,0.74,2030473.0,0.0,1.0,PPS
2018-10-24,0.76,0.795,0.75,0.76,0.76,2093689.0,0.0,1.0,PPS
2018-10-23,0.86,0.875,0.79,0.82,0.82,1691121.0,0.0,1.0,PPS
2018-10-22,0.87,0.89,0.86,0.86,0.86,693908.0,0.0,1.0,PPS
2018-10-21,0.855,0.895,0.84,0.87,0.87,848937.0,0.0,1.0,PPS
2018-10-18,0.89,0.89,0.855,0.86,0.86,1225498.0,0.0,1.0,PPS
2018-10-17,0.875,0.91,0.87,0.885,0.885,1135241.0,0.0,1.0,PPS
2018-10-16,0.865,0.9,0.852,0.875,0.875,2885729.0,0.0,1.0,PPS
2018-10-15,0.885,0.89,0.83,0.845,0.845,2467075.0,0.0,1.0,PPS
2018-10-14,0.98,0.98,0.895,0.9,0.9,2760490.0,0.0,1.0,PPS
2018-10-11,0.91,0.99,0.9,0.96,0.96,1535473.0,0.0,1.0,PPS
2018-10-10,0.96,0.975,0.91,0.94,0.94,1524267.0,0.0,1.0,PPS
2018-10-09,1.005,1.015,0.975,0.985,0.985,1359856.0,0.0,1.0,PPS
2018-10-08,1.07,1.075,0.99,1.0,1.0,1626398.0,0.0,1.0,PPS
2018-10-07,1.11,1.11,1.06,1.07,1.07,979925.0,0.0,1.0,PPS
2018-10-05,1.09,1.09,1.06,1.08,1.08,620170.0,0.0,1.0,PPS
2018-10-04,1.12,1.125,1.075,1.075,1.075,1171749.0,0.0,1.0,PPS
2018-10-03,1.12,1.125,1.105,1.115,1.115,359872.0,0.0,1.0,PPS
2018-10-02,1.14,1.14,1.105,1.12,1.12,393112.0,0.0,1.0,PPS
2018-10-01,1.11,1.145,1.105,1.125,1.125,633450.0,0.0,1.0,PPS
2018-09-28,1.115,1.15,1.11,1.11,1.11,347411.0,0.0,1.0,PPS
2018-09-27,1.125,1.125,1.1,1.11,1.11,702801.0,0.0,1.0,PPS
2018-09-26,1.14,1.15,1.12,1.125,1.125,1839460.0,0.0,1.0,PPS
2018-09-25,1.145,1.15,1.12,1.14,1.14,3086703.0,0.0,1.0,PPS
2018-09-24,1.09,1.185,1.085,1.15,1.15,2482078.0,0.0,1.0,PPS
2018-09-21,1.085,1.09,1.055,1.09,1.09,7308620.0,0.0,1.0,PPS
2018-09-20,1.08,1.09,1.065,1.085,1.085,603683.0,0.0,1.0,PPS
2018-09-19,1.03,1.085,1.03,1.085,1.085,593823.0,0.0,1.0,PPS
2018-09-18,1.07,1.07,1.005,1.015,1.015,1228135.0,0.0,1.0,PPS
2018-09-17,1.06,1.085,1.06,1.07,1.07,780749.0,0.0,1.0,PPS
2018-09-14,1.08,1.08,1.06,1.06,1.06,1056148.0,0.0,1.0,PPS
2018-09-13,1.05,1.09,1.05,1.07,1.07,643136.0,0.0,1.0,PPS
2018-09-12,1.015,1.07,1.015,1.06,1.06,1366757.0,0.0,1.0,PPS
2018-09-11,1.035,1.04,1.01,1.01,1.01,1377580.0,0.0,1.0,PPS
2018-09-10,1.005,1.035,1.0,1.025,1.025,1496796.0,0.0,1.0,PPS
2018-09-07,0.96,1.01,0.96,1.005,1.005,1628150.0,0.0,1.0,PPS
2018-09-06,0.985,0.99,0.96,0.965,0.965,1604349.0,0.0,1.0,PPS
2018-09-05,1.02,1.03,1.0,1.0,1.0,1080177.0,0.0,1.0,PPS
2018-09-04,1.07,1.07,1.025,1.05,1.05,591750.0,0.0,1.0,PPS
2018-09-03,1.09,1.09,1.065,1.07,1.07,1277563.0,0.0,1.0,PPS
2018-08-31,1.09,1.09,1.065,1.09,1.09,938727.0,0.0,1.0,PPS
2018-08-30,1.11,1.115,1.075,1.09,1.09,1936795.0,0.0,1.0,PPS
2018-08-29,1.04,1.095,1.04,1.07,1.07,3199813.0,0.0,1.0,PPS
2018-08-28,1.005,1.035,0.995,1.025,1.025,2059611.0,0.0,1.0,PPS
2018-08-27,1.015,1.04,1.005,1.005,1.005,1804919.0,0.0,1.0,PPS
2018-08-24,1.01,1.02,0.985,1.015,1.015,749924.0,0.0,1.0,PPS
2018-08-23,1.01,1.02,0.97,1.02,1.02,1112678.0,0.0,1.0,PPS
2018-08-22,1.005,1.02,0.99,1.01,1.01,893110.0,0.0,1.0,PPS
2018-08-21,1.005,1.02,1.0,1.01,1.01,796436.0,0.0,1.0,PPS
2018-08-20,1.01,1.02,0.995,1.005,1.005,1675837.0,0.0,1.0,PPS
2018-08-17,0.995,1.01,0.985,1.0,1.0,1439094.0,0.0,1.0,PPS
2018-08-16,0.995,1.03,0.94,0.98,0.98,5519096.0,0.0,1.0,PPS
2018-08-15,0.92,0.97,0.915,0.97,0.97,2840466.0,0.0,1.0,PPS
2018-08-14,0.87,0.92,0.84,0.915,0.915,2317744.0,0.0,1.0,PPS
2018-08-13,0.925,0.94,0.84,0.85,0.85,1859734.0,0.0,1.0,PPS
2018-08-10,0.84,0.895,0.835,0.895,0.895,1157947.0,0.0,1.0,PPS
2018-08-09,0.82,0.85,0.815,0.84,0.84,880589.0,0.0,1.0,PPS
2018-08-08,0.835,0.835,0.81,0.82,0.82,987483.0,0.0,1.0,PPS
2018-08-07,0.84,0.85,0.81,0.82,0.82,1117496.0,0.0,1.0,PPS
2018-08-06,0.85,0.86,0.84,0.84,0.84,513733.0,0.0,1.0,PPS
2018-08-03,0.835,0.86,0.82,0.85,0.85,1378442.0,0.0,1.0,PPS
2018-08-02,0.79,0.835,0.785,0.83,0.83,1712258.0,0.0,1.0,PPS
2018-08-01,0.775,0.795,0.75,0.78,0.78,4329550.0,0.0,1.0,PPS
2018-07-31,0.865,0.87,0.805,0.82,0.82,2876719.0,0.0,1.0,PPS
2018-07-30,0.88,0.88,0.86,0.865,0.865,704238.0,0.0,1.0,PPS
2018-07-27,0.9,0.9,0.865,0.875,0.875,670168.0,0.0,1.0,PPS
2018-07-26,0.92,0.92,0.89,0.905,0.905,575393.0,0.0,1.0,PPS
2018-07-25,0.9,0.925,0.855,0.915,0.915,1362656.0,0.0,1.0,PPS
2018-07-24,0.86,0.905,0.845,0.9,0.9,2985464.0,0.0,1.0,PPS
2018-07-23,0.96,0.96,0.875,0.89,0.89,3803305.0,0.0,1.0,PPS
2018-07-20,0.99,0.99,0.97,0.98,0.98,304057.0,0.0,1.0,PPS
2018-07-19,1.005,1.005,0.965,1.0,1.0,1284884.0,0.0,1.0,PPS
2018-07-18,0.965,1.005,0.955,1.0,1.0,1459577.0,0.0,1.0,PPS
2018-07-17,0.97,1.0,0.965,0.98,0.98,1405092.0,0.0,1.0,PPS
2018-07-16,1.04,1.04,0.95,0.95,0.95,3652767.0,0.0,1.0,PPS
2018-07-13,1.005,1.07,1.0,1.04,1.04,4832017.0,0.0,1.0,PPS
2018-07-12,0.88,0.985,0.87,0.985,0.985,4246945.0,0.0,1.0,PPS
2018-07-11,0.9,0.9,0.86,0.86,0.86,870237.0,0.0,1.0,PPS
2018-07-10,0.87,0.9,0.87,0.9,0.9,834342.0,0.0,1.0,PPS
2018-07-09,0.87,0.87,0.86,0.87,0.87,822724.0,0.0,1.0,PPS
2018-07-06,0.85,0.86,0.845,0.855,0.855,467362.0,0.0,1.0,PPS
2018-07-05,0.87,0.875,0.83,0.85,0.85,1342729.0,0.0,1.0,PPS
2018-07-04,0.865,0.875,0.855,0.86,0.86,457634.0,0.0,1.0,PPS
2018-07-03,0.87,0.87,0.855,0.865,0.865,368077.0,0.0,1.0,PPS
2018-07-02,0.88,0.88,0.85,0.85,0.85,552103.0,0.0,1.0,PPS
2018-06-29,0.865,0.88,0.865,0.88,0.88,636761.0,0.0,1.0,PPS
2018-06-28,0.865,0.865,0.845,0.85,0.85,679433.0,0.0,1.0,PPS
2018-06-27,0.855,0.88,0.855,0.875,0.875,554408.0,0.0,1.0,PPS
2018-06-26,0.89,0.89,0.855,0.855,0.855,1397718.0,0.0,1.0,PPS
2018-06-25,0.91,0.92,0.9,0.905,0.905,682484.0,0.0,1.0,PPS
2018-06-22,0.9,0.905,0.89,0.9,0.9,868682.0,0.0,1.0,PPS
2018-06-21,0.895,0.9,0.88,0.9,0.9,609492.0,0.0,1.0,PPS
2018-06-20,0.89,0.91,0.88,0.885,0.885,1189103.0,0.0,1.0,PPS
2018-06-19,0.86,0.895,0.855,0.88,0.88,1178963.0,0.0,1.0,PPS
2018-06-18,0.88,0.89,0.85,0.86,0.86,1121842.0,0.0,1.0,PPS
2018-06-15,0.88,0.89,0.87,0.875,0.875,880956.0,0.0,1.0,PPS
2018-06-14,0.87,0.89,0.87,0.875,0.875,1678410.0,0.0,1.0,PPS
2018-06-13,0.84,0.875,0.83,0.87,0.87,2573092.0,0.0,1.0,PPS
2018-06-12,0.84,0.85,0.825,0.84,0.84,1284811.0,0.0,1.0,PPS
2018-06-08,0.8,0.83,0.8,0.83,0.83,1438089.0,0.0,1.0,PPS
2018-06-07,0.82,0.83,0.787,0.805,0.805,2792911.0,0.0,1.0,PPS
2018-06-06,0.765,0.815,0.765,0.815,0.815,3734306.0,0.0,1.0,PPS
2018-06-05,0.74,0.775,0.725,0.765,0.765,1960976.0,0.0,1.0,PPS
2018-06-04,0.7,0.74,0.7,0.735,0.735,591725.0,0.0,1.0,PPS
2018-06-01,0.7,0.71,0.692,0.705,0.705,281491.0,0.0,1.0,PPS
2018-05-31,0.715,0.72,0.695,0.695,0.695,451354.0,0.0,1.0,PPS
2018-05-30,0.705,0.715,0.695,0.715,0.715,273731.0,0.0,1.0,PPS
2018-05-29,0.705,0.72,0.7,0.705,0.705,178550.0,0.0,1.0,PPS
2018-05-28,0.7,0.72,0.69,0.71,0.71,320681.0,0.0,1.0,PPS
2018-05-25,0.685,0.7,0.685,0.695,0.695,277619.0,0.0,1.0,PPS
2018-05-24,0.695,0.71,0.687,0.7,0.7,205107.0,0.0,1.0,PPS
2018-05-23,0.7,0.715,0.695,0.7,0.7,968404.0,0.0,1.0,PPS
2018-05-22,0.69,0.72,0.69,0.695,0.695,799896.0,0.0,1.0,PPS
2018-05-21,0.69,0.7,0.68,0.685,0.685,661756.0,0.0,1.0,PPS
2018-05-18,0.68,0.705,0.68,0.695,0.695,424547.0,0.0,1.0,PPS
2018-05-17,0.685,0.685,0.67,0.675,0.675,456402.0,0.0,1.0,PPS
2018-05-16,0.71,0.71,0.68,0.685,0.685,689389.0,0.0,1.0,PPS
2018-05-15,0.735,0.735,0.71,0.71,0.71,287885.0,0.0,1.0,PPS
