date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,32.88,33.48,32.81,33.34,33.34,122930.0,0.0,1.0,PPT
2018-12-12,32.46,33.69,32.25,33.4,33.4,132729.0,0.0,1.0,PPT
2018-12-11,32.29,32.91,32.13,32.57,32.57,130418.0,0.0,1.0,PPT
2018-12-10,32.5,32.78,31.795,32.3,32.3,177959.0,0.0,1.0,PPT
2018-12-09,33.25,33.98,32.0,32.16,32.16,267876.0,0.0,1.0,PPT
2018-12-06,35.49,35.56,33.4,33.49,33.49,227253.0,0.0,1.0,PPT
2018-12-05,35.31,35.55,35.01,35.49,35.49,95959.0,0.0,1.0,PPT
2018-12-04,35.29,35.37,34.8,35.31,35.31,112828.0,0.0,1.0,PPT
2018-12-03,36.46,36.46,35.77,35.97,35.97,104679.0,0.0,1.0,PPT
2018-12-02,35.3,36.63,35.3,36.46,36.46,147621.0,0.0,1.0,PPT
2018-11-29,35.6,35.82,35.15,35.41,35.41,168854.0,0.0,1.0,PPT
2018-11-28,35.25,36.04,35.2,35.94,35.94,114066.0,0.0,1.0,PPT
2018-11-27,35.0,35.5,34.94,35.43,35.43,124952.0,0.0,1.0,PPT
2018-11-26,35.26,35.52,34.6,35.32,35.32,106862.0,0.0,1.0,PPT
2018-11-25,35.0,35.25,34.53,35.03,35.03,146989.0,0.0,1.0,PPT
2018-11-22,34.21,35.22,34.21,35.09,35.09,69503.0,0.0,1.0,PPT
2018-11-21,33.74,34.76,33.69,34.65,34.65,201543.0,0.0,1.0,PPT
2018-11-20,34.38,34.39,33.61,33.8,33.8,152275.0,0.0,1.0,PPT
2018-11-19,34.91,35.21,34.34,34.91,34.91,125404.0,0.0,1.0,PPT
2018-11-18,35.28,35.6,35.005,35.17,35.17,127295.0,0.0,1.0,PPT
2018-11-15,35.34,35.65,34.99,35.35,35.35,111228.0,0.0,1.0,PPT
2018-11-14,34.46,35.21,34.37,35.21,35.21,171085.0,0.0,1.0,PPT
2018-11-13,35.0,35.25,34.32,34.45,34.45,159851.0,0.0,1.0,PPT
2018-11-12,34.99,35.23,34.52,34.58,34.58,161917.0,0.0,1.0,PPT
2018-11-11,35.7,35.86,35.135,35.62,35.62,128171.0,0.0,1.0,PPT
2018-11-08,35.32,35.91,35.06,35.91,35.91,148001.0,0.0,1.0,PPT
2018-11-07,35.32,35.74,35.29,35.59,35.59,137037.0,0.0,1.0,PPT
2018-11-06,34.75,35.36,34.68,35.28,35.28,162251.0,0.0,1.0,PPT
2018-11-05,34.71,35.04,34.42,34.77,34.77,122644.0,0.0,1.0,PPT
2018-11-04,34.43,35.13,34.43,34.73,34.73,153464.0,0.0,1.0,PPT
2018-11-01,34.11,34.85,34.08,34.78,34.78,187209.0,0.0,1.0,PPT
2018-10-31,34.79,35.19,34.1,34.27,34.27,194332.0,0.0,1.0,PPT
2018-10-30,34.29,35.19,34.29,34.65,34.65,314379.0,0.0,1.0,PPT
2018-10-29,33.5,34.32,32.96,34.15,34.15,235614.0,0.0,1.0,PPT
2018-10-28,33.24,33.65,33.075,33.38,33.38,183571.0,0.0,1.0,PPT
2018-10-25,33.59,33.97,32.94,33.27,33.27,198415.0,0.0,1.0,PPT
2018-10-24,34.61,34.63,33.15,33.15,33.15,316484.0,0.0,1.0,PPT
2018-10-23,34.43,35.26,34.15,35.14,35.14,251638.0,0.0,1.0,PPT
2018-10-22,34.45,34.72,34.145,34.37,34.37,193680.0,0.0,1.0,PPT
2018-10-21,34.9,35.89,34.35,34.43,34.43,282453.0,0.0,1.0,PPT
2018-10-18,35.56,35.63,34.785,35.01,35.01,336513.0,0.0,1.0,PPT
2018-10-17,36.2,36.36,35.55,35.8,35.8,317068.0,0.0,1.0,PPT
2018-10-16,38.44,38.55,36.23,36.38,36.38,488852.0,0.0,1.0,PPT
2018-10-15,38.08,38.39,37.96,38.22,38.22,149473.0,0.0,1.0,PPT
2018-10-14,38.3,38.56,37.285,38.08,38.08,238353.0,0.0,1.0,PPT
2018-10-11,38.0,38.75,37.62,38.64,38.64,306694.0,0.0,1.0,PPT
2018-10-10,38.7,38.7,37.93,38.16,38.16,360075.0,0.0,1.0,PPT
2018-10-09,39.7,39.83,38.7,39.0,39.0,291497.0,0.0,1.0,PPT
2018-10-08,41.48,41.48,39.66,39.75,39.75,264330.0,0.0,1.0,PPT
2018-10-07,41.95,42.2,41.54,41.61,41.61,149643.0,0.0,1.0,PPT
2018-10-05,42.25,42.48,42.12,42.29,42.29,103159.0,0.0,1.0,PPT
2018-10-04,41.61,42.35,41.61,42.3,42.3,160158.0,0.0,1.0,PPT
2018-10-03,41.51,41.74,41.1,41.52,41.52,183523.0,0.0,1.0,PPT
2018-10-02,42.1,42.28,41.55,41.75,41.75,209085.0,0.0,1.0,PPT
2018-10-01,42.59,42.69,41.91,42.07,42.07,110927.0,0.0,1.0,PPT
2018-09-28,42.82,42.91,42.24,42.57,42.57,245598.0,0.0,1.0,PPT
2018-09-27,42.39,42.98,42.31,42.77,42.77,176245.0,0.0,1.0,PPT
2018-09-26,42.04,42.46,41.97,42.42,42.42,139072.0,0.0,1.0,PPT
2018-09-25,41.99,42.33,41.78,42.09,42.09,192375.0,0.0,1.0,PPT
2018-09-24,41.51,42.62,41.51,42.02,42.02,235567.0,0.0,1.0,PPT
2018-09-21,42.4,42.94,41.63,42.27,42.27,945911.0,0.0,1.0,PPT
2018-09-20,42.25,42.655,41.78,42.36,42.36,269917.0,0.0,1.0,PPT
2018-09-19,41.37,42.39,41.37,42.25,42.25,236566.0,0.0,1.0,PPT
2018-09-18,41.2,42.09,41.0,41.36,41.36,249836.0,0.0,1.0,PPT
2018-09-17,41.31,41.53,41.05,41.06,41.06,178128.0,0.0,1.0,PPT
2018-09-14,40.87,41.31,40.79,41.23,41.23,163287.0,0.0,1.0,PPT
2018-09-13,41.25,41.28,40.52,40.69,40.69,175683.0,0.0,1.0,PPT
2018-09-12,41.29,41.37,40.65,41.2,41.2,250130.0,0.0,1.0,PPT
2018-09-11,42.4,43.19,42.36,42.87,41.47,261855.0,0.0,1.0,PPT
2018-09-10,42.73,42.77,42.24,42.41,41.025,211752.0,0.0,1.0,PPT
2018-09-07,42.48,42.75,42.16,42.73,41.3346,184346.0,0.0,1.0,PPT
2018-09-06,42.81,43.27,42.55,42.73,41.3346,205632.0,0.0,1.0,PPT
2018-09-05,42.83,43.48,42.72,42.89,41.4893,252998.0,0.0,1.0,PPT
2018-09-04,42.75,43.36,42.35,42.82,41.4216,328578.0,0.0,1.0,PPT
2018-09-03,43.89,43.92,42.74,42.93,41.528,349893.0,0.0,1.0,PPT
2018-08-31,45.99,45.99,43.68,43.89,42.4567,448814.0,0.0,1.0,PPT
2018-08-30,44.48,46.105,44.47,46.03,44.5268,279151.0,0.0,1.0,PPT
2018-08-29,44.55,44.785,44.15,44.46,43.0081,162122.0,0.0,1.0,PPT
2018-08-28,44.19,44.76,44.05,44.73,43.2693,147803.0,0.0,1.0,PPT
2018-08-27,44.0,44.16,43.56,44.11,42.6695,121335.0,0.0,1.0,PPT
2018-08-24,44.15,44.39,43.9,44.13,42.6889,185965.0,0.0,1.0,PPT
2018-08-23,44.3,44.47,43.85,44.0,42.5631,133420.0,0.0,1.0,PPT
2018-08-22,44.32,44.69,43.95,44.0,42.5631,160336.0,0.0,1.0,PPT
2018-08-21,44.96,45.09,44.37,44.55,43.0951,138291.0,0.0,1.0,PPT
2018-08-20,44.95,45.47,44.71,44.89,43.424,220733.0,0.0,1.0,PPT
2018-08-17,44.18,44.65,44.08,44.46,43.0081,161767.0,0.0,1.0,PPT
2018-08-16,44.1,44.39,43.85,44.15,42.7082,202185.0,0.0,1.0,PPT
2018-08-15,44.12,44.46,43.97,43.99,42.5534,328802.0,0.0,1.0,PPT
2018-08-14,42.68,44.05,42.68,43.92,42.4857,296234.0,0.0,1.0,PPT
2018-08-13,42.41,42.95,42.37,42.61,41.2185,160762.0,0.0,1.0,PPT
2018-08-10,42.55,42.97,42.44,42.58,41.1895,181228.0,0.0,1.0,PPT
2018-08-09,42.27,42.87,42.2,42.49,41.1024,326689.0,0.0,1.0,PPT
2018-08-08,42.12,42.59,42.05,42.24,40.8606,205696.0,0.0,1.0,PPT
2018-08-07,42.69,42.92,42.24,42.34,40.9573,137878.0,0.0,1.0,PPT
2018-08-06,42.48,42.97,42.48,42.68,41.2862,124426.0,0.0,1.0,PPT
2018-08-03,42.76,43.1,42.34,42.5,41.1121,204293.0,0.0,1.0,PPT
2018-08-02,43.73,43.97,42.64,42.72,41.3249,215733.0,0.0,1.0,PPT
2018-08-01,43.51,43.99,43.22,43.82,42.389,185610.0,0.0,1.0,PPT
2018-07-31,43.72,44.23,43.62,43.62,42.1955,371644.0,0.0,1.0,PPT
2018-07-30,43.96,44.17,43.53,43.7,42.2729,153612.0,0.0,1.0,PPT
2018-07-27,44.3,44.63,44.06,44.25,42.8049,103068.0,0.0,1.0,PPT
2018-07-26,43.62,44.21,43.04,44.01,42.5728,175811.0,0.0,1.0,PPT
2018-07-25,43.96,44.08,43.44,43.64,42.2149,202756.0,0.0,1.0,PPT
