date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-04,2.62,2.62,2.52,2.57,2.57,1544790.0,0.0,1.0,PRY
2018-12-03,2.62,2.62,2.52,2.57,2.57,1544790.0,0.0,1.0,PRY
2018-12-02,2.71,2.72,2.64,2.65,2.65,1780995.0,0.0,1.0,PRY
2018-11-29,2.63,2.69,2.6,2.65,2.65,2830157.0,0.0,1.0,PRY
2018-11-28,2.52,2.64,2.51,2.62,2.62,2239623.0,0.0,1.0,PRY
2018-11-27,2.54,2.58,2.515,2.53,2.53,1505049.0,0.0,1.0,PRY
2018-11-26,2.55,2.56,2.43,2.53,2.53,2024163.0,0.0,1.0,PRY
2018-11-25,2.5,2.6,2.5,2.54,2.54,1918461.0,0.0,1.0,PRY
2018-11-22,2.56,2.58,2.51,2.52,2.52,1753600.0,0.0,1.0,PRY
2018-11-21,2.41,2.575,2.39,2.56,2.56,11699275.0,0.0,1.0,PRY
2018-11-20,2.34,2.39,2.32,2.37,2.37,2283662.0,0.0,1.0,PRY
2018-11-19,2.41,2.41,2.32,2.38,2.38,3881426.0,0.0,1.0,PRY
2018-11-18,2.46,2.49,2.44,2.46,2.46,1892303.0,0.0,1.0,PRY
2018-11-15,2.45,2.52,2.425,2.49,2.49,1643076.0,0.0,1.0,PRY
2018-11-14,2.5,2.525,2.435,2.45,2.45,2405249.0,0.0,1.0,PRY
2018-11-13,2.57,2.575,2.48,2.49,2.49,2330826.0,0.0,1.0,PRY
2018-11-12,2.62,2.64,2.575,2.58,2.58,1821147.0,0.0,1.0,PRY
2018-11-11,2.7,2.71,2.62,2.66,2.66,1930245.0,0.0,1.0,PRY
2018-11-08,2.63,2.7,2.63,2.7,2.7,2753116.0,0.0,1.0,PRY
2018-11-07,2.72,2.76,2.64,2.66,2.66,2200005.0,0.0,1.0,PRY
2018-11-06,2.72,2.76,2.675,2.72,2.72,2428287.0,0.0,1.0,PRY
2018-11-05,2.73,2.76,2.71,2.75,2.75,1184959.0,0.0,1.0,PRY
2018-11-04,2.75,2.795,2.73,2.75,2.75,7574611.0,0.0,1.0,PRY
2018-11-01,2.72,2.845,2.69,2.82,2.82,2508336.0,0.0,1.0,PRY
2018-10-31,2.63,2.76,2.625,2.74,2.74,2228443.0,0.0,1.0,PRY
2018-10-30,2.63,2.72,2.63,2.65,2.65,2175175.0,0.0,1.0,PRY
2018-10-29,2.45,2.64,2.45,2.62,2.62,2597307.0,0.0,1.0,PRY
2018-10-28,2.5,2.5,2.39,2.45,2.45,5151434.0,0.0,1.0,PRY
2018-10-25,2.73,2.75,2.52,2.53,2.53,5313220.0,0.0,1.0,PRY
2018-10-24,2.85,2.87,2.74,2.74,2.74,4811465.0,0.0,1.0,PRY
2018-10-23,2.9,2.93,2.87,2.9,2.9,5475581.0,0.0,1.0,PRY
2018-10-22,2.84,2.92,2.81,2.89,2.89,3160690.0,0.0,1.0,PRY
2018-10-21,2.86,2.86,2.81,2.83,2.83,1742738.0,0.0,1.0,PRY
2018-10-18,2.81,2.88,2.76,2.85,2.85,2055553.0,0.0,1.0,PRY
2018-10-17,2.8,2.85,2.8,2.83,2.83,1829420.0,0.0,1.0,PRY
2018-10-16,2.73,2.81,2.72,2.8,2.8,3487733.0,0.0,1.0,PRY
2018-10-15,2.78,2.78,2.73,2.74,2.74,1738754.0,0.0,1.0,PRY
2018-10-14,2.81,2.81,2.75,2.78,2.78,2374351.0,0.0,1.0,PRY
2018-10-11,2.85,2.88,2.82,2.82,2.82,2606475.0,0.0,1.0,PRY
2018-10-10,2.9,2.97,2.88,2.91,2.91,5034725.0,0.0,1.0,PRY
2018-10-09,2.97,3.01,2.9,3.0,3.0,2876613.0,0.0,1.0,PRY
2018-10-08,3.08,3.08,2.96,2.97,2.97,1924956.0,0.0,1.0,PRY
2018-10-07,3.11,3.13,3.08,3.08,3.08,1015417.0,0.0,1.0,PRY
2018-10-05,3.13,3.14,3.09,3.12,3.12,1417388.0,0.0,1.0,PRY
2018-10-04,3.04,3.165,3.04,3.12,3.12,2800117.0,0.0,1.0,PRY
2018-10-03,2.95,3.04,2.95,3.01,3.01,2568777.0,0.0,1.0,PRY
2018-10-02,2.95,2.98,2.93,2.96,2.96,3107658.0,0.0,1.0,PRY
2018-10-01,3.03,3.04,2.95,2.95,2.95,712198.0,0.0,1.0,PRY
2018-09-28,3.05,3.07,3.01,3.04,3.04,2152734.0,0.0,1.0,PRY
2018-09-27,3.0,3.03,2.96,3.01,3.01,2100838.0,0.0,1.0,PRY
2018-09-26,2.92,2.99,2.91,2.97,2.97,2406078.0,0.0,1.0,PRY
2018-09-25,2.88,2.93,2.85,2.92,2.92,2975036.0,0.0,1.0,PRY
2018-09-24,2.86,2.87,2.84,2.87,2.87,1234697.0,0.0,1.0,PRY
2018-09-21,2.86,2.9,2.86,2.88,2.88,2686367.0,0.0,1.0,PRY
2018-09-20,2.9,2.93,2.85,2.89,2.89,3229468.0,0.0,1.0,PRY
