date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,5.5,5.52,5.42,5.49,5.49,8813331.0,0.0,1.0,QAN
2018-12-12,5.53,5.59,5.495,5.53,5.53,5546924.0,0.0,1.0,QAN
2018-12-11,5.53,5.55,5.47,5.48,5.48,8662607.0,0.0,1.0,QAN
2018-12-10,5.55,5.58,5.4,5.46,5.46,27119513.0,0.0,1.0,QAN
2018-12-09,5.58,5.62,5.48,5.51,5.51,8699522.0,0.0,1.0,QAN
2018-12-06,5.7,5.775,5.6,5.72,5.72,7640996.0,0.0,1.0,QAN
2018-12-05,5.76,5.78,5.66,5.69,5.69,5744112.0,0.0,1.0,QAN
2018-12-04,5.77,5.85,5.7,5.76,5.76,8058133.0,0.0,1.0,QAN
2018-12-03,5.98,6.03,5.86,5.94,5.94,7326051.0,0.0,1.0,QAN
2018-12-02,6.06,6.14,5.95,5.99,5.99,8257536.0,0.0,1.0,QAN
2018-11-29,6.14,6.16,5.865,5.96,5.96,8964978.0,0.0,1.0,QAN
2018-11-28,6.05,6.14,5.975,6.06,6.06,7025925.0,0.0,1.0,QAN
2018-11-27,5.95,6.13,5.94,6.04,6.04,7727487.0,0.0,1.0,QAN
2018-11-26,5.93,5.94,5.79,5.91,5.91,5533768.0,0.0,1.0,QAN
2018-11-25,5.76,5.96,5.73,5.89,5.89,6202075.0,0.0,1.0,QAN
2018-11-22,5.63,5.76,5.625,5.73,5.73,2700747.0,0.0,1.0,QAN
2018-11-21,5.57,5.75,5.57,5.68,5.68,4777292.0,0.0,1.0,QAN
2018-11-20,5.43,5.595,5.39,5.58,5.58,6079123.0,0.0,1.0,QAN
2018-11-19,5.52,5.54,5.435,5.47,5.47,6599038.0,0.0,1.0,QAN
2018-11-18,5.64,5.73,5.57,5.59,5.59,5445070.0,0.0,1.0,QAN
2018-11-15,5.73,5.76,5.625,5.69,5.69,4150546.0,0.0,1.0,QAN
2018-11-14,5.73,5.83,5.72,5.77,5.77,5835370.0,0.0,1.0,QAN
2018-11-13,5.88,5.99,5.73,5.76,5.76,8685903.0,0.0,1.0,QAN
2018-11-12,5.81,5.86,5.72,5.75,5.75,7279461.0,0.0,1.0,QAN
2018-11-11,5.8,5.96,5.78,5.9,5.9,7105597.0,0.0,1.0,QAN
2018-11-08,5.71,5.845,5.685,5.83,5.83,5234795.0,0.0,1.0,QAN
2018-11-07,5.73,5.75,5.67,5.71,5.71,3484009.0,0.0,1.0,QAN
2018-11-06,5.6,5.68,5.52,5.67,5.67,4111088.0,0.0,1.0,QAN
2018-11-05,5.54,5.65,5.54,5.64,5.64,3398266.0,0.0,1.0,QAN
2018-11-04,5.57,5.62,5.5,5.58,5.58,3989813.0,0.0,1.0,QAN
2018-11-01,5.51,5.69,5.47,5.67,5.67,5467632.0,0.0,1.0,QAN
2018-10-31,5.44,5.59,5.41,5.54,5.54,5381199.0,0.0,1.0,QAN
2018-10-30,5.38,5.49,5.36,5.47,5.47,6153576.0,0.0,1.0,QAN
2018-10-29,5.28,5.36,5.28,5.36,5.36,4368082.0,0.0,1.0,QAN
2018-10-28,5.27,5.4,5.23,5.36,5.36,4049500.0,0.0,1.0,QAN
2018-10-25,5.37,5.4,5.18,5.23,5.23,9721685.0,0.0,1.0,QAN
2018-10-24,5.52,5.7,5.36,5.36,5.36,10084639.0,0.0,1.0,QAN
2018-10-23,5.59,5.65,5.53,5.62,5.62,6303464.0,0.0,1.0,QAN
2018-10-22,5.72,5.74,5.54,5.55,5.55,7605464.0,0.0,1.0,QAN
2018-10-21,5.65,5.73,5.58,5.65,5.65,10819419.0,0.0,1.0,QAN
2018-10-18,5.58,5.645,5.54,5.59,5.59,6568239.0,0.0,1.0,QAN
2018-10-17,5.5,5.625,5.475,5.58,5.58,7118958.0,0.0,1.0,QAN
2018-10-16,5.41,5.47,5.38,5.45,5.45,4997448.0,0.0,1.0,QAN
2018-10-15,5.39,5.455,5.35,5.43,5.43,5586181.0,0.0,1.0,QAN
2018-10-14,5.41,5.44,5.3,5.34,5.34,4281526.0,0.0,1.0,QAN
2018-10-11,5.37,5.555,5.37,5.5,5.5,9598862.0,0.0,1.0,QAN
2018-10-10,5.4,5.43,5.285,5.32,5.32,8969476.0,0.0,1.0,QAN
2018-10-09,5.45,5.54,5.37,5.53,5.53,8640279.0,0.0,1.0,QAN
2018-10-08,5.55,5.58,5.445,5.48,5.48,5899267.0,0.0,1.0,QAN
2018-10-07,5.63,5.63,5.52,5.56,5.56,4357665.0,0.0,1.0,QAN
2018-10-05,5.71,5.75,5.64,5.66,5.66,6933037.0,0.0,1.0,QAN
2018-10-04,5.71,5.71,5.66,5.69,5.69,4666153.0,0.0,1.0,QAN
2018-10-03,5.63,5.735,5.62,5.7,5.7,7595373.0,0.0,1.0,QAN
2018-10-02,5.81,5.82,5.64,5.64,5.64,7040631.0,0.0,1.0,QAN
2018-10-01,5.81,5.855,5.8,5.83,5.83,1415503.0,0.0,1.0,QAN
2018-09-28,5.91,5.965,5.85,5.9,5.9,5993061.0,0.0,1.0,QAN
2018-09-27,5.88,5.95,5.83,5.9,5.9,6539926.0,0.0,1.0,QAN
2018-09-26,5.85,5.85,5.785,5.82,5.82,9517350.0,0.0,1.0,QAN
