date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,10.2,10.345,10.11,10.14,10.14,4040115.0,0.0,1.0,QBE
2018-12-12,10.22,10.355,10.13,10.2,10.2,6902851.0,0.0,1.0,QBE
2018-12-11,9.97,10.36,9.92,10.28,10.28,9968469.0,0.0,1.0,QBE
2018-12-10,9.8,10.17,9.72,9.96,9.96,8618742.0,0.0,1.0,QBE
2018-12-09,10.47,10.54,10.38,10.39,10.39,4022882.0,0.0,1.0,QBE
2018-12-06,10.94,10.95,10.57,10.69,10.69,5612315.0,0.0,1.0,QBE
2018-12-05,10.79,10.855,10.665,10.84,10.84,4013260.0,0.0,1.0,QBE
2018-12-04,11.14,11.15,10.675,10.83,10.83,8479157.0,0.0,1.0,QBE
2018-12-03,11.41,11.5,11.355,11.37,11.37,2931234.0,0.0,1.0,QBE
2018-12-02,11.42,11.59,11.36,11.55,11.55,2787276.0,0.0,1.0,QBE
2018-11-29,11.36,11.42,11.23,11.32,11.32,8479566.0,0.0,1.0,QBE
2018-11-28,11.51,11.57,11.41,11.48,11.48,5462538.0,0.0,1.0,QBE
2018-11-27,11.42,11.57,11.305,11.51,11.51,8701292.0,0.0,1.0,QBE
2018-11-26,11.27,11.45,11.15,11.45,11.45,3996354.0,0.0,1.0,QBE
2018-11-25,11.33,11.35,11.17,11.24,11.24,3409840.0,0.0,1.0,QBE
2018-11-22,11.38,11.43,11.3,11.35,11.35,2858760.0,0.0,1.0,QBE
2018-11-21,11.49,11.5,11.25,11.43,11.43,3498223.0,0.0,1.0,QBE
2018-11-20,11.43,11.62,11.3,11.49,11.49,6515386.0,0.0,1.0,QBE
2018-11-19,11.3,11.41,11.21,11.4,11.4,5252461.0,0.0,1.0,QBE
2018-11-18,11.28,11.47,11.28,11.35,11.35,3032781.0,0.0,1.0,QBE
2018-11-15,11.31,11.47,11.29,11.4,11.4,2254260.0,0.0,1.0,QBE
2018-11-14,11.29,11.32,11.19,11.32,11.32,2740086.0,0.0,1.0,QBE
2018-11-13,11.41,11.53,11.21,11.31,11.31,2893023.0,0.0,1.0,QBE
2018-11-12,11.45,11.58,11.43,11.48,11.48,2859706.0,0.0,1.0,QBE
2018-11-11,11.46,11.645,11.45,11.55,11.55,3757429.0,0.0,1.0,QBE
2018-11-08,11.49,11.625,11.4,11.49,11.49,3869626.0,0.0,1.0,QBE
2018-11-07,11.36,11.435,11.275,11.36,11.36,4728827.0,0.0,1.0,QBE
2018-11-06,11.19,11.345,11.18,11.3,11.3,1877205.0,0.0,1.0,QBE
2018-11-05,11.24,11.385,11.24,11.29,11.29,1559412.0,0.0,1.0,QBE
2018-11-04,11.27,11.44,11.22,11.28,11.28,3071478.0,0.0,1.0,QBE
2018-11-01,11.05,11.3,11.05,11.3,11.3,3626166.0,0.0,1.0,QBE
2018-10-31,11.3,11.39,11.23,11.26,11.26,4315645.0,0.0,1.0,QBE
2018-10-30,11.06,11.32,11.06,11.32,11.32,4017237.0,0.0,1.0,QBE
2018-10-29,10.96,11.1,10.91,11.06,11.06,2609089.0,0.0,1.0,QBE
2018-10-28,11.07,11.07,10.855,10.94,10.94,3163754.0,0.0,1.0,QBE
2018-10-25,11.18,11.25,10.79,10.92,10.92,8902465.0,0.0,1.0,QBE
2018-10-24,11.25,11.34,11.14,11.17,11.17,7448348.0,0.0,1.0,QBE
2018-10-23,11.64,11.65,11.35,11.43,11.43,7319255.0,0.0,1.0,QBE
2018-10-22,11.7,11.8,11.595,11.64,11.64,3357365.0,0.0,1.0,QBE
2018-10-21,11.46,11.76,11.46,11.68,11.68,3151720.0,0.0,1.0,QBE
2018-10-18,11.51,11.61,11.49,11.57,11.57,4988903.0,0.0,1.0,QBE
2018-10-17,11.49,11.63,11.44,11.59,11.59,4486300.0,0.0,1.0,QBE
2018-10-16,11.35,11.49,11.31,11.43,11.43,3245930.0,0.0,1.0,QBE
2018-10-15,11.22,11.36,11.17,11.32,11.32,4059001.0,0.0,1.0,QBE
2018-10-14,11.08,11.16,10.99,11.13,11.13,4498489.0,0.0,1.0,QBE
2018-10-11,11.17,11.31,11.13,11.31,11.31,6669017.0,0.0,1.0,QBE
2018-10-10,11.38,11.48,11.25,11.36,11.36,12006682.0,0.0,1.0,QBE
2018-10-09,11.54,11.58,11.46,11.56,11.56,4466210.0,0.0,1.0,QBE
2018-10-08,11.49,11.63,11.45,11.57,11.57,4517108.0,0.0,1.0,QBE
2018-10-07,11.58,11.6,11.44,11.57,11.57,3301232.0,0.0,1.0,QBE
2018-10-05,11.35,11.66,11.35,11.63,11.63,6068118.0,0.0,1.0,QBE
2018-10-04,11.11,11.47,11.1,11.33,11.33,6678520.0,0.0,1.0,QBE
2018-10-03,10.95,11.06,10.95,11.04,11.04,2473369.0,0.0,1.0,QBE
2018-10-02,11.05,11.07,10.905,10.97,10.97,3051110.0,0.0,1.0,QBE
2018-10-01,11.03,11.07,10.99,11.07,11.07,1553358.0,0.0,1.0,QBE
2018-09-28,11.05,11.195,11.05,11.12,11.12,6681286.0,0.0,1.0,QBE
2018-09-27,11.0,11.07,10.92,10.96,10.96,4589972.0,0.0,1.0,QBE
2018-09-26,11.16,11.18,11.065,11.1,11.1,3233813.0,0.0,1.0,QBE
2018-09-25,10.97,11.15,10.95,11.09,11.09,3651256.0,0.0,1.0,QBE
2018-09-24,10.86,11.08,10.86,11.01,11.01,3566237.0,0.0,1.0,QBE
2018-09-21,11.04,11.09,10.94,10.95,10.95,5838201.0,0.0,1.0,QBE
2018-09-20,11.08,11.1,10.92,11.0,11.0,6324120.0,0.0,1.0,QBE
2018-09-19,11.06,11.18,11.05,11.14,11.14,5099056.0,0.0,1.0,QBE
2018-09-18,11.03,11.11,10.96,11.06,11.06,6071150.0,0.0,1.0,QBE
2018-09-17,10.8,11.07,10.76,11.03,11.03,3954808.0,0.0,1.0,QBE
2018-09-14,10.72,10.875,10.68,10.84,10.84,2816607.0,0.0,1.0,QBE
2018-09-13,10.83,10.83,10.66,10.73,10.73,4458023.0,0.0,1.0,QBE
2018-09-12,10.9,10.97,10.75,10.93,10.93,5435117.0,0.0,1.0,QBE
2018-09-11,10.88,10.98,10.85,10.97,10.97,3757464.0,0.0,1.0,QBE
2018-09-10,10.87,10.96,10.78,10.93,10.93,2577367.0,0.0,1.0,QBE
2018-09-07,10.86,10.97,10.85,10.95,10.95,4171624.0,0.0,1.0,QBE
2018-09-06,11.04,11.045,10.94,10.98,10.98,4607412.0,0.0,1.0,QBE
2018-09-05,10.99,11.13,10.99,11.08,11.08,6282811.0,0.0,1.0,QBE
2018-09-04,10.89,11.01,10.85,11.0,11.0,4382916.0,0.0,1.0,QBE
2018-09-03,11.0,11.02,10.9,10.97,10.97,2849853.0,0.0,1.0,QBE
2018-08-31,11.1,11.115,10.97,11.01,11.01,4846815.0,0.0,1.0,QBE
2018-08-30,11.14,11.145,10.99,11.1,11.1,5083726.0,0.0,1.0,QBE
2018-08-29,11.0,11.19,10.94,11.16,11.16,8251277.0,0.0,1.0,QBE
