date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,74.8,75.49,73.01,73.22,73.22,126615.0,0.0,1.0,REA
2018-12-12,74.68,76.17,74.68,75.45,75.45,231169.0,0.0,1.0,REA
2018-12-11,73.82,75.37,73.52,75.31,75.31,220730.0,0.0,1.0,REA
2018-12-10,73.01,73.75,71.92,73.6,73.6,216314.0,0.0,1.0,REA
2018-12-09,73.91,74.5,71.67,71.86,71.86,227823.0,0.0,1.0,REA
2018-12-06,74.94,75.545,74.31,75.24,75.24,176625.0,0.0,1.0,REA
2018-12-05,76.25,76.3,74.1,74.54,74.54,212005.0,0.0,1.0,REA
2018-12-04,75.38,76.88,74.66,76.67,76.67,284686.0,0.0,1.0,REA
2018-12-03,77.42,78.1,76.66,76.88,76.88,286643.0,0.0,1.0,REA
2018-12-02,76.93,77.49,76.67,77.36,77.36,174236.0,0.0,1.0,REA
2018-11-29,76.07,76.74,75.32,76.07,76.07,583240.0,0.0,1.0,REA
2018-11-28,76.21,78.2,76.01,76.45,76.45,214241.0,0.0,1.0,REA
2018-11-27,75.53,77.27,75.53,76.44,76.44,237448.0,0.0,1.0,REA
2018-11-26,75.85,76.15,74.78,75.0,75.0,237911.0,0.0,1.0,REA
2018-11-25,75.26,75.86,74.94,75.05,75.05,157257.0,0.0,1.0,REA
2018-11-22,76.22,76.34,75.34,75.83,75.83,118024.0,0.0,1.0,REA
2018-11-21,75.05,76.18,74.65,75.77,75.77,128807.0,0.0,1.0,REA
2018-11-20,71.88,74.92,71.31,74.75,74.75,228972.0,0.0,1.0,REA
2018-11-19,73.29,74.19,71.94,72.19,72.19,212091.0,0.0,1.0,REA
2018-11-18,74.56,74.58,73.42,74.2,74.2,314483.0,0.0,1.0,REA
2018-11-15,75.06,76.14,74.28,74.82,74.82,195926.0,0.0,1.0,REA
2018-11-14,76.91,76.96,75.33,75.81,75.81,208377.0,0.0,1.0,REA
2018-11-13,76.23,76.7,75.3,75.54,75.54,246451.0,0.0,1.0,REA
2018-11-12,76.97,77.41,75.62,75.95,75.95,262328.0,0.0,1.0,REA
2018-11-11,80.0,80.38,78.09,78.56,78.56,395918.0,0.0,1.0,REA
2018-11-08,79.4,81.65,78.4,80.5,80.5,586492.0,0.0,1.0,REA
2018-11-07,80.58,82.34,76.28,78.41,78.41,927091.0,0.0,1.0,REA
2018-11-06,71.63,72.96,70.9,72.61,72.61,293102.0,0.0,1.0,REA
2018-11-05,71.42,72.46,71.42,72.43,72.43,142525.0,0.0,1.0,REA
2018-11-04,73.99,74.21,71.55,71.85,71.85,237714.0,0.0,1.0,REA
2018-11-01,72.5,74.3,71.84,74.04,74.04,374024.0,0.0,1.0,REA
2018-10-31,72.0,72.55,71.69,71.9,71.9,332339.0,0.0,1.0,REA
2018-10-30,72.0,72.56,70.7,71.62,71.62,225480.0,0.0,1.0,REA
2018-10-29,73.45,73.48,71.19,71.99,71.99,390560.0,0.0,1.0,REA
2018-10-28,72.4,72.48,71.25,71.99,71.99,344966.0,0.0,1.0,REA
2018-10-25,70.67,72.29,70.28,71.58,71.58,389660.0,0.0,1.0,REA
2018-10-24,70.0,70.41,69.32,70.0,70.0,405244.0,0.0,1.0,REA
2018-10-23,72.54,73.83,70.55,70.78,70.78,373554.0,0.0,1.0,REA
2018-10-22,71.9,72.57,71.29,71.9,71.9,437381.0,0.0,1.0,REA
2018-10-21,71.51,72.38,70.4,71.82,71.82,464618.0,0.0,1.0,REA
2018-10-18,73.25,73.25,71.6,71.79,71.79,228978.0,0.0,1.0,REA
2018-10-17,75.38,75.38,73.74,74.24,74.24,283956.0,0.0,1.0,REA
2018-10-16,74.58,75.1,73.57,74.82,74.82,371227.0,0.0,1.0,REA
2018-10-15,72.11,74.41,72.01,74.15,74.15,399314.0,0.0,1.0,REA
2018-10-14,73.98,74.49,72.27,72.35,72.35,617212.0,0.0,1.0,REA
2018-10-11,74.99,77.53,73.5,75.5,75.5,602761.0,0.0,1.0,REA
2018-10-10,78.01,78.23,76.69,77.52,77.52,352748.0,0.0,1.0,REA
2018-10-09,79.77,80.91,79.76,80.43,80.43,238978.0,0.0,1.0,REA
2018-10-08,79.5,79.79,78.62,79.55,79.55,330420.0,0.0,1.0,REA
2018-10-07,80.76,80.94,79.56,79.79,79.79,317429.0,0.0,1.0,REA
2018-10-05,82.12,82.62,80.84,81.02,81.02,548522.0,0.0,1.0,REA
2018-10-04,84.0,84.23,82.64,82.7,82.7,237772.0,0.0,1.0,REA
2018-10-03,84.23,84.53,82.8,83.97,83.97,199483.0,0.0,1.0,REA
2018-10-02,86.24,86.24,84.29,84.39,84.39,272359.0,0.0,1.0,REA
2018-10-01,85.8,86.07,85.03,85.26,85.26,86262.0,0.0,1.0,REA
2018-09-28,86.44,87.52,85.49,85.93,85.93,250103.0,0.0,1.0,REA
2018-09-27,85.9,86.91,85.29,86.73,86.73,212273.0,0.0,1.0,REA
2018-09-26,85.63,86.93,85.06,86.16,86.16,183637.0,0.0,1.0,REA
2018-09-25,85.5,86.04,85.29,85.93,85.93,141356.0,0.0,1.0,REA
2018-09-24,84.73,86.62,84.3,85.92,85.92,139619.0,0.0,1.0,REA
2018-09-21,85.54,86.31,84.01,86.06,86.06,400521.0,0.0,1.0,REA
2018-09-20,84.07,84.54,82.86,84.18,84.18,547816.0,0.0,1.0,REA
2018-09-19,83.7,84.39,83.23,84.05,84.05,323249.0,0.0,1.0,REA
2018-09-18,83.43,84.35,83.05,83.24,83.24,183884.0,0.0,1.0,REA
2018-09-17,84.19,84.25,83.16,83.96,83.96,121660.0,0.0,1.0,REA
2018-09-14,84.48,84.83,84.14,84.25,84.25,177174.0,0.0,1.0,REA
2018-09-13,86.33,86.41,83.83,83.95,83.95,229214.0,0.0,1.0,REA
2018-09-12,85.63,87.28,85.59,86.4,86.4,189019.0,0.0,1.0,REA
2018-09-11,85.87,86.28,84.97,85.97,85.97,223825.0,0.0,1.0,REA
2018-09-10,86.5,87.01,84.395,84.95,84.95,251599.0,0.0,1.0,REA
2018-09-07,86.48,87.56,86.1,87.41,87.41,253400.0,0.0,1.0,REA
2018-09-06,89.54,89.76,86.65,87.0,87.0,343475.0,0.0,1.0,REA
2018-09-05,90.46,91.16,90.08,90.16,90.16,282136.0,0.0,1.0,REA
2018-09-04,91.0,91.41,89.5,90.3,90.3,224953.0,0.0,1.0,REA
2018-09-03,91.03,91.94,90.99,91.6,91.6,231310.0,0.0,1.0,REA
2018-08-31,90.5,91.31,90.01,91.13,91.13,249043.0,0.0,1.0,REA
2018-08-30,89.82,91.09,89.5,90.61,90.61,181731.0,0.0,1.0,REA
2018-08-29,89.49,90.43,89.28,89.88,89.88,274298.0,0.0,1.0,REA
2018-08-28,89.99,89.99,88.96,89.37,89.37,183052.0,0.0,1.0,REA
2018-08-27,87.13,89.67,87.1,89.52,89.52,249001.0,0.0,1.0,REA
2018-08-24,88.78,89.2,87.62,87.7,87.7,245363.0,0.0,1.0,REA
2018-08-23,89.25,89.99,88.0,88.39,88.39,307115.0,0.0,1.0,REA
2018-08-22,88.83,90.76,88.02,89.13,89.13,349097.0,0.0,1.0,REA
2018-08-21,89.4,91.96,88.25,89.69,89.69,526973.0,0.0,1.0,REA
2018-08-20,92.95,94.12,92.005,93.35,92.73,418586.0,0.0,1.0,REA
2018-08-17,91.0,93.18,90.06,92.95,92.3326,431543.0,0.0,1.0,REA
2018-08-16,89.19,90.39,88.655,90.32,89.7201,450259.0,0.0,1.0,REA
2018-08-15,87.5,90.23,87.33,90.0,89.4022,391706.0,0.0,1.0,REA
2018-08-14,87.5,88.29,86.87,87.7,87.1175,437829.0,0.0,1.0,REA
2018-08-13,86.0,88.17,86.0,87.68,87.0977,483968.0,0.0,1.0,REA
2018-08-10,81.9,85.48,80.87,85.3,84.7335,750163.0,0.0,1.0,REA
2018-08-09,81.38,82.65,81.07,82.31,81.7633,445226.0,0.0,1.0,REA
2018-08-08,80.5,82.4,80.5,81.36,80.8196,502620.0,0.0,1.0,REA
2018-08-07,82.42,83.22,81.08,81.08,80.5415,537661.0,0.0,1.0,REA
2018-08-06,83.5,83.91,82.6,82.6,82.0514,315862.0,0.0,1.0,REA
2018-08-03,84.5,85.97,83.59,83.59,83.0348,385847.0,0.0,1.0,REA
2018-08-02,85.48,85.81,84.51,84.51,83.9487,301705.0,0.0,1.0,REA
2018-08-01,86.78,87.61,85.66,85.91,85.3394,263441.0,0.0,1.0,REA
2018-07-31,88.5,88.51,86.32,86.8,86.2235,321784.0,0.0,1.0,REA
2018-07-30,88.1,88.86,87.74,88.86,88.2698,179587.0,0.0,1.0,REA
2018-07-27,88.57,90.02,88.54,89.45,88.8559,358439.0,0.0,1.0,REA
2018-07-26,87.51,88.19,86.89,87.15,86.5712,210407.0,0.0,1.0,REA
2018-07-25,89.48,89.48,87.79,88.0,87.4155,163169.0,0.0,1.0,REA
2018-07-24,89.6,89.71,89.06,89.15,88.5579,94742.0,0.0,1.0,REA
2018-07-23,89.3,89.63,88.85,89.14,88.548,186924.0,0.0,1.0,REA
2018-07-20,90.36,90.97,88.88,89.5,88.9056,242542.0,0.0,1.0,REA
2018-07-19,89.99,90.39,89.5,89.87,89.2731,199274.0,0.0,1.0,REA
2018-07-18,89.12,90.83,89.12,89.49,88.8956,321311.0,0.0,1.0,REA
2018-07-17,89.16,89.8,88.26,88.52,87.9321,212760.0,0.0,1.0,REA
2018-07-16,89.62,90.25,89.03,89.07,88.4784,125451.0,0.0,1.0,REA
2018-07-13,90.0,91.14,89.31,89.62,89.0248,255819.0,0.0,1.0,REA
2018-07-12,89.51,90.29,88.77,89.73,89.134,222930.0,0.0,1.0,REA
2018-07-11,89.2,89.68,88.09,88.51,87.9222,225060.0,0.0,1.0,REA
