date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.68,2.73,2.62,2.73,2.73,337589.0,0.0,1.0,REG
2018-12-12,2.63,2.69,2.53,2.69,2.69,554360.0,0.0,1.0,REG
2018-12-11,2.51,2.6,2.46,2.6,2.6,536763.0,0.0,1.0,REG
2018-12-10,2.53,2.59,2.49,2.51,2.51,522965.0,0.0,1.0,REG
2018-12-09,2.5,2.57,2.46,2.51,2.51,570867.0,0.0,1.0,REG
2018-12-06,2.56,2.625,2.48,2.51,2.51,538768.0,0.0,1.0,REG
2018-12-05,2.59,2.61,2.545,2.55,2.55,270161.0,0.0,1.0,REG
2018-12-04,2.71,2.73,2.62,2.62,2.62,309935.0,0.0,1.0,REG
2018-12-03,2.71,2.74,2.7,2.71,2.71,240814.0,0.0,1.0,REG
2018-12-02,2.75,2.77,2.7,2.7,2.7,433598.0,0.0,1.0,REG
2018-11-29,2.63,2.75,2.59,2.75,2.75,676904.0,0.0,1.0,REG
2018-11-28,2.59,2.67,2.55,2.62,2.62,286939.0,0.0,1.0,REG
2018-11-27,2.54,2.59,2.48,2.58,2.58,1775985.0,0.0,1.0,REG
2018-11-26,2.49,2.59,2.47,2.54,2.54,240110.0,0.0,1.0,REG
2018-11-25,2.52,2.52,2.44,2.45,2.45,93409.0,0.0,1.0,REG
2018-11-22,2.4,2.49,2.4,2.49,2.49,1737336.0,0.0,1.0,REG
2018-11-21,2.4,2.47,2.37,2.44,2.44,177700.0,0.0,1.0,REG
2018-11-20,2.41,2.44,2.32,2.36,2.36,673484.0,0.0,1.0,REG
2018-11-19,2.49,2.49,2.4,2.43,2.43,207212.0,0.0,1.0,REG
2018-11-18,2.51,2.54,2.48,2.48,2.48,231782.0,0.0,1.0,REG
2018-11-15,2.46,2.545,2.46,2.52,2.52,287903.0,0.0,1.0,REG
2018-11-14,2.55,2.61,2.46,2.48,2.48,310595.0,0.0,1.0,REG
2018-11-13,2.6,2.62,2.53,2.53,2.53,243929.0,0.0,1.0,REG
2018-11-12,2.62,2.67,2.57,2.6,2.6,198086.0,0.0,1.0,REG
2018-11-11,2.7,2.7,2.605,2.64,2.64,321576.0,0.0,1.0,REG
2018-11-08,2.56,2.71,2.56,2.7,2.7,319592.0,0.0,1.0,REG
2018-11-07,2.49,2.57,2.45,2.54,2.54,516204.0,0.0,1.0,REG
2018-11-06,2.45,2.52,2.43,2.47,2.47,477069.0,0.0,1.0,REG
2018-11-05,2.55,2.55,2.43,2.48,2.48,2671513.0,0.0,1.0,REG
2018-11-04,2.52,2.55,2.47,2.5,2.5,666436.0,0.0,1.0,REG
2018-11-01,2.5,2.53,2.45,2.47,2.47,612781.0,0.0,1.0,REG
2018-10-31,2.43,2.46,2.41,2.46,2.46,955369.0,0.0,1.0,REG
2018-10-30,2.45,2.5,2.39,2.4,2.4,583317.0,0.0,1.0,REG
2018-10-29,2.33,2.44,2.31,2.42,2.42,1449456.0,0.0,1.0,REG
2018-10-28,2.45,2.45,2.35,2.38,2.38,554315.0,0.0,1.0,REG
2018-10-25,2.46,2.47,2.36,2.4,2.4,1109036.0,0.0,1.0,REG
2018-10-24,2.45,2.495,2.43,2.47,2.47,836834.0,0.0,1.0,REG
2018-10-23,2.6,2.6,2.51,2.52,2.52,258995.0,0.0,1.0,REG
2018-10-22,2.62,2.63,2.54,2.56,2.56,503665.0,0.0,1.0,REG
2018-10-21,2.61,2.63,2.6,2.62,2.62,161519.0,0.0,1.0,REG
2018-10-18,2.62,2.63,2.58,2.61,2.61,441124.0,0.0,1.0,REG
2018-10-17,2.64,2.67,2.61,2.64,2.64,298898.0,0.0,1.0,REG
2018-10-16,2.58,2.65,2.57,2.64,2.64,514129.0,0.0,1.0,REG
2018-10-15,2.66,2.66,2.53,2.53,2.53,1017756.0,0.0,1.0,REG
2018-10-14,2.77,2.77,2.635,2.64,2.64,539915.0,0.0,1.0,REG
2018-10-11,2.72,2.78,2.67,2.71,2.71,1002458.0,0.0,1.0,REG
2018-10-10,2.75,2.785,2.71,2.73,2.73,554656.0,0.0,1.0,REG
2018-10-09,2.81,2.82,2.78,2.78,2.78,1093736.0,0.0,1.0,REG
2018-10-08,2.82,2.82,2.75,2.8,2.8,1003024.0,0.0,1.0,REG
2018-10-07,2.83,2.83,2.77,2.8,2.8,273245.0,0.0,1.0,REG
2018-10-05,2.85,2.85,2.79,2.82,2.82,386950.0,0.0,1.0,REG
2018-10-04,2.85,2.865,2.81,2.85,2.85,584923.0,0.0,1.0,REG
2018-10-03,2.89,2.895,2.82,2.87,2.87,325662.0,0.0,1.0,REG
2018-10-02,2.82,2.89,2.79,2.87,2.87,503640.0,0.0,1.0,REG
2018-10-01,2.91,2.91,2.81,2.85,2.85,255653.0,0.0,1.0,REG
2018-09-28,2.91,2.93,2.89,2.89,2.89,429482.0,0.0,1.0,REG
2018-09-27,2.93,2.94,2.9,2.92,2.92,593123.0,0.0,1.0,REG
