date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,54.81,55.45,54.09,54.43,54.43,298193.0,0.0,1.0,RHC
2018-12-12,54.77,54.89,54.17,54.39,54.39,252110.0,0.0,1.0,RHC
2018-12-11,53.1,54.23,52.71,54.15,54.15,366231.0,0.0,1.0,RHC
2018-12-10,53.58,54.26,53.13,53.33,53.33,302581.0,0.0,1.0,RHC
2018-12-09,55.03,55.31,53.23,53.45,53.45,384513.0,0.0,1.0,RHC
2018-12-06,55.85,56.69,55.49,55.74,55.74,300241.0,0.0,1.0,RHC
2018-12-05,55.51,55.9,55.2,55.67,55.67,253069.0,0.0,1.0,RHC
2018-12-04,54.75,56.03,54.56,55.89,55.89,297892.0,0.0,1.0,RHC
2018-12-03,54.7,56.0,54.62,55.64,55.64,365654.0,0.0,1.0,RHC
2018-12-02,55.2,55.37,54.51,54.76,54.76,237593.0,0.0,1.0,RHC
2018-11-29,55.56,55.9,54.22,54.22,54.22,438482.0,0.0,1.0,RHC
2018-11-28,54.3,56.2,54.3,55.56,55.56,413804.0,0.0,1.0,RHC
2018-11-27,54.76,54.89,53.68,54.15,54.15,248202.0,0.0,1.0,RHC
2018-11-26,54.94,55.35,54.01,54.32,54.32,303913.0,0.0,1.0,RHC
2018-11-25,54.91,55.63,54.465,54.82,54.82,312254.0,0.0,1.0,RHC
2018-11-22,55.0,55.85,54.75,55.63,55.63,390220.0,0.0,1.0,RHC
2018-11-21,54.31,55.05,54.18,54.96,54.96,202219.0,0.0,1.0,RHC
2018-11-20,53.05,54.62,53.05,54.31,54.31,349546.0,0.0,1.0,RHC
2018-11-19,54.11,54.2,53.135,53.86,53.86,396120.0,0.0,1.0,RHC
2018-11-18,54.46,54.88,53.835,54.33,54.33,280684.0,0.0,1.0,RHC
2018-11-15,55.0,55.33,54.15,54.59,54.59,313953.0,0.0,1.0,RHC
2018-11-14,56.06,56.39,54.81,55.44,55.44,474659.0,0.0,1.0,RHC
2018-11-13,55.92,56.87,55.38,55.44,55.44,508677.0,0.0,1.0,RHC
2018-11-12,56.4,57.13,55.37,55.48,55.48,564539.0,0.0,1.0,RHC
2018-11-11,56.07,57.45,56.07,57.09,57.09,309001.0,0.0,1.0,RHC
2018-11-08,56.5,57.04,56.295,56.68,56.68,292351.0,0.0,1.0,RHC
2018-11-07,56.99,57.24,56.65,56.72,56.72,640578.0,0.0,1.0,RHC
2018-11-06,55.87,56.95,55.87,56.78,56.78,362087.0,0.0,1.0,RHC
2018-11-05,55.7,56.47,55.51,56.03,56.03,207348.0,0.0,1.0,RHC
2018-11-04,55.7,56.29,55.31,55.82,55.82,234872.0,0.0,1.0,RHC
2018-11-01,55.01,56.5,54.67,56.32,56.32,437581.0,0.0,1.0,RHC
2018-10-31,55.42,56.15,55.16,55.51,55.51,409552.0,0.0,1.0,RHC
2018-10-30,56.0,56.48,55.9,56.22,56.22,426561.0,0.0,1.0,RHC
2018-10-29,54.36,55.96,54.36,55.88,55.88,240758.0,0.0,1.0,RHC
2018-10-28,54.01,55.02,54.01,54.69,54.69,252649.0,0.0,1.0,RHC
2018-10-25,54.77,54.9,53.27,54.0,54.0,475173.0,0.0,1.0,RHC
2018-10-24,55.15,55.43,54.44,54.77,54.77,710541.0,0.0,1.0,RHC
2018-10-23,54.95,56.535,54.85,55.74,55.74,633658.0,0.0,1.0,RHC
2018-10-22,54.31,55.12,54.31,54.78,54.78,439621.0,0.0,1.0,RHC
2018-10-21,54.0,54.15,53.3,53.93,53.93,224308.0,0.0,1.0,RHC
2018-10-18,53.71,54.33,53.3,54.06,54.06,242921.0,0.0,1.0,RHC
2018-10-17,54.32,54.74,53.9,54.13,54.13,300209.0,0.0,1.0,RHC
2018-10-16,52.49,54.37,52.33,54.18,54.18,392941.0,0.0,1.0,RHC
2018-10-15,52.14,52.485,51.89,52.31,52.31,958386.0,0.0,1.0,RHC
2018-10-14,52.61,52.9,52.07,52.25,52.25,372433.0,0.0,1.0,RHC
2018-10-11,53.08,53.2,52.12,52.92,52.92,712413.0,0.0,1.0,RHC
2018-10-10,53.81,54.71,53.35,53.62,53.62,656507.0,0.0,1.0,RHC
2018-10-09,54.1,54.73,53.86,54.33,54.33,340605.0,0.0,1.0,RHC
2018-10-08,54.85,55.03,53.85,54.17,54.17,444650.0,0.0,1.0,RHC
2018-10-07,55.69,55.98,55.49,55.72,55.72,201278.0,0.0,1.0,RHC
2018-10-05,55.4,55.98,55.35,55.72,55.72,239566.0,0.0,1.0,RHC
2018-10-04,55.4,55.92,55.04,55.76,55.76,403063.0,0.0,1.0,RHC
2018-10-03,54.1,55.67,54.1,55.47,55.47,295789.0,0.0,1.0,RHC
2018-10-02,55.1,55.34,54.02,54.4,54.4,486912.0,0.0,1.0,RHC
2018-10-01,54.87,55.49,54.76,55.09,55.09,146101.0,0.0,1.0,RHC
2018-09-28,54.96,55.19,54.68,54.93,54.93,529187.0,0.0,1.0,RHC
2018-09-27,54.82,55.28,54.61,54.69,54.69,521381.0,0.0,1.0,RHC
2018-09-26,55.34,55.68,54.98,55.44,55.44,353172.0,0.0,1.0,RHC
2018-09-25,54.81,55.51,54.74,55.48,55.48,241675.0,0.0,1.0,RHC
2018-09-24,54.38,55.31,54.38,54.99,54.99,386281.0,0.0,1.0,RHC
2018-09-21,54.7,55.31,54.37,54.82,54.82,483173.0,0.0,1.0,RHC
2018-09-20,54.49,54.85,54.19,54.77,54.77,549975.0,0.0,1.0,RHC
2018-09-19,54.66,55.36,54.51,55.15,55.15,308215.0,0.0,1.0,RHC
2018-09-18,55.33,55.49,54.61,54.75,54.75,406680.0,0.0,1.0,RHC
2018-09-17,54.81,55.55,54.73,55.33,55.33,291304.0,0.0,1.0,RHC
2018-09-14,54.67,55.545,54.54,54.98,54.98,919475.0,0.0,1.0,RHC
2018-09-13,54.51,54.89,54.22,54.49,54.49,263426.0,0.0,1.0,RHC
2018-09-12,54.8,55.12,54.17,54.81,54.81,394701.0,0.0,1.0,RHC
2018-09-11,54.4,55.335,54.3,55.09,55.09,393128.0,0.0,1.0,RHC
2018-09-10,54.62,54.96,54.19,54.43,54.43,328440.0,0.0,1.0,RHC
2018-09-07,54.0,54.72,53.68,54.56,54.56,330633.0,0.0,1.0,RHC
2018-09-06,54.8,54.81,54.04,54.26,54.26,465979.0,0.0,1.0,RHC
2018-09-05,55.2,55.67,54.66,54.9,54.9,474057.0,0.0,1.0,RHC
2018-09-04,56.32,56.8,55.7,56.15,55.285,405928.0,0.0,1.0,RHC
2018-09-03,55.89,57.28,55.79,56.29,55.4228,620055.0,0.0,1.0,RHC
2018-08-31,54.4,56.18,53.63,55.7,54.8419,993676.0,0.0,1.0,RHC
2018-08-30,56.6,58.1,53.6,54.48,53.6407,1635102.0,0.0,1.0,RHC
2018-08-29,57.05,58.16,56.73,58.16,57.264,652236.0,0.0,1.0,RHC
2018-08-28,57.06,57.68,56.63,56.98,56.1022,318551.0,0.0,1.0,RHC
2018-08-27,57.07,57.33,56.73,57.04,56.1613,457279.0,0.0,1.0,RHC
2018-08-24,57.72,57.8,56.59,57.0,56.1219,565960.0,0.0,1.0,RHC
2018-08-23,56.5,57.85,56.5,57.72,56.8308,344125.0,0.0,1.0,RHC
2018-08-22,56.7,56.9,56.32,56.48,55.6099,359353.0,0.0,1.0,RHC
2018-08-21,56.01,56.95,55.78,56.93,56.053,590934.0,0.0,1.0,RHC
2018-08-20,56.0,56.47,55.62,55.93,55.0684,263187.0,0.0,1.0,RHC
2018-08-17,55.36,56.05,55.24,55.51,54.6549,268962.0,0.0,1.0,RHC
2018-08-16,55.1,55.64,54.74,55.55,54.6942,307369.0,0.0,1.0,RHC
2018-08-15,54.52,55.0,54.31,54.99,54.1429,292737.0,0.0,1.0,RHC
2018-08-14,54.01,55.06,54.01,54.44,53.6013,446926.0,0.0,1.0,RHC
2018-08-13,54.8,54.8,53.56,53.76,52.9318,325476.0,0.0,1.0,RHC
2018-08-10,54.92,55.68,54.58,54.8,53.9558,322473.0,0.0,1.0,RHC
2018-08-09,53.39,55.04,53.35,54.92,54.0739,397283.0,0.0,1.0,RHC
2018-08-08,54.5,54.87,53.27,53.41,52.5872,698393.0,0.0,1.0,RHC
2018-08-07,56.45,56.5,54.54,54.65,53.8081,569681.0,0.0,1.0,RHC
2018-08-06,57.0,57.8,56.73,57.03,56.1514,254494.0,0.0,1.0,RHC
2018-08-03,57.6,57.98,56.52,56.58,55.7084,356206.0,0.0,1.0,RHC
2018-08-02,56.72,57.7,56.33,57.36,56.4764,590069.0,0.0,1.0,RHC
2018-08-01,56.66,56.95,56.31,56.51,55.6394,270227.0,0.0,1.0,RHC
2018-07-31,56.3,56.88,56.06,56.24,55.3736,401608.0,0.0,1.0,RHC
2018-07-30,56.89,56.89,56.32,56.46,55.5902,302802.0,0.0,1.0,RHC
2018-07-27,56.55,57.18,56.5,56.89,56.0136,302339.0,0.0,1.0,RHC
2018-07-26,56.8,56.92,56.31,56.54,55.669,315253.0,0.0,1.0,RHC
2018-07-25,57.0,57.22,56.3,56.52,55.6493,377395.0,0.0,1.0,RHC
2018-07-24,57.01,57.82,56.82,57.22,56.3385,343445.0,0.0,1.0,RHC
2018-07-23,56.98,57.17,56.2,56.78,55.9053,514336.0,0.0,1.0,RHC
2018-07-20,55.6,56.94,55.5,56.94,56.0628,504796.0,0.0,1.0,RHC
2018-07-19,55.72,55.75,54.81,55.43,54.5761,448919.0,0.0,1.0,RHC
2018-07-18,54.92,56.26,54.76,55.84,54.9798,600847.0,0.0,1.0,RHC
2018-07-17,54.76,55.28,54.31,54.55,53.7096,351006.0,0.0,1.0,RHC
2018-07-16,54.33,55.36,53.25,55.09,54.2413,642185.0,0.0,1.0,RHC
2018-07-13,54.3,54.9,54.18,54.62,53.7786,339399.0,0.0,1.0,RHC
2018-07-12,53.9,54.75,53.86,54.1,53.2666,468000.0,0.0,1.0,RHC
2018-07-11,53.9,54.57,53.86,54.06,53.2272,396110.0,0.0,1.0,RHC
2018-07-10,54.2,54.49,53.75,53.92,53.0894,334331.0,0.0,1.0,RHC
2018-07-09,54.49,54.5,53.7,54.03,53.1977,432072.0,0.0,1.0,RHC
2018-07-06,53.7,54.47,53.56,54.47,53.6309,466122.0,0.0,1.0,RHC
2018-07-05,53.5,53.61,53.01,53.56,52.7349,499401.0,0.0,1.0,RHC
2018-07-04,53.54,53.79,53.05,53.42,52.5971,424335.0,0.0,1.0,RHC
2018-07-03,53.2,54.13,53.05,53.83,53.0007,388046.0,0.0,1.0,RHC
2018-07-02,53.65,53.7,53.02,53.23,52.41,612605.0,0.0,1.0,RHC
2018-06-29,53.8,53.98,53.5,53.98,53.1484,751512.0,0.0,1.0,RHC
2018-06-28,53.7,54.0,53.45,53.78,52.9515,725782.0,0.0,1.0,RHC
2018-06-27,53.47,54.88,53.4,54.0,53.1681,1459734.0,0.0,1.0,RHC
2018-06-26,54.27,54.78,53.41,53.52,52.6955,1233246.0,0.0,1.0,RHC
2018-06-25,55.63,55.92,54.36,54.62,53.7786,1626830.0,0.0,1.0,RHC
2018-06-22,57.01,57.3,55.63,56.11,55.2456,1889227.0,0.0,1.0,RHC
2018-06-21,57.0,58.08,54.35,57.49,56.6044,3891916.0,0.0,1.0,RHC
2018-06-20,61.73,62.29,61.22,62.17,61.2123,686233.0,0.0,1.0,RHC
2018-06-19,61.04,61.49,60.67,61.1,60.1587,789791.0,0.0,1.0,RHC
2018-06-18,59.0,60.32,59.0,60.23,59.3021,629703.0,0.0,1.0,RHC
2018-06-15,58.0,59.1,57.93,58.94,58.032,789727.0,0.0,1.0,RHC
2018-06-14,58.4,58.4,57.12,57.78,56.8899,457881.0,0.0,1.0,RHC
2018-06-13,58.15,58.48,57.73,58.48,57.5791,570332.0,0.0,1.0,RHC
2018-06-12,56.74,58.38,56.72,58.18,57.2837,615648.0,0.0,1.0,RHC
2018-06-08,57.6,57.62,56.45,56.66,55.7871,459014.0,0.0,1.0,RHC
2018-06-07,57.1,57.79,56.87,57.66,56.7717,690734.0,0.0,1.0,RHC
2018-06-06,58.13,58.81,56.95,57.1,56.2204,1115373.0,0.0,1.0,RHC
2018-06-05,59.28,59.34,57.45,58.1,57.205,974108.0,0.0,1.0,RHC
2018-06-04,61.11,61.19,59.8,59.9,58.9772,568058.0,0.0,1.0,RHC
2018-06-01,61.3,61.6,61.14,61.24,60.2966,324282.0,0.0,1.0,RHC
2018-05-31,61.36,61.81,61.1,61.33,60.3852,475840.0,0.0,1.0,RHC
2018-05-30,61.4,61.51,61.06,61.19,60.2474,1060610.0,0.0,1.0,RHC
2018-05-29,61.1,61.7,61.03,61.6,60.651,535195.0,0.0,1.0,RHC
2018-05-28,61.41,61.74,61.05,61.29,60.3458,499263.0,0.0,1.0,RHC
2018-05-25,61.78,61.83,61.24,61.5,60.5526,479426.0,0.0,1.0,RHC
2018-05-24,62.5,63.13,61.8,61.9,60.9464,424802.0,0.0,1.0,RHC
2018-05-23,62.95,63.24,62.54,62.66,61.6947,251771.0,0.0,1.0,RHC
2018-05-22,63.01,63.2,62.7,62.92,61.9507,295054.0,0.0,1.0,RHC
2018-05-21,63.75,64.2,63.71,63.75,62.7679,241914.0,0.0,1.0,RHC
2018-05-18,63.99,64.03,63.48,63.81,62.827,322557.0,0.0,1.0,RHC
2018-05-17,63.93,63.98,63.105,63.37,62.3938,398886.0,0.0,1.0,RHC
2018-05-16,65.52,65.76,64.0,64.0,63.0141,428020.0,0.0,1.0,RHC
2018-05-15,65.75,65.88,64.9,65.23,64.2251,409897.0,0.0,1.0,RHC
2018-05-14,64.58,65.7,64.51,65.58,64.5697,306136.0,0.0,1.0,RHC
2018-05-11,64.74,64.98,64.12,64.37,63.3784,310033.0,0.0,1.0,RHC
2018-05-10,65.88,66.1,64.45,64.55,63.5556,521200.0,0.0,1.0,RHC
2018-05-09,64.95,65.36,64.6,65.33,64.3236,335104.0,0.0,1.0,RHC
2018-05-08,65.3,65.95,64.81,64.86,63.8608,406301.0,0.0,1.0,RHC
2018-05-07,65.33,65.42,64.75,64.99,63.9888,270631.0,0.0,1.0,RHC
2018-05-04,64.86,65.2,64.33,64.96,63.9593,403011.0,0.0,1.0,RHC
2018-05-03,63.55,64.62,63.12,64.55,63.5556,685583.0,0.0,1.0,RHC
2018-05-02,62.01,63.26,62.0,62.44,61.4781,528611.0,0.0,1.0,RHC
2018-05-01,64.5,64.5,61.55,61.78,60.8283,993929.0,0.0,1.0,RHC
2018-04-30,64.57,65.07,64.4,64.69,63.6934,395581.0,0.0,1.0,RHC
2018-04-27,64.49,65.14,64.33,64.57,63.5753,286679.0,0.0,1.0,RHC
2018-04-26,63.5,64.34,63.2,64.16,63.1716,743735.0,0.0,1.0,RHC
2018-04-24,63.01,63.61,62.84,63.34,62.3642,314869.0,0.0,1.0,RHC
2018-04-23,63.5,63.5,62.62,62.7,61.7341,232266.0,0.0,1.0,RHC
2018-04-20,63.54,64.17,63.26,63.47,62.4922,220375.0,0.0,1.0,RHC
2018-04-19,64.19,64.2,63.5,63.55,62.571,464945.0,0.0,1.0,RHC
2018-04-18,63.6,64.05,63.41,64.05,63.0633,418237.0,0.0,1.0,RHC
2018-04-17,62.7,63.5,62.7,63.35,62.3741,249435.0,0.0,1.0,RHC
2018-04-16,62.77,62.96,62.52,62.87,61.9015,222271.0,0.0,1.0,RHC
2018-04-13,61.85,62.84,61.74,62.7,61.7341,279098.0,0.0,1.0,RHC
2018-04-12,62.2,62.49,61.56,61.74,60.7889,431464.0,0.0,1.0,RHC
2018-04-11,63.03,63.21,62.43,62.52,61.5569,593105.0,0.0,1.0,RHC
2018-04-10,63.27,63.34,62.77,63.3,62.3249,291450.0,0.0,1.0,RHC
2018-04-09,62.04,63.65,62.0,63.28,62.3052,374804.0,0.0,1.0,RHC
2018-04-06,61.9,62.3,61.67,61.86,60.907,219496.0,0.0,1.0,RHC
2018-04-05,61.5,62.11,61.31,61.84,60.8873,380226.0,0.0,1.0,RHC
2018-04-04,61.93,62.11,61.22,61.47,60.523,523121.0,0.0,1.0,RHC
2018-04-03,62.0,62.35,61.95,62.13,61.1729,332169.0,0.0,1.0,RHC
2018-03-28,62.79,62.87,62.19,62.32,61.3599,441748.0,0.0,1.0,RHC
2018-03-27,63.0,63.17,62.23,62.61,61.6455,414905.0,0.0,1.0,RHC
2018-03-26,63.23,63.6,62.81,63.55,62.571,423151.0,0.0,1.0,RHC
2018-03-25,62.0,63.23,61.65,63.05,62.0787,477588.0,0.0,1.0,RHC
2018-03-22,62.08,62.54,62.0,62.18,61.2221,298353.0,0.0,1.0,RHC
2018-03-21,62.74,63.06,62.22,62.73,61.7636,297460.0,0.0,1.0,RHC
2018-03-20,63.61,63.84,62.69,63.14,62.1673,234459.0,0.0,1.0,RHC
2018-03-19,62.93,63.72,62.91,63.68,62.699,305777.0,0.0,1.0,RHC
2018-03-18,63.17,63.49,62.43,62.93,61.9606,286289.0,0.0,1.0,RHC
2018-03-15,63.29,63.35,62.16,63.0,62.0295,559272.0,0.0,1.0,RHC
2018-03-14,62.24,63.42,62.23,63.32,62.3445,447529.0,0.0,1.0,RHC
2018-03-13,62.97,63.12,62.58,62.85,61.8818,374673.0,0.0,1.0,RHC
2018-03-12,63.78,63.78,62.88,63.48,62.5021,442844.0,0.0,1.0,RHC
2018-03-11,64.52,64.6,63.82,63.83,62.8467,236426.0,0.0,1.0,RHC
2018-03-08,63.14,64.13,63.0,64.11,63.1224,370273.0,0.0,1.0,RHC
2018-03-07,62.38,63.24,62.3,63.16,62.187,307584.0,0.0,1.0,RHC
2018-03-06,62.57,62.64,61.8,62.0,61.0449,465119.0,0.0,1.0,RHC
2018-03-05,63.0,63.5,62.67,62.82,61.8522,749346.0,0.0,1.0,RHC
2018-03-04,62.75,63.46,62.53,63.01,61.4732,482315.0,0.0,1.0,RHC
2018-03-01,62.88,62.93,62.04,62.62,61.0927,641186.0,0.0,1.0,RHC
2018-02-28,63.5,63.65,62.51,63.03,61.4927,1137640.0,0.0,1.0,RHC
2018-02-27,63.98,65.47,62.61,63.9,62.3415,1870870.0,0.0,1.0,RHC
2018-02-26,67.55,68.4,67.37,67.8,66.1464,569078.0,0.0,1.0,RHC
