date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.33,1.345,1.31,1.31,1.31,28710.0,0.0,1.0,RIC
2018-12-12,1.36,1.36,1.312,1.345,1.345,72686.0,0.0,1.0,RIC
2018-12-11,1.355,1.38,1.32,1.32,1.32,48776.0,0.0,1.0,RIC
2018-12-10,1.35,1.37,1.35,1.35,1.35,102869.0,0.0,1.0,RIC
2018-12-09,1.38,1.38,1.35,1.38,1.38,124481.0,0.0,1.0,RIC
2018-12-06,1.415,1.42,1.37,1.37,1.37,58301.0,0.0,1.0,RIC
2018-12-05,1.41,1.4225,1.39,1.415,1.415,79836.0,0.0,1.0,RIC
2018-12-04,1.43,1.44,1.39,1.41,1.41,118988.0,0.0,1.0,RIC
2018-12-03,1.4,1.44,1.395,1.44,1.44,242337.0,0.0,1.0,RIC
2018-12-02,1.39,1.415,1.385,1.4,1.4,1434665.0,0.0,1.0,RIC
2018-11-29,1.44,1.44,1.37,1.39,1.39,259292.0,0.0,1.0,RIC
2018-11-28,1.48,1.48,1.425,1.44,1.44,91432.0,0.0,1.0,RIC
2018-11-27,1.49,1.505,1.455,1.48,1.48,212095.0,0.0,1.0,RIC
2018-11-26,1.475,1.5,1.475,1.495,1.495,1195500.0,0.0,1.0,RIC
2018-11-25,1.54,1.54,1.47,1.5,1.5,199574.0,0.0,1.0,RIC
2018-11-22,1.475,1.535,1.445,1.535,1.535,454700.0,0.0,1.0,RIC
2018-11-21,1.435,1.48,1.435,1.475,1.475,115380.0,0.0,1.0,RIC
2018-11-20,1.44,1.47,1.43,1.47,1.47,144269.0,0.0,1.0,RIC
2018-11-19,1.47,1.49,1.44,1.44,1.44,133485.0,0.0,1.0,RIC
2018-11-18,1.47,1.49,1.445,1.47,1.47,194286.0,0.0,1.0,RIC
2018-11-15,1.46,1.482,1.44,1.465,1.465,218683.0,0.0,1.0,RIC
2018-11-14,1.455,1.48,1.45,1.465,1.465,489963.0,0.0,1.0,RIC
2018-11-13,1.48,1.48,1.44,1.46,1.46,193856.0,0.0,1.0,RIC
2018-11-12,1.435,1.49,1.43,1.43,1.43,33205.0,0.0,1.0,RIC
2018-11-11,1.47,1.495,1.44,1.495,1.495,143157.0,0.0,1.0,RIC
2018-11-08,1.455,1.5,1.435,1.5,1.5,358283.0,0.0,1.0,RIC
2018-11-07,1.46,1.465,1.435,1.46,1.46,139429.0,0.0,1.0,RIC
2018-11-06,1.445,1.455,1.43,1.455,1.455,166944.0,0.0,1.0,RIC
2018-11-05,1.445,1.45,1.435,1.435,1.435,27228.0,0.0,1.0,RIC
2018-11-04,1.445,1.45,1.425,1.45,1.45,162033.0,0.0,1.0,RIC
2018-11-01,1.44,1.445,1.43,1.445,1.445,145602.0,0.0,1.0,RIC
2018-10-31,1.45,1.46,1.43,1.44,1.44,185469.0,0.0,1.0,RIC
2018-10-30,1.425,1.45,1.38,1.45,1.45,1589085.0,0.0,1.0,RIC
2018-10-29,1.41,1.41,1.38,1.41,1.41,508481.0,0.0,1.0,RIC
2018-10-28,1.41,1.415,1.37,1.4,1.4,165060.0,0.0,1.0,RIC
2018-10-25,1.415,1.425,1.4,1.41,1.41,420950.0,0.0,1.0,RIC
2018-10-24,1.385,1.42,1.385,1.4,1.4,193645.0,0.0,1.0,RIC
2018-10-23,1.45,1.465,1.44,1.455,1.4275,221584.0,0.0,1.0,RIC
2018-10-22,1.435,1.465,1.435,1.455,1.4275,599068.0,0.0,1.0,RIC
2018-10-21,1.415,1.47,1.405,1.435,1.4079,238799.0,0.0,1.0,RIC
2018-10-18,1.41,1.48,1.405,1.445,1.4177,250339.0,0.0,1.0,RIC
2018-10-17,1.415,1.43,1.395,1.4,1.3735,526740.0,0.0,1.0,RIC
2018-10-16,1.42,1.43,1.385,1.395,1.3686,72144.0,0.0,1.0,RIC
2018-10-15,1.4,1.46,1.39,1.4,1.3735,154992.0,0.0,1.0,RIC
2018-10-14,1.41,1.475,1.405,1.405,1.3784,356248.0,0.0,1.0,RIC
2018-10-11,1.505,1.525,1.435,1.435,1.4079,393784.0,0.0,1.0,RIC
2018-10-10,1.51,1.57,1.5,1.5,1.4716,1613893.0,0.0,1.0,RIC
2018-10-09,1.56,1.565,1.525,1.535,1.506,282669.0,0.0,1.0,RIC
2018-10-08,1.555,1.56,1.54,1.54,1.5109,540820.0,0.0,1.0,RIC
2018-10-07,1.56,1.567,1.545,1.555,1.5256,242967.0,0.0,1.0,RIC
2018-10-05,1.57,1.57,1.545,1.56,1.5305,173025.0,0.0,1.0,RIC
2018-10-04,1.55,1.565,1.54,1.565,1.5354,425969.0,0.0,1.0,RIC
2018-10-03,1.54,1.56,1.54,1.55,1.5207,405986.0,0.0,1.0,RIC
2018-10-02,1.545,1.56,1.545,1.545,1.5158,124679.0,0.0,1.0,RIC
2018-10-01,1.54,1.55,1.53,1.545,1.5158,1143166.0,0.0,1.0,RIC
2018-09-28,1.545,1.545,1.5,1.525,1.4962,460104.0,0.0,1.0,RIC
2018-09-27,1.5,1.545,1.495,1.545,1.5158,159015.0,0.0,1.0,RIC
2018-09-26,1.49,1.5,1.47,1.5,1.4716,613937.0,0.0,1.0,RIC
2018-09-25,1.465,1.53,1.445,1.5,1.4716,81329.0,0.0,1.0,RIC
2018-09-24,1.485,1.49,1.465,1.49,1.4618,70057.0,0.0,1.0,RIC
2018-09-21,1.47,1.485,1.437,1.485,1.4569,389313.0,0.0,1.0,RIC
2018-09-20,1.465,1.47,1.445,1.46,1.4324,30404.0,0.0,1.0,RIC
2018-09-19,1.455,1.47,1.432,1.465,1.4373,483723.0,0.0,1.0,RIC
2018-09-18,1.45,1.457,1.435,1.44,1.4128,476679.0,0.0,1.0,RIC
2018-09-17,1.41,1.445,1.41,1.435,1.4079,152688.0,0.0,1.0,RIC
2018-09-14,1.435,1.45,1.397,1.45,1.4226,136548.0,0.0,1.0,RIC
2018-09-13,1.435,1.44,1.41,1.44,1.4128,32773.0,0.0,1.0,RIC
2018-09-12,1.45,1.45,1.395,1.45,1.4226,91901.0,0.0,1.0,RIC
2018-09-11,1.4,1.445,1.397,1.435,1.4079,356138.0,0.0,1.0,RIC
2018-09-10,1.4,1.41,1.395,1.41,1.3834,92901.0,0.0,1.0,RIC
2018-09-07,1.4,1.41,1.37,1.41,1.3834,82188.0,0.0,1.0,RIC
2018-09-06,1.4,1.4,1.37,1.4,1.3735,125851.0,0.0,1.0,RIC
2018-09-05,1.4,1.4,1.385,1.4,1.3735,91110.0,0.0,1.0,RIC
2018-09-04,1.4,1.4,1.385,1.385,1.3588,29775.0,0.0,1.0,RIC
2018-09-03,1.39,1.4,1.36,1.4,1.3735,73622.0,0.0,1.0,RIC
2018-08-31,1.38,1.39,1.365,1.39,1.3637,48609.0,0.0,1.0,RIC
2018-08-30,1.385,1.39,1.37,1.37,1.3441,210887.0,0.0,1.0,RIC
2018-08-29,1.335,1.385,1.335,1.385,1.3588,77651.0,0.0,1.0,RIC
2018-08-28,1.375,1.385,1.335,1.335,1.3098,445286.0,0.0,1.0,RIC
2018-08-27,1.375,1.39,1.355,1.375,1.349,88688.0,0.0,1.0,RIC
2018-08-24,1.365,1.4,1.365,1.38,1.3539,214713.0,0.0,1.0,RIC
2018-08-23,1.335,1.375,1.315,1.37,1.3441,49719.0,0.0,1.0,RIC
2018-08-22,1.35,1.38,1.33,1.38,1.3539,63486.0,0.0,1.0,RIC
2018-08-21,1.335,1.3375,1.32,1.335,1.3098,127647.0,0.0,1.0,RIC
2018-08-20,1.36,1.38,1.335,1.34,1.3147,2013267.0,0.0,1.0,RIC
2018-08-17,1.35,1.38,1.35,1.38,1.3539,52954.0,0.0,1.0,RIC
2018-08-16,1.35,1.365,1.35,1.35,1.3245,45371.0,0.0,1.0,RIC
