date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,4.22,4.31,4.175,4.21,4.21,1594604.0,0.0,1.0,RRL
2018-12-12,4.31,4.31,4.16,4.19,4.19,1817227.0,0.0,1.0,RRL
2018-12-11,4.47,4.47,4.29,4.32,4.32,2422761.0,0.0,1.0,RRL
2018-12-10,4.43,4.515,4.39,4.46,4.46,2690650.0,0.0,1.0,RRL
2018-12-09,4.29,4.515,4.28,4.44,4.44,4012866.0,0.0,1.0,RRL
2018-12-06,4.15,4.28,4.11,4.22,4.22,2901418.0,0.0,1.0,RRL
2018-12-05,4.09,4.12,4.03,4.12,4.12,1827951.0,0.0,1.0,RRL
2018-12-04,4.2,4.265,4.115,4.13,4.13,2675147.0,0.0,1.0,RRL
2018-12-03,4.2,4.28,4.2,4.25,4.25,3231968.0,0.0,1.0,RRL
2018-12-02,4.28,4.29,4.19,4.23,4.23,1498698.0,0.0,1.0,RRL
2018-11-29,4.23,4.27,4.16,4.24,4.24,2813380.0,0.0,1.0,RRL
2018-11-28,4.27,4.34,4.23,4.3,4.3,1337134.0,0.0,1.0,RRL
2018-11-27,4.36,4.36,4.25,4.27,4.27,1777010.0,0.0,1.0,RRL
2018-11-26,4.35,4.36,4.295,4.35,4.35,4171824.0,0.0,1.0,RRL
2018-11-25,4.33,4.37,4.3,4.32,4.32,1235603.0,0.0,1.0,RRL
2018-11-22,4.42,4.44,4.3,4.34,4.34,2244489.0,0.0,1.0,RRL
2018-11-21,4.39,4.47,4.365,4.46,4.46,2151042.0,0.0,1.0,RRL
2018-11-20,4.38,4.44,4.31,4.42,4.42,3283071.0,0.0,1.0,RRL
2018-11-19,4.37,4.455,4.32,4.38,4.38,2167544.0,0.0,1.0,RRL
2018-11-18,4.28,4.39,4.27,4.37,4.37,1684077.0,0.0,1.0,RRL
2018-11-15,4.35,4.35,4.25,4.27,4.27,3635996.0,0.0,1.0,RRL
2018-11-14,4.21,4.36,4.21,4.36,4.36,2623260.0,0.0,1.0,RRL
2018-11-13,4.29,4.33,4.13,4.15,4.15,1936048.0,0.0,1.0,RRL
2018-11-12,4.25,4.29,4.195,4.26,4.26,1671427.0,0.0,1.0,RRL
2018-11-11,4.21,4.33,4.21,4.31,4.31,2467502.0,0.0,1.0,RRL
2018-11-08,4.2,4.28,4.195,4.25,4.25,1510505.0,0.0,1.0,RRL
2018-11-07,4.32,4.32,4.2,4.23,4.23,1361849.0,0.0,1.0,RRL
