date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,3.97,4.04,3.95,3.96,3.96,13696161.0,0.0,1.0,SCG
2018-12-12,4.09,4.09,3.99,4.01,4.01,8742493.0,0.0,1.0,SCG
2018-12-11,4.05,4.12,4.02,4.12,4.12,9910618.0,0.0,1.0,SCG
2018-12-10,4.06,4.07,4.01,4.03,4.03,11908311.0,0.0,1.0,SCG
2018-12-09,4.12,4.155,4.06,4.07,4.07,13968329.0,0.0,1.0,SCG
2018-12-06,4.13,4.16,4.11,4.16,4.16,12932343.0,0.0,1.0,SCG
2018-12-05,3.95,4.1,3.95,4.1,4.1,19117840.0,0.0,1.0,SCG
2018-12-04,4.01,4.04,3.95,3.95,3.95,12773679.0,0.0,1.0,SCG
2018-12-03,4.02,4.04,3.975,4.03,4.03,8270999.0,0.0,1.0,SCG
2018-12-02,3.94,4.0,3.92,4.0,4.0,8858280.0,0.0,1.0,SCG
2018-11-29,3.99,4.0,3.9,3.9,3.9,23179117.0,0.0,1.0,SCG
2018-11-28,4.06,4.08,3.99,4.01,4.01,8349896.0,0.0,1.0,SCG
2018-11-27,4.07,4.08,4.025,4.06,4.06,7651329.0,0.0,1.0,SCG
2018-11-26,3.98,4.06,3.94,4.06,4.06,12270583.0,0.0,1.0,SCG
2018-11-25,4.01,4.03,3.99,4.0,4.0,9761067.0,0.0,1.0,SCG
2018-11-22,3.99,4.03,3.96,4.02,4.02,7021288.0,0.0,1.0,SCG
2018-11-21,3.88,3.965,3.88,3.95,3.95,8916935.0,0.0,1.0,SCG
2018-11-20,3.87,3.91,3.84,3.89,3.89,11245008.0,0.0,1.0,SCG
2018-11-19,3.86,3.89,3.85,3.88,3.88,10296214.0,0.0,1.0,SCG
2018-11-18,3.84,3.88,3.835,3.87,3.87,11650991.0,0.0,1.0,SCG
2018-11-15,3.95,3.97,3.88,3.88,3.88,10597846.0,0.0,1.0,SCG
2018-11-14,3.95,3.99,3.94,3.99,3.99,10602190.0,0.0,1.0,SCG
2018-11-13,4.02,4.055,3.95,3.96,3.96,10698191.0,0.0,1.0,SCG
2018-11-12,4.05,4.085,4.03,4.04,4.04,7089803.0,0.0,1.0,SCG
2018-11-11,4.03,4.08,4.0,4.05,4.05,5757736.0,0.0,1.0,SCG
2018-11-08,3.96,4.03,3.96,4.03,4.03,6514430.0,0.0,1.0,SCG
2018-11-07,4.01,4.02,3.98,4.01,4.01,7387209.0,0.0,1.0,SCG
2018-11-06,3.95,3.995,3.92,3.99,3.99,12154053.0,0.0,1.0,SCG
2018-11-05,3.84,3.94,3.83,3.93,3.93,6542631.0,0.0,1.0,SCG
2018-11-04,3.85,3.86,3.81,3.83,3.83,5427948.0,0.0,1.0,SCG
2018-11-01,3.87,3.885,3.835,3.85,3.85,9335234.0,0.0,1.0,SCG
2018-10-31,3.97,3.99,3.89,3.9,3.9,12781058.0,0.0,1.0,SCG
